word_chinese_traditional,aoa_mean,familiar_mean,imagine_mean,concrete_mean,semantic_radical_trans_mean,frequency_log,number_stroke,number_word_forms,number_homophones,number_meanings,aoa_raw,familiar_raw,imagine_raw,concrete_raw,semantic_radical_trans_raw
坦,4.285714286,6.105263158,3.545454545,3.15,4.684210526,2.252297107,8,8,3,5,4.272727273,5.9,3.75,3.15,4.684210526
按,3.238095238,6.666666667,4.681818182,4.1,5.888888889,2.433783665,9,6,1,7,3.238095238,6.3,4.590909091,4.1,5.684210526
幅,4,6.578947368,2.818181818,2.2632,4.263157895,2.334624804,12,2,5,6,4,6.4,2.909090909,2.5,4.263157895
統,4.095238095,6.736842105,3.318181818,2.65,2.947368421,2.707004201,12,10,1,8,4.095238095,6.45,3.363636364,2.65,2.947368421
價,3.476190476,6.888888889,3.772727273,3.6,2.578947368,2.90581953,15,7,6,2,3.545454545,6.7,3.583333333,3.6,2.578947368
低,3.095238095,6.947368421,4.090909091,4.4,2.736842105,2.71786747,7,13,0,3,3.095238095,6.85,4,4.4,2.736842105
探,3.619047619,6.944444444,3.772727273,3.7,5.210526316,2.26369623,11,21,0,5,3.619047619,6.75,3.590909091,3.7,5.210526316
陶,4.80952381,6.05,4.681818182,3.25,2.894736842,1.56307973,11,13,13,2,4.80952381,6.05,4.454545455,3.25,2.894736842
摻,5.571428571,5.2,3.090909091,3.05,5,0.226016831,14,5,1,3,5.571428571,5.2,2.954545455,3.05,5
攪,4.428571429,6.578947368,5.333333333,4.45,6.052631579,1.099697189,23,4,6,3,4.428571429,6.45,5.090909091,4.45,6.052631579
燒,3.333333333,6.888888889,5.409090909,5.35,6.722222222,2.202723353,16,6,8,4,3.333333333,6.7,5.217391304,5.35,6.631578947
括,3.9,6.578947368,2.909090909,2.7,4.368421053,2.683658468,9,13,1,7,3.761904762,6.3,2.954545455,2.7,4.368421053
鐵,4.15,6.894736842,5.5,6.0526,6.105263158,2.674845795,21,6,0,5,4,6.8,5.590909091,5.85,6.105263158
綠,2.571428571,6.894736842,5.590909091,5.65,3.210526316,2.036163972,14,9,10,4,2.571428571,6.8,5.409090909,5.65,3.210526316
損,4.15,6.5,4.181818182,3.9,4.842105263,2.240923878,13,8,1,NA,4,6.5,4.181818182,3.9,4.842105263
測,3.85,6.894736842,3.681818182,3.6,3.052631579,2.312941341,12,7,1,3,3.714285714,6.8,3.545454545,3.6,3.052631579
溶,4.19047619,6.35,5,4.55,6.052631579,0.955592982,13,6,13,4,4.136363636,6.35,4.863636364,4.55,6.052631579
酶,6.789473684,4.35,2.476190476,3.1,5,0.271774322,14,0,7,NA,6.523809524,4.35,2.772727273,3.1,4.789473684
構,4.380952381,6.736842105,2.318181818,2.55,4.421052632,2.41142856,14,10,4,NA,4.380952381,6.6,2.52173913,2.55,4.421052632
觸,4.428571429,6.631578947,4.227272727,4.15,5,2.22890252,20,11,10,2,4.428571429,6.5,4.272727273,4.15,5
澳,4.15,6.473684211,2.863636364,2.7,4.315789474,2.585340263,16,1,2,4,4.318181818,6.2,2.863636364,2.7,4.315789474
據,4.523809524,6.578947368,2.772727273,2.95,4.473684211,2.841131508,16,6,3,NA,4.636363636,6.45,2.863636364,2.95,4.473684211
診,3.619047619,6.736842105,3.909090909,4.15,4.473684211,2.031981328,12,8,1,3,3.619047619,6.6,3.772727273,4.15,4.473684211
城,3.476190476,6.736842105,5.227272727,5.6316,5.157894737,2.767932699,10,6,7,3,3.476190476,6.6,5.272727273,5.4,5.157894737
院,3.8,6.578947368,4.909090909,4.8,3.315789474,2.973058523,10,8,8,5,3.904761905,6.45,4.772727273,4.8,3.315789474
治,3.9,6.6,3,2.95,3.526315789,2.921998559,8,17,7,9,4.047619048,6.6,3.090909091,2.95,3.526315789
續,3.95,6.55,2,2.3,3.157894737,2.883072684,21,6,6,NA,4.095238095,6.55,2.272727273,2.3,3.157894737
控,4.047619048,6.631578947,3.272727273,3.25,5.105263158,2.645185529,11,9,2,4,4.047619048,6.5,3.136363636,3.25,5.105263158
核,4,6.210526316,4.681818182,4.6,4.736842105,2.227118403,10,12,3,4,4.090909091,5.95,4.5,4.6,4.736842105
隔,3.80952381,6.631578947,4.090909091,3.4,3.368421053,2.196422749,13,7,4,5,3.80952381,6.35,3.909090909,3.4,3.368421053
積,3.619047619,6.736842105,3.227272727,3.2,3.105263158,2.474029043,16,4,12,8,3.619047619,6.6,3.136363636,3.2,3.105263158
啞,4.095238095,6.1,4.045454545,4.35,6.666666667,1.091318257,11,7,0,4,4.095238095,6.1,4.045454545,4.35,6.473684211
深,3.380952381,6.842105263,4.318181818,4.45,5.368421053,2.699862813,11,14,6,3,3.380952381,6.75,4.136363636,4.45,5.368421053
絕,3.75,6.526315789,2.636363636,2.9,3,2.605451854,12,24,1,8,3.857142857,6.25,2.772727273,2.9,3
根,3.19047619,6.888888889,5.636363636,5.2,6.555555556,2.570752088,10,23,5,5,3.19047619,6.6,5.52173913,5.2,6.315789474
短,2.428571429,6.65,4.318181818,4.75,2.684210526,2.534869087,12,20,0,4,2.454545455,6.65,4.227272727,4.75,2.684210526
映,4.571428571,6.3,4.090909091,3.05,5.210526316,2.304393083,9,3,1,4,4.571428571,6.3,3.954545455,3.05,5.210526316
溝,4.571428571,6.3,4.227272727,3.55,5.052631579,1.995464494,13,5,1,7,4.571428571,6.3,4.181818182,3.55,5.052631579
境,3.857142857,6.842105263,3.136363636,3.6,5.421052632,2.598022379,14,6,6,3,3.857142857,6.7,2.909090909,3.6,5.421052632
佔,4.095238095,6.578947368,3.318181818,2.95,3.842105263,2.913616563,7,9,1,3,4.095238095,6.3,3.090909091,2.95,3.842105263
係,2.904761905,6.894736842,1.476190476,2.75,3.210526316,3.060124537,9,1,2,4,2.909090909,6.8,1.666666667,2.75,3.210526316
注,4.142857143,6.473684211,3.590909091,2.5,5,2.609974603,8,5,6,10,4.136363636,6.3,3.454545455,2.5,5
極,3.952380952,6.789473684,1.666666667,2.1,2.055555556,2.602738587,12,11,0,9,3.952380952,6.65,2,2.1,2.315789474
騙,3.857142857,6.65,3.772727273,4.15,1.789473684,1.991578954,19,6,2,3,3.863636364,6.65,3.458333333,4.15,1.789473684
依,4.3,6.6,3.090909091,2.35,4.578947368,2.390558511,8,14,4,6,4.142857143,6.6,3.227272727,2.35,4.578947368
語,3.55,6.894736842,2.909090909,3.8,6.315789474,2.491957153,14,17,7,1,3.428571429,6.8,3,3.8,6.315789474
祿,5.666666667,4.7,2.681818182,2.65,3.421052632,1.319883035,13,3,10,2,5.666666667,4.7,2.818181818,2.65,3.421052632
拐,4,6.368421053,5.272727273,4.65,5.526315789,1.110623413,8,7,1,4,4,6.15,5.227272727,4.65,5.526315789
絡,4.761904762,5.8,2.5,2.2105,4.263157895,2.308060939,12,6,5,11,4.761904762,5.8,2.545454545,2.45,4.263157895
夠,3.285714286,6.736842105,2.047619048,2.5,NA,2.537535239,11,4,9,2,3.285714286,6.45,2.181818182,2.5,NA
嗆,5.789473684,5.25,3.772727273,3.4,5.157894737,0.55701005,13,1,7,NA,5.333333333,5.25,3.565217391,3.4,5.157894737
腫,4.142857143,6.35,5.681818182,5.6,5.368421053,1.646522668,13,4,4,4,4.142857143,6.35,5.545454545,5.6,5.368421053
胳,4.947368421,5.25,3.136363636,3.9,5.631578947,0.028736273,10,3,4,3,4.590909091,5.25,3.227272727,3.9,5.631578947
撓,5.19047619,5.45,3.636363636,3.5,5.263157895,1.074059252,15,4,1,6,5.19047619,5.45,3.636363636,3.5,5.263157895
狗,1.904761905,7,6.9,6.6842,6.052631579,2.200682012,8,6,5,3,1.904761905,6.95,6.590909091,6.5,6.052631579
捱,4.666666667,6.3,4.090909091,3.8,4.894736842,1.644160226,11,4,3,NA,4.666666667,6.3,3.913043478,3.8,4.894736842
憐,4.333333333,6.631578947,3.181818182,2.8,5.842105263,1.23421131,15,4,4,2,4.333333333,6.5,2.954545455,2.8,5.842105263
牠,3.380952381,6.526315789,3.363636364,3.45,6.444444444,2.024152072,7,0,3,NA,3.380952381,6.35,3.227272727,3.45,6.263157895
挨,4.619047619,5.8,4.090909091,3.55,5.105263158,0.674649548,10,8,2,6,4.636363636,5.8,3.954545455,3.55,5.105263158
妙,3.8,6.777777778,2.727272727,1.8947,4.947368421,1.745990586,7,13,1,5,3.681818182,6.5,2.772727273,2.15,4.947368421
板,3.428571429,6.526315789,5,5.35,6.444444444,2.17687601,8,11,5,9,3.428571429,6.4,4.727272727,5.35,6.263157895
移,3.9,6.55,4.181818182,4.3,2.578947368,2.293377038,11,5,16,7,3.761904762,6.55,4.090909091,4.3,2.578947368
精,3.9,6.578947368,3.090909091,3.05,3.631578947,2.604443575,14,18,11,NA,3.818181818,6.3,3.227272727,3.05,3.631578947
線,3.285714286,7,5.818181818,5.4,6.210526316,2.723670359,15,4,6,3,3.285714286,6.8,5.772727273,5.4,6.210526316
端,3.857142857,6.2,2.523809524,2.75,4.736842105,1.960321261,14,26,0,13,3.857142857,6.2,2.772727273,2.75,4.736842105
紀,3.8,6.842105263,1.80952381,2.3,2.842105263,2.6484816,9,9,3,6,3.904761905,6.7,2.090909091,2.3,2.842105263
