word_chinese_traditional,aoa_mean,familiar_mean,imagine_mean,concrete_mean,semantic_radical_trans_mean,frequency_log,number_stroke,number_word_forms,number_homophones,number_meanings,aoa_raw,familiar_raw,imagine_raw,concrete_raw,semantic_radical_trans_raw
瘋,3.95,6.473684211,5.045454545,4.2,6.222222222,1.759518549,14,4,10,3,4.181818182,6.2,4.909090909,4.2,5.947368421
聊,3.85,6.473684211,4.181818182,4.35,5.263157895,1.55378108,11,3,9,3,3.714285714,6.35,4.318181818,4.35,5.263157895
韻,4.666666667,5.95,3.681818182,2.75,5.789473684,1.416126099,19,8,4,1,4.666666667,5.95,3.590909091,2.75,5.789473684
騰,5.285714286,6.1,3.545454545,3,2.421052632,1.771657696,20,9,3,1,5.285714286,6.1,3.434782609,3,2.421052632
閱,3.380952381,6.789473684,4.045454545,4.4,2.736842105,1.791414837,15,6,6,8,3.454545455,6.7,3.916666667,4.4,2.736842105
麵,2.714285714,7,6.090909091,6.4,6.444444444,1.913390058,20,5,2,2,2.714285714,6.9,6.090909091,6.4,6.157894737
誇,4.35,6.5,3.318181818,3.55,5.789473684,1.488505589,13,3,2,1,4.19047619,6.5,3.090909091,3.55,5.789473684
圳,3.952380952,5.95,2.136363636,1.7368,4.421052632,1.930603086,6,1,4,1,3.952380952,5.95,2.434782609,1.95,4.421052632
寓,4.476190476,6.1,3.818181818,3.75,5.368421053,1.735454056,11,7,16,1,4.476190476,6.1,4,3.75,5.368421053
恥,4.666666667,6.315789474,3.681818182,2.95,5.526315789,1.368684335,10,3,7,2,4.681818182,6.05,3.590909091,2.95,5.526315789
沫,4.857142857,5.75,3.590909091,4.45,5.736842105,1.067157719,8,2,3,3,4.857142857,5.75,3.545454545,4.45,5.736842105
掙,4.380952381,5.947368421,3.772727273,3.25,5.526315789,1.299996884,11,4,12,4,4.380952381,5.7,3.590909091,3.25,5.526315789
汀,5.333333333,4.8,1.55,1.3158,3.684210526,0.883042315,5,3,4,1,5.333333333,4.8,2.136363636,1.55,3.684210526
濃,4.095238095,6.421052632,4.636363636,3.7,5,1.869939269,16,5,3,2,4.095238095,6.25,4.636363636,3.7,5
淇,4.45,4.85,1.619047619,1.2105,2.277777778,1.428409995,11,1,18,1,4.227272727,4.85,1.818181818,1.35,2.526315789
芙,5.05,5.894736842,2.636363636,2.7,4.263157895,1.124776828,8,2,3,2,4.857142857,5.65,2.636363636,2.7,4.263157895
唇,3,6.473684211,6.136363636,6.65,6.611111111,1.359150046,10,7,6,2,2.909090909,6.3,6.166666667,6.65,6.421052632
咬,2.714285714,6.888888889,5.409090909,5.3,6.722222222,1.691258011,9,3,0,1,2.714285714,6.7,5.272727273,5.3,6.578947368
魏,5.047619048,6.105263158,2.272727273,1.2632,1.789473684,1.22876554,18,3,5,4,5.047619048,5.85,2.272727273,1.55,1.789473684
洞,2.952380952,6.578947368,5.681818182,6,3.210526316,1.799772269,9,15,5,5,2.954545455,6.45,5.545454545,6,3.210526316
凍,2.428571429,6.944444444,5.136363636,4.95,5.263157895,1.670705871,10,5,0,5,2.428571429,6.75,4.909090909,4.95,5.263157895
軸,5.571428571,5.3,4.363636364,4.75,5.526315789,1.284611547,12,3,6,1,5.545454545,5.3,4.166666667,4.75,5.526315789
帑,5.9,5.15,3.318181818,3.4,3.105263158,1.202650613,8,4,6,1,5.681818182,5.15,3.227272727,3.4,3.105263158
虹,3.35,6.105263158,4.590909091,4.55,1.833333333,1.519396926,9,3,6,1,3.523809524,5.95,4.363636364,4.55,2.105263158
址,3.80952381,6.6,2.727272727,2.75,5.210526316,2.095248551,7,4,18,1,3.818181818,6.6,2.863636364,2.75,5.210526316
棒,3.3,6.578947368,5.181818182,4.8,5.947368421,1.534564307,12,8,0,2,3.476190476,6.45,5,4.8,5.947368421
殘,4.15,6.789473684,4.363636364,4.55,4.631578947,1.988016223,12,8,0,2,4.285714286,6.65,4.272727273,4.55,4.631578947
堃,6.9,1.388888889,1.19047619,1.2105,3.473684211,0.232856256,11,0,6,NA,6.714285714,1.75,1.363636364,1.35,3.473684211
脗,6.55,2.421052632,1.727272727,1.6842,4.210526316,0.61980088,11,0,6,NA,6.428571429,2.65,1.818181818,1.9,4.210526316
唁,6.7,2.210526316,2.045454545,1.3158,4.421052632,0.356095208,10,2,4,1,6.523809524,2.45,1.863636364,1.45,4.421052632
妲,5.619047619,4.85,2,1.6842,5.888888889,-0.081962024,8,1,0,1,5.545454545,4.85,2.333333333,1.95,5.631578947
嬲,4.523809524,6.5,4.454545455,4.5,NA,1.180259341,17,1,0,1,4.523809524,6.5,4.434782609,4.5,NA
陞,5.761904762,4.7,2.954545455,2.7,NA,0.399804135,9,0,9,NA,5.761904762,4.7,3,2.7,NA
褒,5.238095238,5.8,3.090909091,3.15,NA,0.232856256,15,5,1,4,5.238095238,5.8,3.045454545,3.15,NA
唏,5.047619048,5.15,1.380952381,2.05,4.894736842,0.385717674,10,1,14,1,5.047619048,5.15,1.681818182,2.05,4.894736842
羈,6.15,5.2,3.636363636,2.65,3.210526316,0.839976046,24,8,13,3,6,5.2,3.913043478,2.65,3.210526316
鑫,6.5,4.05,1.238095238,1.45,3.894736842,0.550527923,24,0,4,NA,6.333333333,4.05,1.590909091,1.45,3.894736842
贓,5.80952381,4.95,3.545454545,3.45,5.777777778,1.086592482,22,16,7,1,5.80952381,4.95,3.409090909,3.45,5.526315789
喆,6.35,3.7,1.75,1.9474,NA,0.55701005,12,0,5,NA,6.227272727,3.7,2.409090909,2.2,NA
閆,6.80952381,1.95,1.619047619,1.65,3.684210526,-0.175383709,11,0,6,NA,6.80952381,1.95,1.913043478,1.65,3.684210526
璟,6.8,3.55,1.545454545,1.75,3.736842105,0.212006117,16,0,6,2,6.666666667,3.55,1.590909091,1.75,3.736842105
氰,6.75,3.1,2.545454545,2.75,6.210526316,0.116872362,12,0,5,NA,6.571428571,3.1,2.739130435,2.75,6.210526316
聞,2.952380952,6.894736842,4.363636364,4.15,6.722222222,2.634848809,14,5,7,4,2.952380952,6.75,4.272727273,4.15,6.631578947
堂,3.047619048,6.888888889,3.954545455,3.75,4.421052632,2.287313699,11,9,9,2,3.047619048,6.7,3.818181818,3.75,4.421052632
遊,3.238095238,6.6,3.954545455,4.35,5.105263158,2.784344375,13,9,14,2,3.238095238,6.6,3.818181818,4.35,5.105263158
想,2.952380952,6.684210526,4.045454545,3.25,6.368421053,2.995897986,13,18,2,5,2.952380952,6.45,3.909090909,3.25,6.368421053
邊,3,6.526315789,3.727272727,3.6,3.473684211,2.687486773,19,4,2,1,3,6.35,3.727272727,3.6,3.473684211
麼,3.047619048,6.888888889,1.952380952,1.1579,NA,2.696165876,14,3,3,1,3.090909091,6.7,2.181818182,1.25,NA
然,3.380952381,6.631578947,1.571428571,1.2632,2,3.229388449,12,16,10,6,3.380952381,6.35,1.727272727,1.4,2.210526316
感,3.380952381,6.736842105,2.954545455,2.95,6.105263158,3.042458051,14,22,3,3,3.380952381,6.55,2.909090909,2.95,6.105263158
型,3.761904762,6.684210526,3.727272727,2.9,3.526315789,2.62368101,9,2,16,2,3.761904762,6.45,3.818181818,2.9,3.526315789
築,4.857142857,6.55,4.181818182,4.2,5.368421053,2.044096029,16,8,10,2,4.857142857,6.55,4.318181818,4.2,5.368421053
避,3.761904762,6.526315789,3.818181818,4.35,3.894736842,2.348622736,17,5,5,4,3.761904762,6.35,3.636363636,4.35,3.894736842
龍,3.428571429,6.65,6.045454545,6.3,NA,2.697285253,17,10,8,2,3.428571429,6.65,5.909090909,6.3,NA
發,3.142857143,6.684210526,3.818181818,3.35,NA,3.490351086,12,14,2,2,3.142857143,6.4,3.739130435,3.35,NA
速,3.75,6.65,3.363636364,3.85,4.052631579,2.585129243,11,6,7,2,3.857142857,6.65,3.181818182,3.85,4.052631579
通,3.571428571,6.842105263,3.363636364,3.6,4.105263158,3.020460615,11,62,0,10,3.571428571,6.75,3.227272727,3.6,4.105263158
過,2.952380952,6.842105263,3.363636364,2.85,4.631578947,3.460441709,13,20,0,5,2.952380952,6.7,3.347826087,2.85,4.631578947
進,2.904761905,6.947368421,3.590909091,4.05,3.947368421,3.113330423,12,5,9,4,2.954545455,6.85,3.375,4.05,3.947368421
員,3.476190476,6.842105263,3.727272727,3.7,2.684210526,3.427166758,10,7,17,5,3.476190476,6.7,3.739130435,3.7,2.684210526
苦,3.19047619,6.947368421,4.045454545,4.6,3.473684211,2.244505982,9,6,9,6,3.19047619,6.85,3.909090909,4.6,3.473684211
還,3.142857143,6.789473684,2.523809524,2.2,3.421052632,2.963348333,17,13,4,6,3.142857143,6.7,2.863636364,2.2,3.421052632
起,2.95,6.894736842,4,3.45,5.105263158,3.129924658,10,25,3,2,3.136363636,6.8,3.954545455,3.45,5.105263158
常,2.85,6.5,2.318181818,2.45,2.166666667,2.959736215,11,11,4,6,3,6.5,2.545454545,2.45,2.421052632
怨,4.238095238,6.473684211,4.136363636,3.65,6.166666667,1.740332628,9,8,0,5,4.238095238,6.2,4.227272727,3.65,5.947368421
氣,3.047619048,6.888888889,4.909090909,4.3,6.631578947,2.952847496,10,24,5,1,3.047619048,6.7,4.863636364,4.3,6.631578947
費,3.95,6.789473684,2.863636364,3.6,5.210526316,2.803253239,12,10,3,3,3.863636364,6.65,2.916666667,3.6,5.210526316
風,2.333333333,6.894736842,5.636363636,6.05,NA,2.849134796,9,25,10,8,2.333333333,6.8,5.590909091,6.05,NA
委,4.55,6.368421053,3.272727273,2.3,2.368421053,2.815842366,8,9,5,NA,4.363636364,6.1,3.090909091,2.3,2.368421053
聲,2.619047619,6.789473684,4.5,4.3,6.333333333,2.803052468,17,18,9,6,2.619047619,6.5,4.409090909,4.3,6.157894737
禁,3.761904762,6.6,4.181818182,3.8,NA,2.379129678,13,13,1,8,3.761904762,6.6,4.318181818,3.8,NA
遍,4,6.736842105,2.15,2.55,3.842105263,1.932775242,13,5,2,1,4,6.6,2.681818182,2.55,3.842105263
逼,4.1,6.789473684,4,3.6,3.421052632,2.09552793,13,8,5,6,3.952380952,6.65,3.782608696,3.6,3.421052632
遭,4.619047619,6.526315789,2.590909091,1.9,2.947368421,2.506725249,15,2,2,5,4.619047619,6.4,2.772727273,1.9,2.947368421
驚,3.095238095,6.65,4.318181818,4.3,3.157894737,2.428280206,23,13,5,5,3.136363636,6.65,3.958333333,4.3,3.157894737
商,3.75,6.789473684,3.5,3.7,NA,2.901606068,11,9,10,6,3.619047619,6.65,3.590909091,3.7,NA
幣,3.428571429,6.35,5.227272727,5.6,2.894736842,2.361931564,14,4,4,4,3.428571429,6.35,5.181818182,5.6,2.894736842
餐,2.857142857,6.684210526,4.727272727,4.4,6.315789474,2.430395246,16,8,0,3,2.857142857,6.55,4.636363636,4.4,6.315789474
關,3.428571429,6.736842105,4.590909091,4.1,6.222222222,3.178655545,19,10,0,4,3.428571429,6.5,4.454545455,4.1,5.947368421
產,3.85,6.684210526,4,3.8,NA,2.806018065,11,6,2,2,3.714285714,6.55,3.909090909,3.8,NA
迎,3.619047619,6.55,3.090909091,3.5,4.263157895,2.33052562,8,11,16,2,3.619047619,6.55,3.227272727,3.5,4.263157895
廣,3.619047619,6.736842105,3.681818182,3.25,4.947368421,2.757698453,15,14,1,7,3.619047619,6.6,3.695652174,3.25,4.947368421
舌,2.857142857,6.894736842,6.523809524,6.1053,6.473684211,1.513747488,6,10,8,3,2.909090909,6.8,6.363636364,5.95,6.473684211
韓,4.1,6.473684211,3.727272727,3.4,NA,2.580734892,17,6,2,4,4.238095238,6.3,3.652173913,3.4,NA
邀,4.428571429,6.6,3.363636364,3.95,3.684210526,2.158989609,17,3,4,5,4.428571429,6.6,3.409090909,3.95,3.684210526
逾,4.857142857,6.105263158,2,2.45,3.315789474,2.497452745,13,4,16,2,4.857142857,5.85,2.090909091,2.45,3.315789474
熱,2.714285714,6.85,5.714285714,4.85,5.526315789,2.75881164,15,7,0,7,2.714285714,6.85,5.409090909,4.85,5.526315789
選,4.05,6.789473684,3.909090909,4,2.888888889,3.050731371,16,7,1,5,3.904761905,6.5,3.782608696,4,3.105263158
留,2.904761905,6.789473684,2.818181818,3.4,3.052631579,2.811531274,10,5,10,3,2.904761905,6.7,2.863636364,3.4,3.052631579
問,2.238095238,6.947368421,4,4.75,6.578947368,3.150460219,11,27,1,5,2.318181818,6.85,3.75,4.75,6.578947368
資,3.857142857,6.888888889,2.545454545,2.7,5.263157895,3.03741095,13,18,17,8,3.857142857,6.7,2.636363636,2.7,5.263157895
幫,3.333333333,7,3.818181818,4.2,NA,2.406725127,17,7,1,5,3.363636364,6.9,3.727272727,4.2,NA
遺,5,6.2,4.045454545,3.25,4.105263158,2.249824342,16,24,9,3,5,6.2,3.909090909,3.25,4.105263158
遇,3.761904762,6.65,3.045454545,3.35,4.263157895,2.443458994,13,12,16,7,3.761904762,6.65,3.045454545,3.35,4.263157895
趕,3.904761905,6.6,3.409090909,3.75,5.789473684,2.193237835,14,2,0,8,3.904761905,6.6,3.5,3.75,5.789473684
醫,3.238095238,6.894736842,5.523809524,5.05,NA,2.888474839,18,12,4,2,3.238095238,6.75,5.272727273,5.05,NA
擊,4.285714286,6.5,4.590909091,4.05,5.947368421,2.785201216,17,6,4,3,4.285714286,6.5,4.772727273,4.05,5.947368421
徽,5.142857143,4.9,2.636363636,3.35,2.944444444,1.200462727,17,3,5,6,5.142857143,4.9,2.681818182,3.35,3.157894737
背,2.761904762,6.7,5.818181818,5.4,5.789473684,2.347425543,9,16,4,NA,2.761904762,6.7,5.681818182,5.4,5.789473684
勢,4.761904762,6.736842105,2.318181818,2.5,5.736842105,2.775526105,13,7,3,5,4.761904762,6.6,2.454545455,2.5,5.736842105
黨,4.952380952,6.35,3.954545455,3.95,3.105263158,2.644397049,21,13,1,5,4.952380952,6.35,4.136363636,3.95,3.105263158
變,3.571428571,6.736842105,3.681818182,3.2,2.631578947,2.883436949,23,3,0,2,3.571428571,6.45,3.772727273,3.2,2.631578947
近,3.047619048,6.894736842,3.681818182,4.15,3.684210526,3.192188373,8,17,0,7,3.047619048,6.8,3.454545455,4.15,3.684210526
運,3.428571429,6.684210526,3.409090909,3.25,3.947368421,2.975630468,13,5,2,5,3.428571429,6.4,3.272727273,3.25,3.947368421
逐,4.55,6.684210526,2.45,2.6842,4.421052632,2.248124301,11,8,6,6,4.380952381,6.55,2.818181818,2.85,4.421052632
熙,4.80952381,5.45,2.047619048,2.1053,3.210526316,1.496714148,14,4,14,3,4.80952381,5.45,2.363636364,2.35,3.210526316
靠,3.857142857,6.578947368,4.090909091,3.15,NA,2.221303726,15,14,1,4,3.857142857,6.45,4.045454545,3.15,NA
途,3.857142857,6.684210526,3.772727273,3.6,4.368421053,2.448485559,11,7,13,3,3.857142857,6.6,3.545454545,3.6,4.368421053
案,4.35,6.833333333,3.454545455,3.55,4.736842105,3.032519821,10,9,1,5,4.19047619,6.55,3.217391304,3.55,4.736842105
違,4.571428571,6.736842105,2.3,2.2632,3,2.298482646,13,4,9,4,4.571428571,6.65,2.772727273,2.5,3
照,3.285714286,6.894736842,4.727272727,4.4,4.368421053,2.77500062,13,5,1,6,3.285714286,6.8,4.727272727,4.4,4.368421053
透,3.95,6.789473684,4.545454545,3.7,2.842105263,2.702171913,11,10,0,5,4.095238095,6.7,4.363636364,3.7,2.842105263
兌,4.571428571,6.263157895,3.409090909,2.4211,NA,1.663465381,7,5,1,5,4.590909091,6,3.227272727,2.65,NA
追,3.19047619,6.736842105,4.772727273,4.7,4.263157895,2.626815136,10,13,4,3,3.19047619,6.6,4.636363636,4.7,4.263157895
劉,3.619047619,6.368421053,1.476190476,1.5263,2.105263158,2.5013099,15,1,10,4,3.619047619,6.15,1.681818182,1.8,2.105263158
歸,4.35,6.35,4.272727273,3.55,NA,2.209005551,18,22,4,6,4.19047619,6.35,4.181818182,3.55,NA
幕,4.714285714,6.631578947,4.636363636,4.7,3,2.345283197,14,4,4,NA,4.714285714,6.5,4.636363636,4.7,3
壓,3.761904762,6.55,5.090909091,4.75,4.473684211,2.564663015,17,8,2,7,3.772727273,6.55,4.909090909,4.75,4.473684211
導,3.8,6.842105263,3.590909091,3.5,1.894736842,2.770911316,16,17,9,7,3.904761905,6.75,3.409090909,3.5,1.894736842
養,3.523809524,6.736842105,3.136363636,4.15,5.722222222,2.388571756,15,14,3,10,3.523809524,6.45,3.272727273,4.15,5.473684211
製,4.142857143,6.526315789,4.181818182,3.85,4.947368421,2.600881509,15,8,6,7,4.142857143,6.35,4.181818182,3.85,4.947368421
駕,3.857142857,6.45,4.454545455,3.95,5.833333333,2.275972823,15,12,6,1,3.857142857,6.45,4.5,3.95,5.631578947
袋,3.142857143,6.894736842,6.090909091,6.0526,5.263157895,2.207137615,11,18,3,3,3.142857143,6.8,6,5.8,5.263157895
警,3.25,6.55,4.681818182,4.4,3.894736842,3.20027259,20,9,6,NA,3.428571429,6.55,4.636363636,4.4,3.894736842
賽,3.666666667,6.736842105,4.454545455,4,3.684210526,3.201776781,17,4,3,4,3.666666667,6.45,4.52173913,4,3.684210526
奪,3.666666667,6.315789474,4.727272727,4.25,NA,2.340278232,14,20,0,3,3.666666667,6.1,4.681818182,4.25,NA
獎,2.904761905,6.736842105,4.409090909,5.4211,NA,2.594613595,14,10,4,NA,2.909090909,6.6,4.541666667,5.2,NA
營,3.9,6.631578947,4.681818182,3.8,NA,2.544709411,17,9,16,7,4.047619048,6.5,4.772727273,3.8,NA
超,3.333333333,6.842105263,2.136363636,2.6,4.052631579,2.81383466,12,5,2,7,3.333333333,6.7,2.181818182,2.6,4.052631579
基,4.1,6.736842105,2.681818182,2.1053,4.473684211,2.906150816,11,8,13,1,3.952380952,6.6,2.863636364,2.35,4.473684211
越,4.095238095,6.65,3.227272727,1.8421,4,2.41967138,13,4,6,16,4.095238095,6.65,3.217391304,2.1,4
密,3.714285714,6.842105263,4.5,4.1,3.210526316,2.469566672,11,15,4,5,3.714285714,6.7,4.434782609,4.1,3.210526316
截,4.619047619,6.3,3.545454545,3.65,2,2.180335929,14,4,1,7,4.619047619,6.3,3.636363636,3.65,2
逃,3.6,6.55,5.090909091,4.85,4.684210526,2.232652633,10,14,13,3,3.681818182,6.55,4.954545455,4.85,4.684210526
響,4.047619048,6.789473684,4.318181818,4.2,NA,2.744091868,21,7,3,5,4.047619048,6.65,4.045454545,4.2,NA
造,4.095238095,6.894736842,3.5,3.4,2.842105263,2.727901666,11,14,2,5,4.095238095,6.75,3.545454545,3.4,2.842105263
修,4.25,6.736842105,3.136363636,3.35,2.421052632,2.503862436,10,7,3,8,4.095238095,6.6,3.045454545,3.35,2.421052632
遷,4.904761905,6.105263158,4.136363636,3.6,4.526315789,1.803253239,15,8,2,1,4.904761905,5.85,4,3.6,4.526315789
迹,4.666666667,6.05,3.5,3.85,4,1.834746568,9,0,12,0,4.666666667,6.05,3.545454545,3.85,4
裝,3.476190476,6.789473684,4,3.65,6.105263158,2.701526602,13,12,7,6,3.476190476,6.7,3.863636364,3.65,6.105263158
靈,4.333333333,6.3,4.227272727,2.9,3,2.184982464,24,12,16,2,4.333333333,6.3,4.136363636,2.9,3
條,3,6.789473684,4.5,4.2,3.947368421,2.697005679,11,16,2,5,3,6.55,4.272727273,4.2,3.947368421
範,4.285714286,6.526315789,2.954545455,2.5,2.473684211,2.197675487,15,6,4,8,4.285714286,6.25,2.869565217,2.5,2.473684211
卷,3.380952381,6.684210526,4.954545455,5.5263,NA,1.620913031,8,8,1,7,3.380952381,6.55,4.869565217,5.3,NA
烈,3.85,6.684210526,4.409090909,3.6,6.055555556,2.201047242,10,4,4,6,4,6.4,4.409090909,3.6,5.789473684
遠,2.714285714,6.789473684,4.5,3.9,4.105263158,2.514564131,14,10,2,3,2.772727273,6.5,4.409090909,3.9,4.105263158
歷,4.19047619,6.736842105,2.454545455,3.1,2.947368421,2.605135218,16,12,3,3,4.19047619,6.6,2.545454545,3.1,2.947368421
璧,4.952380952,5.95,4.909090909,5.6,6.388888889,0.799588285,18,4,5,1,4.952380952,5.95,4.727272727,5.6,6.157894737
盃,4.857142857,6.315789474,5.318181818,5.15,6.052631579,2.627718177,9,0,2,0,4.857142857,6.15,5.272727273,5.15,6.052631579
恐,3.761904762,6.736842105,3.818181818,3.2,6.333333333,2.37391389,10,6,1,0,3.772727273,6.6,3.863636364,3.2,6.105263158
幹,4,6.45,4.136363636,2.5789,NA,1.918737886,13,4,0,8,4,6.45,4.086956522,2.8,NA
虛,4.571428571,6.421052632,3.681818182,3.45,NA,1.908691858,12,7,3,11,4.571428571,6.15,3.5,3.45,NA
裁,4.25,6.05,4.318181818,4.15,6.526315789,2.326496784,12,7,3,7,4.380952381,6.05,4.181818182,4.15,6.526315789
趁,3.952380952,6.6,1.523809524,2.5,4.947368421,1.932368789,12,4,1,1,3.952380952,6.6,1.772727273,2.5,4.947368421
襲,5.095238095,5.9,3.727272727,3.4,3.105263158,2.273446235,23,6,4,2,5.090909091,5.9,3.818181818,3.4,3.105263158
存,3.7,6.842105263,2.909090909,3,NA,2.375919872,6,23,7,8,3.80952381,6.7,3,3,NA
架,3.85,6.894736842,4.954545455,3.8,5.944444444,2.340278232,9,17,6,4,3.714285714,6.75,4.727272727,3.8,5.736842105
遂,5.523809524,6,1.476190476,2.3,3.210526316,1.830482892,13,3,8,NA,5.523809524,6,1.727272727,2.3,3.210526316
念,3.25,6.631578947,4.090909091,2.7,5.789473684,2.418831993,8,11,1,1,3.428571429,6.35,4.045454545,2.7,5.789473684
句,2.666666667,6.944444444,3.272727273,3.7,NA,2.195684153,5,7,3,6,2.666666667,6.75,3.272727273,3.7,NA
慮,4.5,6.684210526,4.045454545,2.55,5.894736842,2.386432955,15,5,5,2,4.619047619,6.55,3.909090909,2.55,5.894736842
席,4.35,6.684210526,3.772727273,4.1,3.105263158,2.886294906,10,5,10,5,4.19047619,6.55,3.681818182,4.1,3.105263158
返,2.857142857,6.35,3.545454545,3.4,4.631578947,2.497268213,8,7,2,1,2.857142857,6.35,3.409090909,3.4,4.631578947
適,3.619047619,6.526315789,2.681818182,2.3,2.736842105,2.430782605,15,17,20,12,3.619047619,6.25,2.681818182,2.3,2.736842105
盟,5.142857143,6.4,4.227272727,3.75,3.315789474,2.245693481,13,8,1,3,5.142857143,6.4,4.090909091,3.75,3.315789474
遞,4.714285714,5.9,4.636363636,4.7,3.736842105,1.746198731,14,10,5,5,4.714285714,5.9,4.5,4.7,3.736842105
凳,4.095238095,5.75,6.19047619,5.9,NA,0.806887524,14,2,1,1,4.136363636,5.75,5.954545455,5.9,NA
鞏,5.6,5.736842105,2.772727273,2.45,NA,1.23217714,15,1,1,4,5.380952381,5.5,2.782608696,2.45,NA
遏,5.80952381,4.55,1.7,1.7368,3.105263158,0.969501709,13,4,2,4,5.80952381,4.55,2.181818182,1.9,3.105263158
脅,4.714285714,6.473684211,3.954545455,2.9,3.368421053,1.853675241,10,7,5,3,4.772727273,6.25,3.818181818,2.9,3.368421053
述,4.476190476,6.4,2.272727273,2.8,2.789473684,2.371504278,9,3,2,3,4.476190476,6.4,2.363636364,2.8,2.789473684
徒,4.5,6.263157895,2.863636364,2.55,3.736842105,2.173854953,10,15,13,2,4.363636364,6,2.772727273,2.55,3.736842105
曆,4.05,6.35,4.772727273,4.5,6.052631579,1.617567999,16,2,3,2,3.904761905,6.35,4.727272727,4.5,6.052631579
婆,2.333333333,6.65,5.904761905,5.05,6.666666667,2.126167127,11,6,0,6,2.333333333,6.65,5.409090909,5.05,6.473684211
迦,5.95,4.4,1.428571429,1.2105,1.666666667,0.318770885,8,0,5,3,5.714285714,4.4,1.727272727,1.4,1.842105263
恩,3.65,6.777777778,2.318181818,2.1053,6.157894737,2.287313699,10,12,8,4,3.523809524,6.5,2.454545455,2.35,6.157894737
劈,4.5,6.2,5.045454545,5.1579,6.526315789,1.082774484,15,3,0,3,4.333333333,6.2,5.304347826,4.95,6.526315789
憑,4.904761905,6.263157895,2,2.45,4.368421053,2.227462072,16,7,1,10,4.904761905,6,2.181818182,2.45,4.368421053
吝,5.380952381,5.7,3,2,NA,0.513036112,7,4,3,4,5.363636364,5.7,3,2,NA
盤,4,6.777777778,5.363636364,4.95,5.578947368,2.347269144,15,4,3,7,4,6.5,5.363636364,4.95,5.578947368
榮,4.047619048,6.684210526,2.772727273,3.1,3.578947368,2.303067344,14,7,0,2,4.047619048,6.55,2.909090909,3.1,3.578947368
滕,5.25,4.95,3.090909091,3.1,3,0.566555368,15,0,3,NA,5.047619048,4.95,2.909090909,3.1,3
逗,4.380952381,6.421052632,3.772727273,3.3,3,1.501858136,11,6,3,8,4.409090909,6.15,3.590909091,3.3,3
迅,4.19047619,6.1,2.545454545,2.1053,3.315789474,1.88440683,7,3,6,2,4.136363636,6.1,2.363636364,2.3,3.315789474
迄,6.631578947,4,2.818181818,1.7895,2.736842105,1.154217539,6,3,2,2,6.380952381,4,2.772727273,2.05,2.736842105
迷,3.857142857,6.842105263,3,3.2,3.315789474,2.536153583,10,18,1,6,3.857142857,6.7,3.090909091,3.2,3.315789474
熬,5.047619048,6.052631579,4.181818182,3.85,5.052631579,0.98177073,15,3,5,1,5.047619048,5.85,4,3.85,5.052631579
戴,3.619047619,6.736842105,4.136363636,4.45,NA,2.30771839,17,6,1,6,3.619047619,6.6,4.227272727,4.45,NA
勇,3.3,6.631578947,3.772727273,3.2,5.888888889,2.374991423,9,7,0,2,3.476190476,6.35,3.681818182,3.2,5.684210526
盆,3.666666667,6.2,5.904761905,5.5263,6.5,1.401187975,9,4,3,1,3.666666667,6.2,5.52173913,5.3,6.263157895
迂,6.15,4.7,2.227272727,2,3.894736842,0.56021519,7,2,5,7,6,4.7,2.260869565,2,3.894736842
遙,4.333333333,6.35,3.5,2.65,3.526315789,1.610799636,14,10,8,4,4.318181818,6.35,3.333333333,2.65,3.526315789
熟,3.75,6.894736842,4.181818182,4.45,5.315789474,2.254562265,15,9,5,1,3.619047619,6.8,3.954545455,4.45,5.315789474
逞,5.380952381,5,1.857142857,1.8947,3,0.893543902,11,6,2,NA,5.380952381,5,2.363636364,2.1,3
蠢,3.904761905,6.722222222,3.818181818,4.7,NA,1.198997989,21,4,0,4,3.909090909,6.35,3.625,4.7,NA
貧,3.75,6.736842105,3.818181818,4.25,6.111111111,1.832022642,11,5,2,6,3.857142857,6.6,3.727272727,4.25,5.842105263
慧,4.25,6.473684211,2.772727273,2.1053,NA,2.172765325,15,11,9,NA,4.090909091,6.2,2.772727273,2.35,NA
島,4.1,6.888888889,6.19047619,6.2632,NA,2.358286688,10,3,5,2,3.952380952,6.7,5.909090909,6.1,NA
鷹,3.80952381,6.2,6.090909091,6.3684,6.941176471,1.550527923,24,1,8,1,3.772727273,6.2,6,6.1,6.736842105
暫,3.714285714,6.736842105,2.772727273,2.9,3.157894737,2.346851804,15,6,1,0,3.714285714,6.6,2.909090909,2.9,3.157894737
閩,6.3,3.95,2.181818182,1.6316,2.947368421,0.596937997,14,2,6,2,6.142857143,3.95,2.260869565,1.85,2.947368421
禦,5.19047619,5.65,4.090909091,3.75,NA,1.077954296,16,2,16,1,5.19047619,5.65,3.909090909,3.75,NA
彎,3.380952381,6.789473684,5.636363636,5.1,4.052631579,1.642842184,22,4,1,4,3.380952381,6.65,5.590909091,5.1,4.052631579
趟,4.80952381,6.421052632,2.363636364,2.8,5.888888889,1.080852824,15,3,2,NA,4.80952381,6.25,2.454545455,2.8,5.684210526
繫,5.2,5.684210526,3.545454545,3.7,5.578947368,1.647568531,19,3,2,6,5,5.45,3.454545455,3.7,5.578947368
逢,4.19047619,6.684210526,2.454545455,2.8,3.157894737,2.078922623,11,6,2,2,4.19047619,6.55,2.363636364,2.8,3.157894737
