word_german,valence_mean,valence_sd,arousal_mean,arousal_sd,concrete_mean,concrete_sd,frequency,length,syllables,valence_mean_female,valence_sd_female,arousal_mean_female,arousal_sd_female,concrete_mean_female,concrete_sd_female,valence_mean_male,valence_sd_mean,arousal_mean_male,arousal_sd_mean,concrete_mean_male,concrete_sd_male
Angriff,4.140625,2.061493,5.857143,2.539095,6.126984,2.498335,10,7,2,4.30303,1.960307,5.21875,2.672855,6.4375,2.327085,3.967742,2.183024,6.516129,2.249014,5.806452,2.663574
Angst,3.095238,2.757478,7.078125,2.125467,7.629032,2.010088,8,5,1,3.181818,2.952272,7.212121,2.246631,7.875,1.862187,3,2.57307,6.935484,2.015531,7.366667,2.157319
Anhang,5.015625,0.983873,2.33871,1.889952,6.016129,2.790452,13,6,2,5.121212,0.92728,2.46875,1.900499,6.387097,2.654272,4.903226,1.044185,2.2,1.900998,5.645161,2.916029
Anker,4.903226,1.111928,2.548387,2.037979,1.269841,0.846365,13,5,2,5.03125,1.031265,2.774194,2.028295,1.28125,1.084625,4.766667,1.194335,2.322581,2.055677,1.258065,0.514311
Ankunft,5.453125,1.592938,2.209677,1.968082,6.222222,2.510908,11,7,2,5.393939,1.477739,2.419355,2.377312,6.6875,2.292168,5.516129,1.729566,2,1.460594,5.741936,2.670428
Anlass,5.390625,0.847352,2.825397,1.888332,7.063492,2.124155,10,6,2,5.363636,0.994302,2.8125,1.874059,7.28125,1.887726,5.419355,0.672022,2.83871,1.933852,6.83871,2.353675
Anlauf,5.125,0.723747,2.596774,1.796715,6.032258,2.449274,11,6,2,5.121212,0.780928,2.5,1.813925,6.354839,2.214323,5.129032,0.67042,2.7,1.803254,5.709677,2.660746
Anmut,6.285714,2.082404,5.546875,2.409832,7.983871,1.108713,14,5,2,6.393939,1.96754,5.666667,2.445234,8.0625,1.045343,6.166667,2.229633,5.419355,2.405192,7.9,1.184672
Anrecht,5.21875,1.50627,2.730159,2.411039,7.516129,2.02235,15,7,2,5.212121,1.192623,2.84375,2.477113,7.90625,1.855408,5.225807,1.80203,2.612903,2.375955,7.1,2.139127
Anreiz,6.112903,1.934203,4.84375,2.338218,7.285714,2.090135,12,6,2,6.1875,1.958233,4.848485,2.333469,7.59375,1.682153,6.033333,1.93842,4.83871,2.381831,6.967742,2.42877
Ansatz,5.0625,0.833333,2.048387,1.683356,6.66129,2.534636,11,6,2,5.030303,0.683961,2.0625,1.949979,6.774194,2.333948,5.096774,0.978258,2.033333,1.376736,6.548387,2.754859
Anschein,5.1875,0.794325,3.0625,1.926218,7.629032,1.821852,12,8,2,5.272727,0.910794,3.212121,2.011802,8.0625,1.105339,5.096774,0.650889,2.903226,1.850312,7.166667,2.290661
Anschlag,3.387097,2.363346,6.15873,2.610193,5.84127,2.515798,10,8,2,3.59375,2.460781,6.242424,2.750344,6.34375,2.417802,3.166667,2.275557,6.066667,2.490442,5.322581,2.548033
Ansporn,5.746032,1.534215,4.96875,2.442798,7.258065,2.304205,14,7,2,5.606061,1.297579,4.393939,2.474108,7.5,2.047816,5.9,1.768498,5.580645,2.29164,7,2.559634
Anstand,5.734375,1.545523,3.111111,1.976565,7.306452,1.980137,13,7,2,5.636364,1.365151,2.90625,1.855408,7.806452,1.536649,5.83871,1.733912,3.322581,2.10376,6.806452,2.257127
Antrieb,5.492064,1.941674,3.016129,2.012192,7.064516,2.023396,13,7,2,5.272727,1.940888,2.8125,1.767767,7.125,1.581139,5.733333,1.946408,3.233333,2.254243,7,2.435372
Anus,4.59375,1.779234,5.796875,2.583093,2.5,2.132881,17,4,2,4.272727,1.442063,5.575758,2.750344,2.6875,2.249552,4.935484,2.048341,6.032258,2.415007,2.3,2.01973
Anwalt,4.78125,1.578313,3,2.192362,3.412698,2.332346,10,6,2,4.757576,1.392621,2.6875,2.320143,3.65625,2.390969,4.806452,1.778002,3.322581,2.039397,3.16129,2.281765
Anzahl,5.126984,0.729385,2.33871,1.983072,6.770492,2.30502,10,6,2,5.0625,0.840027,2.548387,2.392192,7.225807,1.874561,5.193548,0.601074,2.129032,1.477429,6.3,2.628098
Anzug,5.390625,1.267634,2.868853,2.334348,2.064516,1.706986,11,5,2,5.272727,1.008487,2.322581,2.135214,2.3125,2.054696,5.516129,1.502686,3.433333,2.430884,1.8,1.214851
Apfel,5.71875,1.627821,3.578125,2.091591,1.206349,0.743981,13,5,2,5.636364,1.834022,3.848485,2.166812,1.125,0.491869,5.806452,1.400461,3.290323,2.003223,1.290323,0.937854
Applaus,6.241936,2.005611,5.079365,2.438281,5.603175,2.768135,11,7,2,6.28125,2.019811,4.939394,2.435921,5.75,2.565277,6.2,2.023994,5.233333,2.473073,5.451613,2.998207
Archiv,4.953125,0.880651,2.377049,1.942198,3.278689,2.5568939999999998,12,6,2,4.848485,1.064225,2.633333,2.266447,3.096774,2.481328,5.064516,0.629046,2.129032,1.565076,3.466667,2.661777
Ärger,3.359375,2.220876,6.206349,2.111098,7.967213,1.303421,10,5,2,3.545455,2.372906,6.30303,2.256724,8.322581,0.944708,3.16129,2.067152,6.1,1.971347,7.6,1.522249
Armut,3.53125,2.581797,5.770492,2.685724,7.126984,2.232401,10,5,2,3.606061,2.66856,5.5,2.862438,7.5625,1.998992,3.451613,2.527696,6.068966,2.491859,6.677419,2.399821
Arsch,4.203125,2.25501,6.90625,2.106066,2.274194,1.917729,14,5,1,3.848485,2.032874,6.454546,2.137331,2.21875,1.913186,4.580645,2.446415,7.387097,1.994616,2.333333,1.953482
Arznei,4.765625,1.659434,3.920635,2.431657,3.238095,2.407745,14,6,2,4.878788,1.653738,3.65625,2.585435,3.4375,2.589526,4.645161,1.684209,4.193548,2.271847,3.032258,2.228361
Ass,5.796875,2.296856,3.5,2.481679,4.064516,2.963554,16,3,1,5.454546,2.06293,3.909091,2.56617,4.03125,3.146779,6.16129,2.504619,3.064516,2.351389,4.1,2.808239
Ast,5.21875,1.030776,2.206349,1.705387,1.333333,0.567962,13,3,1,5.272727,1.2568,2.25,1.951013,1.28125,0.581121,5.16129,0.734701,2.16129,1.439833,1.387097,0.558416
Ästhet,6.015873,1.727314,4.111111,2.44363,5.761905,2.644009,16,6,2,6.060606,1.456438,4,2.44949,5.59375,2.447637,5.966667,2.008316,4.233333,2.473073,5.935484,2.862813
Asthma,3.634921,2.273988,4.25,2.416872,4.571429,3.057061,14,6,2,3.9375,2.395392,4.272727,2.490893,5.25,3.090047,3.322581,2.135214,4.225807,2.376407,3.870968,2.906796
Athlet,5.746032,1.759474,4.03125,2.481479,3.370968,2.477663,13,6,2,5.393939,1.694465,3.333333,2.071634,3.8125,2.644989,6.133333,1.775957,4.774194,2.692083,2.9,2.233754
Aufriss,5.046875,1.314506,3.444444,2.360821,6.095238,2.447608,18,7,2,5.151515,1.202113,3.1875,2.292168,6.3125,2.235166,4.935484,1.436094,3.709677,2.438491,5.870968,2.667607
Aufsatz,4.9375,0.852168,2.328125,1.727965,4.761905,2.662247,13,7,2,5.121212,0.92728,2.121212,1.916337,4.625,2.660948,4.741936,0.728823,2.548387,1.50197,4.903226,2.70006
Aufsicht,4.84375,1.335935,2.274194,1.71941,6.015873,2.648749,12,8,2,5.060606,1.170988,2.483871,2.014464,6.53125,2.409449,4.612903,1.475972,2.064516,1.364685,5.483871,2.81509
Aufstieg,6.1875,1.670234,3.640625,2.352757,6.095238,2.332894,10,8,2,5.939394,1.498737,3.181818,2.171614,6.03125,2.389282,6.451613,1.822795,4.129032,2.473081,6.16129,2.310798
Aufzug,5.125,0.934353,2.451613,1.626395,2.209677,1.856642,13,6,2,5,0.901388,2.46875,1.645804,2.21875,1.75489,5.258065,0.964978,2.433333,1.633345,2.2,1.989628
Ausflug,5.90625,1.761301,3.539683,2.408489,5.603175,2.574939,12,7,2,5.757576,2.106987,3.909091,2.504541,6.1875,2.263846,6.064516,1.314927,3.133333,2.270247,5,2.768875
Ausguck,5.5625,1.307791,3.112903,2.096874,3.790323,2.662041,17,7,2,5.090909,1.208399,3.15625,2.141892,4.25,2.884888,6.064516,1.23654,3.066667,2.083322,3.3,2.351082
Auskunft,5.203125,0.994903,2.435484,1.798186,6.435484,2.42677,10,8,2,5,0.968246,2.451613,1.99731,7,2,5.419355,0.992445,2.419355,1.607777,5.833333,2.717546
Autor,5.6875,1.467911,3.048387,2.0035,3.854839,2.540471,9,5,2,5.575758,1.541718,3.322581,2.166212,4.3125,2.705282,5.806452,1.400461,2.774194,1.820434,3.366667,2.296674
Baby,6.650794,2.616072,5.53125,2.519566,2.111111,1.597489,11,4,2,6.545455,2.634992,5.787879,2.368512,1.9375,1.216486,6.766667,2.635086,5.258065,2.682881,2.290323,1.918221
Bach,5.375,1.685607,3.238095,2.353544,2.031746,1.379203,11,4,1,5.454546,1.786948,3.625,2.756225,1.90625,1.399525,5.290323,1.595693,2.83871,1.809176,2.16129,1.368619
Bad,6.063492,1.785904,3.904762,2.786571,1.774194,1.31098,11,3,1,5.878788,1.89996,3.757576,2.883469,1.625,0.906962,6.266667,1.659525,4.066667,2.715642,1.933333,1.638615
Bagger,4.96875,0.853913,2.516129,1.870758,1.269841,0.573792,12,6,2,4.909091,0.522233,2.741936,2.081149,1.25,0.508001,5.032258,1.110071,2.290323,1.636939,1.290323,0.642576
Bahn,5.125,1.18857,2.806452,2.481662,1.612903,1.07665,9,4,1,4.969697,0.883348,2.387097,2.231254,1.4375,0.913607,5.290323,1.442071,3.225807,2.679673,1.8,1.214851
