word_chinese_simplified,translate_word_english,valence_mean,valence_sd,arousal_mean,arousal_sd,familiar_mean,familiar_sd,concrete_mean,concrete_sd,imagine_mean,imagine_sd,frequency_words_per_million,frequency_log,frequency_zipf,strokes_1st_character_n,strokes_2nd_character_n,strokes_total_n
公事,official business,2.81,0.48,2.15,1.25,4.16,0.64,3.91,0.95,3.52,1.44,8.35,2.45,3.39,4,8,12
氣息,breath,3.76,0.83,1.85,1.03,3.56,1.24,2.39,1.34,2.79,1.36,8.11,2.43,3.39,10,10,20
條款,terms,2.84,0.51,2.15,1,4.28,0.75,4.03,1.07,3.73,1.21,8.11,2.43,3.39,11,12,23
制度,system,2.94,0.44,2.09,1.26,4.27,0.74,4.06,0.85,3.36,1.14,8.11,2.43,3.39,8,9,17
猜想,guess,2.94,0.79,2.36,1.11,3.91,0.86,2.18,0.92,2.7,1.13,8.05,2.43,3.39,11,13,24
資產,assets,3.63,0.87,2.52,1.35,4.26,0.68,4.09,0.88,4.06,0.88,7.96,2.43,3.38,13,11,24
心意,kind gesture,4.09,0.84,2.76,1.28,4.29,0.74,2.48,1.18,3.09,1.18,7.9,2.42,3.38,4,13,17
言論,speech,3.06,0.44,2.36,1.39,4.26,0.82,3.42,1,3.24,1.23,7.84,2.42,3.38,7,15,22
利潤,profit,4.3,0.68,2.94,1.3,4.45,0.63,4.03,0.87,3.67,1.22,7.84,2.42,3.38,7,15,22
答覆,reply,3.52,0.67,2,0.97,4.41,0.61,3.67,1.24,3.79,1.24,7.75,2.42,3.38,12,12,24
詭計,guile,1.59,0.67,3.88,0.96,3.72,1.22,2.97,1.19,2.91,1.21,7.75,2.42,3.38,13,9,22
餘地,leeway,3.09,0.84,2.3,0.95,3.53,1.22,2.03,0.9,2.18,0.98,7.72,2.41,3.38,15,6,21
契約,contract,2.93,0.45,2.27,1.18,3.45,1.06,4.06,0.88,3.97,0.82,7.57,2.4,3.38,9,9,18
美夢,dream,4.75,0.44,3.12,1.47,4.39,0.67,2.88,1.49,4.03,0.92,7.51,2.4,3.38,9,14,23
好意,kindness,4.48,0.62,2.91,1.33,4.27,0.83,2.79,1.11,3.39,1.22,7.48,2.4,3.38,6,13,19
人心,human heart,2.82,1.07,2.94,1.3,3.55,1.12,2,0.92,1.94,0.91,7.48,2.4,3.38,2,4,6
比喻,metaphor,3.19,0.48,1.59,0.84,4.32,0.7,2.85,1.23,3.27,1.48,7.33,2.39,3.38,4,12,16
危害,harm,1.35,0.49,4,0.82,4.27,0.69,3.15,1.12,3.3,1.45,7.27,2.39,3.38,6,10,16
緣故,cause,3,0.56,2.12,1.05,4.03,0.87,2.28,0.85,2.39,1.2,7.27,2.39,3.38,15,9,24
誇獎,praise,4.45,0.62,3.3,1.31,4.32,0.7,3.39,1.17,3.61,1.32,7.27,2.39,3.38,13,15,28
默契,mutual understanding,4.39,0.75,2.67,1.43,4.31,0.66,2.58,1.37,2.97,1.29,7.24,2.39,3.38,16,9,25
往事,past,3.58,0.83,2.85,1.3,4.34,0.65,3.3,1.19,3.64,1.19,7.18,2.38,3.38,8,8,16
方位,direction,3,0,1.81,0.9,4.06,0.96,4.22,0.91,4.13,0.91,7.18,2.38,3.38,4,7,11
