word_portuguese,translate_word_english,imagine_mean,imagine_sd,concrete_mean,concrete_sd,frequency_s_mean,frequency_s_sd,length,syllables,syllabic_structure,pos,wordform_per_million_frequency,wordform_per_million_frequency_log10,frequency_zipf,orthographic_neighborhood_size,orthographic_levenshtein_distance
flor,flower,6.34,1.04,6.6,0.77,5.02,1.37,4,1,CCVC,N,13.327,1.156,4.125,2,1.6
floresta,forest,6.36,1.01,6.21,1,4.25,1.54,8,3,CCV.CVC.CV,N,24.095,1.4,4.382,2,1.7
florestal,forestry,5.41,1.38,5.12,1.88,3.74,1.36,9,3,CCV.CVC.CVC,ADJ,12.399,1.127,4.093,3,2.05
fluxo,flow,3.56,1.57,3.55,1.45,3.7,1.34,5,2,CCV.CV,N,10.079,1.045,4.003,0,1.75
foca,seal,5.53,1.89,6.64,0.89,2.86,0.96,4,2,CV.CV,"N,V",1.685,0.429,3.227,15,1
foco,focus,3.57,1.94,3.86,1.65,4.31,1.68,4,2,CV.CV,"N,V",12.883,1.143,4.11,14,1
fogão,stove,5.83,1.94,6.56,0.84,5.5,1.39,5,2,CV.CVV,N,2.648,0.562,3.423,3,1.8
fogo,fire,6.06,1.61,6.09,1.16,5.13,1.72,4,2,CV.CV,N,83.916,1.929,4.924,12,1.1
foguetão,rocketship,5.98,1.29,6.19,1.37,2.97,1.31,8,3,CV.CVV.CVV,N,6.82,0.893,3.834,0,2.75
foguete,rocket,5.95,1.24,6.24,1.04,3.36,1.21,7,3,CV.CVV.CV,N,1.417,0.383,3.151,1,2.35
fôlego,breath,4.02,1.91,3.68,1.78,3.64,1.18,6,3,CV.CV.CV,N,10.968,1.078,4.04,1,2.45
folha,leaf,5.97,1.79,6.25,1.02,6.32,0.93,5,2,CV.CCV,"N,V",18.784,1.296,4.274,13,1.15
folheto,leaflet,5.29,1.76,6.16,0.92,3.96,1.11,7,3,CV.CCV.CV,N,5.154,0.789,3.712,3,1.8
folho,frill,4.25,1.77,4.78,2,2.22,1.06,5,2,CV.CCV,N,0.049,0.021,1.689,11,1.3
fome,hunger,4.18,1.76,3.54,2,6.47,0.94,4,2,CV.CV,N,41.589,1.629,4.619,9,1.45
fonte,source,5.57,1.53,5.71,1.36,4.6,1.43,5,2,CVC.CV,N,151.607,2.184,5.181,5,1.65
força,force,4.84,1.67,3.37,1.69,5.6,1.24,5,2,CVC.CV,"N,V",197.94,2.299,5.297,8,1.35
forçado,forced,3.37,1.86,3.07,1.45,4.07,1.36,7,3,CVC.CV.CV,"ADJ,N,V",12.472,1.129,4.096,6,1.5
forma,shape,3.63,1.99,3.98,1.87,5.45,1.54,5,2,CVC.CV,"N,V",693.636,2.842,5.841,8,1.25
formação,formation,3.58,2.03,3.43,1.52,5.22,1.38,8,3,CVC.CV.CVV,N,197.681,2.298,5.296,2,1.9
formal,formal,3.4,1.84,3.5,1.65,4.53,1.17,6,2,CVC.CVC,"ADJ,N",32.463,1.525,4.511,7,1.55
formato,format,3.27,1.79,3.72,1.57,4.52,1.5,7,3,CVC.CV.CV,"N,V",17.832,1.275,4.251,3,1.8
formiga,ant,5.89,1.48,6.49,0.86,4.07,1.29,7,3,CVC.CV.CV,"N,V",1.7,0.431,3.231,2,1.7
formoso,handsome,4.08,1.8,3.28,1.58,2.98,1.28,7,3,CVC.CV.CV,ADJ,1.407,0.382,3.148,2,1.8
fórmula,formula,4.27,1.79,4.36,1.92,4.64,1.24,7,3,CVC.CV.CV,N,45.395,1.667,4.657,1,2.3
fornecimento,supply,3.17,1.71,3.52,1.41,3.97,1.28,12,5,CVC.CV.CV.CVC.CV,N,19.649,1.315,4.293,0,3.05
forno,oven,5.36,2.02,6.44,0.93,4.84,1.15,5,2,CVC.CV,N,9.864,1.036,3.994,7,1.5
forte,strong,4.69,1.93,4.3,1.99,5.3,1.37,5,2,CVC.CV,"ADJ,ADV,N",186.909,2.274,5.272,14,1.25
fortuna,fortune,5,1.79,4.12,1.85,3.78,1.27,7,3,CVC.CV.CV,N,13.772,1.169,4.139,0,2.3
fórum,forum,4.3,1.76,3.86,1.57,4.19,1.52,5,2,CV.CVC,N,39.019,1.602,4.591,0,2.4
fotografia,photograph,6.16,1.08,6.56,0.74,5.36,1.28,10,5,CV.CV.CCV.CV.V,N,48.634,1.696,4.687,1,1.85
fotográfico,photographic,4.8,1.98,4.53,1.65,4.21,1.59,11,5,CV.CV.CCV.CV.CV,ADJ,4.793,0.763,3.681,2,2.2
fotógrafo,photographer,6.24,0.98,6.21,0.92,4.12,1.18,9,4,CV.CV.CCV.CV,N,11.539,1.098,4.062,3,2.05
fracasso,failure,3.28,1.57,3.59,1.95,3.64,1.12,8,3,CCV.CVC.CV,"N,V",21.408,1.35,4.331,2,2.25
fraco,weak,3.31,1.68,2.9,1.78,4.82,1.39,5,2,CCV.CV,"ADJ,N",21.222,1.347,4.327,2,1.7
fragância,fragrance,4.84,1.55,3.79,1.92,3.53,1.42,9,3,CCV.CVC.CVV,N,0.02,0.008,1.29,0,2.65
frágil,frail,3.7,1.94,3.82,1.86,4.59,1.5,6,2,CCV.CVC,ADJ,14.07,1.178,4.148,0,2.55
fragmento,fragment,4.03,1.86,4.32,1.76,3.53,1.23,9,3,CCVC.CVC.CV,"N,V",3.117,0.615,3.494,2,2.35
francês,French,4.24,1.83,4.14,2.07,3.74,1.19,7,2,CCVC.CVC,"ADJ,N",151.397,2.183,5.18,2,1.9
franco,frank,3.27,1.8,2.84,1.45,3.64,1.52,6,2,CCVC.CV,"ADJ,N",14.988,1.204,4.176,6,1.6
franja,fringe,5.44,1.82,5.44,1.55,4.02,1.61,6,2,CCVC.CV,"N,V",2.081,0.489,3.318,5,1.7
fraqueza,weakness,3.79,1.87,3.4,1.97,4.59,1.56,8,3,CCV.CVV.CV,N,9.678,1.029,3.986,2,1.9
frasco,jar,5.59,1.89,6.57,0.79,5.13,1.28,6,2,CCVC.CV,N,1.988,0.475,3.299,3,1.7
frase,sentence,4.98,1.91,4.4,2.03,6.04,1.1,5,2,CCV.CV,N,39.024,1.602,4.591,4,1.65
fraude,fraud,3.57,1.75,3.7,1.82,4.1,1.55,6,2,CCVV.CV,N,18.281,1.285,4.262,1,1.85
freira,nun,6,1.49,6.2,1.18,3.18,1.18,6,2,CCVV.CV,N,2.164,0.5,3.335,3,1.6
frenético,frantic,3.23,1.68,3.07,1.76,3.29,1.15,9,4,CCV.CV.CV.CV,ADJ,2.194,0.504,3.341,1,2.55
frente,front,4.37,1.97,3.91,1.86,5.98,1.12,6,2,CCVC.CV,N,343.078,2.537,5.535,2,1.7
frequência,frequency,3.36,1.77,3.35,1.74,5.25,1.31,10,3,CCV.CVVC.CVV,N,34.085,1.545,4.533,0,3.15
frequente,frequent,3.13,1.91,3.59,1.97,5.49,1.3,9,3,CCV.CVVC.CV,"ADJ,V",15.545,1.219,4.192,2,1.95
fresco,fresh,4.21,1.87,4.09,1.6,5.59,1.17,6,2,CCVC.CV,"ADJ,N",13.039,1.147,4.115,2,1.75
frigideira,frying pan,5.47,2.16,6.7,0.63,5,1.34,10,4,CCV.CV.CVV.CV,N,1.217,0.346,3.085,0,2.85
frigorífico,refrigerator,6.37,1.19,6.73,0.52,6.4,0.93,11,5,CCV.CV.CV.CV.CV,N,4.011,0.7,3.603,1,3.35
frio,cold,4.84,1.74,4.47,2.04,6.09,0.94,4,2,CCV.V,"ADJ,N",33.211,1.534,4.521,5,1.35
fronteira,border,4.43,1.74,3.83,1.81,3.63,1.18,9,3,CCVC.CVV.CV,"ADJ,N",59.064,1.779,4.771,1,1.95
frota,fleet,4.66,2.06,4.96,1.78,2.53,0.9,5,2,CCV.CV,N,20.714,1.337,4.316,6,1.6
frouxo,slack,3.32,1.71,3.14,1.69,2.04,0.91,6,2,CCVV.CV,"ADJ,N",0.845,0.266,2.927,3,1.75
frustração,frustration,3.55,1.75,2.86,1.73,4.4,1.45,10,3,CCVC.CCV.CVV,N,8.823,0.992,3.946,0,2.8
frustrado,frustrated,3.5,1.71,2.91,1.71,4.26,1.53,9,3,CCVC.CCV.CV,"ADJ,N,V",3.132,0.616,3.496,1,1.8
fruta,fruit,6.25,1.24,6.26,1.17,6.41,0.7,5,2,CCV.CV,"N,V",9.722,1.03,3.988,8,1.5
fruto,fruit,5.96,1.38,6.31,0.77,5.71,1.34,5,2,CCV.CV,"N,V",24.427,1.405,4.388,3,1.75
fuga,escape,3.94,1.86,3.68,1.74,3.95,1.55,4,2,CV.CV,N,47.251,1.684,4.674,13,1.05
fugidio,fleeting,2.92,1.82,3.07,1.6,2.26,1.2,7,4,CV.CV.CV.V,ADJ,0.366,0.136,2.564,1,2.05
fumo,smoke,6.22,1.01,6.19,0.99,5.28,1.42,4,2,CV.CV,"N,V",17.084,1.257,4.233,9,1.45
funcionário,employee,5.13,1.95,5.63,1.25,5.45,1.29,11,5,CVC.CV.V.CV.CVV,N,39.156,1.604,4.593,1,2.65
fundação,foundation,3.41,1.89,3.45,1.75,4.02,1.41,8,3,CVC.CV.CVV,N,40.373,1.617,4.606,2,2.15
fundamental,fundamental,2.77,1.5,3.05,1.79,5.35,1.27,11,4,CVC.CV.CVC.CVC,ADJ,74.125,1.876,4.87,2,2.1
fundamento,foundation,2.39,1.4,3.1,1.74,4.72,1.5,10,4,CVC.CV.CVC.CV,"N,V",13.62,1.165,4.134,2,1.85
fundo,bottom,4.35,1.65,3.49,1.78,4.77,1.44,5,2,CVC.CV,"ADJ,N,V",163.337,2.216,5.213,9,1.3
funeral,funeral,5.19,1.85,5.21,1.83,2.98,1.07,7,3,CV.CV.CVC,"ADJ,N",12.619,1.134,4.101,0,2.65
fungo,fungus,4.94,1.89,5.62,1.64,3.09,1.07,5,2,CVC.CV,"N,V",0.816,0.259,2.912,5,1.65
funil,funnel,5.13,2.11,6.3,1.09,3.14,1.17,5,2,CV.CVC,N,0.875,0.273,2.942,2,1.9
furacão,hurricane,5.45,1.86,5.02,1.87,3.2,1.19,7,3,CV.CV.CVV,N,2.692,0.567,3.43,2,1.95
furão,ferret,4.72,2.26,4.73,2.05,2.61,1.37,5,2,CV.CVV,N,0.176,0.07,2.245,4,1.7
furgão,freight car,3.78,2.12,5.23,2.13,1.86,1.02,6,2,CVC.CVV,N,0.445,0.16,2.648,0,1.95
fúria,fury,4.16,1.83,3.62,1.72,3.68,1.36,5,2,CV.CVV,N,11.495,1.097,4.061,5,1.65
furioso,furious,4.45,1.83,3.49,1.75,4.59,1.14,7,4,CV.CV.V.CV,"ADJ,N",4.03,0.702,3.605,2,2
furto,theft,4.43,1.8,3.96,1.93,3.28,1.71,5,2,CVC.CV,"N,V",11.51,1.097,4.061,6,1.55
fusão,fusion,3.8,2.14,3.34,1.68,3.32,1.27,5,2,CV.CVV,N,28.281,1.467,4.452,3,1.7
futebol,football,6.17,1.17,5.58,1.51,5.38,1.41,7,3,CV.CV.CVC,N,228.913,2.362,5.36,0,3
futebolista,football player,6.56,0.82,6.31,0.93,4.83,1.42,11,5,CV.CV.CV.CVC.CV,"ADJ,N",16.107,1.233,4.207,0,3.45
futuro,future,3.67,2.09,3.27,2.04,5.74,1.23,6,3,CV.CV.CV,"ADJ,N,V",268.606,2.431,5.429,2,1.8
fuzil,gun,3.33,2.24,4.43,2.12,1.69,0.91,5,2,CV.CVC,N,0.117,0.048,2.069,2,1.8
gado,cattle,6.02,1.42,6.12,1.09,3.17,1.02,4,2,CV.CV,N,18.398,1.288,4.265,15,1.15
gafanhoto,grasshopper,5.51,1.92,6.55,1.06,2.93,1.02,9,4,CV.CV.CCV.CV,N,0.215,0.085,2.332,0,3.25
gaio,jay,4.05,2.27,4.9,2.12,2.35,1.36,4,2,CVV.V,"ADJ,N",0.166,0.067,2.22,19,1
gaiola,cage,6.05,1.47,6.4,0.92,3.72,1.58,6,3,CVV.V.CV,N,1.925,0.466,3.284,0,1.95
gaivota,seagull,6.03,1.59,6.54,0.91,3.57,1.27,7,3,CVV.CV.CV,N,0.879,0.274,2.944,0,2.25
gala,gala,4.78,1.89,4.39,1.84,3.23,1.2,4,2,CV.CV,"N,V",7.538,0.931,3.877,26,1
galé,galley,2.97,2.02,3.83,1.95,1.48,0.7,4,2,CV.CV,N,0.244,0.095,2.388,7,1.6
galeria,gallery,4.82,1.59,5.24,1.71,3.65,1.37,7,4,CV.CV.CV.V,N,27.221,1.451,4.435,1,1.75
galinha,chicken,6.45,0.92,6.61,0.78,4.51,1.24,7,3,CV.CV.CCV,N,5.643,0.822,3.752,7,1.55
galinhola,woodcock,4.45,2.03,4.73,1.89,1.87,1.11,9,4,CV.CV.CCV.CV,N,0.078,0.033,1.893,0,2.75
galo,cock,5.97,1.66,6.37,1.26,3.71,1.34,4,2,CV.CV,"ADJ,N,V",3.576,0.661,3.553,22,1
gama,gamma,2.46,1.33,3.41,1.68,3.57,1.57,4,2,CV.CV,"N,V",1.002,0.301,3.001,18,1
gancho,hook,5.48,1.82,5.91,1.65,3.71,1.67,6,2,CVC.CCV,N,0.997,0.3,2.999,5,1.55
ganga,denim,6.07,1.42,6,1.28,5.43,1.23,5,2,CVC.CV,N,2.765,0.576,3.442,13,1.15
gangrena,gangrene,3.59,2.37,4.29,2.22,1.57,0.77,8,3,CVC.CCV.CV,"N,V",0.762,0.246,2.882,1,2.25
ganho,gain,3.78,1.86,3.75,1.81,5.1,1.31,5,2,CV.CCV,"N,V",31.789,1.516,4.502,10,1.2
ganso,goose,6.08,1.33,6.58,0.85,2.89,1.19,5,2,CVC.CV,N,0.572,0.196,2.757,4,1.7
garantia,guarantee,3.2,1.99,3.32,2.03,4.07,1.41,8,4,CV.CVC.CV.V,"N,V",51.023,1.716,4.708,3,1.55
garfo,fork,4.89,2.31,6.78,0.46,6.31,0.94,5,2,CVC.CV,"N,V",1.348,0.371,3.13,3,1.75
garganta,gullet,5.3,1.84,6.14,0.99,4.72,1.26,8,3,CVC.CVC.CV,N,6.498,0.875,3.813,0,2.25
garnisé,bantam chicken,4.22,2.29,5.21,2.23,1.88,1.03,7,3,CVC.CV.CV,N,0.034,0.015,1.534,0,2.9
garoupa,white grouper,3.94,2.05,5.09,1.91,1.94,0.81,7,3,CV.CVV.CV,N,0.503,0.177,2.702,0,2.45
garrafa,bottle,6.03,1.43,6.65,0.83,6.22,0.85,7,3,CVC.CV.CV,N,10.43,1.058,4.018,4,1.7
gasolina,petrol,4.98,2.12,6.39,0.79,5.3,1.43,8,4,CV.CV.CV.CV,N,21.422,1.351,4.331,0,2.75
gasto,worn,3.28,1.68,3.32,1.72,5.61,1.25,5,2,CVC.CV,"ADJ,N,V",11.446,1.095,4.059,11,1.25
gástrico,gastric,3.41,2.04,3.97,2.03,2.68,0.94,8,3,CVC.CCV.CV,ADJ,0.298,0.113,2.474,1,2.7
gato,cat,6.42,1.06,6.79,0.55,5.6,1.36,4,2,CV.CV,N,11.012,1.08,4.042,21,1
gatuno,prowler,4.41,1.99,4.73,1.55,4.11,1.73,6,3,CV.CV.CV,"N,V",0.445,0.16,2.648,1,1.9
gaveta,drawer,5.37,1.96,6.48,0.87,5.34,1.46,6,3,CV.CV.CV,N,7.533,0.931,3.877,4,1.75
gavião,sparrow-hawk,4.38,2.13,4.82,2.31,1.88,0.94,6,3,CV.CV.VV,N,0.85,0.267,2.93,0,1.95
gazela,gazelle,6.09,1.17,6.32,1.19,2.43,0.92,6,3,CV.CV.CV,N,0.327,0.123,2.515,4,1.75
gel,gel,5.37,1.56,5.81,1.33,3.95,1.51,3,1,CVC,N,1.324,0.366,3.122,3,1.65
gelado,ice cream,6.27,1.06,6.4,0.81,4.79,1.42,6,3,CV.CV.CV,"ADJ,N,V",3.62,0.665,3.559,8,1.35
gelatina,jelly,6.16,1.42,6.46,0.79,4.11,1.53,8,4,CV.CV.CV.CV,N,0.889,0.276,2.949,0,2.35
geleia,marmalade,5.29,1.82,5.79,1.5,3.51,1.65,6,3,CV.CVV.V,N,0.562,0.194,2.75,4,1.65
geleira,icebox,5.07,2.02,6.08,1.12,2.77,1.45,7,3,CV.CVV.CV,N,0.078,0.033,1.893,1,1.85
gelo,ice,5.93,1.45,5.89,1.23,4.52,1.26,4,2,CV.CV,"N,V",13.327,1.156,4.125,16,1
gémeo,twin,5.29,1.78,5.79,1.2,3.81,1.47,5,2,CV.CVV,"ADJ,N",1.554,0.407,3.191,1,1.9
gene,gene,4.2,2.03,4.37,2.11,3.18,1.54,4,2,CV.CV,N,10.929,1.077,4.039,7,1.5
género,gender,3.48,1.62,3.07,1.71,5.21,1.22,6,3,CV.CV.CV,N,64.306,1.815,4.808,0,2.5
generoso,lavish,3.9,1.81,3.68,1.83,4.64,1.52,8,4,CV.CV.CV.CV,ADJ,6.092,0.851,3.785,1,2.4
genial,ingenious,3.45,1.83,3.14,1.77,4.3,1.45,6,3,CV.CV.VC,ADJ,7.284,0.918,3.862,1,1.9
génio,genius,4.71,1.89,3.93,1.92,4.29,1.38,5,2,CV.CVV,N,15.829,1.226,4.199,0,1.95
gente,people,5.27,1.61,4.9,1.86,6.19,1.15,5,2,CVC.CV,N,217.76,2.34,5.338,8,1.4
gentil,gentle,3.83,1.84,3.31,1.88,4.4,1.61,6,2,CVC.CVC,ADJ,3.219,0.625,3.508,3,1.85
genuíno,genuine,3.26,1.79,2.92,1.73,3.77,1.43,7,4,CV.CV.V.CV,ADJ,3.781,0.68,3.578,1,2.7
geração,generation,3.64,1.82,3.43,1.71,4.36,1.4,7,3,CV.CV.CVV,N,54.921,1.748,4.74,2,1.9
geral,general,2.6,1.81,2.32,1.25,6.05,1,5,2,CV.CVC,"ADJ,N",273.179,2.438,5.436,6,1.65
germes,germs,4.54,1.81,4.64,1.89,3.09,1.15,6,2,CVC.CVC,N,0.762,0.246,2.882,1,1.8
gestão,management,3.19,1.75,4.12,1.74,5.11,1.34,6,2,CVC.CVV,N,168.002,2.228,5.225,1,1.85
gesto,gesture,4.8,1.68,4.31,1.88,4.65,1.45,5,2,CVC.CV,N,36.953,1.579,4.568,10,1.35
gestor,manager,4.21,1.85,5.32,1.36,4.53,1.62,6,2,CVC.CVC,N,16.063,1.232,4.206,1,1.85
gigante,giant,5.66,1.38,4.42,1.78,4.71,1.71,7,3,CV.CVC.CV,"ADJ,N",18.066,1.28,4.257,1,1.85
ginasta,gymnast,5.17,1.91,5.89,1.21,3.24,1.22,7,3,CV.CVC.CV,N,0.865,0.271,2.937,0,2.25
ginja,morello cherry,4.88,2.15,6.02,1.49,2.74,1.18,5,2,CVC.CV,N,0.103,0.042,2.011,4,1.75
girafa,giraffe,5.62,2.08,6.62,0.78,3.07,1.25,6,3,CV.CV.CV,N,0.425,0.154,2.628,3,1.75
girassol,sunflower,5.92,1.44,6.46,0.86,2.8,0.9,8,3,CV.CVC.CVC,N,1.783,0.445,3.251,0,2.85
giro,cute,4.81,1.9,3.48,1.94,5.58,1.13,4,2,CV.CV,"ADJ,N,V",2.516,0.546,3.401,12,1.25
giz,chalk,5.55,2.02,6.73,0.59,3.71,1.6,3,1,CVC,N,0.757,0.245,2.879,5,1.7
glaciar,glacier,5.19,1.87,6.05,1.12,2.67,0.85,7,3,CCV.CV.VC,N,0.86,0.27,2.934,1,2.3
global,global,3.84,2.09,3.72,2.06,4.68,1.61,6,2,CCV.CVC,ADJ,83.198,1.925,4.92,0,2.3
glória,glory,4.1,2.16,3.46,2.01,3.73,1.38,6,2,CCV.CVV,N,19.234,1.306,4.284,1,1.95
goiaba,guava,5.28,2.07,6.71,0.56,2.3,0.94,6,3,CVV.V.CV,N,0.054,0.023,1.73,0,1.95
golfe,golf,5.27,2.2,5.36,1.91,2.86,1.23,5,2,CVC.CV,"N,V",20.89,1.34,4.32,3,1.65
golfinho,dolphin,6.38,1.11,6.51,0.92,2.91,0.93,8,3,CVC.CV.CCV,N,1.314,0.364,3.119,1,1.85
golo,goal,5.95,1.42,5.79,1.47,4.54,1.4,4,2,CV.CV,N,103.731,2.02,5.016,18,1
golpe,coup,4.63,1.94,4.32,1.62,3.63,1.39,5,2,CVC.CV,N,48.389,1.694,4.685,1,1.85
goraz,red sea bream,3,1.71,3.41,2.15,1.42,0.65,5,2,CV.CVC,N,0.23,0.09,2.361,3,1.8
gordo,fat,5.88,1.46,5.27,2.05,5.86,1.29,5,2,CVC.CV,"ADJ,N",4.465,0.738,3.65,6,1.5
gordura,blubber,4.56,1.8,5.29,1.41,5.43,1.42,7,3,CVC.CV.CV,N,4.558,0.745,3.659,1,2.2
gorila,gorilla,5.48,2.15,6.71,0.63,2.93,1.26,6,3,CV.CV.CV,N,0.581,0.199,2.765,0,1.85
gótico,gothic,5.02,2.05,4.43,2.01,2.43,0.9,6,3,CV.CV.CV,"ADJ,N",1.256,0.353,3.099,2,1.85
governação,governance,3.59,2.07,3.55,1.65,4.36,1.94,10,4,CV.CVC.CV.CVV,N,12.169,1.12,4.085,1,2.8
governador,governor,4.55,2.21,5.39,1.45,3.57,1.46,10,4,CV.CVC.CV.CVC,"ADJ,N",59.191,1.78,4.772,1,2.4
governante,governing,4.52,1.82,5.02,1.91,4.18,1.94,10,4,CV.CVC.CVC.CV,"ADJ,N",19.4,1.31,4.288,1,2.55
governo,government,4.53,1.89,4.28,1.77,5.91,1.18,7,3,CV.CVC.CV,"N,V",847.955,2.929,5.928,2,1.95
gozo,enjoyment,3.71,1.82,2.56,1.23,5.14,1.23,4,2,CV.CV,"N,V",8.911,0.996,3.95,10,1.3
graça,grace,3.52,1.83,3.05,1.77,5.25,1.37,5,2,CCV.CV,N,28.149,1.465,4.45,10,1.4
gráfico,graphic,6.09,1.2,5.07,1.57,4.9,1.45,7,3,CCV.CV.CV,"ADJ,N",9.829,1.035,3.993,2,1.9
gralha,jackdaw,3.85,1.95,4.05,1.97,2.79,1.31,6,2,CCV.CCV,"N,V",1.138,0.33,3.056,3,1.65
granada,grenade,5.61,2.06,6.25,1.13,2.75,1,7,3,CCV.CV.CV,N,5.97,0.843,3.776,4,1.7
grande,big,4.6,2.02,4.68,1.9,6.35,0.97,6,2,CCVC.CV,"ADJ,N",809.585,2.909,5.908,2,1.75
grandeza,greatness,4.09,1.89,3.45,2.27,4.14,1.38,8,3,CCVC.CV.CV,N,13.298,1.155,4.124,0,2.65
grandioso,imposing,3.76,2.05,3.5,1.67,3.79,1.47,9,4,CCVC.CV.V.CV,ADJ,2.516,0.546,3.401,1,2.5
granito,granite,5.75,1.74,6.21,1.11,2.88,0.95,7,3,CCV.CV.CV,N,5.853,0.836,3.767,3,1.75
grão,chick-pea,5.75,1.45,6.05,1.11,3.48,1.13,4,1,CCVV,N,5.789,0.832,3.763,1,1.85
gratidão,gratitude,3.65,1.95,2.86,1.7,3.75,1.41,8,3,CCV.CV.CVV,N,3.855,0.686,3.586,0,2.85
grato,thankful,3.07,1.81,3,1.87,4.13,1.65,5,2,CCV.CV,ADJ,2.34,0.524,3.369,9,1.4
gratuito,gratuitous,3.84,2.02,3.48,1.96,5.13,1.28,8,3,CCV.CVV.CV,ADJ,7.773,0.943,3.891,1,2.35
grau,grade,3.26,2.02,3.38,2.09,4.79,1.44,4,1,CCVV,N,41.858,1.632,4.622,1,1.85
gravata,tie,5.56,2.01,6.74,0.56,4.05,1.57,7,3,CCV.CV.CV,N,6.825,0.894,3.834,6,1.65
grave,serious,3.61,1.89,3.46,1.77,5.32,1.37,5,2,CCV.CV,"ADJ,N,V",87.966,1.949,4.944,8,1.4
gravidade,gravity,3.73,1.84,3.37,2.12,4.03,1.43,9,4,CCV.CV.CV.CV,N,28.408,1.469,4.453,2,2.25
gravidez,pregnancy,5.83,1.54,5.71,1.41,3.43,1.27,8,3,CCV.CV.CVC,N,16.962,1.254,4.23,0,2.6
gravilha,gravel,4.14,2.06,5.16,1.72,2.27,0.85,8,3,CCV.CV.CCV,N,0.415,0.151,2.618,0,2.15
gravura,engraving,4.65,1.9,5.43,1.52,3.11,1.36,7,3,CCV.CV.CV,N,3.708,0.673,3.569,2,1.85
graxa,grease,4.42,2.05,4.86,1.86,4.37,1.47,5,2,CCV.CV,N,0.396,0.145,2.597,8,1.55
grelha,grid,4.67,1.96,5.27,1.71,4.09,1.35,6,2,CCV.CCV,"N,V",16.605,1.246,4.22,5,1.45
grelhador,barbecue,6.07,1.41,6.55,0.71,4.02,0.98,9,3,CCV.CCV.CVC,N,0.191,0.076,2.28,1,2.25
greve,strike,4.59,1.77,4.25,1.82,4.36,1.42,5,2,CCV.CV,N,95.225,1.983,4.979,4,1.75
grilo,cricket,5.86,1.42,6.3,1.16,3.22,1.14,5,2,CCV.CV,N,1.769,0.442,3.248,8,1.55
grito,scream,5.23,1.74,4.35,2.1,4.71,1.33,5,2,CCV.CV,"N,V",12.477,1.13,4.096,7,1.45
groselha,red currant,5.38,1.85,6.16,1.28,3.32,1.55,8,3,CCV.CV.CCV,N,0.147,0.059,2.166,0,2.8
grosseiro,coarse,3.62,1.74,3.24,1.58,3.58,1.15,9,3,CCVC.CVV.CV,"ADJ,N",2.086,0.489,3.319,1,2.65
grosso,thick,4.81,1.83,4.67,1.64,4.63,1.33,6,2,CCVC.CV,"ADJ,ADV,N",11.725,1.105,4.069,2,1.8
grupo,group,5.75,1.14,4.81,1.68,6.09,1.01,5,2,CCV.CV,N,540.451,2.734,5.733,1,1.85
guarda,guard,5.23,1.73,5.14,1.69,5.02,1.62,6,2,CVVC.CV,"N,V",64.35,1.815,4.809,2,1.6
guerra,war,5.62,1.51,5.28,1.53,4.61,1.34,6,2,CVVC.CV,N,303.883,2.484,5.483,2,1.85
guerrilha,guerrilla,4.33,1.93,3.81,1.66,2.53,1.23,9,3,CVVC.CV.CCV,N,22.087,1.363,4.344,1,2.7
gueto,ghetto,4.37,2.13,4.55,1.9,1.91,0.95,5,2,CVV.CV,N,1.617,0.418,3.209,1,1.9
guia,guide,4.27,1.73,5.02,1.69,3.71,1.57,4,2,CVV.V,"ADJ,N,V",19.986,1.322,4.301,8,1.2
guião,script,4.77,1.66,5.39,1.23,3.78,1.33,5,2,CVV.VV,N,5.345,0.802,3.728,2,1.85
guilhotina,guillotine,5.23,2.05,5.8,1.54,2.02,0.73,10,4,CVV.CCV.CV.CV,"N,V",0.923,0.284,2.965,0,3.2
guincho,shriek,3.76,1.99,4.36,1.86,2.73,1.19,7,2,CVVC.CCV,N,2.775,0.577,3.443,1,2.05
guitarra,guitar,5.92,1.51,6.76,0.51,4.71,1.59,8,3,CVV.CVC.CV,N,23.279,1.385,4.367,0,2.5
guloso,greedy,4.76,1.68,4.16,1.82,4.98,1.54,6,3,CV.CV.CV,"ADJ,N",0.552,0.191,2.742,1,1.9
habilidade,skill,3.25,1.61,3.14,1.6,4.54,1.22,10,5,CV.CV.CV.CV.CV,N,6.879,0.896,3.838,1,2.2
habilidoso,skilful,3.89,1.84,3.63,1.77,4.21,1.44,10,5,CV.CV.CV.CV.CV,"ADJ,N",0.694,0.229,2.841,1,3.15
habitação,housing,5.84,1.23,5.95,1.22,4.8,1.34,9,4,CV.CV.CV.CVV,N,63.549,1.81,4.803,1,2.3
habitante,inhabitant,4.6,1.86,4.9,1.82,4.33,1.47,9,4,CV.CV.CVC.CV,N,7.567,0.933,3.879,0,2.55
hábito,habit,3.2,1.83,3.76,1.6,5.39,1.19,6,3,CV.CV.CV,N,20.948,1.341,4.321,2,1.85
habitual,usual,3.11,1.74,2.88,1.25,5.44,1.27,8,4,CV.CV.CV.VC,ADJ,57.002,1.763,4.756,4,1.75
hambúrguer,hamburger,6.19,1.41,6.62,0.62,4.74,1.36,10,3,CVC.CVC.CVVC,N,0.02,0.008,1.29,0,3.85
harpa,harp,5.4,1.99,6.04,1.55,2.13,1.03,5,2,CVC.CV,N,2.198,0.505,3.342,3,1.7
