word_portuguese,translate_word_english,imagine_mean,imagine_sd,concrete_mean,concrete_sd,frequency_s_mean,frequency_s_sd,length,syllables,syllabic_structure,pos,wordform_per_million_frequency,wordform_per_million_frequency_log10,frequency_zipf,orthographic_neighborhood_size,orthographic_levenshtein_distance
engano,deceit,2.58,1.39,2.84,1.7,5.02,1.37,6,3,VC.CV.CV,"N,V",8.97,0.999,3.953,4,1.65
engenheiro,engineer,5.06,1.94,5.3,1.51,4.81,1.59,10,4,VC.CV.CCVV.CV,N,25.907,1.43,4.413,1,3
engenho,wit,4.16,1.64,4,1.96,2.95,1.22,7,3,VC.CV.CCV,N,9.922,1.038,3.997,1,2.1
engraçado,funny,4.21,1.74,3.8,1.86,5.71,1.22,9,4,VC.CCV.CV.CV,"ADJ,N,V",4.573,0.746,3.66,3,1.75
engrenagem,gear,3.66,1.95,4.38,2,2.77,1.24,10,4,VC.CCV.CV.CVC,N,2.238,0.51,3.35,0,2.9
enguia,eel,5.86,1.42,6.34,1.13,2.5,0.99,6,3,VC.CVV.V,N,0.655,0.219,2.816,3,1.8
enjoado,seasick,4.03,1.97,3.53,1.72,4.3,1.4,7,4,VC.CV.V.CV,"ADJ,V",0.235,0.092,2.37,2,1.8
enorme,huge,4.62,1.79,4.05,1.65,5.42,1.49,6,3,V.CVC.CV,ADJ,91.234,1.965,4.96,0,1.9
ensaio,rehearsal,4.16,1.92,3.54,1.8,4.53,1.64,6,3,VC.CVV.V,"N,V",23.733,1.393,4.375,3,1.75
enseada,cove,3.49,2.13,3.59,1.81,1.91,0.91,7,4,VC.CV.V.CV,N,0.64,0.215,2.806,2,1.75
ensinamento,teaching,3.87,1.83,3.19,1.74,3.5,1.75,11,5,VC.CV.CV.CVC.CV,N,0.855,0.268,2.932,0,2.5
ensino,education,3.57,1.92,3.92,1.82,5.1,1.37,6,3,VC.CV.CV,"N,V",171.842,2.238,5.235,3,1.75
entediante,tedious,3.3,1.75,2.79,1.72,3.29,1.72,10,5,VC.CV.CV.VC.CV,ADJ,0.42,0.152,2.623,0,2.85
entendimento,agreement,3.39,1.71,2.93,1.68,4.54,1.55,12,5,VC.CVC.CV.CVC.CV,N,35.688,1.565,4.553,0,2.95
