word_italian,translate_word_english,aoa_mean,aoa_sd,familiar_mean,familiar_sd,imagine_mean,imagine_sd,concrete_mean,concrete_sd,frequency_ilc_adult_written,frequency_colfis_adult_written,frequency_totfq_child_written,frequency_compfq_child_written,frequency_prodfq_child_written,frequency_spkfq_adult_spoken,n,bigram,syllables,length,phonome_stress,phoneme_voice,mann,voiced,stop,nasal,fricative,affricate,liquid,bilabial,labiodental,dental,alveolar,palatal,velar,vowel,rt_mean
baco,worm,4.23,1.24,4.11,1.69,4.41,1.7,5.23,1.87,15,5,12,2,10,1,1,10.72,2,4,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,522
balcone,balcony,2.86,1,6.73,0.87,5.98,1.49,4.93,2.14,42,39,65,21,44,0,2,10.74,3,7,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,518
banana,banana,1.98,0.95,6.91,0.36,6.55,0.93,6.84,0.53,4,15,29,15,14,0,1,10.96,3,6,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,545
barba,beard,2.75,1.1,6.7,0.51,6.18,1.15,6.84,0.43,106,79,70,48,22,4,2,10.1,2,5,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,515
basilico,basil,3.75,1.1,6.09,1.24,6.07,1.3,6.5,1.25,8,23,0,0,0,2,1,10.77,4,8,ap,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,530
bastone,stick,2.55,0.66,6.77,0.64,6.21,1.23,5.98,1.45,44,38,52,24,28,5,0,10.92,3,7,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,507
battello,boat,4.36,1.35,5.66,1.66,5,1.74,6.18,1.32,5,24,28,22,6,0,0,10.87,3,8,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,539
battesimo,baptism,3.57,1.23,6.07,1.44,4.75,2.04,5.23,2.07,52,32,8,3,5,5,0,10.73,4,9,ap,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,547
batuffolo,cotton flock,4.2,1.5,5.3,1.46,5.39,1.6,6.5,1.07,1,4,12,3,9,0,0,9.95,4,9,ap,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,575
bava,froth,3.55,1.27,5.48,1.7,4.86,1.64,4.64,2.04,8,3,0,0,0,1,5,10.69,2,4,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,547
befana,"""befana""",1.93,0.66,6.59,0.66,5.25,1.86,4.66,2.27,2,22,27,13,14,0,0,10.34,3,6,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,502
belva,wild beast,4.3,1.15,5.93,1.42,4.68,1.6,5.75,1.56,8,12,14,11,3,0,3,10.26,2,5,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,521
bersaglio,target,4.48,1.02,6.05,1.22,5.02,1.81,3.82,1.79,12,65,11,9,2,2,0,10.56,3,9,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,542
bestia,beast,3.27,1.04,6.55,0.85,4.36,1.81,5.32,1.74,94,47,81,52,29,4,0,10.09,2,6,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,514
bibita,drink,3.59,0.92,6.68,0.64,5.89,1.24,4.68,2.12,5,3,23,4,19,1,0,10.32,3,6,ap,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,534
bicchiere,glass,1.89,0.65,6.98,0.15,6.32,1.41,6.8,0.51,115,111,87,47,40,1,0,10.76,3,9,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,559
biglietto,ticket,3.36,0.99,6.75,0.69,5.8,1.34,6.45,0.9,56,101,114,55,59,28,0,10.55,3,9,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,546
biscia,grass snake,3.77,1.18,4.73,1.8,5.18,1.88,6.82,0.54,3,4,0,0,0,0,2,10.68,2,6,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,537
bistecca,steak,3.16,1.1,6.55,1.07,6.39,0.95,6.57,0.93,2,6,19,12,7,2,0,10.61,3,8,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,523
bocca,mouth,1.59,0.69,6.86,0.46,6.65,0.72,6.86,0.41,472,335,369,138,231,7,3,10.32,2,5,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,483
boia,hang-man,5.3,1.15,4.93,1.86,4.5,1.96,5.91,1.61,13,22,0,0,0,2,2,10.34,2,4,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,504
bomba,bomb,3.5,1.27,6.61,0.78,5.25,1.84,5.59,1.74,39,128,52,33,19,8,1,10,2,5,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,512
bossolo,bullet,5.68,1.31,3.93,1.76,4.25,2.15,6.45,1.02,1,4,0,0,0,1,0,10.53,3,7,ap,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,581
