word_spanish,familiar_mean,imagine_mean,concrete_mean
ladrón,6.307,5.438,5.524
lagarto,5.469,6.127,5.899
lago,5.958,5.962,5.913
lámpara,6.154,6.104,6.112
lavar,6.394,5.955,4.986
lealtad,4.785,3.446,4.35
leche,6.59,6.354,5.686
lechuga,6.683,5.658,6.152
lectura,5.981,4.456,4.917
leer,6.655,5.413,5.856
legión,4.606,4.477,5.475
lentes,4.723,6.228,5.59
león,4.809,6.763,6.375
levantarse,6.853,5.858,4.94
ley,4.963,2.926,4.732
leyenda,5.185,NA,5.206
libertad,6.134,4.934,3.768
libro,6.857,6.261,6.066
líder,6.014,5.032,5.196
liga,6.235,5.319,4.67
limpiar,6.52,5.093,4.681
líquido,6.811,6.05,5.352
literatura,4.886,4.473,4.58
llama,5.071,5.921,3.895
llamada,5.829,4.541,4.394
llave,6.736,5.768,5.908
llegada,6.034,4.158,4.172
llegar,6.419,4.278,4.045
lluvia,5.786,6.331,6.016
lobo,6.134,6.103,5.967
local,5.91,5.776,4.81
loco,6.515,5.228,4.259
locura,5.517,4.385,3.617
lograr,5.282,2.126,4.226
longitud,6.157,4.206,4.454
lugar,6.173,4.065,3.434
luna,5.96,5.749,6.282
lunar,5.517,5.352,4.975
lunes,7,3.867,5.777
luz,6.749,6.191,4.68
madre,6.946,6.743,6.212
maestro,5.806,6.237,5.59
mafia,4.862,4.424,4.681
magia,4.313,NA,3.609
majestad,4.995,4.974,5.18
mal,6.549,2.862,2.745
maldad,6.021,4.515,3.435
maletín,3.549,6.325,5.996
mañana,6.448,5.059,4.861
manifestación,NA,NA,5.867
manipular,5.48,3.113,3.231
mano,6.514,6.717,6.315
manta,6.701,5.602,6.086
mantener,4.805,2.363,2.321
mantenimiento,4.839,2.531,3.455
mantequilla,6.302,5.798,6.435
manzana,6.535,6.58,6.133
mapa,5.939,6.17,4.827
máquina,5.987,5.561,4.246
mar,6.545,6.05,6.293
marca,6.174,4.666,3.594
marina,4.966,4.317,4.366
marinero,5.968,6.41,6.558
mariposa,5.957,6.657,6.239
martes,6.329,3.239,6.197
martillo,5.626,5.862,5.903
masaje,4.93,6.142,5.576
masticar,6.116,6.28,5.684
matar,5.359,5.82,5.208
materia,5.673,3.233,2.261
matrimonio,5.97,5.709,5.857
mecánico,6.331,6.102,6.032
medalla,5.806,6.391,5.628
medianoche,6.004,5.879,6.199
médico,6.54,6.278,5.776
medio,4.552,2.907,2.488
mediodía,6.059,5.018,5.519
mejilla,5.436,5.569,6.574
mejora,6.029,3.74,3.093
mensaje,5.709,4.363,5.237
mentira,6.618,3.78,4.366
mentiroso,3.546,NA,4.961
merecer,4.954,2.682,3.552
mes,6.779,3.03,4.532
mesa,6.575,6.782,6.395
metal,5.859,5.351,4.791
método,5.895,2.483,3.383
metro,5.581,5.825,4.177
mezcla,5.012,3.801,4.044
micrófono,NA,NA,6.454
microscopio,4.412,6.011,6.69
miedo,6.217,4.972,3.433
miel,5.671,5.401,6.64
miembro,5.634,4.392,3.694
militar,4.552,6.067,5.48
millonario,4.741,4.874,NA
mínimo,4.952,2.863,3.3
ministerio,4.874,3.715,4.955
ministro,5.586,5.25,5.6
minuto,6.775,3.28,6.188
mirar,6.655,5.118,4.69
miseria,5.128,4.317,3.383
misión,4.87,4.471,3.963
misterio,5.351,3.855,4.039
mito,4.995,3.09,4.049
mochila,6.278,5.825,5.939
modelo,6.032,4.778,3.948
molestar,5.861,4.622,4.097
monasterio,4.798,6.079,5.744
monitor,5.457,5.164,4.441
monje,4.21,6.146,6.141
mono,6.097,6.562,5.269
monstruo,5.947,5.675,4.736
montaña,6.371,5.122,5.996
monumento,6.232,6.365,5.355
morir,6.39,5.447,6.111
mortal,6.114,3.97,4.934
motivo,5.534,2.799,4.072
motor,5.352,5.652,5.516
mover,NA,4.731,2.292
muerte,6.533,4.33,4.089
muerto,6.081,6.053,5.801
mujer,6.716,6.62,6.546
multitud,6.678,6.326,5.279
mundo,6.544,5.583,5.231
muñeca,NA,NA,5.708
muro,6.056,6.284,5.663
músculo,6.278,5.417,5.861
museo,6.181,6.279,5.585
música,6.653,5.214,4.897
músico,5.863,5.932,5.422
mutación,4.322,4.026,4.613
nacimiento,6.083,6.372,5.269
nación,5.543,4.036,5.146
nadar,6.621,5.84,6.014
naranja,6.443,6.051,5.641
nariz,6.498,6.39,6.649
náusea,4.432,4.565,5.091
navegación,4.452,4.706,4.613
navidad,6.179,5.357,5.737
necesitar,6.386,3.964,3.676
negocio,5.985,4.446,4.535
negro,5.781,NA,5.373
nervio,6.46,NA,5.783
nido,6.005,6.33,5.399
