word_galician,translate_word_english,valence_mean,valence_sd,valence_n,arousal_mean,arousal_sd,arousal_n,concrete_mean,concrete_sd,concrete_n,imagine_mean,imagine_sd,imagine_n,aoa_mean,aoa_sd,aoa_n
armado,armed,2.6666666666666665,2.103388319888276,12,8,1.7888543819998317,11,6.416666666666667,1.9752253419585202,12,6.642857142857143,1.780541959721721,14,8.23076923076923,2.832956234332084,13
arquitecto,architect,6.416666666666667,1.6213537179739284,12,5.909090909090909,1.3751033019046581,11,7.416666666666667,1.7298624923456312,12,6.928571428571429,1.9400351192017802,14,8.307692307692308,3.0382181012509992,13
arquivo,archive,4.857142857142857,1.4064216928154865,14,4.230769230769231,1.8776690404970273,13,6.769230769230769,2.047512562185563,13,6.666666666666667,2.7429563474123184,15,10.666666666666666,3.550501458394379,12
arredores,surroundings,5.642857142857143,1.3926810257774176,14,4.615384615384615,1.8501559185854917,13,4.571428571428571,1.5548576840284833,14,5.454545454545454,2.4642904197207103,11,8.214285714285714,2.190137734642116,14
arte,art,7.75,1.4847711791873706,12,5,3.24037034920393,17,4.190476190476191,3.203420790640025,21,5.714285714285714,3.099095933396642,14,7.190476190476191,3.076020930017343,22
artificial,artificial,5.461538461538462,2.817072493901681,13,5.714285714285714,1.8156825980064066,14,5,2.4899799195977463,11,5,2.511511956509924,14,7.642857142857143,1.6919330254585607,14
artigo,article,6.3076923076923075,2.0970064133034723,13,4.75,2.5628464289109907,12,5.411764705882353,2.6706465399180908,17,5.428571428571429,2.838510675890238,21,7.769230769230769,2.314945865236238,14
artista,artist,6.916666666666667,2.151461800448215,12,4.8,2.65114530506561,15,5.428571428571429,2.502745744924215,14,6.173913043478261,2.289346351989491,23,6.090909090909091,2.388645579743405,23
artístico,artistic,7.6521739130434785,1.3006535298622304,23,5.5,2.409915415049314,14,4,3.063431961806135,14,4.5,2.6798914496333954,12,8.46875,3.222745523567975,32
arxentino,argentine,5.785714285714286,2.359223191208086,14,4.6923076923076925,2.250356097177192,13,6.928571428571429,2.164904890939366,14,6.7272727272727275,2.370270410350224,11,7.142857142857143,2.5975474485084473,14
asasinato,murder,2.2142857142857144,2.2930856412794003,14,7.6923076923076925,1.797434068545833,13,6.444444444444445,2.6977356760397746,9,7.714285714285714,1.815682598006408,14,8.142857142857142,2.68491921829898,14
asasino,murderer,2.1818181818181817,2.3587361793206894,11,7.428571428571429,2.7932414507517613,14,6.857142857142857,2.6269942712345027,14,6.615384615384615,2.8147960713126134,13,6.913043478260869,2.466374657786033,23
asento,seat,6.111111111111111,1.5365907428821488,9,4.5,2.5038431998091992,14,7,2.1122354181147664,14,7,2.2870874995874626,14,5.052631578947368,2.9339712225076315,19
