word_croatian_equivalent,word_croatian,valence_mean,valence_sd,valence_unknown,valence_n,arousal_mean,arousal_sd,arousal_unknown,arousal_n,familiar_mean,familiar_sd,familiar_unknown,familiar_n,concrete_mean,concrete_sd,concrete_unknown,concrete_n
vrhunac,vrhunac,7.75,1.25,NA,20,6.5,2.74,NA,20,6.85,0.67,NA,20,4.65,1.76,NA,20
vrsta,vrsta,5.9,1.62,NA,20,3.38,2.09,NA,21,6.75,0.64,NA,20,3.71,2.22,NA,21
zadatak,zadatak,4.7,2.11,NA,20,5.65,2.03,NA,20,7,0,NA,20,5.05,1.85,NA,20
zaglavlje,zaglavlje,5.65,2.08,NA,20,3.71,2.47,NA,21,6.75,0.64,NA,20,5.33,1.39,NA,21
zagrijavanje,zagrijavanje,6.05,2.31,NA,20,5.45,2.67,NA,20,6.55,1.39,NA,20,4.7,1.66,NA,20
zajednica,zajednica,6.05,1.76,NA,20,5.2,2.84,NA,20,6.9,0.45,NA,20,4.65,1.98,NA,20
zaključati,zaključati,5.2,1.24,NA,20,4.8,2.55,NA,20,6.95,0.22,NA,20,5.3,1.95,NA,20
zaliha,zaliha,5.55,1.9,NA,20,3.86,2.06,NA,21,7,0,NA,21,5.57,1.5,NA,21
zalogaj,zalogaj,6.3,2.08,NA,20,4.15,2.25,NA,20,7,0,NA,20,6.3,1.13,NA,20
zapis,zapis,4.65,1.04,NA,20,3.75,2.29,NA,20,6.95,0.22,NA,20,4.55,1.99,NA,20
zaporka,zaporka,5.05,2.01,NA,20,3.9,2.51,NA,20,6.7,0.98,NA,20,6.15,1.5,NA,20
zaštita,zaštita,5.85,1.98,NA,20,4.05,2.31,NA,21,7,0,NA,21,5.29,1.87,NA,21
zeznut,zeznut,4.5,1.82,NA,20,5,2.62,NA,20,7,0,NA,20,4,2.03,NA,20
značajka,značajka,5.6,1.47,NA,20,4.15,1.93,NA,20,7,0,NA,20,4.95,2.33,NA,20
zvijezda,zvijezda,7.75,1.62,NA,20,5.1,2.1,NA,21,6.9,0.31,NA,20,5.38,1.32,NA,21
zvuk,zvuk,7.3,1.92,NA,20,5.33,2.06,NA,21,7,0,NA,20,4.9,2.07,NA,21
account,account,5.6,2.19,NA,20,3.57,1.69,NA,21,7,0,NA,20,4.76,2.02,NA,21
afterparty,afterparty,7.5,2.16,NA,20,7.45,1.47,NA,20,7,0,NA,20,4.9,1.97,NA,20
age,age,5.4,2.62,NA,20,4.1,2.1,NA,21,6.95,0.23,1,19,4.52,2.02,NA,21
agency,agency,5.55,2.35,NA,20,4,1.82,NA,21,6.85,0.49,NA,20,4.1,1.97,NA,21
art,art,6.85,2.06,NA,20,5.05,2.7,NA,20,7,0,NA,20,3.85,2.16,NA,20
baby,baby,7,1.86,NA,20,5.4,2.35,NA,20,7,0,NA,20,5.15,1.76,NA,20
background,background,5.55,1.82,NA,20,4.3,1.75,NA,20,7,0,NA,20,3.8,1.88,NA,20
backstage,backstage,5.7,2.32,NA,20,6.2,2.33,NA,20,6.75,0.79,NA,20,6.35,0.81,NA,20
backup,backup,5.9,1.68,NA,20,5,2.43,NA,20,6.55,0.83,NA,20,4.75,1.92,NA,20
bad,bad,3.7,1.98,NA,20,4.9,2.43,NA,20,6.65,0.93,NA,20,5.3,1.98,NA,20
