word_croatian_equivalent,word_croatian,valence_mean,valence_sd,valence_unknown,valence_n,arousal_mean,arousal_sd,arousal_unknown,arousal_n,familiar_mean,familiar_sd,familiar_unknown,familiar_n,concrete_mean,concrete_sd,concrete_unknown,concrete_n
single,single,4.3,2.25,NA,20,4.45,2.46,NA,20,6.8,0.89,NA,20,4.9,1.94,NA,20
site,site,5.17,1.62,2,18,3.89,1.94,1,19,6.45,1.43,NA,20,5.45,2.26,NA,20
size,size,4.95,1.1,NA,20,4.2,2.04,NA,20,6.9,0.45,NA,20,4.58,1.92,1,19
ski,ski,5.65,1.31,NA,20,4.42,2.69,1,19,6.7,0.8,NA,20,4.26,1.59,1,19
skin,skin,4.9,2.38,NA,20,3.4,1.54,NA,20,6.7,0.66,NA,20,6.4,0.99,NA,20
sky,sky,7,1.41,NA,20,2.75,1.97,NA,20,6.9,0.31,NA,20,5.75,1.74,NA,20
smart,smart,6.6,1.47,NA,20,5.25,2,NA,20,6.85,0.49,NA,20,5.4,1.9,NA,20
smartphone,smartphone,6.5,1.99,NA,20,4.71,2.55,NA,21,7,0,1,19,6.19,1.17,NA,21
smoothie,smoothie,6.25,1.86,NA,20,3.52,2.44,NA,21,7,0,NA,21,6.38,0.97,NA,21
snowboard,snowboard,5.9,1.37,NA,20,5.25,2.67,NA,20,7,0,NA,20,5.6,1.79,NA,20
soft,soft,6.11,1.76,1,19,2.14,1.71,NA,21,7,0,NA,21,5.33,1.85,NA,21
software,software,5.35,1.57,NA,20,4.6,1.9,NA,20,6.84,0.69,1,19,4.25,1.8,NA,20
sorry,sorry,4.7,2.3,NA,20,4.8,2.63,NA,20,6.95,0.22,NA,20,4.95,2.21,NA,20
soul,soul,6.89,1.88,1,19,5.45,2.65,NA,20,7,0,NA,20,4.6,1.98,NA,20
soundtrack,soundtrack,6,2.34,NA,20,5.15,2.43,NA,20,6.8,0.52,NA,20,5.3,1.75,NA,20
spa,spa,6.3,2.39,NA,20,2.75,2.38,NA,20,6.9,0.45,NA,20,6.25,0.91,NA,20
space,space,6.26,1.76,1,19,4.95,2.27,1,19,6.85,0.49,NA,20,4.75,2.31,NA,20
spam,spam,3.89,2.77,1,19,5.4,2.21,NA,20,6.7,1.34,NA,20,5.6,1.43,NA,20
speed,speed,5.55,2.28,NA,20,7.25,2.05,NA,20,6.65,1.09,NA,20,4.9,2.1,NA,20
spice,spice,6.1,1.55,NA,20,5.81,2.2,NA,21,6.85,0.37,NA,20,4.75,1.74,1,20
spin,spin,4.85,1.98,NA,20,4.95,2.01,1,19,6.35,1.42,NA,20,3.94,1.73,2,18
stage,stage,6.3,2.15,NA,20,5.05,2.27,NA,21,6.75,0.79,NA,20,5.14,1.71,NA,21
standstill,standstill,4.76,1.56,3,17,3.88,2.03,3,17,4.89,2.23,1,19,4.39,1.75,2,18
stick,stick,5.25,1.68,NA,20,3.9,2.31,NA,20,6.8,0.89,NA,20,4.42,1.92,1,19
store,store,5.45,2.24,NA,20,5.25,1.52,NA,20,7,0,NA,20,4.9,2.05,NA,20
story,story,6.05,1.9,NA,20,6,2.15,NA,20,6.95,0.22,NA,20,4.55,2.19,NA,20
stream,stream,5.5,1.57,NA,20,4.75,2.55,NA,20,6.6,1.27,NA,20,3.95,1.85,NA,20
streaming,streaming,5.6,1.47,NA,20,4.45,2.33,NA,20,6.8,0.7,NA,20,4.15,1.73,NA,20
street,street,5.85,1.76,NA,20,4.8,2.26,NA,20,7,0,NA,20,5.4,1.98,NA,20
style,style,6.45,1.7,NA,20,5.45,2.65,NA,20,6.9,0.45,NA,20,3.35,2.25,NA,20
styling,styling,6.05,1.7,NA,20,4.95,2.67,NA,20,6.85,0.67,NA,20,3.74,2.18,1,19
summit,summit,5.74,1.82,1,19,5.15,1.76,NA,20,6.45,1.47,NA,20,4.4,1.88,NA,20
sun,sun,6.9,2.43,NA,20,5.8,2.71,NA,20,7,0,NA,20,5.05,2.37,NA,20
swing,swing,5.78,1.8,2,18,4.94,2.44,2,18,6.05,1.32,NA,20,4.65,2.01,NA,20
system,system,4.95,1.19,NA,20,4.55,2.56,NA,20,7,0,NA,20,3.2,1.96,NA,20
tab,tab,5.5,1.99,NA,20,3.45,2.06,1,20,6.4,1.5,NA,20,4.63,1.8,2,19
tablet,tablet,5.9,1.62,NA,20,3.75,2.27,NA,20,7,0,NA,20,5.8,1.47,NA,20
tag,tag,5.1,2.15,NA,20,4.63,1.34,1,19,6.85,0.67,NA,20,4.37,1.67,1,19
taxi,taxi,5.6,1.82,NA,20,5.05,1.9,NA,20,7,0,NA,20,6.15,1.18,NA,20
team,team,6.16,1.77,1,19,4.71,2.19,NA,21,7,0,NA,21,5.48,1.5,NA,21
teambuilding,teambuilding,6.35,1.93,NA,20,5.8,2.14,NA,20,6.75,0.64,NA,20,6,1.84,NA,20
tech,tech,6,2.18,NA,20,4.72,1.6,2,18,6.63,1.38,1,19,4,1.56,1,19
techno,techno,5.9,2.49,NA,20,4.9,2.72,NA,21,6.8,0.41,NA,20,4.76,1.81,NA,21
teen,teen,5.65,2.41,NA,20,5.05,2.33,NA,20,6.65,1.18,NA,20,5.6,1.73,NA,20
tender,tender,5.83,2.04,2,18,3.79,2.35,1,19,6.35,1.46,NA,20,5.24,2.11,3,17
text,text,5.3,1.13,NA,20,3.7,2.3,NA,20,6.85,0.49,NA,20,4.2,1.91,NA,20
thread,thread,5.21,1.18,1,19,4.32,1.97,1,19,6.1,1.74,NA,20,4,1.91,2,18
topic,topic,5.35,0.75,NA,20,4.8,2.44,NA,20,6.85,0.37,NA,20,3.84,2.14,1,19
touch,touch,6.1,2.31,NA,20,5.5,2.67,NA,20,6.65,1.35,NA,20,4.4,2.11,NA,20
tour,tour,6.5,2.28,NA,20,5.63,2.48,2,19,6.95,0.22,NA,20,4.29,1.74,NA,21
trade,trade,4.85,1.76,NA,20,5.2,1.96,NA,20,7,0,NA,20,4.75,1.68,NA,20
trail,trail,5.83,1.95,2,18,5.15,2.46,NA,20,6.7,0.8,NA,20,4.53,1.84,1,19
trailer,trailer,6.2,1.67,NA,20,6.21,2.1,1,19,6.95,0.22,NA,20,5.3,1.69,NA,20
trap,trap,3.95,2.2,1,19,5.35,1.93,1,20,6.65,0.99,1,20,5.15,2.01,1,20
trash,trash,4,2.22,NA,20,4.76,2.59,NA,21,6.95,0.22,NA,20,4.57,1.75,NA,21
travel,travel,7.2,2.33,NA,20,6.25,2.79,NA,20,6.75,0.79,NA,20,5.45,1.99,NA,20
trip,trip,6.25,2.84,NA,20,6.14,2.22,NA,21,6.65,1.35,NA,20,4.43,1.43,NA,21
tuning,tuning,5.63,1.63,4,16,4.89,1.78,2,18,5.95,1.7,NA,20,4.89,1.85,1,19
tutorial,tutorial,5.3,1.95,NA,20,4.4,2.06,NA,20,6.6,1.1,NA,20,5.85,1.39,NA,20
twin,twin,5.4,1.23,NA,20,4.19,2.18,NA,21,6.81,0.87,NA,21,5.7,1.72,1,20
underground,underground,4.8,2.5,NA,20,5.8,2.21,NA,20,6.7,0.98,NA,20,4.84,1.89,1,19
update,update,5.25,2.07,NA,20,4.55,2.14,NA,20,6.7,0.98,NA,20,4.6,1.9,NA,20
uploadati,uploadati,6,2.05,NA,20,5.2,2.07,NA,20,6.9,0.45,NA,20,5.2,1.67,NA,20
vintage,vintage,6.3,1.45,NA,20,4.35,3.18,NA,20,6.85,0.49,NA,20,4.2,2.02,NA,20
vision,vision,6,1.78,NA,20,5.05,2.29,NA,21,6.76,0.7,NA,21,5.05,2.2,NA,21
wall,wall,5.9,2.07,NA,20,4,1.79,NA,21,6.9,0.31,NA,20,4.86,1.59,NA,21
watch,watch,5.95,1.39,NA,20,4.75,2.73,NA,20,6.95,0.22,NA,20,4.2,1.79,NA,20
web,web,6.1,2.43,NA,20,5.15,2.13,NA,20,6.65,1.18,NA,20,6,1.26,NA,20
webshop,webshop,6.2,1.94,NA,20,4.9,2.19,NA,21,6.95,0.22,NA,20,5.52,1.72,NA,21
website,website,5,1.52,NA,20,4.29,1.76,NA,21,6.95,0.22,NA,21,6.05,1.2,NA,21
wellness,wellness,6.75,2.02,NA,20,3.76,2.47,NA,21,6.62,1.16,NA,21,5.38,1.75,NA,21
western,western,4.65,2.01,NA,20,4,1.64,NA,21,6.95,0.22,NA,21,5.33,1.83,NA,21
white,white,5.85,1.5,NA,20,3.25,2.15,NA,20,7,0,NA,20,4.75,2.24,NA,20
wild,wild,6.63,2.06,1,19,6.9,2.38,NA,20,7,0,NA,20,4.6,2.21,NA,20
winter,winter,6,1.84,NA,20,3.7,2.56,NA,20,7,0,NA,20,5.7,1.98,NA,20
wireless,wireless,6.3,1.56,NA,20,4.05,2.5,1,19,6.95,0.22,NA,20,5.55,1.54,NA,20
wonder,wonder,6.3,1.81,NA,20,5.55,2.42,NA,20,6.2,1.4,NA,20,4.6,2.23,NA,20
world,world,6.95,1.32,NA,20,5.35,2.76,NA,20,6.95,0.22,NA,20,3.7,2.23,NA,20
wow,wow,6.6,2.37,NA,20,6.2,2.63,NA,20,6.25,1.71,NA,20,4.05,2.24,NA,20
youtuber,youtuber,5.35,2.6,NA,20,4.95,2.36,NA,21,6.9,0.31,NA,20,5.52,1.44,NA,21
zero,zero,4.6,1.31,NA,20,3.65,2.43,NA,20,6.9,0.45,NA,20,4.35,2.23,NA,20
account,račun,3.8,1.88,NA,20,5.15,2.23,NA,20,7,0,NA,20,6.6,1.14,NA,20
age,starenje,3.95,2.58,NA,20,5.25,2.51,NA,20,6.5,1.54,NA,20,5.7,1.34,NA,20
agency,agencija,4.6,1.35,NA,20,4.75,2.75,NA,20,6.85,0.67,NA,20,5.3,1.34,NA,20
art,umjetnost,7.3,1.42,NA,20,4.2,2.44,NA,20,7,0,NA,20,5.95,1.67,NA,20
baby,beba,7.35,1.79,NA,20,4.95,2.52,NA,20,7,0,NA,20,6.85,0.88,NA,20
background,pozadina,4.95,1.47,NA,20,3.1,1.79,NA,21,6.95,0.22,NA,21,5.24,1.79,NA,21
backstage,zapozorje,4.33,1.54,5,15,5.21,2.91,6,14,4.16,2.81,1,19,5.06,1.8,2,18
bad,loš,2.8,1.85,NA,20,5.45,2.56,NA,20,6.95,0.22,NA,20,5.1,2.4,NA,20
band,grupa,5.26,1.41,1,19,4.33,1.62,NA,21,6.95,0.22,NA,21,5.67,1.8,NA,21
bank,banka,4.85,2.41,NA,20,4.81,2.06,NA,21,7,0,NA,21,6.24,0.94,NA,21
baseball,bejzbol,5.75,2.12,NA,20,4.29,2.24,NA,21,6.9,0.31,NA,20,6.43,0.75,NA,21
bass,bas,5.8,2.31,NA,20,4.65,2.54,1,20,6.68,0.75,1,19,4.43,1.78,NA,21
beach,plaža,7.75,1.55,NA,20,4.1,3.02,NA,20,7,0,NA,20,6.1,1.45,NA,20
beauty,ljepota,7.4,1.88,NA,20,5.86,2.73,NA,21,7,0,NA,20,4.19,1.97,NA,21
beer,pivo,6.35,2.64,NA,20,6.29,2.45,NA,21,6.95,0.22,NA,20,6.48,0.75,NA,21
benefit,povlastica,5.35,2.01,NA,20,5.6,2.48,NA,20,6.9,0.45,NA,20,5.55,1.5,NA,20
best,najbolji,7.75,1.55,NA,20,4.9,2.57,NA,20,7,0,NA,20,5.25,2.02,NA,20
big,velik,6.4,1.6,NA,20,5.2,2.63,NA,20,6.95,0.22,NA,20,5.8,1.7,NA,20
bike,bicikl,6.45,2.19,NA,20,5.35,1.93,NA,20,7,0,NA,20,6.5,0.95,NA,20
black,crn,5.75,2.69,NA,20,4.75,2.83,NA,20,6.85,0.67,NA,20,6.4,1.31,NA,20
body,tijelo,6.55,1.47,NA,20,5.4,2.76,NA,20,7,0,NA,20,5.75,1.89,NA,20
book,knjiga,7.25,1.83,NA,20,2.5,2.16,NA,20,6.75,1.12,NA,20,6.1,1.12,NA,20
boom,procvat,6.65,2.23,NA,20,4.52,2.69,NA,21,6.48,1.4,NA,21,4.86,2.06,NA,21
boss,šef,4.55,2.06,NA,20,5.4,2.46,NA,20,7,0,NA,20,6.8,0.83,NA,20
box,kutija,5.25,1.29,NA,20,4.05,2.21,NA,20,7,0,NA,20,6.45,1.36,NA,20
break,pauza,6.85,1.5,NA,20,4.5,3.02,NA,20,6.95,0.22,NA,20,4.7,2.05,NA,20
bridge,bridž,5.28,1.41,2,18,3.7,2.27,NA,20,6.5,1.05,NA,20,4.74,1.88,1,19
browser,preglednik,5.75,2,NA,20,4.2,1.99,NA,20,7,0,NA,20,5.95,1.39,NA,20
bug,pogreška,4.05,1.43,NA,20,5.45,2.33,NA,20,7,0,NA,20,5.8,1.94,NA,20
business,biznis,6.55,2.24,NA,20,6.24,1.34,NA,21,6.8,0.89,NA,20,4.19,1.97,NA,21
button,tipka,5.4,1.23,NA,20,4.05,2.33,NA,20,6.95,0.22,NA,20,5.8,1.58,NA,20
capital,kapital,4.85,1.9,NA,20,5.5,2.19,NA,20,7,0,NA,20,5.65,1.39,NA,20
cargo,teret,4.4,2.39,NA,20,4.57,2.38,NA,21,6.9,0.45,NA,20,4.76,1.67,NA,21
casual,ležeran,6.42,2.55,1,19,2.45,1.9,NA,20,6.65,0.99,NA,20,5.1,1.68,NA,20
cell,ćelija,4.1,2.81,NA,20,4.67,2.35,NA,21,6.75,0.91,NA,20,4.76,1.48,NA,21
challenge,izazov,6.15,1.6,NA,20,6.3,2.2,NA,20,7,0,NA,20,4.95,1.7,NA,20
challenger,izazivač,4.95,1.5,NA,20,5.95,2.24,NA,20,6.85,0.37,NA,20,5.6,1.5,NA,20
championship,prvenstvo,6.3,1.98,NA,20,5.35,2.06,NA,20,7,0,NA,20,5.25,1.25,NA,20
channel,kanal,4.85,1.23,NA,20,3.9,2.29,NA,20,6.95,0.22,NA,20,4.1,1.89,NA,20
chat,čavrljanje,6.25,2.1,NA,20,5.45,2.14,NA,20,7,0,NA,20,5.85,1.14,NA,20
cherry,trešnja,6.95,1.82,NA,20,4.8,2.5,NA,20,7,0,NA,20,6.7,0.8,NA,20
chip,čip,5.15,1.46,NA,20,4.05,2.19,NA,20,6.84,0.5,1,19,5.9,1.25,NA,20
cinema,kino,7.35,1.46,NA,20,4.52,2.79,NA,21,7,0,NA,21,6.38,0.8,NA,21
city,grad,6.15,2.08,NA,20,4.81,2.34,NA,21,7,0,NA,21,6.19,1.36,NA,21
classic,klasičan,6.1,2.17,NA,20,3.48,1.54,NA,21,6.9,0.31,NA,20,3.81,1.94,NA,21
cloud,oblak,7.2,2.04,NA,20,2.7,1.87,NA,20,7,0,NA,20,6.15,1.18,NA,20
club,klub,6.3,2.15,NA,20,5.3,2.96,NA,20,6.95,0.22,NA,20,4.2,1.88,NA,20
college,koledž,5.35,1.6,NA,20,5.45,2.21,NA,20,7,0,NA,20,6,1.34,NA,20
color,boja,7.6,1.14,NA,20,3.2,1.99,NA,20,6.75,1.12,NA,20,5.7,2.03,NA,20
company,tvrtka,4.74,0.93,1,19,4.2,2.07,NA,20,7,0,NA,20,6.45,1.39,NA,20
confused,zbunjen,4.3,1.63,NA,20,4.9,2.34,NA,20,6.95,0.22,NA,20,5.1,1.8,NA,20
copy,kopirati,4.95,1.15,NA,20,4.1,2,NA,20,6.95,0.22,NA,20,5.45,1.85,NA,20
cover,obrada,5.3,1.84,NA,20,4.3,2,NA,20,7,0,NA,20,5.5,1.64,NA,20
craft,zanatski,5.95,1.68,1,19,3.7,1.89,NA,20,6.6,0.75,NA,20,5.45,1.67,NA,20
cup,kup,6.75,1.86,NA,20,4.95,2.67,1,20,6.65,1.35,NA,20,4.14,1.68,NA,21
dance,ples,6.65,1.79,NA,20,6,2.55,NA,20,7,0,NA,20,6.85,0.88,NA,20
dark,mračan,4.1,2.45,NA,20,5.19,2.11,NA,21,7,0,NA,21,5.33,2.03,NA,21
deal,dogovor,6.8,2.24,NA,20,4.4,2.04,NA,20,6.7,0.92,NA,20,5.4,1.9,NA,20
deep,dubok,5.5,2.09,NA,20,4.55,2.39,NA,20,6.7,1.34,NA,20,5.15,1.9,NA,20
default,zadan,4.75,1.83,NA,20,3.95,1.99,NA,20,6.95,0.22,NA,20,4.7,2.11,NA,20
department,odjel,5.05,1.39,NA,20,3.95,2.09,NA,20,7,0,NA,20,5.55,1.64,NA,20
design,dizajn,6.55,2.06,NA,20,4.67,2.2,NA,21,6.95,0.22,NA,20,4.48,1.89,NA,21
digital,digitalan,5.45,1.67,NA,20,4.55,2.35,NA,20,6.85,0.49,NA,20,5.6,1.64,NA,20
disco,disko,6.95,2.33,NA,20,6,2.77,NA,21,6.86,0.65,NA,21,6.19,1.08,NA,21
double,dvostruk,5.2,1.24,NA,20,4.1,2.2,NA,20,6.95,0.22,NA,20,5.05,2.11,NA,20
draft,nacrt,5.05,1.43,NA,20,3.95,2.04,NA,21,6.86,0.65,NA,21,5.57,1.8,NA,21
dream,san,7.45,1.54,NA,20,3.1,2.95,NA,21,7,0,NA,21,5.57,1.96,NA,21
drive,pogon,5.65,1.98,NA,20,4.7,2.32,NA,20,6.95,0.22,NA,20,5.4,1.5,NA,20
drum,bubanj,6,1.92,NA,20,5.85,2.7,NA,20,7,0,NA,20,5.95,1.57,NA,20
e-mail,e-pošta,5.11,1.82,1,19,4.7,2,NA,20,6.85,0.67,NA,20,6.15,1.31,NA,20
edge,rub,5.1,1.8,NA,20,5.15,2.46,NA,20,7,0,NA,20,5.3,1.78,NA,20
edit,urediti,6.2,1.28,NA,20,4.4,2.44,NA,20,6.95,0.22,NA,20,4.45,1.96,NA,20
edition,izdanje,5.5,1.85,NA,20,4.1,1.65,NA,20,7,0,NA,20,5.2,1.82,NA,20
editor,urednik,5,1.72,NA,20,4.15,1.98,NA,20,6.95,0.22,NA,20,5.4,1.54,NA,20
energy,energija,7.05,2.04,NA,20,5.57,2.73,NA,21,6.95,0.22,NA,20,4.38,2.16,NA,21
engine,stroj,5.45,1.36,NA,20,4.4,2.21,NA,20,7,0,NA,20,6.15,1.63,NA,20
enterprise,poduzetništvo,5.8,2.31,NA,20,5.3,2.08,NA,20,6.75,0.79,NA,20,5.4,1.5,NA,20
entertainment,zabava,7.8,1.54,NA,20,6.25,2.29,NA,20,7,0,NA,20,4.8,2.35,NA,20
event,događanje,6.3,1.34,NA,20,5.05,2.7,NA,20,7,0,NA,20,4.2,1.94,NA,20
exit,izlaz,6.6,1.6,NA,20,4.1,2.95,NA,20,6.9,0.31,NA,20,5.65,1.84,NA,20
express,ekspresni,6.05,2.35,NA,20,5.48,2.04,NA,21,6.85,0.49,NA,20,4.43,1.75,NA,21
extra,ekstra,6.9,1.71,NA,20,6.4,2.56,NA,20,6.95,0.22,NA,20,3.65,2.13,NA,20
extreme,ekstreman,5.3,2.08,NA,20,6.25,2.65,NA,20,7,0,NA,20,4.25,2.12,NA,20
fair,pošten,7.5,1.43,NA,20,3.8,2.55,NA,20,7,0,NA,20,5.85,2.16,NA,20
family,obitelj,8.65,0.81,NA,20,3.6,2.91,NA,20,6.95,0.22,NA,20,5.75,1.97,NA,20
fan,obožavatelj,6.8,1.7,NA,20,5.75,2.47,NA,20,6.8,0.62,NA,20,5.85,1.09,NA,20
fantasy,fantastika,6.65,1.93,NA,20,6.35,2.01,NA,20,7,0,NA,20,4.6,2.09,NA,20
fashion,moda,6.35,1.95,NA,20,4.6,2.78,NA,20,6.7,1.13,NA,20,5.15,1.79,NA,20
fat,masnoća,3.05,1.39,NA,20,4.6,2.52,NA,20,6.95,0.22,NA,20,5.45,1.39,NA,20
fax,faks,6.75,1.62,NA,20,5.95,2.52,NA,20,6.9,0.31,NA,20,5.75,1.97,NA,20
feeling,osjećaj,6.8,1.32,NA,20,5.85,2.89,NA,20,6.8,0.62,NA,20,3.95,2.28,NA,20
fight,borba,3.75,2.12,NA,20,7.15,1.53,NA,20,7,0,NA,20,5.95,1.39,NA,20
file,datoteka,4.85,1.53,NA,20,4.45,2.31,NA,20,7,0,NA,20,6.05,1.36,NA,20
firewall,vatrozid,4.16,2.22,1,19,5,2.08,1,19,6.47,1.5,1,19,4.7,2.13,NA,20
first,prvi,6.11,2.16,1,19,6,2.88,NA,20,7,0,NA,20,5.3,2.18,NA,20
fitness,fitnes,5.85,2.25,NA,20,6.1,1.92,NA,21,6.86,0.48,NA,21,5.67,1.53,NA,21
flat,neograničen,6.35,1.84,NA,20,5,2.85,NA,20,6.8,0.89,NA,20,5.1,1.62,NA,20
folder,mapa,5.95,1.88,NA,20,4.19,2.73,NA,21,6.8,0.62,NA,20,4.9,1.79,NA,21
food,hrana,7.8,1.32,NA,20,6.25,2.24,NA,20,7,0,NA,20,6.05,1.96,NA,20
football,nogomet,6.05,2.16,NA,20,4.8,2.63,NA,20,6.95,0.22,NA,20,6.55,1,NA,20
frame,okvir,5.6,1.31,NA,20,3.85,2.16,NA,20,7,0,NA,20,5.7,1.81,NA,20
freak,čudak,5.1,2.34,NA,20,5.8,2.07,NA,20,7,0,NA,20,4.95,1.9,NA,20
free,besplatan,7.1,2.1,NA,20,5.3,2.45,NA,20,7,0,NA,20,6.2,1.61,NA,20
fresh,osvježavajuć,7.65,1.27,NA,20,4.8,3.25,NA,20,6.75,0.79,NA,20,5.25,1.62,NA,20
front,pročelje,4.9,2.59,NA,20,4.55,2.26,NA,20,6.85,0.67,NA,20,4.94,1.66,2,18
full,potpun,7.25,1.8,NA,20,3.95,2.09,NA,21,6.95,0.22,NA,20,4.24,2.17,NA,21
fun,zabavan,7.6,1.27,NA,20,6.55,2.14,NA,20,7,0,NA,20,6.25,1.41,NA,20
gadget,spravica,4.9,1.48,NA,20,4.65,1.95,NA,20,6.95,0.22,NA,20,4.6,2.04,NA,20
gaming,igranje,7.5,1.67,NA,20,4.85,2.48,NA,20,7,0,NA,20,4.85,1.76,NA,20
garden,vrt,7.45,1.47,NA,20,3,2.35,NA,21,6.95,0.22,NA,20,5.76,1.67,NA,21
gem,dragulj,6.3,2.2,NA,20,4.67,2.74,NA,21,7,0,NA,21,6.57,0.87,NA,21
girl,djevojka,7.15,1.66,NA,20,5.05,2.65,NA,20,6.9,0.31,NA,20,5.6,1.98,NA,20
goal,cilj,7.25,1.48,NA,20,5.65,2.23,NA,20,6.85,0.67,NA,20,5.4,2.09,NA,20
golden,zlatan,6.7,1.95,NA,20,5.4,2.91,NA,20,6.9,0.45,NA,20,5.15,1.79,NA,20
grant,stipendija,7.1,2,NA,20,6.45,2.11,NA,20,6.9,0.45,NA,20,6.2,1.06,NA,20
green,zelen,6.15,1.84,NA,20,3.2,1.79,NA,20,7,0,NA,20,6.3,0.92,NA,20
grid,rešetka,4.7,1.87,NA,20,4.75,2.38,NA,20,7,0,1,19,6.2,1.67,NA,20
grill,roštilj,7.6,1.39,NA,20,5.33,2.61,NA,21,7,0,NA,21,6.62,0.5,NA,21
group,skupina,5.4,1.64,NA,20,4.15,2.37,NA,20,6.95,0.22,NA,20,4.5,2.06,NA,20
hall,dvorana,5.8,2.07,NA,20,4.8,2.09,NA,20,6.9,0.45,NA,20,5.9,1.21,NA,20
happy,sretan,7.6,1.7,NA,20,7.1,2.73,NA,20,7,0,NA,20,5.4,2.06,NA,20
hard,teško,4.45,2.74,NA,20,5.48,2.29,NA,21,6.95,0.22,NA,20,4.48,1.89,NA,21
hardware,sklopovlje,4.6,2.59,5,15,4.56,2.2,2,18,4.55,2.39,NA,20,4.94,1.95,4,16
heavy,težak,3.9,1.8,NA,20,5.45,2.21,NA,20,6.9,0.31,NA,20,5.15,1.76,NA,20
hello,halo,6.1,1.45,NA,20,3.8,1.96,NA,20,6.95,0.22,NA,20,4.7,2.27,NA,20
help,pomoć,6.75,2.31,NA,20,5.1,2,NA,21,6.9,0.31,NA,20,4.38,1.94,NA,21
high,visok,6.4,2.26,NA,20,4.65,2.16,NA,20,6.65,1.18,NA,20,5.89,1.52,1,19
holiday,odmor,7.5,1.7,NA,20,3.24,2.81,NA,21,7,0,NA,21,5.14,2.06,NA,21
home,dom,7.9,1.52,NA,20,2.5,2.59,NA,20,6.95,0.22,NA,20,5.6,1.85,NA,20
horror,horor,3.6,2.21,NA,20,7.14,2.41,NA,21,7,0,NA,21,5.48,1.72,NA,21
hot,vruć,6.35,1.87,NA,20,5.71,2.1,NA,21,7,0,NA,20,5.33,1.71,NA,21
image,imidž,5.55,1.93,NA,20,5.57,1.89,NA,21,6.57,1.03,NA,21,4.57,2.18,NA,21
interview,intervju,5,1.26,NA,20,5.57,2.18,NA,21,6.9,0.44,NA,21,5.38,1.8,NA,21
jazz,džez,5.16,2.71,1,19,4.65,2.23,1,20,6.86,0.65,NA,21,5.52,1.66,NA,21
jeans,traperice,7.15,1.42,NA,20,4.55,2.09,NA,20,6.95,0.22,NA,20,6.7,0.57,NA,20
job,posao,6.32,1.63,1,19,5.45,2.39,NA,20,6.95,0.22,NA,20,5.55,1.85,NA,20
joint,džoint,3.7,2.6,NA,20,4.65,2.6,NA,20,6.85,0.37,NA,20,6.75,0.97,NA,20
joker,džoker,5.6,2.11,NA,20,5.85,1.93,NA,20,7,0,NA,20,4.5,1.82,NA,20
kick,udarac,4.25,2.24,NA,20,6.15,2.3,NA,20,7,0,NA,20,6.1,1.37,NA,20
kickboxing,kikboks,4.75,2.27,NA,20,5.38,2.65,NA,21,6.35,1.23,1,20,5.71,1.42,NA,21
kiss,poljubac,8.15,1.6,NA,20,6.1,3.19,NA,20,6.9,0.31,NA,20,6.7,0.57,NA,20
level,razina,5.25,1.02,NA,20,4.55,2.04,NA,20,7,0,NA,20,4.8,2.07,NA,20
life,život,7.2,1.96,NA,20,5.67,2.48,NA,21,7,0,NA,21,5.29,1.85,NA,21
light,svjetlo,7.1,1.41,NA,20,3.62,2.44,NA,21,7,0,NA,21,5.9,1.34,NA,21
link,poveznica,6.3,1.87,NA,20,3.95,2.09,NA,21,6.75,0.91,NA,20,5.05,1.77,NA,21
live,uživo,5.95,2.14,NA,20,5.5,2.21,NA,20,7,0,NA,20,5.95,1.93,NA,20
look,izgled,6.25,1.37,NA,20,4.15,1.95,NA,20,7,0,NA,20,5.45,1.82,NA,20
magic,magičan,7.45,2.11,NA,20,5.9,2.84,NA,21,6.95,0.22,NA,20,4,1.76,NA,21
mail,pošta,5.65,1.18,NA,20,3.95,2.16,NA,20,7,0,NA,20,6.2,1.15,NA,20
mainstream,prevladavajući,5.1,1.52,NA,20,4.45,2.54,NA,20,6.8,0.52,NA,20,4.65,1.95,NA,20
makeover,preobrazba,6.3,2.49,NA,20,5.62,2.42,NA,21,6.75,0.72,NA,20,3.86,1.9,NA,21
management,menadžment,4.55,1.82,NA,20,5.15,2.52,NA,20,7,0,NA,20,5.4,1.82,NA,20
manager,menadžer,5.3,2.2,NA,20,5.35,2.25,NA,20,6.95,0.22,NA,20,5.5,1.4,NA,20
mass,masovan,5.4,2.64,NA,20,5.14,2.54,NA,21,6.9,0.31,NA,20,4.86,1.59,NA,21
master,glavni,6.25,1.52,NA,20,4.8,1.85,NA,20,7,0,NA,20,5.5,2.12,NA,20
matrix,matrica,4.25,2.57,NA,20,4.25,1.92,NA,20,7,0,NA,20,4.21,1.93,1,19
messenger,glasnik,5.15,1.14,NA,20,3.67,2.11,NA,21,6.52,1.21,NA,21,4.86,1.93,NA,21
mirror,ogledalo,6.2,1.4,NA,20,5.4,1.9,NA,20,7,0,NA,20,6.25,1.52,NA,20
miss,misica,5.75,1.94,NA,20,4.53,2.27,1,19,6.35,1.73,NA,20,5.3,1.63,NA,20
monitor,zaslon,6,1.84,NA,20,4.24,1.97,NA,21,6.95,0.22,NA,20,5.81,1.25,NA,21
monitoring,praćenje,4.9,2.13,NA,20,5.35,2.52,NA,20,6.85,0.37,NA,20,5.05,1.88,NA,20
moody,zlovoljan,2.45,1.36,NA,20,5.45,2.39,NA,20,6.7,0.66,NA,20,4.6,1.9,NA,20
