word_spanish,translate_word_english,pos,valence_mean,valence_sd,valence_n,arousal_mean,arousal_sd,arousal_n,concrete_mean,concrete_sd,concrete_n,imagine_mean,imagine_sd,imagine_n,availability_mean,availability_sd,availability_n,familiar_mean,familiar_sd,familiar_n
ejemplo,instance,V N,5.45,1.05,20,4.09,1.54,22,2.05,1.5,21,1.82,1.1,22,4.32,2.1,22,6.52,1.31,23
electricidad,electricity,N,5.36,1.29,22,5.3,2.49,20,4.3,2.08,20,4.15,1.79,20,3.64,2.28,22,6.13,1.14,23
elegante,elegant,A,7.95,1.05,22,4.4,2.35,20,4.35,2.03,20,4.95,1.99,20,5.39,2.08,23,6.27,1.08,22
elemento,element,N,5.09,0.29,22,4.25,2.02,20,1.55,1.14,22,1.86,1.32,22,3.64,2.08,22,5.83,1.75,23
eliminación,elimination,N,2.59,1.68,22,5,2.7,20,3.8,2.02,20,2.75,2.24,20,3.26,2.12,23,5.43,1.47,21
elogio,praise,V N,7.8,1.06,20,6.05,2.34,22,3.14,1.88,21,2.8,1.54,20,4.22,1.98,23,4.81,1.36,21
embajada,embassy,N,4.95,0.58,22,4.73,1.96,22,5.4,1.64,20,4.14,2.23,22,4,2.29,22,3.57,1.29,21
embarazada,pregnant,A N V,7.68,1.17,22,5.95,2.44,20,6.76,0.7,21,6.73,0.55,22,6.29,1.55,24,6.1,1.21,20
embarazo,pregnancy,N V,7.2,2.07,20,7.18,2.34,22,5.95,1.63,21,6.85,0.49,20,6.52,0.95,23,6.09,1.41,22
emoción,emotion,N,8.3,0.86,20,8.23,1.15,22,2.5,1.64,20,3.15,1.79,20,6.43,0.99,23,6.55,0.74,22
emperador,emperor,N,4.85,1.31,20,5.05,2.04,20,5.05,1.47,21,5.05,1.53,22,4.18,2.44,22,4.29,2.19,21
emperatriz,empress,N,5.1,1.45,20,4.75,1.83,20,5.38,1.5,21,4.59,1.79,22,3.5,2.43,22,4.29,1.38,21
empresaria,businesswoman,N,5.57,1.2,28,4.48,1.68,23,4.18,1.76,22,4.48,2.02,21,4.43,2.09,21,5.35,1.79,20
empresario,entrepreneur,N,5.29,1.44,28,4.8,1.94,20,4.73,1.8,22,4.71,1.9,21,4.62,1.77,21,5.38,1.4,21
enamorado,in love,A V,8.05,1.24,21,6,2.96,22,4.1,1.89,20,4,1.81,23,6.5,1.06,22,6.35,1.09,20
encaje,lace,V N,5.52,1.41,23,3.8,2.12,20,4.95,1.56,22,5.14,1.96,22,2.95,2.19,22,4.48,1.57,21
encuentro,find,V N,7.25,1.59,20,5.86,2.17,22,2.65,1.69,20,3.65,1.46,20,5.43,1.75,23,6.35,1.04,20
enemigo,enemy,N,2.57,1.47,21,6.95,2.04,21,5.1,1.37,20,3.4,1.9,20,4.85,1.95,20,5.64,1.43,22
enérgico,energetic,A,6.9,1.17,20,6.18,2.02,22,4.57,1.59,23,4.17,2.1,23,5.14,2.03,22,5,1.98,23
enfadado,angry,V A,1.95,0.92,21,6.9,1.33,20,5.04,1.89,23,5.09,2,23,5.91,1.77,22,6.48,0.87,21
enfado,anger,N,2.43,0.98,21,7.35,1.18,20,4.74,1.79,23,4.74,2.07,23,5.77,1.72,22,6.62,0.67,21
enfermedad,disease,N,1.35,0.65,23,8.35,0.93,20,2.35,1.35,20,3.1,1.41,20,5.77,1.31,22,6.1,1.22,21
enfermero,nurse,N,5.5,1.88,20,5.6,1.67,20,6,1,21,6.57,0.75,21,6.18,1.05,22,6.25,0.79,20
enfurecido,enraged,V A,2.5,0.8,22,7.24,1.97,21,5.26,1.48,23,4.52,2.33,23,4.77,2.25,22,5.19,1.66,21
engañar,to deceive,V,1.48,0.67,23,7.64,1.56,22,4.05,1.91,21,2.67,1.46,21,5,2.05,22,6.23,0.97,22
enigma,enigma,N,5.27,1.55,22,6.68,1.78,22,2.95,1.57,20,2.65,1.53,20,3.35,1.76,20,4.24,1.55,21
enmienda,amendment,N,4.7,0.98,20,4,2.02,21,4.3,1.77,23,1.83,0.98,23,1.77,1.19,22,3.14,1.88,21
enredo,tangle,V N,3.33,1.17,24,5.86,2.03,21,3.55,1.65,22,3.71,1.62,21,3.85,2.03,20,5.5,1.36,20
enterrador,undertaker,N,1.6,1.05,20,6.4,1.98,20,5.81,1.21,21,5.41,1.5,22,4.68,2.19,22,3.95,2.37,20
entierro,burial,V N,1.35,0.49,20,7.27,1.49,22,6.15,0.88,20,5.95,1.47,20,6.2,1.01,20,5.71,1.74,21
entorno,environment,V N,5.95,1.4,22,5.25,2.12,20,2.9,1.92,20,2.64,1.43,22,4.88,2.25,24,6.2,1.28,20
entusiasmo,enthusiasm,V N,7.91,1.11,22,7.35,2.32,20,3.4,1.76,20,2.75,1.68,20,5.09,2.07,23,5.81,1.03,21
episodio,episode,N,5.71,1.23,24,4.14,1.62,21,3.9,1.18,21,3.05,2.13,22,4.8,2.48,20,6.32,0.78,22
época,time,N,5.22,0.74,23,4.65,1.93,20,2.55,1.34,22,2.76,1.48,21,3.82,2.13,22,5.71,1.19,21
erección,erection,N,6.9,1.94,20,7.41,1.97,22,6.27,1.2,22,6.57,0.6,21,5.96,1.3,23,6.2,1.11,20
erótico,erotic,A,7.48,0.98,21,7.14,1.91,22,5.35,1.5,23,5.43,1.7,23,5.77,1.66,22,6.09,0.75,22
escala,scale,V N,4.75,0.55,20,3.73,1.83,22,2.5,1.43,20,2.91,2.02,22,4.35,2.54,20,5.91,1.06,22
escalera,ladder,N,4.95,0.49,22,4,1.84,21,6.29,1.27,21,6.82,0.5,22,6.36,1.09,22,6.6,0.99,20
escaparate,showcase,N,5.86,1.21,28,3.83,2.21,23,4.91,1.85,22,6.67,0.58,21,5.14,1.85,21,6,1.14,21
escasez,scarcity,N,2.04,1.15,23,6.35,2.58,20,3.55,2.04,20,3.76,2.26,21,3.82,1.99,22,5.55,1.93,20
escena,scene,N,5.55,0.8,22,4.55,1.65,22,3.45,1.5,22,4.35,1.79,20,5.55,1.82,22,5.7,1.42,20
escenario,stage,N,6.5,1.72,24,6.38,2.18,21,5.2,1.15,20,6.41,0.85,22,5.9,1.86,20,5.55,1.73,20
escéptico,skeptical,A,4.23,0.87,22,4.55,1.44,22,4,1.76,21,1.77,1.51,22,2.55,1.77,22,3.91,1.95,22
escorpión,scorpion,N,3.35,1.73,20,6.5,1.82,20,6.7,0.56,23,6.78,0.67,23,5.36,2.01,22,5.05,1.76,22
escote,cleavage,V N,5.71,1.78,28,4.87,2.05,23,5.68,1.55,22,6.52,0.87,21,4.62,2.33,21,6.23,1.19,22
escritora,writer,N,6.04,0.84,28,3.52,1.95,23,5.68,1.13,22,5.14,1.62,21,5,1.87,21,6.09,1.06,22
escuela,school,N,6.15,1.64,26,4.9,1.89,20,5.52,1.36,21,6.65,1.14,20,6.32,1.29,22,6.67,0.48,21
escultora,sculptor,N,6.39,1.07,28,4.17,1.97,23,5.27,1.24,22,4.14,2.13,21,3.52,1.83,21,4.73,2.03,22
esfuerzo,effort,V N,7.85,1.14,20,5.55,2.2,22,2.4,1.5,20,3.09,1.6,22,5.35,2.04,23,6.15,1.18,20
espanto,fright,V N,2.86,1.55,22,7.45,1.39,20,3.05,1.94,21,2.68,1.52,22,3.41,2.06,22,4.1,1.92,20
espantoso,frightening,A,2.55,1.05,20,6.35,2.16,20,3.83,1.85,23,3.61,1.8,23,5.59,1.3,22,5.24,1.73,21
esperanza,hope,N,7.7,1.36,23,4.65,3.23,20,2.5,1.67,20,2.3,0.92,20,4.5,1.92,22,5.95,1.36,20
esqueleto,skeleton,N,4.38,2.1,24,5,2.24,21,5.9,1.61,21,6.62,0.5,21,5.95,1.9,20,5.86,1.25,22
esquina,corner,N V,4.45,1.1,22,4.1,1.68,20,5.59,1.53,22,6.62,0.74,21,4.5,2.26,22,5.81,1.03,21
estado,state,N V,5.17,1.2,24,4.86,1.49,21,2.35,1.66,20,1.95,1.33,22,3.45,2.26,20,5.55,1.73,20
estallido,pop,N,3.35,1.43,23,7.45,1.47,22,5.25,1.45,20,3.95,2.37,20,4.73,1.98,22,4.09,1.57,22
estantería,shelf,N,5,0.77,28,3.65,2.25,23,5.73,1.8,22,6.81,0.51,21,5,2.19,21,6,1.41,20
estilista,stylist,N,6.2,1.2,20,4.55,2.06,20,5.38,1.12,21,5.25,1.48,20,4.95,2.08,22,4.55,2.16,20
estilo,style,N,6.35,1.04,20,3.82,1.79,22,2.5,1.47,22,3.3,1.84,20,3.96,2.29,23,6,1.31,23
estimulación,stimulation,N,6.73,1.28,22,6.75,2.15,20,3.3,1.45,20,2.15,1.6,20,4.22,2.09,23,5.86,1.39,21
estímulo,stimulus,N,6.09,1.27,22,6.55,1.99,20,3.4,1.93,20,2.5,1.88,20,4.7,1.92,23,5.95,1.6,21
estómago,stomach,N,4.73,1.03,22,4.27,1.83,22,5.95,1.23,20,5.87,1.29,23,5.23,1.93,22,6.57,0.95,23
estrecho,narrow,V A N,4.48,0.81,21,4.95,2.19,22,3.85,2.06,20,4.6,1.54,20,5.15,2.28,20,5.38,1.4,21
estuche,case,V M,5.17,0.49,23,3.7,1.63,20,5.67,1.59,21,6.75,0.55,20,6.45,0.91,22,5.9,1.55,20
eternidad,eternity,N,6.7,1.92,23,4.55,2.93,20,2.68,1.86,22,1.9,1.45,21,3.91,2.27,22,4.75,1.86,20
ética,ethics,A N,6.95,1.28,20,3.77,2,22,3.27,2.05,22,1.9,1.09,21,3.96,2.65,23,4.95,1.94,21
etiqueta,label,N,4.81,1.03,21,3.86,1.88,21,4.41,1.87,22,6.2,1.01,20,5.2,2.38,20,6.05,1.28,20
eufórico,euphoric,A,7.68,1.09,22,7.2,1.01,20,4.91,1.53,23,4.74,1.74,23,5.55,1.71,22,5.3,1.3,20
evolución,evolution,N,7.09,1.41,23,5.59,1.76,22,2.59,1.47,22,2.73,1.55,22,4.41,1.92,22,5.61,1.73,23
exceso,excess,N,3.88,2.01,24,6.9,1.73,21,3.09,1.44,22,3.15,1.35,20,4.45,2.06,20,6,1.26,20
excitado,excited,V,7.62,1.12,21,7.82,1.18,22,4.17,1.87,23,4.78,2,23,5.95,1.33,22,6,0.95,21
exclusión,exclusion,N,2.22,1.35,23,6.86,1.96,22,3.05,1.65,22,2.55,1.26,22,4.14,1.81,22,4.23,1.88,22
excursión,tour,N,7.67,1.2,24,5.81,2.38,21,4.3,2.05,20,5.09,1.57,22,6.8,0.52,20,6.2,1.44,20
exhibición,display,N,5.82,1.22,22,6.15,1.84,20,3.8,1.94,20,3.85,2.18,20,4.17,2.01,23,5.55,1.3,22
exigencia,requirement,N,4.38,1.69,21,6.23,1.66,22,3.4,1.85,20,1.77,1.45,22,4.45,1.9,20,5.19,2.04,21
exilio,exile,V N,2.82,1.68,22,5.95,2.46,20,3.76,2.07,21,4.1,1.81,21,3.5,2.37,22,4.55,1.79,22
éxito,success,N,8.3,0.82,23,6.7,2.74,20,2.45,1.5,20,3.6,1.5,20,5.41,1.53,22,5.95,1.43,20
explosión,explosion,N,1.59,1.1,22,8.25,1.21,20,5.1,1.37,20,5.45,1.57,20,5.61,1.75,23,5.59,1.44,22
explotación,exploitation,N,2,1.45,23,7.55,1.37,22,3.6,2.01,20,3.09,1.97,22,4.91,2.14,22,4.67,1.71,21
explotador,operator,N,1.85,1.42,20,7.15,1.93,20,3.38,1.72,21,2.73,1.55,22,2.95,1.81,22,4.73,1.45,22
éxtasis,ecstasy,N,6.29,2.22,21,7.55,1.47,22,4.41,1.76,22,3.41,1.92,22,4.25,2.22,20,5,1.67,21
extinción,extinction,N,2.33,1.76,24,5.48,2.38,21,3.65,1.81,20,2.32,1.49,22,3.8,1.99,20,5.2,2.07,20
extrañeza,strangeness,N,4.18,1.14,22,4.82,2.28,22,3.14,1.65,21,1.86,1.52,22,2.59,1.74,22,4.6,1.7,20
fábrica,factory,N,4.14,1.28,22,4.5,1.68,22,6.09,1.19,22,6.27,0.98,22,5.23,2.09,22,5.95,1.21,22
facha,facade,V N,3.05,1.53,22,6.81,1.72,21,3.55,1.68,22,4.15,1.53,20,5,1.84,20,4.82,1.62,22
facilidad,ease,N,6.65,1.61,23,4.2,2.8,20,2.45,1.36,20,2.45,1.15,20,3.59,1.74,22,6.25,1.29,20
facultad,faculty,V N,5.71,0.9,21,5.68,1.64,22,4.38,2.2,21,5.81,1.5,21,6.15,1.57,20,6.45,1,20
falda,skirt,N,6.04,1.07,28,4.17,2.27,23,6,1.02,22,6.86,0.36,21,5.81,1.08,21,6.64,0.73,22
falso,FALSE,V A N,2.71,1.1,21,6.14,1.42,22,3.25,1.68,20,2.5,1.43,20,3.75,2.12,20,6.19,1.21,21
famosa,famous,A N,5.6,1.57,20,6,2.18,20,4.33,1.83,21,4.9,1.45,21,5.82,1.47,22,5.95,1.47,21
fantasía,fantasy,N,7.86,1.17,22,5.7,2.11,20,2.82,1.53,22,2.61,2.02,23,4.14,2.08,22,5.91,1.27,22
farmacéutica,pharmaceutical,N A,5.75,1.14,28,4.04,1.92,23,5.95,1.36,22,6.48,0.6,21,5.81,1.69,21,5.86,1.42,21
faro,lighthouse,N,5.6,1.05,20,3.05,1.77,21,6.7,0.92,20,6.86,0.36,21,5.59,1.92,22,4.9,1.37,21
fascinación,fascination,N,7.33,1.24,24,6.95,2.36,21,3,1.72,22,2.26,1.89,23,4.15,1.84,20,4.75,1.59,20
fascinante,fascinating,A,8.36,0.66,22,6.2,3.02,20,3.2,1.47,20,1.6,0.75,20,3.7,2.12,23,5.5,1.67,20
fatalidad,fatality,N,2.32,1.25,22,6.7,1.72,20,2.35,1.42,20,1.86,1.25,22,2.86,2.01,22,4.68,1.94,22
faz,face,N,4.91,0.29,22,3.45,1.68,22,3.1,2.07,21,2.17,1.77,23,2.32,2.03,22,3.35,1.79,20
fealdad,ugliness,N,3.14,1.32,22,5.25,2.15,20,3.36,2.04,22,3.81,1.83,21,3.77,2.33,22,3.76,1.87,21
fecha,date,V N,5.05,1.05,20,4.64,1.36,22,3.91,1.95,22,3.9,1.8,20,6.3,1.56,20,6.7,0.56,23
felicidad,happiness,N,8.83,0.49,23,5.3,3.74,20,2.85,1.87,20,4,1.98,23,5.95,1.56,22,6.75,0.72,20
feliz,happy,A,8.55,0.69,20,5.55,3.15,20,5,2.09,23,5.39,1.95,23,6.41,1.44,22,6.77,0.53,22
figura,figure,N V,5.14,0.76,28,3.83,2.1,23,2.5,1.65,22,5.38,1.63,21,4.29,2.24,21,5,1.45,21
firma,signature,N V,5.45,0.8,22,3.95,1.68,22,5.48,1.75,21,6.27,1.2,22,5.65,2.11,20,6.05,1.56,21
flamenco,flamenco,A N,5.86,1.24,21,4.19,2.16,21,4.95,1.36,20,5.85,1.69,20,5,1.92,20,4.86,1.73,22
foco,focus,N,4.86,1.01,21,4.86,2.03,22,4.86,1.52,22,6,1.56,20,5,2.51,20,4.85,1.9,20
follón,mess,N,3.67,1.77,21,6.5,1.93,20,3.61,1.83,23,4.61,2.19,23,5.86,1.39,22,5.95,0.97,21
forastero,outsider,A N,5.09,1.44,23,4.05,2.32,22,3.85,1.76,20,4.55,1.67,20,4.91,1.93,22,4.61,1.83,23
fortuna,fortune,N,7.09,1.57,22,5.7,1.87,20,2.62,1.5,21,4.4,1.43,20,4.55,1.93,20,4.9,1.97,20
fotógrafa,photographer,N,7.35,1.18,20,3.85,2.01,20,5.57,1.16,21,6.29,1.06,21,6.27,1.2,22,6.14,1.24,21
fotografía,photography,N,6.5,1.86,26,3.85,1.84,20,5.76,1.41,21,6.3,1.26,20,6.14,1.21,22,6.5,0.69,20
fotógrafo,photographer,N,6.45,1.32,20,4.05,2.38,22,6.59,0.67,22,6.64,0.79,22,6.13,1.52,23,5.95,1.36,20
fracaso,failure,V N,1.61,0.72,23,7.75,1.59,20,3.27,1.7,22,2.48,1.73,23,4.23,2.11,22,5.76,1.09,21
fracción,fraction,N,4.67,0.86,21,3.35,1.84,20,3.15,1.31,20,4,2.07,21,3.55,1.93,20,4.14,1.85,21
fragilidad,fragility,N,3.05,1.25,22,4.6,2.21,20,3.4,1.98,20,3.3,1.49,20,4.73,1.91,22,5.85,1.79,20
frialdad,chill,N,3.33,1.66,24,4.81,2.77,21,2.85,1.76,20,2.3,1.33,23,3.4,2.06,20,5.1,2.13,20
frustración,frustration,N,1.88,1.08,24,5.62,2.62,21,3.8,1.88,20,2.32,1.43,22,4,2.03,20,5.5,1.15,20
fruto,fruit,N,6.23,1.11,22,3.15,1.79,20,4.14,1.98,22,5.91,1.27,22,4.95,1.85,20,6.18,1.18,22
fuerte,strong,A N B,7.5,1.56,24,6.19,2.04,21,3.73,1.64,22,4.96,1.69,23,5.4,1.96,20,6.71,0.56,21
fuerza,force,V N,7.63,1.44,24,7.24,1.76,21,2.2,1.4,20,3.41,1.92,22,5.4,1.79,20,6.5,1.19,20
fugitivo,fugitive,A N,2.85,1.53,20,6.91,1.77,22,4.05,1.57,20,5.14,1.49,21,5.26,1.98,23,4.25,2.15,20
función,function,N,5.33,0.97,21,4.05,1.47,20,2.59,1.47,22,2.17,1.56,23,3.45,2.06,22,5.5,1.44,22
furgoneta,van,N,5.25,0.75,28,4.35,2.21,23,6.27,0.98,22,7,0,21,5.38,1.86,21,6.14,1.17,22
furia,fury,N,3.05,1.32,20,7.09,1.34,22,3.76,2.1,21,3.62,1.53,21,4.64,2.24,22,5.19,1.86,21
fusil,rifle,N,2.59,1.44,22,6.86,1.93,22,6.4,0.82,20,6.3,1.08,20,4.45,1.67,20,5.15,1.69,20
fútbol,football,N,5.32,2.15,22,6,2.25,20,6.64,0.73,22,6.32,0.89,22,6.17,1.4,24,6.65,0.93,20
futuro,future,A N,7.4,1.57,20,7.41,1.68,22,2,1.52,20,2.61,1.8,23,4.48,2.56,23,6.75,0.44,20
gabardina,raincoat,N,5,1.15,28,3.3,1.89,23,6.32,1.13,22,6.52,0.87,21,4,2.1,21,4.73,2.05,22
galardón,award,N,7.75,0.97,28,6,2.7,23,4.27,1.88,22,3.14,1.71,21,3.14,1.85,21,4.33,1.83,21
ganado,cattle,A N V,6.29,1.97,24,4.14,1.82,21,4.65,2.03,20,6,1.27,22,5.25,1.59,20,4.5,2.16,20
ganadora,winner,N,7.5,1.36,20,6.05,2.09,20,4.1,2.02,21,5.24,1.7,21,4.68,1.81,22,6.09,1.34,22
ganar,to win,V,7.58,1.35,24,7.1,2.45,21,4.14,1.7,22,3.45,1.67,20,6.15,1.18,20,6.52,0.81,21
gangrena,gangrene,N,2.4,1.47,20,6.36,2.22,22,5.39,1.88,23,4.26,2.42,23,2.68,2.08,22,3.7,2.36,20
garfio,hook,N,4.29,1.18,28,4.87,2.18,23,6,1.45,22,6.43,1.47,21,3.38,2.62,21,4.04,2.08,23
garganta,throat,N,4.55,1.15,20,3.95,1.94,22,6.35,0.93,20,6.14,0.89,22,5.09,2.09,22,6.4,0.82,20
garrote,club,N,3.15,1.73,20,6.3,1.63,20,5.05,1.77,21,4.32,2.42,22,3.05,2.3,22,3.2,2.02,20
gato,cat,N,5.76,1.7,21,4.1,1.97,21,6.38,1.16,21,7,0,23,6.4,1.14,20,6.62,1.16,21
gemido,groan,N V,5.27,2.1,22,7.1,2.02,20,4.5,1.54,22,3.86,2.14,22,5.38,1.91,24,5.77,1.45,22
género,genre,N,4.9,0.44,21,3.91,1.51,22,2.5,1.61,20,3.81,2.34,21,3.86,2.1,22,5.45,1.99,20
genialidad,genius,N,8.27,0.88,22,5.7,2.72,20,3.2,1.99,20,2.3,1.89,20,4.04,2.27,23,4.86,1.74,21
genio,genius,N,6.45,1.36,20,5.2,2.02,20,3.86,1.81,22,4.95,1.99,20,4.55,2.19,20,5.82,1.26,22
gente,people,N,6.48,1.4,21,5.41,2.42,22,3.1,2.15,20,6.6,0.68,20,6.2,1.4,20,6.85,0.49,20
gerente,manager,N,4.73,0.83,26,5.2,1.96,20,5.24,1.37,21,3.5,1.85,20,2.95,1.56,22,4.48,1.83,23
gestión,management,N,4.64,0.73,22,4.5,1.85,22,3.5,1.67,20,2.48,1.5,21,3.73,2.29,22,5.25,1.83,20
gimnasio,gym,N,5.5,1.95,22,6.1,2.27,20,6.2,0.83,20,6.87,0.34,23,5.75,1.96,24,6.77,0.53,22
gimnasta,gymnast,N,6.04,1.14,28,4.96,2.1,23,5.59,1.33,22,5.9,1.04,21,5.24,1.67,21,4.82,1.89,22
giro,rotation,V N A,4.86,0.73,21,4.82,1.92,22,4.3,1.56,20,4.18,1.71,22,4,2.23,22,6.45,1.05,20
globo,globe,N,6.17,1.37,23,3.6,2.16,20,5.77,1.51,22,6.48,1.21,21,6.5,1.19,22,5.57,1.33,21
gobernador,governor,N,3.45,1.64,20,5.45,1.84,22,6.23,0.81,22,5.71,1.62,21,4.55,2.26,22,5.45,1.47,22
goce,enjoyment,N V,7.1,1.37,21,6.77,1.15,22,3.09,1.77,22,2.77,1.69,22,4.55,2.11,22,4.65,2.25,20
golfista,golfer,N,5.1,1.21,20,4,1.65,20,5.48,1.75,21,5.95,1.53,22,4.68,2.21,22,5.3,1.82,23
golfo,gulf,N A,4.19,1.65,26,4.7,1.87,20,4.29,1.62,21,4.15,2.3,20,3.45,2.32,22,4.09,1.82,22
gota,drop,N,5.41,1.05,22,3.29,1.82,21,5.25,1.71,20,6.65,0.99,20,5.85,2.18,20,6.52,1.08,21
gozar,to enjoy,V,7.77,1.34,22,4.4,3.22,20,3.86,1.88,22,3.4,1.7,20,6.05,1.56,22,4.95,1.7,20
grado,degree,V N,5.39,1.23,23,4.27,1.55,22,3.1,1.55,20,1.91,1.48,22,4.18,2.4,22,5.62,1.2,21
graduada,graduate,A V,7.07,1.46,28,6.61,2.43,23,4.36,1.47,22,5.52,1.33,21,4.95,1.94,21,5.95,1.53,21
granjero,farmer,N,5.5,1.1,22,2.95,1.82,20,5.95,0.9,22,6.38,1.02,21,5.19,1.89,21,4.76,1.58,21
grano,grain,V N,3.7,1.45,20,4.77,2.11,22,4.68,1.73,22,6.52,0.73,23,5.2,1.88,20,6.23,1.07,22
grave,grave,V A,2.7,1.56,20,6.82,1.82,22,3.78,1.73,23,3.39,1.7,23,5.18,1.68,22,5.82,1.1,22
grieta,crack,N,3,1.23,22,4.85,1.98,20,6.14,0.71,22,6.85,0.37,20,3.88,2.42,24,4.75,1.8,20
guante,glove,N,5.15,0.81,20,3.95,1.79,22,6.14,1.39,22,6.86,0.36,21,5.91,1.74,22,6.62,0.59,21
guardería,nursery,N,6.55,1.54,20,4.43,2.31,21,6.2,0.83,20,6.35,1.14,20,5.6,1.79,20,5.33,1.93,21
guardián,guardian,N,5.29,1.46,28,4.91,1.98,23,3.82,1.44,22,4.1,2.23,21,3.29,1.62,21,4.36,1.81,22
guerrero,warrior,A N,3.65,1.6,20,6.23,2.18,22,5.7,1.3,20,5.45,1.32,20,4.26,2.14,23,5.55,1.47,22
guión,script,N,4.9,0.72,20,4.23,1.77,22,4.24,1.84,21,5.09,1.2,23,5.3,2.18,20,5,1.82,21
habilidad,skill,N,7.26,1.25,23,4.85,2.68,20,3.4,2.06,20,2.65,0.99,20,4.45,1.77,22,6.45,1.05,20
habitación,room,N,5.63,1.38,24,3.52,1.89,21,5.76,1.45,21,6.71,0.46,21,6.65,0.67,20,6.91,0.29,22
hábito,habit,N,5.32,0.95,22,4,1.85,22,2.82,1.53,22,3.25,1.8,20,4.27,2.37,22,5.5,1.14,22
hacha,ax,N V,3.91,1.95,23,6.05,2.04,20,6.5,0.89,20,6.55,1,20,4.36,2.7,22,5.05,1.96,20
hacienda,ranch,N,3,1.34,20,5.8,1.82,20,4.57,1.99,21,2.32,1.62,22,4.64,2.13,22,5,1.52,20
hada,fairy,N,6.27,1.49,22,4.2,2.46,20,4.68,1.91,22,5.59,1.82,22,4.5,2.32,24,4.33,1.85,21
hallazgo,finding,N,6.14,2.23,22,6.7,1.95,20,3.7,1.69,20,2.7,1.78,20,3,2.02,23,4.77,1.77,22
hechicero,sorcerer,A N,5.32,1.12,28,5,2.28,23,5.18,1.59,22,4.52,1.78,21,3.57,2.13,21,4.59,1.89,22
heno,hay,N,4.91,0.68,22,3.91,1.8,22,5.55,1.61,20,3.86,2.15,21,1.64,1.33,22,3.41,2.15,22
herido,wounded,A N V,2.05,1.4,21,6.91,1.8,22,5.04,1.52,23,6.52,0.73,23,5.68,1.89,22,5.43,1.94,21
hermana,sister,V N,7.75,1.48,20,3.6,1.9,20,5.05,1.77,21,5.36,2.24,22,5.91,1.69,22,6.67,0.86,21
heroína,heroin,N,3.85,2.48,20,6.15,2.08,20,5.14,1.64,22,4.23,2.16,22,5.2,1.58,20,5.59,1.68,22
heroísmo,heroism,N,6.41,1.56,22,6.15,1.69,20,3.05,1.56,22,3.25,1.62,20,3.67,2.08,24,3.45,1.99,22
herramienta,tool,N,5.25,1.21,20,4.4,1.9,20,3.29,1.95,21,5.64,1.56,22,5.09,1.74,22,5.67,1.62,21
hervir,to boil,V,4.52,0.75,21,4.45,1.92,22,5.5,1.28,20,4.86,1.9,21,5.86,1.67,22,6.05,1.5,21
hidalguía,nobility,N,4.9,0.54,21,3.6,1.88,20,4.17,1.85,23,1.57,0.84,23,1.64,1.43,22,1.85,1.23,20
hielo,ice,V N,5.05,1.53,22,4.3,1.78,20,6.5,0.74,22,6.5,0.74,22,5.86,1.64,22,6.64,0.95,22
hierro,iron,V N,4.81,0.81,21,4.77,1.31,22,5.86,1.21,22,5.91,1.38,22,4.82,2.11,22,5.86,1.49,22
hija,daughter,N,7.27,1.19,26,4.7,2.52,20,6.19,1.17,21,4.15,2.08,20,5.73,2.07,22,6.57,1.33,21
hijo,son,N,7.05,1.56,22,5.27,1.96,22,6.2,1.51,20,5.85,1.69,20,5.85,1.63,20,6.67,0.8,21
historia,history,N,5.95,1.2,21,4.32,1.81,22,2.64,1.43,22,2.14,1.28,22,5.18,2.5,22,6.38,0.74,21
hoguera,bonfire,N,5.5,1.95,22,3.7,2.56,20,6.4,0.68,20,6.65,0.78,23,5.77,1.77,22,5.38,1.96,21
hoja,sheet,N,5.05,0.86,21,3.14,1.55,22,5.7,1.08,20,6.62,1.12,21,6.1,1.55,20,6.57,0.98,21
homenaje,tribute,N,7,1.26,20,4.5,2.09,20,3.24,1.55,21,3.91,1.82,22,4.14,2.01,22,4.57,1.99,21
homicidio,homicide,N,1.27,0.7,22,7.8,1.24,20,4.65,2.03,20,4.25,2.4,20,4.04,2.16,23,4.73,1.52,22
honradez,honesty,N,7.5,1.19,22,3.5,2.37,20,3.05,1.94,21,1.68,1.21,22,3.92,1.89,24,4.75,1.74,20
horca,gallows,N,2.82,1.33,28,6.39,1.99,23,5.86,1.28,22,5.57,1.99,21,3.33,2.37,21,2.9,1.89,20
hormigueo,tingling,N,5.18,1.76,22,6.7,1.72,20,4.4,1.85,20,3.71,2.1,21,4.79,1.82,24,4.7,1.95,20
hormiguero,anthill,N,4.79,1.59,24,4.81,2.29,21,6.4,0.94,20,5.82,1.47,22,4.45,2.09,20,4.76,2.12,21
hornear,to bake,V,6.09,1.02,22,3.95,1.76,22,5.2,1.44,20,4.24,2.1,21,5.5,1.6,22,4.43,1.54,21
horquilla,hairpin,N,4.76,0.94,21,3.14,1.67,22,6.05,1.54,20,6.38,1.36,21,5.36,2.08,22,5.55,1.5,20
horror,horror,N,2.45,1.43,20,7.2,1.36,20,2.7,1.75,20,3.55,1.7,20,3.86,2.1,22,5.73,1.16,22
hotel,hotel,N,6.82,1.3,22,3.38,1.94,21,6.6,0.6,20,6.76,0.7,21,6.35,1.6,20,6.25,1.41,20
huérfano,orphan,A N,1.45,0.8,22,5.74,2.05,23,6.05,1.15,20,4.75,1.97,20,5.39,1.7,23,4.65,1.98,20
