word_spanish,translate_word_english,pos,valence_mean,valence_sd,valence_n,arousal_mean,arousal_sd,arousal_n,concrete_mean,concrete_sd,concrete_n,imagine_mean,imagine_sd,imagine_n,availability_mean,availability_sd,availability_n,familiar_mean,familiar_sd,familiar_n
calvario,calvary,N,2.13,0.87,23,6.27,2.37,22,2.73,1.64,22,2.5,1.54,20,3.59,2.13,22,4.14,1.46,21
cama,bed,N,6.86,1.25,22,2.55,2.16,20,6.77,0.53,22,7,0,22,6.75,0.55,20,6.95,0.21,22
camarera,waitress,N,5.5,1.29,28,4.87,2.4,23,6.09,1.06,22,6.19,1.29,21,5.71,1.93,21,6.48,0.93,21
cambio,exchange,N V,5.27,1.75,22,6.1,2.15,20,3.09,1.8,22,2.09,1.41,22,5.32,1.64,22,6.38,1.07,21
camión,truck,N,5.05,0.97,21,5.05,1.54,20,6.38,1.02,21,6.86,0.35,22,6.09,1.34,22,6.24,1.22,21
camiseta,shirt,N,5.48,0.99,23,4.35,1.98,20,6.6,0.6,20,6.86,0.36,21,6.45,0.96,22,6.64,1.05,22
camisón,nightgown,N,5.38,0.9,26,3.45,1.79,20,6.14,0.96,21,6.6,0.99,20,5,2.14,22,4.85,2.08,20
campamento,camp,N,7.05,1.5,22,4.65,2.52,20,5.48,1.29,21,5.41,1.3,22,5.18,2.17,22,5.5,1.79,20
campaña,campaign,N,4.8,0.7,20,4.15,1.73,20,3.15,1.9,20,3.65,1.76,20,5.25,2.22,20,4.9,1.67,21
campeona,champion,N,8.3,0.92,20,7.09,1.8,22,5.04,1.52,23,6.04,1.36,23,4.67,1.74,21,5.6,1.6,20
campeonato,championship,N,5.67,1.66,24,6.9,2.19,21,4.5,1.47,22,5.35,1.37,23,6.1,1.21,20,5.55,1.47,22
campesino,peasant,A N,5.05,1.05,22,3.75,1.74,20,6.19,0.93,21,6.75,0.55,20,4.83,2.24,24,4.65,1.98,20
canal,channel,N,4.76,0.62,21,3.27,1.72,22,3.59,1.68,22,4.22,2.04,23,6.15,1.69,20,5.9,1.14,21
cáncer,cancer,N,1.09,0.29,22,7.6,1.31,20,5.23,1.63,22,3.09,1.66,22,5.15,1.79,20,5.81,1.69,21
canción,song,N,7.55,1.37,22,4.64,2.85,22,5.1,1.86,20,3.9,2.07,20,6.41,1.14,22,6.9,0.3,21
candado,padlock,N V,3.86,1.75,22,4.3,2.32,20,6.67,0.58,21,6.77,0.53,22,4.96,2.4,24,5.5,1.79,20
candidata,candidate,N,5.64,1.03,28,4.43,1.88,23,3.64,1.84,22,2.76,1.84,21,3.67,1.91,21,5.45,1.77,22
candidato,candidate,N,5,0.65,20,4.75,1.62,20,3.19,1.63,21,3.68,2.17,22,4.55,1.97,22,5.59,1.44,22
cansancio,fatigue,N,2.8,1.15,20,4.45,2.81,22,3.8,1.94,20,3.95,1.75,21,5.39,2.06,23,6.65,0.49,20
cantidad,amount,N,5.38,1.32,21,4.73,1.8,22,2.05,1.12,21,2.8,1.61,20,3.59,2.06,22,6.55,0.89,20
caña,cane,N V,5.14,1.35,21,4.45,1.18,22,5.2,1.44,20,6.24,0.94,21,6,1.49,20,5.86,1.46,22
cañón,canyon,N A,2.95,1.72,21,5.8,1.94,20,6.35,0.88,20,6.55,1.36,20,4.5,2.12,20,5.14,1.8,21
capa,layer,N V,5.19,0.68,21,3.95,1.7,22,5.85,1.14,20,6.41,0.85,22,5.05,2.26,20,5.45,1.53,22
capacidad,capacity,N,7.13,1.32,23,4.73,2.57,22,2.65,1.6,20,2,1.24,23,2.82,1.47,22,6.25,1.21,20
capilla,chapel,N,3.91,1.38,22,4.05,2.01,21,5.9,1.26,21,5.86,1.15,21,5.09,1.85,22,4.5,1.87,22
capital,capital,A N,5.33,0.8,21,4.5,1.88,20,4,2.24,21,4.96,1.66,23,5.1,2.15,20,6.39,0.84,23
capitán,captain,N,5.22,1.57,23,3.95,2.61,22,5.71,1.45,21,5.57,1.16,21,4.82,2.2,22,5.65,1.92,23
capricho,whim,N,5.48,2.02,21,5.55,1.82,20,2.95,1.61,20,2.14,1.46,22,4.05,2.21,22,5.6,1.79,20
carcajada,laugh,N,8.33,0.66,21,4.81,2.96,21,5.55,1.53,22,6.15,1.27,20,6.17,1.37,23,6,1.05,21
carcelero,jailer,A N,3.39,1.2,28,5.3,2.34,23,5,1.66,22,4.05,1.86,21,4,2.3,21,4.19,1.97,21
cardenal,cardinal,N,3.81,1.47,21,4.85,1.95,20,5.18,1.65,22,4.86,1.85,21,3.55,2.19,20,3.9,2.25,20
carga,load,V N,3.8,1.28,20,4.91,2.04,22,3.74,1.81,23,4.35,2.06,23,4.09,2.41,23,5.19,1.6,21
caricia,caress,N,8.1,1.04,21,4.15,3.08,20,4.55,1.54,20,5.35,1.23,20,6.2,1.2,20,6.5,0.67,22
caridad,charity,N,6.5,2.69,20,4.32,1.86,22,3.91,1.78,23,3.13,1.79,23,4.83,2.29,23,5.24,1.41,21
cariño,love,V N,8.58,0.72,24,4.86,3.28,21,3.5,1.79,22,4.19,2.04,21,5.55,1.79,20,6.82,0.5,22
cariñoso,affectionate,A,7.35,1.46,20,4.48,2.69,21,4.3,1.49,20,4.15,1.42,20,5.65,1.84,20,6.68,0.89,22
carmín,carmine,A,5.67,0.91,21,4.25,1.83,20,5.65,1.39,20,5.14,1.81,22,3.55,2.15,22,4.55,2.06,22
carnicería,butchery,N,4.15,1.39,20,5.6,1.79,20,6.22,1.31,23,6.78,0.52,23,6.05,1.21,22,5.95,1.4,22
carpeta,folder,N,5.17,0.98,23,3.9,1.83,20,6.05,1.46,22,6.77,0.53,22,6.64,0.58,22,6.62,0.59,21
cartel,poster,N,5.25,0.7,28,3.65,1.99,23,4.41,2.22,22,6.38,1.02,21,4.67,1.85,21,6.1,0.94,21
carterista,pickpocket,N,2.23,1.45,26,6.65,1.81,20,5.81,1.33,21,4.5,1.99,20,5,1.85,22,5.04,1.92,23
casaca,coat,N,5.08,0.98,26,3.85,1.79,20,5.48,1.63,21,4.7,2.39,20,2.09,1.69,22,2.38,1.66,21
casco,helmet,V N,5,0.98,22,3.5,1.82,20,6,0.97,20,6.43,0.98,21,5.8,1.82,20,6.05,1.72,21
caseta,stand,N,4.9,0.91,20,4.15,1.79,20,4.1,1.84,21,5.95,1.17,22,4.68,2.01,22,5.6,1.43,20
casino,casino,N,4.95,1.5,20,5.14,2.01,21,6.05,1.28,20,5.95,1.28,21,5,2.02,22,4.76,1.37,21
castidad,chastity,N,2.41,1.4,22,4.45,1.39,20,5.45,1.87,22,2.85,1.18,20,2.83,2.04,24,3.8,2.21,20
castillo,castle,N,6.09,1.54,22,4.15,2.3,20,6.15,0.93,20,6.81,0.4,21,5.36,1.92,22,6,1.23,22
casualidad,chance,N,6.48,1.2,23,5.1,2.31,20,2.6,1.54,20,1.77,1.45,22,4.73,1.75,22,5.85,1.6,20
catálogo,catalog,N,5.59,1.1,22,4.1,2.29,20,4.82,1.92,22,5.45,1.18,22,5,2,22,5.41,1.37,22
cateto,hick,N,3.86,1.32,22,4.65,1.93,20,4.27,1.8,22,3,1.9,22,3.55,1.82,20,4.73,1.86,22
