word_chinese_simplified,word_pinyin,age_of_learning,aoa_mean,concrete_mean,familiar_mean,imagine_mean
拆,chai1,6,4.67,5.46,6.3,5.96
柴,chai2,2,3.83,6.28,5.97,6.61
豺,chai2,7,5.68,6.16,5.84,4.81
掺,chan1,7,5.25,4.95,5.23,5.64
搀,chan1,8,4.94,5.76,5.58,6
馋,chan2,4,4.4,4.76,5.94,6.33
缠,chan2,6,4.5,5.26,6.41,5.58
蝉,chan2,4,4.69,6.74,6.42,5.82
产,chan3,2,3.56,3.97,5.74,4.68
铲,chan3,7,4.77,6,6.22,5.52
颤,chan4,5,4.88,5.41,6.16,5.77
昌,chang1,13,4.78,3.18,5.69,3.29
长,chang2,1,2.49,4.97,6.73,6.56
肠,chang2,5,4.33,6.45,6.55,6.15
尝,chang2,5,3.84,5.5,6.87,6.35
偿,chang2,15,4.6,4.08,5.47,4.29
厂,chang3,1,3,5.81,6.06,6.15
敞,chang3,5,4.87,4.93,6.16,5.29
畅,chang4,7,5.19,3,5.74,4.57
唱,chang4,1,3.41,6.23,6.93,6.52
抄,chao1,5,3.82,5.78,6.87,6.56
超,chao1,6,4.11,4.08,5.42,4.63
巢,chao2,8,4.97,6.42,5.77,6.56
潮,chao2,2,4.59,6.05,6.61,5.74
吵,chao3,4,3.44,5.33,6.63,5.87
炒,chao3,6,4.08,5.33,6.42,5.84
车,che1,2,2.65,6.84,6.9,6.48
扯,che3,8,4.66,5.86,5.77,6
彻,che4,6,4.97,3.03,5,3.55
撤,che4,5,4.95,5.03,6.61,4.94
尘,chen2,4,3.95,6.03,6.53,5.35
臣,chen2,10,4.28,5.31,6.48,5.06
沉,chen2,3,3.78,5.38,6.5,5.29
陈,chen2,3,4.38,3.28,5.39,4.41
闯,chuang3,4,4.35,5.13,6.44,5.58
衬,chen4,3,4.31,4.22,5.23,4.48
称,chen4,4,4.32,5.05,6.47,5.26
撑,cheng1,6,4.95,5.23,6.34,5.32
成,cheng2,1,3.17,3.22,5.55,3.64
呈,cheng2,5,4.56,4,5.39,3.82
诚,cheng2,2,4,3.75,6.25,4.94
城,cheng2,2,3.8,6.5,6.78,6.42
乘,cheng2,3,3.84,4.68,6.48,5.47
惩,cheng2,10,5.28,4.86,6,5.43
程,cheng2,7,4.95,3.38,6.09,3.32
澄,cheng2,3,5.42,4.05,4.69,4.47
逞,cheng3,15,5.65,3,5.25,3.39
秤,cheng4,4,4.6,6.51,5.61,6.32
吃,chi1,1,2.61,6.45,7,6.85
弛,chi2,14,5.03,4.62,5.42,4.5
池,chi2,2,3.58,6.49,6.59,6
驰,chi2,7,5.05,4.92,6.45,5.82
迟,chi2,2,3.78,4.51,5.71,5.18
持,chi2,4,4.64,4.87,6.38,4.58
齿,chi3,5,3.03,6.59,6.53,6.69
耻,chi3,7,4.74,3.45,5.78,4.82
斥,chi4,12,4.75,4.76,5.52,5.61
赤,chi4,2,4.82,3.4,4.16,4.65
炽,chi4,11,5.49,3.58,4.1,3.71
翅,chi4,2,3.82,6.32,6.56,6.1
充,chong1,4,4.13,3.54,6,4.39
冲,chong1,2,3.8,4.82,6.38,5.17
虫,chong2,1,2.6,6.64,6.37,6.81
崇,chong2,10,5.33,2.84,5.25,3.26
宠,chong3,16,4.95,3.78,6.47,5.12
抽,chou1,3,4.17,5.53,5.87,6.11
仇,chou2,7,4.18,4.15,6.25,4.87
绸,chou2,4,5.33,5.85,6.35,5.47
愁,chou2,6,4.4,4.68,5.97,5.45
稠,chou2,4,5.18,4.38,5.66,5.35
筹,chou2,7,5.87,3.5,5.28,3.74
酬,chou2,8,5.3,4.87,6.38,5.35
丑,chou3,4,3.13,5.05,6.71,5.68
瞅,chou3,3,5.15,6.24,5.84,5.55
臭,chou4,5,3.44,5.53,6.77,6.82
出,chu1,1,2.58,4.72,6.52,5.13
初,chu1,7,4.18,3.33,4.94,3.23
厨,chu2,7,4.03,6.03,6.44,5.55
锄,chu2,2,4.14,6.47,5.26,5.93
雏,chu2,15,5.59,4.26,5.16,4.55
储,chu3,8,5,5.03,5.77,5.93
