word_chinese_simplified,word_pinyin,age_of_learning,aoa_mean,concrete_mean,familiar_mean,imagine_mean
麦,mai4,3,3.63,6.56,6.87,6.29
卖,mai4,3,3.26,6.15,6.81,6.06
脉,mai4,8,4.72,5.13,6.34,5.45
瞒,man2,15,4.86,4.62,6.03,4.68
满,man3,2,3.63,4.74,6.61,5.71
慢,man4,2,3.15,5.28,6.71,6.18
漫,man4,1,5.15,3.82,4.91,3.68
忙,mang2,2,3.33,4.62,6.67,6
盲,mang2,12,4.3,5.36,6.13,5.65
蟒,mang3,17,5.88,6.5,5.5,5.45
猫,mao1,1,3,7,6.87,6.56
茂,mao4,3,4.67,3.97,5.58,5.44
冒,mao4,2,4.13,4.05,6.06,5
贸,mao4,9,4.87,3.15,5.09,4.06
帽,mao4,2,3.44,6.83,6.57,6.96
貌,mao4,4,4.28,4.23,6.55,5.26
眉,mei2,3,3.23,6.63,6.37,6.86
媒,mei2,17,5,3.78,5.65,4.57
楣,mei2,13,5.77,4.7,4.23,3.53
煤,mei2,6,4.08,6.92,6.68,6.32
霉,mei2,5,5.23,4.78,5.88,5.15
美,mei3,2,3.08,4.53,6.93,6.42
妹,mei4,3,2.92,6.56,6.87,6.78
昧,mei4,16,5.62,2.65,4.19,3.29
媚,mei4,5,5.43,4.03,6.22,4.52
门,men2,1,2.58,6.89,6.97,6.61
扪,men2,15,6.23,3.82,2.63,3.73
闷,men4,2,4.26,4.63,5.38,5.03
盟,meng2,18,5.84,3.7,5.97,4.44
猛,meng3,5,4.45,4.33,6.47,5.68
蒙,meng3,4,4.72,4.15,6.03,4.88
懵,meng3,15,6.47,3.73,3.87,3.15
梦,meng4,6,3.67,5.19,6.6,6.74
迷,mi2,2,4.1,3.8,6.03,4.32
谜,mi2,2,4.11,5.03,6.13,5.75
眯,mi1,5,4.28,5.53,6.34,5.91
觅,mi4,13,5.49,5.1,6.19,5.19
密,mi4,1,3.94,3.78,5.97,4.89
蜜,mi4,3,3.8,5.5,6.28,5.61
眠,mian2,8,4.5,4.86,5.71,5.29
棉,mian2,3,3.67,6.35,6.74,6.32
免,mian3,6,4.15,3.15,6.3,4.5
勉,mian3,5,4.78,3.72,5.06,3.77
面,mian4,1,2.9,6.5,6.31,5.74
苗,miao2,1,3.31,5.98,6.8,5.71
描,miao2,6,4.06,5.19,6.13,6.41
瞄,miao2,10,4.72,5.19,5.76,5.5
渺,miao3,7,5.56,3.49,4.9,4.57
妙,miao4,2,4.3,4.18,6.31,4.26
庙,miao4,3,4,6.32,5.77,6.74
灭,mie4,2,3.73,4.74,6.25,5.68
民,min2,1,3.2,5.42,6.72,5.19
抿,min3,7,5.86,4.43,4.77,4.64
泯,min3,16,5.86,3.78,4.06,3.78
敏,min3,5,4.42,3.73,4.97,4.21
明,ming2,2,3.13,4.74,6.58,5.06
鸣,ming2,3,4.61,5.19,5.55,5.82
茗,ming2,18,6.37,4.38,4,4.18
铭,ming2,12,5.45,4.13,4.38,3.65
命,ming4,1,3.97,3.86,6.42,5.54
摸,mo1,2,3.65,5.54,6.66,6.55
馍,mo2,14,5.19,6.64,4.94,6.7
膜,mo2,5,5.21,5.5,6.29,4.94
磨,mo2,3,4.45,5.79,6.26,5.9
抹,mo3,8,4.44,5.36,6.19,5.68
末,mo4,5,4.31,4.05,6.09,4.56
沫,mo4,3,4.54,5.78,5.58,5.93
墨,mo4,3,4.44,6.49,5.93,6.68
谋,mou2,6,5.23,4.21,6.39,4.61
母,mu3,5,2.82,5,5.16,5.65
木,mu4,1,3.28,5.3,5.88,5.24
目,mu4,2,2.72,6.53,6.58,6.26
沐,mu4,7,5.18,4.72,5.48,5.61
牧,mu4,2,4.51,3.88,5.13,5.03
募,mu4,18,5.82,4.2,5.72,4.44
墓,mu4,13,4.65,6.69,6.25,5.74
慕,mu4,4,5.18,3.3,5.94,4.56
暮,mu4,8,5.13,5.72,5.88,5.68
拿,na2,1,3.14,5.89,6.79,6.59
内,nei4,5,3.31,4.49,5.61,4.3
纳,na4,13,5,3.94,4.81,3.18
娜,na4,11,4.94,3.46,4.35,3.64
钠,na4,15,6.28,5.83,6.58,4.88
奶,nai3,2,2.64,6.06,6.63,6.57
耐,nai4,3,4.45,3.18,5.03,4.19
男,nan2,4,2.74,5.97,5.87,6.92
南,nan2,1,2.95,5.38,6.77,5.88
难,nan2,2,3.64,3.86,6.47,6.04
挠,nao2,5,4.73,5.67,5.94,5.39
恼,nao3,4,4.33,4.63,5.72,5.53
脑,nao3,2,3.38,6.59,6.9,6.84
闹,nao4,2,3.92,4.98,6.44,6.12
嫩,nen4,4,4.4,4.42,6.28,5.29
能,neng2,2,3.63,3.74,6.58,4.45
尼,ni2,9,4.87,2.85,4.25,3.09
泥,ni2,4,3.08,6.62,6.97,6.64
霓,ni2,22,5.74,4.18,5.31,4.74
拟,ni3,7,5.15,3.15,5.19,3.47
昵,ni4,10,5.67,3.26,4.78,3.13
逆,ni4,12,4.71,3.94,5.16,4.41
匿,ni4,13,5.87,3.75,5.13,4.18
睨,ni4,19,6.24,4.28,4.53,3.85
腻,ni4,6,5.38,4.54,6.19,4.58
拈,nian1,13,5.25,5.49,5.41,5.37
捻,nian3,13,6.09,5.73,4.48,4.89
撵,nian3,14,5.62,5.4,5.69,5.38
念,nian4,2,3.63,5.53,6.63,6.62
娘,niang2,4,3.08,6.77,6.7,6.89
酿,niang4,10,5.51,4.68,6.23,5.35
鸟,niao3,1,2.79,6.9,6.97,6.56
尿,niao4,8,3.28,6.53,6.3,6.32
捏,nie1,5,4.38,5.79,6.09,6.03
孽,nie4,18,6.08,3.79,5.44,3.61
拧,ning2,8,4.44,5.86,5.9,6.36
凝,ning2,6,5.05,4.23,5.97,5.38
妞,niu1,22,4.59,6.1,6.13,5.76
牛,niu2,1,2.5,6.92,6.84,6.6
扭,niu3,4,4.18,5.67,6.31,5.32
农,nong2,1,3.23,5.28,6.77,6.06
浓,nong2,5,4,4.51,6.41,5.65
弄,nong4,2,3.98,4.23,6.5,4.35
努,nu3,5,4.25,3.18,5.59,3.84
怒,nu4,3,4.08,4.86,5.84,6.46
女,nu:3,4,2.28,5.53,6.5,5.9
暖,nuan3,3,3.8,4.87,6.31,5.42
挪,nuo2,11,4.75,5.51,5.68,5.93
诺,nuo4,12,5.05,3.5,5.63,4.13
趴,pa1,3,3.92,5.75,6.65,6.42
爬,pa2,1,3.33,5.7,6.53,6.67
怕,pa4,2,3.23,5.1,6.71,5.48
拍,pai1,2,3.36,5.85,6.53,6.23
排,pai2,1,3.77,4.88,6.25,5.21
牌,pai2,13,4.28,6.16,6.34,5.61
派,pai4,3,4.49,4.38,6.45,5.18
攀,pan1,5,4.95,5.95,6.57,6.03
蟠,pan2,15,6.13,3.05,3.31,2.57
判,pan4,6,4.73,4.13,6.19,5.03
盼,pan4,5,4.1,4.62,6.59,4.45
畔,pan4,7,4.97,5.11,4.97,5.46
旁,pang2,2,3.64,4.77,6,4.29
胖,pang4,2,3.25,5.69,6.88,6.35
抛,pao1,7,4.46,5.9,6.03,5.74
刨,pao2,3,5.08,5.65,5.45,5.79
咆,pao2,12,5.44,4.93,5.28,4.38
炮,pao2,4,3.9,6.59,6.59,5.87
袍,pao2,12,5.21,5.82,6.03,5.82
跑,pao3,2,3.53,6.34,6.91,6.29
泡,pao4,3,3.66,5.33,5.84,5.64
胚,pei1,15,5.89,5.23,5.87,4.74
陪,pei2,6,4.23,5.38,6.56,5.59
培,pei2,4,4.44,3.97,6,4.46
赔,pei2,5,4.56,4.85,6.63,5.32
佩,pei4,5,4.83,4.36,6.06,4.13
配,pei4,7,4.6,3.87,6.19,4.1
喷,pen1,5,4.17,5.49,6.06,6.67
盆,pen2,4,3.25,6.56,6.13,6.85
烹,peng1,18,5.25,5.74,6.06,5.65
朋,peng2,1,3.42,5.27,6.58,5.75
棚,peng2,3,4.55,6.51,6.26,6.19
鹏,peng2,14,4.89,5.22,6.1,5.32
膨,peng2,13,5.42,4.73,5.19,5.46
捧,peng3,2,3.72,5.7,6.78,6.03
碰,peng4,3,3.89,5.72,6.16,6.19
披,pi1,3,3.85,5.68,6.55,6.18
劈,pi1,4,4.98,5.74,6.16,5.58
霹,pi1,12,5.56,3.65,4.65,3.82
皮,pi2,2,3.05,6.38,6.61,6
脾,pi2,7,5.53,5.59,5.19,5.14
癖,pi3,14,5.86,4.17,4.8,4.61
屁,pi4,13,3.58,6.31,6.26,6.56
僻,pi4,5,5.35,4.05,5.16,4.54
骗,pian4,5,4.08,5.08,6.47,6.07
漂,piao1,1,4.37,5.36,5.58,5.61
飘,piao1,2,4.1,4.95,6.52,6.58
瓢,piao2,2,4.53,6.53,5.26,6.62
瞟,piao3,8,5.4,5.51,5.81,5.79
票,piao4,4,3.82,6.61,6.75,5.91
撇,pie1,11,5.03,4.97,5.45,5.29
瞥,pie1,18,6.06,5.41,4.77,6.04
拼,pin1,3,3.67,4.67,6.68,5.97
贫,pin2,4,4.09,4.57,6.63,6.25
聘,pin4,13,5.94,4.95,6.13,5.46
平,ping2,2,2.87,4.85,6.66,4.9
评,ping2,3,4.4,4.82,6.5,4.55
屏,ping2,2,4.95,4.26,4.81,4.39
坡,po1,2,3.83,6.27,6.13,6.43
泼,po1,2,4.1,5.23,6.19,5.87
婆,po2,7,3.55,5.82,6.68,5.62
迫,po4,8,4.75,4.26,5.78,3.87
破,po4,2,3.57,4.86,5.42,5.61
魄,po4,11,5.69,2.95,5.03,4.24
剖,pou1,7,5.59,4.85,6.48,5.59
仆,pu1,13,4.58,5.46,5.32,5.11
扑,pu1,2,3.79,5.45,6.68,5.82
铺,pu1,3,4.47,5.17,4.81,6.11
朴,pu3,2,4.68,3.15,5.63,3.97
普,pu3,6,4.49,3.26,6.09,3.13
谱,pu3,10,5.17,5.57,5.57,5.14
妻,qi1,9,4.21,6.51,6.84,6.85
栖,qi1,5,5.25,4.67,5.5,4.52
期,qi1,3,3.87,3.11,6.32,3.73
欺,qi1,4,4.45,4.33,6.44,4.84
漆,qi1,6,4.63,6.18,6.19,5.71
齐,qi2,2,3.83,4.05,4.75,4.45
奇,qi2,2,3.5,3.79,6.63,5.29
骑,qi2,3,3.8,5.84,6.37,6.7
棋,qi2,10,3.97,6.63,6.81,6.55
旗,qi2,1,3.81,6.54,6.63,6.74
企,qi3,3,4.39,3.78,5.03,4.11
启,qi3,7,4.5,4,6.16,3.58
起,qi3,1,3.31,4.25,6.48,5.56
气,qi4,1,3.22,4.25,6.27,5.46
弃,qi4,9,4.36,4.76,6.2,5.07
汽,qi4,5,3.4,5.95,6.9,5.9
泣,qi4,8,4.45,5.51,6.41,6.19
砌,qi4,8,5.39,5.24,4.94,5.64
掐,qia1,9,4.45,5.51,6.38,5.77
迁,qian1,12,4.21,4.4,6.45,5.09
牵,qian1,5,3.82,5.48,6.55,6
铅,qian1,3,4.43,6.46,6.32,4.94
谦,qian1,7,4.63,4,6.47,4.94
签,qian1,15,5,5.56,6.28,5.65
前,qian2,1,2.86,5.14,5.97,5.36
钱,qian2,2,3.71,6.57,6.73,7
钳,qian2,9,5.18,5,5.44,5.32
掮,qian2,20,6.61,3.83,3.45,3.46
潜,qian2,2,5.18,3.6,4.81,3.74
浅,qian3,3,3.61,4.81,6.13,6
谴,qian3,10,5.91,4.41,5.23,4.57
欠,qian4,8,4.28,4.49,6.47,4.48
歉,qian4,8,4.68,3.95,5.59,4.29
呛,qiang1,14,4.81,5.49,5.48,5.75
枪,qiang1,2,3.53,6.51,6.37,6.85
强,qiang2,4,4.05,3.98,6.78,6
墙,qiang2,1,3.73,6.82,6.77,6.39
樯,qiang2,17,5.97,5.58,4.53,4.52
抢,qiang3,3,3.78,5.78,6.52,6.85
跷,qiao1,3,5.13,4.95,5.56,4.41
敲,qiao1,3,4.16,6.03,6.77,6.69
锹,qiao1,9,5.23,6.11,5.31,4.9
侨,qiao2,12,5.42,3.97,4.55,4.25
桥,qiao2,1,3.42,6.64,6.45,7
瞧,qiao2,3,4.51,5.85,6.71,6.63
巧,qiao3,3,3.67,3.65,6.81,4.71
俏,qiao4,11,4.77,4,5.84,6.07
翘,qiao4,2,4.68,4.92,6.06,5.23
撬,qiao4,5,5.53,5.51,5,5.93
鞘,qiao4,11,5.77,5.25,5.41,4.26
切,qie1,3,3.6,5.15,6.42,5.58
妾,qie4,13,5.61,6.19,6.55,5.65
怯,qie4,12,5,4.26,5.81,4.58
窃,qie4,6,5.38,5.45,6.39,5.68
亲,qin1,1,3.05,3.9,6.58,5.09
侵,qin1,9,4.98,4.79,6.48,4.45
琴,qin2,4,3.82,6.69,6.84,6.79
禽,qin2,8,4.28,5.73,5.9,6.25
勤,qin2,5,4.26,4.36,6.44,4.65
擒,qin2,9,5.64,5.63,6.32,5.62
沁,qin4,6,6.03,3.38,4.41,3.7
青,qing1,1,3.23,4.67,6.03,5.55
氢,qing1,17,6.31,5.05,6.29,4.76
轻,qing1,1,3.48,4.67,6.63,5.65
倾,qing1,6,4.72,4.23,5.94,4.26
清,qing1,1,3.66,4.35,6.9,5.62
情,qing2,2,4.05,3.33,6.94,5.59
晴,qing2,3,3.8,4.74,6.74,5.68
擎,qing2,11,6,4.87,4.88,4.39
请,qing3,1,3.38,3.83,6.9,5.38
庆,qing4,5,3.83,4.44,6.34,4.77
罄,qing4,24,6.63,4.3,3.16,4.14
穷,qiong2,2,3.65,4.79,6.72,5.61
丘,qiu1,7,4.38,6.03,6.03,5.68
秋,qiu1,1,3.2,5.33,6.53,6.18
囚,qiu2,5,4.74,5.45,5.56,5.97
求,qiu2,4,3.41,4.1,6.65,5.06
泅,qiu2,19,6.35,4.62,3.59,3.08
球,qiu2,3,2.95,6.84,6.81,6.77
区,qu1,4,4.1,4.72,6.32,4.61
曲,qu1,1,3.77,5.41,6.74,5.09
驱,qu1,5,5.08,4.75,6.16,5.26
屈,qu1,10,4.69,4.33,6.09,5.15
躯,qu1,5,4.6,6.08,5.97,6.14
趋,qu1,15,5.18,3.92,6,3.55
渠,qu2,4,5.25,6.22,5.52,6.15
取,qu3,3,3.87,5.65,6.72,5.88
娶,qu3,7,4.54,5.6,6.68,6.24
去,qu4,1,2.53,4.78,6.7,5.75
觑,qu4,14,6.61,4.49,3.71,4.61
趣,qu4,3,4.29,3.68,5.97,4.44
全,quan2,2,3.1,3.95,6.48,5.06
权,quan2,3,4.83,3.68,6.13,4.39
泉,quan2,2,3.47,6.44,6.87,6.61
拳,quan2,4,4,6.58,6.53,6.48
犬,quan3,14,3.89,6.75,6.93,6.48
劝,quan4,6,4.03,5.28,6.81,6.19
券,quan4,12,5.49,5.9,6.23,5.15
缺,que1,3,4.29,4.38,5.75,4.88
瘸,que2,8,5.4,5.82,4.66,5.42
雀,que4,1,3.83,6.71,6.41,5.68
裙,qun2,5,3.53,6.7,6.69,7
燃,ran2,6,4.6,5.51,6.19,6.03
染,ran3,4,4.63,5.43,6.58,6.42
嚷,rang3,5,4.82,5.8,6.57,5.38
壤,rang3,8,4.91,6.03,5.19,5.5
让,rang4,1,3.18,4.15,6.55,5.41
饶,rao2,5,5.17,4.3,5.26,4.67
扰,rao3,5,4.73,4.95,6.47,4.97
绕,rao4,3,4.58,4.95,6.13,5.19
惹,re3,3,4.53,4.28,6.59,5.06
热,re4,1,3.18,6.03,6.77,6.85
人,ren2,1,1.86,5.73,7,6.85
仁,ren2,6,4.95,3.13,6.16,5.09
忍,ren3,6,4.25,4.49,6.58,5.39
刃,ren4,15,5,6.34,6.09,5.39
认,ren4,3,3.23,4.36,6.5,4.82
任,ren4,5,4.33,3.43,5,3.68
扔,reng1,2,3.67,6.21,6.81,6.42
绒,rong2,5,4.9,6.18,6.13,5.1
茸,rong2,1,5.03,5,5.31,4.32
荣,rong2,3,4.21,3.28,6.19,4.68
容,rong2,2,4.31,3.59,5.61,3.71
溶,rong2,16,4.93,5.15,6.13,5.52
榕,rong2,7,5.2,5.77,6.13,4.65
熔,rong2,6,5.13,5.15,6.09,5.39
融,rong2,5,4.61,3.92,5.26,4.54
柔,rou2,6,4.34,4,6.4,5.36
揉,rou2,6,4.6,5.85,6.22,6.03
肉,rou4,4,3.05,6.76,6.78,6.63
儒,ru2,13,5.78,4.23,5.88,3.94
乳,ru3,5,4.45,5.71,6.34,5.55
入,ru4,2,2.83,5.24,6.1,5.82
软,ruan3,5,3.38,5.61,6.41,5.65
蕊,rui3,19,5.08,6.18,5.94,5.5
锐,rui4,5,4.39,3.62,5.42,5.3
润,run4,4,4.93,3.92,5.91,4.45
弱,ruo4,7,3.85,4.41,6.66,4.93
撒,sa1,3,4.44,5.1,6.06,5.53
洒,sa3,4,3.97,5.71,6.61,5.65
塞,sai1,4,4.51,5.25,6.06,5.82
腮,sai1,8,5.64,6.38,6.06,5.47
赛,sai4,3,4.05,4.53,6.61,5.65
伞,san3,1,3.03,6.95,6.93,6.52
散,san3,4,4.15,4.58,6,5.15
桑,sang1,6,4.5,6.22,5.35,5.18
嗓,sang3,4,4.38,6.16,6.52,5.48
丧,sang4,7,4.72,4.3,5.13,4.43
骚,sao1,17,5.7,3.59,5.25,4.39
臊,sao1,15,5.6,3.72,4.59,3.9
扫,sao3,1,3.18,6.05,6.63,6.41
嫂,sao3,9,4.68,6.34,6.41,5.87
色,se4,2,3.19,4.59,5.87,5.71
涩,se4,7,5.15,4.38,6.25,5.82
僧,seng1,16,4.7,6.76,6.28,5.84
杀,sha1,2,3.49,6.08,6.77,6.64
沙,sha1,2,3.28,6.5,6.53,6.79
纱,sha1,4,4.53,6.13,6.16,5.5
刹,sha1,8,5.6,4.58,5.09,4.19
砂,sha1,16,4.95,6.03,6.06,5.68
鲨,sha1,4,5.33,6.28,5.81,6.77
傻,sha3,2,3.69,4.78,6.57,6.21
煞,sha4,8,5.75,3.1,4.44,3.29
筛,shai1,12,5.39,5.22,5,5.64
晒,shai4,2,4.2,5.44,6.45,5.74
山,shan1,1,2.3,6.87,6.87,6.7
删,shan1,11,5,5.74,6.56,5.42
杉,shan1,13,5.25,6.21,6.25,5.94
衫,shan1,5,4.05,6.48,6.74,6.33
煽,shan1,19,5.53,4.74,5.81,5.1
闪,shan3,1,3.87,4.82,6.13,5.74
善,shan4,5,3.97,4,6.26,5.32
擅,shan4,15,5.6,2.79,5.72,3.55
鳝,shan4,20,5.78,5.72,5.38,4.58
伤,shang1,2,3.79,4.7,6.29,6.26
晌,shang3,6,5.23,4.13,4.91,3.87
赏,shang3,5,4.74,3.75,5.59,5.38
上,shang4,1,2.18,4.68,5.63,4.32
梢,shao1,2,4.94,5.7,4.81,5.46
烧,shao1,3,3.67,5.92,6.52,6.33
勺,shao2,3,3.39,6.65,6.19,6.56
少,shao3,3,2.54,4.77,6.72,5.23
哨,shao4,2,4.11,6.23,6.07,5.57
赊,she1,11,5.82,4.9,6,5.12
舌,she2,5,2.63,6.89,6.69,6.1
蛇,she2,2,3.17,6.75,6.19,6.85
舍,she3,5,4.03,3.95,5.29,4.21
设,she4,5,4.5,3.57,5.43,4.18
社,she4,5,4.41,4.4,6.67,4.38
射,she4,3,4.28,5.58,6.71,6.44
涉,she4,8,5.61,3.81,5.03,3.89
摄,she4,5,5.49,4.41,5.71,5.14
申,shen1,12,4.41,3.03,5.41,3.55
伸,shen1,2,3.69,5.46,6.26,6.04
身,shen1,1,3.13,5.6,6.73,5.68
绅,shen1,7,5.49,3.72,4.32,4.5
深,shen1,2,3.62,5.1,6.68,6
神,shen2,2,4.14,2.76,5.68,4.56
审,shen3,6,4.64,4.41,5.84,5.15
婶,shen3,6,3.77,6.49,6.13,6.88
肾,shen4,16,5.45,6.57,6.39,6.13
渗,shen4,6,5.73,4.63,6.16,5.82
升,sheng1,2,3.49,5.08,6.65,6.12
生,sheng1,1,2.75,4.05,6.1,4.43
声,sheng1,2,3.2,6.19,6.56,5.77
胜,sheng1,3,3.86,4.05,6.32,5.32
绳,sheng2,4,3.45,6.97,6.44,6.48
省,sheng3,2,3.74,4.6,6.68,5.18
圣,sheng4,7,4.03,3.89,5.06,3.43
盛,sheng4,2,4.15,5.03,6.61,5.12
剩,sheng4,4,4.15,4.28,6.16,4.19
尸,shi1,10,4.31,6.42,6.37,6.52
失,shi1,4,3.36,4.3,6.37,4.64
师,shi1,1,2.95,6.25,6.67,6.27
诗,shi1,5,3.67,6.13,6.94,5.74
施,shi1,2,4.88,3.95,6.42,3.84
狮,shi1,2,3.8,6.76,6.42,6.72
湿,shi1,2,3.53,6.23,6.93,6.27
石,shi2,2,2.62,6.62,6.81,6.1
时,shi2,1,3.31,3.65,6.33,4.64
识,shi2,3,3.61,4.24,6.3,4.79
实,shi2,2,3.67,3.43,5.48,4.04
拾,shi2,3,4.28,5.68,5.94,5.75
食,shi2,3,3.35,5.89,6.42,5.87
使,shi3,2,4.1,3.31,6.35,3.55
始,shi3,2,4.15,3.46,5.16,3.29
驶,shi3,4,4.87,5.21,6.41,5.35
屎,shi3,14,3.64,6.89,6.74,6.58
市,shi4,2,3.44,5.46,6.23,5.46
示,shi4,2,4.25,3.72,6.23,3.74
事,shi4,2,3.33,4.38,6.9,5.25
势,shi4,5,4.7,3.1,6,3.55
视,shi4,2,3.81,5.35,6.62,5.24
试,shi4,3,3.89,4.16,6.33,4.82
饰,shi4,6,4.74,4.14,5.84,5.41
室,shi4,2,3.97,6.21,6.63,5.9
恃,shi4,15,5.93,3.77,5.03,3.45
拭,shi4,12,5.11,5.33,5.03,5.64
是,shi4,1,2.67,3.1,5.91,4.03
逝,shi4,4,5.21,4.15,6.09,5.06
嗜,shi4,16,6.21,3.65,4.78,4.09
誓,shi4,8,5.31,3.78,5.94,4.59
收,shou1,1,3.31,4.88,6.77,5.71
手,shou3,2,2.38,6.9,7,6.94
守,shou3,5,3.75,4.27,5.9,5
寿,shou4,4,4.46,3.65,6.44,4.97
受,shou4,5,4,3.77,6.35,4.03
兽,shou4,7,4.42,5.73,5.77,6.69
售,shou4,14,4.28,5.83,6.8,6.03
授,shou4,5,5.33,4.49,6.34,4.03
瘦,shou4,4,3.75,5,6.6,6.25
书,shu1,2,2.58,6.86,6.91,6.67
抒,shu1,11,5.28,3.25,5.84,4.44
叔,shu1,2,3.08,6.55,6.59,6.13
梳,shu1,9,4.23,6.19,6.45,6.3
淑,shu1,16,5.98,3.38,5.66,3.84
疏,shu1,5,4.97,3.95,4.91,4.24
舒,shu1,3,4.51,4.19,4.87,4.71
输,shu1,3,4.18,4.54,6.56,4.77
赎,shu2,19,5.66,4.45,6.03,5.12
熟,shu2,2,3.75,4.51,6.75,5.81
暑,shu3,2,3.92,5.14,5.74,5.14
署,shu3,10,5.41,3.72,4.84,3.82
鼠,shu3,1,3.13,7,6.74,6.77
曙,shu3,23,5.75,5.21,5.69,4.39
术,shu4,3,3.72,3.54,5.9,3.89
述,shu4,9,4.31,4.54,6,5.39
树,shu4,1,2.92,6.69,6.63,6.93
竖,shu4,3,3.86,5.83,5.58,5.96
恕,shu4,7,5.2,4.33,5.66,4.43
漱,shu4,3,4.65,5.38,6.19,5.48
刷,shua1,6,3.92,6.08,6.87,6.15
耍,shua3,2,4.31,4.95,6.16,5.35
衰,shuai1,11,5.17,3.84,5.26,4.75
摔,shuai1,4,3.85,5.9,6.69,6.27
甩,shuai3,2,4.06,4.97,6.4,6.52
帅,shuai4,15,4.71,4.11,6.5,6.26
拴,shuan1,7,4.8,5.41,5.94,5.13
栓,shuan1,11,5.25,5.8,4.58,5.46
涮,shuan4,22,5.43,5.84,6.35,6.16
霜,shuang1,3,4.29,6.25,5.97,6.33
爽,shuang3,5,4.78,4.46,6.77,5.65
水,shui3,1,2.25,6.81,6.84,6.74
税,shui4,13,5.18,5.49,6.25,5.37
睡,shui4,1,3.22,5.95,6.82,6.58
吮,shun3,6,4.81,5.92,6.1,6.43
顺,shun4,1,4.18,3.74,5.84,4.52
说,shuo1,1,2.77,6.21,7,6.26
烁,shuo4,5,5.36,3.83,4.38,4.15
司,si1,2,4.22,3.32,5.55,3.93
私,si1,4,4.54,3.03,5.25,3.79
思,si1,3,3.72,4.32,6.35,5.57
撕,si1,2,4.6,5.72,6.62,6.41
死,si3,1,3.34,5.05,6.43,6.63
寺,si4,5,4.38,6.1,6.73,6.21
伺,si4,14,5.64,4,5.25,4.29
似,si4,3,4.21,2.63,4.58,3.47
饲,si4,3,4.64,4.89,5.23,5.11
嗣,si4,15,6.37,4.62,3.71,4
松,song1,1,3.85,5.44,4.75,5.03
耸,song3,5,5.05,5.2,6.06,5.44
送,song4,1,3.48,5.15,6.66,6.16
颂,song4,14,4.98,4.1,6.19,4.42
搜,sou1,5,4.67,5.75,6.65,6
馊,sou1,15,5.46,4.48,5.84,5.26
酥,su1,12,5.05,5.1,5.88,4.81
俗,su2,5,4.69,3.56,6.63,4.94
夙,su4,15,6.46,3.16,3.26,2.36
诉,su4,2,4.18,4.79,6.38,4.94
速,su4,5,4.25,4.14,5.26,4.68
塑,su4,3,5.43,4.26,5.5,3.87
酸,suan1,5,3.54,5.97,6.9,6.18
算,suan4,2,3.58,4.92,6.19,5.96
碎,sui4,3,4.37,4.8,5.53,5.71
穗,sui4,4,5.03,6,6.27,5.79
孙,sun1,4,3.53,4.3,6.19,5.36
损,sun3,9,4.75,4.03,5.03,4.43
笋,sun3,2,4.83,6.53,5.71,6.67
嗦,suo1,12,5.44,3.44,3.66,3.29
缩,suo1,6,4.25,5.15,6.28,5
索,suo3,4,5.18,4.1,5.56,4.18
锁,suo3,6,4.08,6.23,6.77,6.24
塌,ta1,5,4.97,5.21,6.03,5.45
塔,ta3,2,4.03,6.66,5.74,6.93
踏,ta4,3,4.21,5.65,6.83,6.06
胎,tai1,9,4.75,5.79,6.48,5.29
抬,tai2,2,3.64,5.76,6.45,6.04
苔,tai2,6,5,5.49,5.71,4.74
坍,tan1,20,6.28,4.24,4.06,4.36
贪,tan1,5,4.23,4.1,6.55,5.74
摊,tan1,2,4.79,4.65,6.03,5.26
滩,tan1,2,5.3,6.26,6,5.35
瘫,tan1,13,5.97,5.08,5.28,4.77
坛,tan2,3,4.25,6.53,5.61,6.26
谈,tan2,3,3.88,5.64,6.75,6.16
痰,tan2,10,4.72,6.18,6.71,6.15
潭,tan2,4,5.11,6.47,6.26,5.32
毯,tan3,3,4.33,4.92,4.29,5.18
叹,tan4,3,4.08,5,5.8,6.19
炭,tan4,8,4.78,6.47,6.42,5.94
探,tan4,5,4.63,4.47,6.31,4.39
汤,tang1,11,3.48,6.62,6.81,6.43
堂,tang2,1,4.08,5.15,6.03,4.5
塘,tang2,3,4.63,5.92,5.61,6.19
搪,tang2,11,5.73,4.05,4.44,3.53
膛,tang2,3,5.23,6,5.59,5.48
糖,tang2,7,3.19,6.69,6.5,6.86
淌,tang3,4,5.17,5.5,5.23,5.82
躺,tang3,3,3.95,6.36,6.68,6.7
烫,tang4,6,4.6,5.49,6,5.65
涛,tao1,6,4.69,5.58,6.34,5.44
掏,tao1,7,4.03,5.69,6.52,6.23
逃,tao2,2,3.67,5.48,6.65,6.39
桃,tao2,2,3.18,7,6.63,6.32
陶,tao2,7,5.08,5.77,5.59,4.58
淘,tao2,2,4.64,4.6,5.91,5.29
讨,tao3,4,4.18,3.58,6.06,4.85
疼,teng2,3,3.49,5.38,6.81,6.44
腾,teng2,4,5.42,4.25,5.97,4.65
藤,teng2,3,5.45,6.61,5.75,6.07
剔,ti1,9,5.28,5,5.29,5.37
梯,ti1,4,3.95,6.58,6.9,5.88
踢,ti1,7,3.83,6,6.59,6.17
啼,ti2,4,4.75,5.56,5.84,5.61
提,ti2,2,3.62,5.95,6.8,5.74
题,ti2,4,3.67,5.89,6.87,5.6
蹄,ti2,3,4.28,6.51,5.48,6.63
体,ti3,2,3.5,4.97,6.47,4.77
屉,ti4,3,4.83,6.14,5.66,5.42
