word_portuguese,translate_word_english,aoa_mean,aoa_sd,syllables,length,familiar_mean,frequency,frequency_log,concrete_mean,imagine_mean
cabra,goat,2.74,0.89,2,5,1.79,278,2.44,6.7,6.46
cação,smooth-hound fish,5.74,2.03,2,5,3.08,30,1.48,NA,NA
caçarola,sauce pan,5,1.57,4,8,2.89,59,1.77,NA,NA
cachecol,scarf,2.82,0.65,3,8,1.37,25,1.4,NA,NA
cachimbo,pipe,3.71,1.23,3,8,1.53,125,2.1,NA,NA
cachucho,large eye dentex,5.43,1.99,3,8,3.32,NA,NA,NA,NA
cacto,cactus,3.65,1.22,2,5,2,20,1.3,NA,NA
cadeado,padlock,4.13,1.37,4,7,1.63,37,1.57,6.58,5.96
cadeira,chair,1.52,0.6,3,7,1.95,1138,3.06,NA,NA
cadeirão,large chair,3.38,1.2,3,8,2.6,55,1.74,6.24,6.13
caderno,notebook,2.48,0.68,3,7,1.33,375,2.57,6.62,6.5
caixa,box,1.82,0.79,2,5,1.84,1258,3.1,NA,NA
caju,cashew nut,5.57,1.5,2,4,3.1,7,0.85,NA,NA
calcanhar,heel,3.13,1.51,3,9,1.79,106,2.03,NA,NA
calças,pants,1.74,0.64,2,6,1.21,488,2.69,NA,NA
calções,shorts,1.87,0.83,2,7,1.21,87,1.94,NA,NA
cálice,chalice,4.29,1.15,3,6,2.32,125,2.1,NA,NA
cama,bed,1.43,0.6,2,4,1.32,1863,3.27,NA,NA
camada,layer,4.38,1.24,3,6,3.07,775,2.89,4.12,2.71
camaleão,chameleon,4.52,1.57,4,8,2.32,32,1.51,NA,NA
camelo,camel,2.71,1.06,3,6,NA,121,2.08,6.64,6.42
camião,truck,2.18,0.98,3,6,1.9,513,2.71,6.52,6.46
camioneta,coach/van,2.48,0.81,4,9,2,285,2.45,NA,NA
camisa,shirt,2.43,0.81,3,6,1.37,539,2.73,NA,NA
camisola,sweater,2.17,1.14,4,8,1.55,357,2.55,NA,NA
canário,canary,3.19,1.21,3,7,2.15,54,1.73,NA,NA
candeeiro,lamp,2.9,1.29,4,9,1.9,301,2.48,6.56,6.42
caneca,mug,2.43,0.75,3,6,1.63,44,1.64,NA,NA
caneta,pen,2.29,0.85,3,6,1.37,143,2.16,6.68,6.81
