word_portuguese,translate_word_english,aoa_mean,aoa_sd,syllables,length,familiar_mean,frequency,frequency_log,concrete_mean,imagine_mean
sofá,sofa,1.96,0.71,2,4,1.89,307,2.49,6.62,6.56
solha,plaice (fish),5.81,1.33,2,5,2.74,NA,NA,NA,NA
solo,ground,4.05,1.3,2,4,2.1,1551,3.19,5.92,4.62
sopa,soup,1.38,0.5,2,4,1.53,1256,3.1,6.28,6.19
sótão,attic,3.23,0.98,2,5,2.43,87,1.94,6.12,5.46
submarino,submarine,4.19,1.03,4,9,2.05,83,1.92,NA,NA
sumo,juice,1.3,0.48,2,4,NA,273,2.44,NA,NA
tacho,pan,2.67,0.8,2,5,1.79,294,2.47,NA,NA
taínha,mullet (fish),6.13,1.88,3,6,2.97,26,1.41,NA,NA
talhante,butcher,5.24,1.41,3,8,3.58,6,0.78,NA,NA
tâmara,date (fruit),5.05,1.47,3,6,3.68,26,1.41,NA,NA
tamboril,monkfish,4.95,1.32,3,8,2.53,48,1.68,NA,NA
tangerina,tangerine,2.86,0.91,4,9,2.58,18,1.26,NA,NA
tapeçaria,tapestry,4.78,1.01,5,9,2.79,191,2.28,NA,NA
tapete,carpet,1.9,0.62,3,6,2.42,358,2.55,6.58,6.25
tartaruga,turtle,2.29,0.78,4,9,1.3,67,1.83,6.8,6.69
tarte,pie,3.71,1.06,2,5,2.63,124,2.09,NA,NA
tatu,armadillo,5.59,1.44,2,4,3.03,NA,NA,5.84,4.5
táxi,taxi,3.05,1.07,2,4,1.68,335,2.53,NA,NA
taxista,taxi driver,3.41,1.03,3,7,1.74,120,2.08,NA,NA
tear,loom,4.5,1.6,2,4,2.53,97,1.99,NA,NA
teleférico,cable car,5.5,1.25,5,10,2.89,21,1.32,NA,NA
telefone,telephone,1.77,0.75,3,8,1.32,1024,3.01,NA,NA
televisor,television,1.81,0.6,4,9,1.36,1984,3.3,NA,NA
ténis,tennis / sneakers,3.19,1.21,2,5,1.37,366,2.56,NA,NA
tesoura,scissors,2.61,0.75,3,7,1.32,138,2.14,6.76,6.54
testa,forehead,2.17,0.89,2,5,1.47,364,2.56,NA,NA
texugo,badger,4.27,1.6,3,6,2.84,10,1,NA,NA
tigela,bowl,2.32,0.97,3,6,1.84,221,2.34,NA,NA
tigre,tiger,2.43,0.93,2,5,1.95,107,2.03,6.76,6.46
tijolo,brick,3.09,1.17,3,6,1.63,298,2.47,NA,NA
tolerância,tolerance,5.1,1,4,10,3.1,190,2.28,1.88,2.42
tomate,tomato,2.3,0.66,3,6,1.89,431,2.63,6.76,6.73
toranja,grapefruit,4.27,1.6,3,7,3.63,NA,NA,NA,NA
torneira,water tap,2.48,1.12,3,8,1.37,143,2.16,NA,NA
torradeira,toaster,3.14,1.2,4,10,1.53,6,0.78,6.82,6.42
touro,bull,2.43,0.68,2,5,NA,450,2.65,6.68,6.56
tractor,tractor,3.26,1.4,2,7,1.95,113,2.05,NA,NA
tragédia,tragedy,4.59,1.33,3,8,2.9,757,2.88,2.38,3.19
travessa,platter,3.68,1.22,3,8,2.06,191,2.28,NA,NA
trenó,sled,2.91,1.26,2,6,1.79,31,1.49,6.6,6.08
triciclo,tricycle,1.96,0.89,3,8,2.16,17,1.23,NA,NA
trólei,trolley,6.76,1.34,2,6,3.89,6,0.78,NA,NA
trompete,trumpet,3.52,1.43,3,8,2.95,34,1.53,NA,NA
tronchuda,thick-stalked cabbage,7.13,1.57,3,9,4.84,NA,NA,NA,NA
trotinete,scooter,4.04,1.73,4,9,2.5,NA,NA,6.58,5.96
truta,trout,4.23,1.53,2,5,1.97,64,1.81,NA,NA
tubarão,shark,2.64,0.74,3,7,1.89,78,1.89,NA,NA
tucano,toucan,5.23,1.8,3,6,4.33,9,0.95,NA,NA
tulipa,tulip,3.86,0.96,3,6,3,NA,NA,NA,NA
umbigo,navel,2.3,0.86,3,6,1.58,75,1.88,NA,NA
unha,nail,1.81,0.75,2,4,1.47,340,2.53,NA,NA
urso,bear,1.95,0.74,2,4,1.35,89,1.95,6.64,6.65
uvas,grapes,1.9,0.62,2,4,1.95,158,2.2,6.8,6.62
vaca,cow,1.7,0.78,2,4,1.33,535,2.73,6.76,6.58
vaidade,vanity,4.26,1.23,3,7,2.93,191,2.28,2.2,3
vaivém,space shuttle,4.82,1.59,2,6,2.95,85,1.93,NA,NA
vale,valley,4.05,1.69,2,4,2.4,1368,3.14,5.22,4.31
valentia,bravery,5,1.34,4,8,3.13,31,1.49,2.24,2.42
valor,value,4.3,1.17,2,5,3.17,7691,3.89,2.1,2.27
varredor,sweeper,3.48,0.98,3,8,2.26,10,1,NA,NA
vaso,vase,2.39,0.98,2,4,1.58,424,2.63,6.66,6.29
vassoura,broom,2.24,0.7,3,8,NA,90,1.95,NA,NA
veado,deer,2.86,1.01,3,5,1.42,99,2,NA,NA
vela,candle,2.71,0.85,2,4,1.37,649,2.81,6.36,6.15
vendedor,salesman,3.43,0.93,3,8,2.21,344,2.54,NA,NA
vento,wind,2.24,0.83,2,5,2.17,2150,3.33,4.88,4.31
vergonha,shame,3.04,1.12,3,8,2.9,519,2.72,2.06,2.63
vespa,wasp,3.19,0.98,2,5,2.68,46,1.66,NA,NA
vestido,dress,1.91,0.77,3,7,1.63,524,2.72,NA,NA
veterinário,veterinary,3.26,0.92,5,11,1.42,69,1.84,NA,NA
viagem,trip,2.61,0.74,3,6,2.26,2449,3.39,NA,NA
víbora,viper,4.86,1.49,3,6,2.89,20,1.3,NA,NA
viola,classic guitar,2.65,0.62,3,5,1.95,174,2.24,NA,NA
violeta,violet,3.1,1.3,4,7,3.16,62,1.79,NA,NA
violino,violin,3.5,0.98,4,7,1.45,208,2.32,NA,NA
violoncelo,cello,4.91,1.26,5,10,2.74,105,2.02,NA,NA
vontade,will,2.91,0.89,3,7,3.1,2119,3.33,2,2.23
xilofone,xylophone,3.57,1.25,4,8,2.42,NA,NA,NA,NA
xuxu,choko,5.17,2.79,2,4,4.26,NA,NA,NA,NA
zebra,zebra,2.33,0.66,2,5,1.42,18,1.26,6.72,6.54
