word_portuguese,imagine_mean,concrete_mean
disputa,2.69,2.82
diversão,3.79,2.78
dragão,6,4.9
dromedário,4.73,6.1
elefante,6.6,6.8
empório,1.88,3.88
encefalo,4.5,5.42
envelope,6.42,6.58
escaravelho,6.06,6.6
escova,6.19,6.56
escravo,5.02,4.76
escritório,5.29,5.82
espanto,3.06,2.28
espargo,5.23,6.5
espectro,3.37,3.58
esperança,2.6,1.7
esquilo,6.6,6.76
estante,6.04,6.58
estilo,2.6,2.46
faca,6.58,6.82
fantasma,4.69,2.8
felicidade,3.23,1.72
feriado,2.81,3.62
fogo,6.21,5.88
foguetão,5.92,6.44
frase,3.17,3.9
freira,5.98,5.64
gado,5.77,5.94
galinha,6.67,6.78
gato,6.87,6.72
gazela,5.75,6.66
gelo,5.96,6.08
girafa,6.6,6.76
glória,2.87,1.86
gorila,6.42,6.62
gratidão,2.54,1.92
grossista,2.4,3.7
grupo,4.17,4.32
guerra,4.73,2.98
helicóptero,6.13,6.58
hierarquia,2.63,3.08
história,3.13,3.14
homem,5.94,4.98
hostilidade,2.13,2.5
humor,2.87,2.2
late,5.73,6.46
insolencia,1.94,2.44
interesse,2.54,2.12
jaguar,5.75,6.2
jardim,6.02,5.84
jovialidade,2.75,2.76
juiz,5.62,5.28
justiça,2.71,1.8
lado,2.48,3.54
lamina,5.9,6.64
laranja,6.62,6.82
lealdade,2.35,1.84
leão,6.6,6.62
liberdade,3.08,1.64
lince,5.65,6.62
lobo,6.06,6.7
loja,5.5,5.9
lucro,2.48,3.64
lugar,3.12,3.74
maçã,6.87,6.78
macaco,6.62,6.8
machado,6.19,6.74
mala,6.08,6.66
malandro,3.33,3.38
máquina,5.35,6.18
mar,6.46,5.58
marido,4.42,4.8
martelo,6.5,6.8
medo,2.88,1.82
melão,6.52,6.78
memória,2.21,2.42
mesa,6.48,6.76
miséria,3.63,2.56
mocho,6.06,6.7
morango,6.63,6.76
morte,3.54,3.26
mosca,6.5,6.66
moscardo,4.62,6.22
motorizada,6.1,6.58
mulher,5.92,5.5
mundo,5.31,3.56
namoro,3.58,3.06
nariz,6.52,6.58
natal,5.08,3.34
neve,6.04,6.24
nome,2.83,3.58
obediência,2.71,2.26
obsessão,2.23,2.14
ódio,2.35,1.84
onça,5.15,6.28
oração,3.15,2.54
orgulho,2.71,1.92
ovelha,6.69,6.76
pai,6.17,5.18
paixão,3.12,1.86
palavra,3.81,3.68
pânico,3.23,2.2
pato,6.56,6.7
pavão,6.35,6.76
paz,2.94,1.94
pedaço,3.73,4.2
pente,6.58,6.74
perú,6.35,6.78
pesar,2.81,3.4
piano,6.31,6.78
pincel,6.37,6.62
pinguim,6.38,6.7
pintassilgo,5.38,6.69
ponte,6.38,6.26
prazer,2.9,2.08
prisão,5.63,5.36
profissão,3.13,4.18
progresso,2.44,2.62
rapaz,6.04,5.69
raquete,6.44,6.8
rato,6.48,6.72
regador,6.23,6.62
regra,2.42,2.98
religião,2.92,2.1
relógio,6.6,6.6
rinoceronte,6.35,6.62
rio,6.06,5.94
roupeiro,6.06,6.54
sapo,6.5,6.76
sardine,6.33,6.7
saudade,2.81,1.84
segurança,2.94,2.28
selo,6.33,6.54
serra,5.83,6.02
sobretaxa,1.6,3.4
sofa,6.56,6.62
solo,4.62,5.92
sopa,6.19,6.28
sótão,5.46,6.12
tapete,6.25,6.58
tartaruga,6.69,6.8
tatu,4.5,5.84
tesoura,6.54,6.76
tigre,6.46,6.76
tolerância,2.42,1.88
tomate,6.73,6.76
torradeira,6.42,6.82
touro,6.56,6.68
tragédia,3.19,2.38
trenó,6.08,6.6
trotinete,5.96,6.58
urso,6.65,6.64
uvas,6.62,6.8
vaca,6.58,6.76
vaidade,3,2.2
vale,4.31,5.22
valentia,2.42,2.24
valor,2.27,2.1
vaso,6.29,6.66
vela,6.15,6.36
vento,4.31,4.88
vergonha,2.63,2.06
vontade,2.23,2
zebra,6.54,6.72
