word_spanish,translate_word_english,color_mean,color_sd,motion_mean,motion_sd,grasp_mean,grasp_sd,pain_mean,pain_sd,sound_mean,sound_sd,taste_mean,taste_sd,smell_mean,smell_sd,boi_mean,concrete_mean,imagine_mean,category,pc1_scores,pc2_scores
pichón,pigeon,4.38,1.44,6.32,1.35,5.5,1.56,2.48,1.19,3.54,1.44,4.12,1.9,4.08,1.95,NA,NA,NA,Aves (A bird),0.28,0.91
almohada,pillow,2.58,1.21,2.32,1.38,7.29,0.75,1.8,1.08,1.21,0.41,3.96,2.39,3.46,1.91,NA,5.94,6.59,NA,-1.37,-0.32
alfiler,pin,2.29,1.37,2.28,1.24,7.5,0.78,5.68,1.7,1.13,0.34,2.04,1.4,1.33,0.92,NA,6.34,6.23,NA,-0.46,-1.71
piña,pineapple,5.75,1.39,2.12,1.2,7.42,0.83,2.96,1.46,1.92,0.93,7.52,0.71,5.17,1.79,NA,NA,NA,Frutas (A fruit),-1.13,2.01
ornitorrinco,platypus,4.25,1.36,6.6,1.04,3.88,1.85,2.96,1.27,3.21,1.1,3.04,1.95,4.67,1.76,NA,NA,NA,Animales de cuatro patas (A four-footed animal),0.64,0.78
alicates,pliers,2.79,1.32,3.48,1.66,7.21,0.93,5.64,1.6,2.96,1.12,1.84,1.03,2.42,1.44,NA,NA,NA,Herramientas (A carpenter's tool),0.31,-1.14
ciruela,plum,5.83,1.61,2.16,1.03,7.58,0.72,1.8,0.71,1.33,0.48,7.4,0.82,4.71,1.65,NA,NA,NA,Frutas (A fruit),-1.56,1.92
poni,pony,4.38,1.44,6.68,1.07,2.04,1.2,3.24,1.2,4.29,1.4,3.4,2.25,5.63,1.44,NA,NA,NA,Animales de cuatro patas (A four-footed animal),1.22,1.2
polo,popsicle,5.08,1.53,2.48,1.61,6.63,2.04,2.16,1.4,1.38,0.58,6.08,2.25,3.83,1.97,4.41,4.08,5.13,Deportes (A sport),-1.24,1.11
puercoespín,porcupine,4,1.38,6.08,1.66,3.58,1.86,5.16,1.4,3.13,1.6,2.64,1.7,4.67,1.83,NA,NA,NA,NA,1.1,0.44
maceta,pot,3.21,1.18,1.68,0.85,6.79,0.98,4.16,1.95,2.21,1.32,2.4,1.29,3.92,1.69,NA,NA,NA,Herramientas (A carpenter's tool),-0.43,-0.57
patata,potato,1.79,0.66,1.96,0.93,7.63,0.71,1.88,1.13,1.5,0.72,7.44,0.71,4.29,1.9,NA,6.19,6.31,Verduras (A vegetable),-1.71,0.56
proyector,projector,3.58,1.79,2.56,1.66,4.63,2.3,3,1.68,3.17,1.63,2.52,1.61,1.54,1.14,NA,NA,NA,NA,-0.12,-0.97
pruna,prune,3.13,1.12,2.76,1.33,3.29,1.68,2.92,1.29,2.63,1.17,3.08,1.68,3.08,1.93,NA,NA,NA,NA,-0.12,-0.48
calabaza,pumpkin,5.67,1.27,2.04,1.24,6.25,1.73,2.16,1.28,1.58,0.88,6.56,1.19,4.67,1.66,NA,NA,NA,Verduras (A vegetable),-1.2,1.61
torreta,pylon,3,1.14,2.2,1.22,2.21,1.53,3.64,2.27,3.83,2.43,2,0.96,2.17,1.61,NA,NA,NA,Tipos de viviendas (A type of human dwelling),0.48,-1.16
pirámide,pyramid,4.25,1.29,1.36,0.57,1.92,1.21,2.4,1.68,2,1.5,2.52,1.5,2.67,1.83,NA,5.81,5.76,Edificios religiosos (A building for religious service),-0.36,-0.56
pitón,python,5.46,1.38,5.96,1.51,3.33,1.58,5.52,1.81,2.92,1.1,2.72,2.11,3.67,2.1,NA,NA,NA,Serpientes (A snake),1.15,0.58
mapache,raccoon,4.13,1.39,6.64,1.04,4.54,1.91,4.08,1.32,3.46,1.61,3.16,1.68,4.79,2.02,NA,NA,NA,Animales de cuatro patas (A four-footed animal),0.87,0.77
raqueta,racquet,3.67,1.31,5.24,1.83,7.58,0.72,3.84,1.91,3.46,1.41,2.4,1.68,1.79,1.1,NA,NA,NA,Juguetes (A toy),0.22,-0.62
rábano,radish,4.42,1.82,2.04,1.1,7.08,1.41,2.32,1.49,1.5,0.78,5.4,1.35,4,1.87,NA,NA,NA,Verduras (A vegetable),-1.24,0.72
balsa,raft,3.38,1.38,5.4,1.78,2.63,1.64,2.72,1.57,3.04,1.3,2.2,1.15,2.96,1.73,NA,NA,NA,Embarcaciones (A type of ship),0.51,-0.35
arcoíris,rainbow,7.13,1.23,3.04,2.21,1,0,1.08,0.28,1.08,0.28,5.12,2.26,1.38,1.01,NA,NA,NA,NA,-0.71,0.87
pasa,raisin,3,1.74,1.88,1.01,7.71,0.55,1.36,0.57,1.17,0.38,5.12,2.19,3.96,1.88,NA,NA,NA,NA,-1.67,0.23
rastrillo,rake,3.46,1.38,3.4,1.5,6.46,1.98,4.48,1.78,3.5,1.29,1.96,1.1,2.75,1.7,NA,NA,NA,Herramientas (A carpenter's tool),0.3,-0.76
frambuesa,raspberry,6.75,1.15,1.88,0.88,7.46,1.06,1.72,0.74,1.21,0.41,7.8,0.41,5.13,1.85,NA,NA,NA,Frutas (A fruit),-1.63,2.4
rata,rat,3,1.1,7.08,0.81,5.75,1.82,3.96,1.77,2.92,1.28,1.68,1.49,5.17,2.26,NA,6.54,6.15,Animales de cuatro patas (A four-footed animal),0.74,0.2
sonajero,rattle,5.25,1.57,5.28,1.59,7.54,0.88,2.56,1.47,4.79,1.72,3.08,1.73,2.13,1.23,NA,NA,NA,Juguetes (A toy),0.31,0.2
corneja,raven,3.79,1.69,4.4,2.35,3.79,1.69,2.84,1.21,3.17,1.69,3.04,2.09,2.96,1.81,NA,NA,NA,NA,0.22,-0.12
cuchilla,razor,2.88,1.23,3,1.44,7.33,0.82,6.64,1.25,2.75,1.11,1.56,0.92,2.17,1.58,NA,5.82,5.46,Armas (A weapon),0.41,-1.36
revólver,revolver,3.79,1.84,3.68,1.86,6.83,1.58,7.6,0.5,6.29,1.76,1.8,1.04,3.08,1.89,NA,6.14,6.26,Armas (A weapon),1.77,-0.69
ruibarbo,rhubarb,3.79,1.74,4.2,1.94,4.17,2.04,2.48,1.12,2.25,1.33,3.64,1.78,3.58,1.98,NA,NA,NA,NA,-0.22,0.21
rifle,rifle,3.04,1.78,3.72,1.67,5.79,1.64,7.4,1.26,6.63,1.17,1.76,1.16,2.83,1.66,NA,NA,NA,Armas (A weapon),1.91,-0.99
albornoz,robe,3.83,1.61,2.52,1.45,7.33,0.82,1.48,1,1.21,0.41,3.04,1.84,3.42,1.93,NA,NA,NA,Prendas de vestir (An article of clothing),-1.28,-0.15
petirrojo,robin,6.17,1.17,6.56,1.53,4.67,1.97,2.32,1.18,4.04,1.52,3.28,1.67,3.5,1.87,NA,NA,NA,Aves (A bird),0.64,1.1
roca,rock,2.38,1.17,1.6,0.91,5.42,1.61,5.8,1.29,3.08,1.77,1.92,1.19,2.96,1.71,NA,5.55,6.15,Accidentes geográficos y formaciones naturales de la tierra (A natural Earth formation),0.3,-1.31
mecedora,rocker,2.96,1.08,5.4,1.55,4.13,1.45,2.36,1.52,3.13,1.54,2.72,1.7,2.38,1.61,NA,5.7,6.14,Muebles (An article of furniture),0.19,-0.49
rosa,rose,6.75,1.07,2.12,1.05,7.5,0.72,3.24,1.69,1.13,0.34,5.16,1.99,5.75,2.05,NA,NA,NA,Flores (A flower),-1.01,1.85
regla,ruler,2.79,1.59,2.52,1.29,7.83,0.48,3.92,1.38,1.83,0.82,2.4,1.55,3,2.04,NA,4.94,5.59,Material de lectura (A type of reading material),-0.62,-0.86
saco,sack,2.42,1.25,2.24,1.27,6.5,1.74,2.56,1.33,2.17,1.01,2.04,0.73,3.63,1.95,NA,5.05,5.77,Tejidos (A kind of cloth),-0.68,-0.86
montura,saddle,3.5,1.22,3.16,1.8,4.71,2.24,3.12,1.36,2.25,1.29,2.64,1.55,3.29,2.22,NA,4.74,4.82,NA,-0.22,-0.38
velero,sailboat,4.17,1.09,6.56,0.87,1.63,0.92,2.76,1.42,3.83,1.09,3,1.96,2.96,1.76,NA,NA,NA,Embarcaciones (A type of ship),0.97,0.25
salamandra,salamander,5.75,1.29,6.72,0.89,5.21,1.53,3.64,1.6,2.21,1.14,2.4,1.55,3.21,2.11,NA,NA,NA,Serpientes (A snake),0.47,0.61
salmón,salmon,5.83,1.37,6.12,1.39,5.5,1.44,2.44,1.26,2.25,1.11,7.4,0.76,6.08,1.44,NA,NA,NA,Peces (A fish),-0.3,2.78
sandalias,sandals,4,1.53,4.28,2.13,7.63,0.77,3.68,1.82,2.33,1.05,1.92,1.29,3.5,2,NA,NA,NA,Tipos de calzado (A type of footgear),-0.15,-0.25
lija,sandpaper,2.75,1.22,3.6,1.76,6.96,1.4,5,1.41,4.13,1.7,1.52,0.87,2.67,1.49,NA,NA,NA,Herramientas (A carpenter's tool),0.56,-1.11
sardina,sardine,3.83,1.55,6.52,1.61,6.92,1.32,2.24,1.23,1.79,0.66,6.56,1.16,6.58,1.53,NA,NA,NA,Peces (A fish),-0.56,2.16
platillo,saucer,3.83,1.49,4.56,1.76,5.96,1.97,2.76,1.39,5.79,1.77,2.36,1.38,1.88,1.39,NA,4.39,5.91,Instrumentos musicales (A musical instrument),0.7,-0.58
saxofón,saxophone,5.5,1.32,4.12,1.9,6.5,1.62,2.76,1.59,6.5,1.32,2.8,1.8,2.38,1.44,NA,NA,NA,Instrumentos musicales (A musical instrument),0.8,0.14
tijeras,scissors,3.42,1.44,4,1.83,7.71,0.62,5.92,1.38,3,1.25,2.12,1.09,1.79,1.14,NA,6.46,6.25,Herramientas (A carpenter's tool),0.38,-1.01
patinete,scooter,4,1.72,5.8,1.04,6.83,1.24,4.48,1.53,4.75,1.82,2.2,1.32,2.13,1.3,NA,NA,NA,Vehículos (A type of vehicle),0.92,-0.43
escorpión,scorpion,5.04,1.76,6.36,1.04,4.33,1.99,6.52,1.45,2.29,1.12,2.32,1.57,3.29,1.99,NA,NA,NA,Insectos (An insect),1.16,0.24
destornillador,screwdriver,2.71,1.2,4.04,1.49,7.5,0.72,5.24,1.83,2.79,1.53,1.72,0.94,2.13,1.39,NA,NA,NA,Herramientas (A carpenter's tool),0.22,-1.2
tornillos,screws,2.67,1.43,2.56,1.29,7.67,0.64,4.36,1.7,2.67,1.2,1.84,1.07,2.63,1.81,NA,NA,NA,Herramientas (A carpenter's tool),-0.24,-1.17
gaviota,seagull,3.42,1.41,6.92,1,3.67,1.69,3.6,1.63,4.71,1.65,3.56,1.96,4.33,1.61,NA,6.28,6.54,Aves (A bird),1.16,0.58
foca,seal,4,1.5,6.36,1.29,2.33,1.37,3.36,1.44,4.88,1.65,3.56,1.78,5.04,1.6,NA,6.14,5.9,NA,1.27,0.91
alga,seaweed,4.42,1.93,5,1.96,6.46,1.98,2.08,1.22,1.38,0.49,3.92,2,4.92,1.98,NA,NA,NA,NA,-0.65,0.97
chabola,shack,2.25,1.03,1.68,0.9,1.25,0.53,2.44,1.53,3.38,1.41,1.44,0.65,4.88,2.19,NA,NA,NA,Tipos de viviendas (A type of human dwelling),0.23,-0.75
chal,shawl,4.21,1.38,3.32,1.7,7.38,1.44,1.92,1.38,1.42,0.58,2.8,1.41,2.75,1.85,NA,NA,NA,Prendas de vestir (An article of clothing),-1,-0.22
cobertizo,shed,2.88,1.7,1.28,0.46,1.21,0.51,2.44,1.36,2.92,1.77,1.92,1.29,4.88,2.15,3.95,5.75,4.91,Tipos de viviendas (A type of human dwelling),0.04,-0.48
concha,shell,3.17,1.37,2.68,1.44,7.63,0.58,2.96,1.4,2.25,0.9,3.52,1.78,3.79,2.28,NA,NA,NA,Nombres de mujer (A girl's first name),-0.75,-0.16
baldas,shelves,2.63,1.13,1.96,0.93,4.83,2.24,3.2,1.66,2.42,0.97,2.28,1.21,2.25,1.51,NA,NA,NA,Muebles (An article of furniture),-0.38,-1.2
escudo,shield,3.96,2.05,2.8,1.71,6.83,1.4,3.52,2.1,3.25,1.42,2.36,1.41,2.58,1.64,NA,5.59,5.12,Dinero (A kind of money),-0.14,-0.59
zapatos,shoes,4.42,1.72,4.56,2.08,7.46,0.78,4.2,1.94,3.08,1.06,1.84,1.46,5,2.09,NA,NA,NA,Tipos de calzado (A type of footgear),0.3,0.31
pala,shovel,2.92,1.32,3.84,1.7,6.83,1.17,5.08,1.61,3.38,1.38,2.16,1.18,2.5,1.32,NA,5.48,6.26,Herramientas (A carpenter's tool),0.37,-0.92
gamba,shrimp,5.04,1.68,5.32,1.73,7.13,1.26,2.08,1.08,1.54,0.66,6.8,1.66,5.92,1.79,NA,NA,NA,NA,-0.86,2.25
fregadero,sink,2.29,0.91,1.84,1.28,3.04,2.22,2.44,1.36,3.33,1.31,1.56,0.77,3.75,1.92,NA,6.28,NA,Utensilios de cocina (A kitchen utensil),-0.01,-1.02
monopatín,skateboard,4.29,1.68,6.28,0.89,7.04,1.16,4.32,1.8,4.33,1.81,2.24,1.48,2.17,1.52,NA,NA,NA,Vehículos (A type of vehicle),0.83,-0.25
esquís,skis,3.38,1.31,5.64,1.68,5.96,1.46,4.88,1.9,3.42,1.47,2.8,1.85,1.96,1.57,NA,NA,NA,NA,0.64,-0.55
mofeta,skunk,4.25,1.65,6.36,1.19,3.88,1.98,4,1.71,2.79,1.44,2,1.47,7.13,1.8,NA,NA,NA,Animales de cuatro patas (A four-footed animal),0.9,1.16
rascacielos,skyscraper,3.75,1.54,1.64,0.99,1.04,0.2,3.28,1.74,2.67,2.1,3.16,1.91,1.83,1.46,NA,6.38,6.08,Tipos de viviendas (A type of human dwelling),0.05,-0.79
mazo,sledgehammer,2.88,1.08,3.64,1.58,6.5,1.67,6.6,1.29,4.63,1.84,2,1.19,2.13,1.19,NA,NA,NA,Herramientas (A carpenter's tool),1.05,-1.17
trineo,sleigh,4.04,1.4,5.76,1.05,4.63,1.97,3.92,1.63,3.96,1.81,2.6,1.53,2.13,1.51,NA,NA,NA,Vehículos (A type of vehicle),0.8,-0.29
tirachinas,slingshot,3.42,1.28,4.12,1.79,6.88,1.62,6.04,1.46,3.08,1.32,2.52,1.33,2.08,1.44,NA,NA,NA,Armas (A weapon),0.51,-0.81
pantuflas,slippers,3.13,1.33,3.88,1.92,7.46,0.83,1.8,1.44,2,0.78,2.16,1.34,3.54,1.82,NA,NA,NA,Tipos de calzado (A type of footgear),-0.75,-0.41
babosa,slug,2.83,1.55,5.56,1.39,5.63,2.24,2.08,1.41,1.21,0.51,1.64,1.29,4.04,2.16,NA,NA,NA,Insectos (An insect),-0.38,-0.3
caracol,snail,3.29,1.27,5.08,1.58,6.75,1.48,1.64,1.08,1.33,0.48,3,1.68,3.88,1.96,NA,6.13,6.54,Serpientes (A snake),-0.77,0.11
calcetines,socks,4.13,1.65,3.08,1.8,7.63,0.77,1.6,1.22,1.25,0.53,1.64,1.08,5.17,1.9,NA,6.51,4.65,Prendas de vestir (An article of clothing),-0.99,0.15
sofá,sofa,3.83,1.17,1.56,0.77,2.71,1.78,2.24,1.45,2.13,1.23,3.44,2.08,2.79,1.61,NA,6.71,6.08,Muebles (An article of furniture),-0.52,-0.37
gorrión,sparrow,4.42,1.28,7.08,0.76,5.13,1.68,2.96,1.57,4.29,1.55,3.68,1.8,4,1.56,NA,NA,NA,Aves (A bird),0.78,0.86
espátula,spatula,2.58,0.93,3.52,2,7.42,0.72,4.12,1.79,2.75,1.29,2.4,1.55,2.33,1.58,NA,NA,NA,Utensilios de cocina (A kitchen utensil),-0.17,-1.01
lanza,spear,2.67,0.92,4.44,1.8,6.42,1.5,6.84,1.18,3.13,1.23,2.08,1.22,1.83,1.17,NA,5.25,4.2,Armas (A weapon),0.81,-1.22
espinacas,spinach,5.13,1.7,1.92,0.91,7.17,0.87,1.68,0.9,1.21,0.41,5.88,1.67,4.75,1.85,NA,NA,NA,Verduras (A vegetable),-1.49,1.3
cuchara,spoon,2.46,1.14,3,1.87,7.92,0.28,2.44,1.39,2.75,1.19,3.8,1.96,2.04,1.3,NA,NA,NA,Utensilios de cocina (A kitchen utensil),-0.83,-0.76
calamar,squid,3.88,1.73,6,1.5,5.83,1.79,3.08,1.44,1.88,1.03,7.08,1.22,5.42,1.79,NA,NA,NA,Peces (A fish),-0.38,1.86
ardilla,squirrel,3.92,1.28,7.2,0.87,5.42,1.74,2.6,1.47,3.17,1.2,3.84,2.1,3.92,1.72,NA,6.39,5.87,Animales de cuatro patas (A four-footed animal),0.35,0.75
estornino,starling,4,1.06,4.16,2.21,4.13,1.85,2.88,1.36,3.21,1.72,2.64,1.7,3.25,1.73,NA,NA,NA,Aves (A bird),0.22,-0.11
estéreo,stereo,3.04,1.37,3,1.85,2.33,2.04,2.92,2.2,5.71,2.03,2.84,1.72,1.83,1.24,NA,NA,NA,NA,0.83,-0.89
cigüeña,stork,3.88,1.6,6.6,1,3.21,1.74,3.28,1.31,4.54,1.56,3.36,1.87,4.38,1.93,NA,5.8,6.04,Aves (A bird),1.09,0.66
estufa,stove,3,1.59,1.72,0.74,4.17,2.26,4.84,1.77,2.79,1.28,2.6,1.91,3.67,1.79,NA,6.16,5.99,NA,0.16,-0.68
colador,strainer,3,1.5,2.36,1.19,7.29,1.04,1.88,1.05,1.92,0.88,2.48,1.5,2.38,1.5,NA,NA,NA,Utensilios de cocina (A kitchen utensil),-1.03,-0.9
submarino,submarine,3.79,1.1,5.44,1.92,1.42,0.65,3.92,2,4.67,1.58,2.08,1.22,2.83,1.88,NA,NA,NA,Embarcaciones (A type of ship),1.38,-0.33
metro,subway,3.08,1.35,5.8,2.35,4.46,3.02,3.32,1.73,5.79,1.93,1.76,1.09,3.5,2.34,4.97,4.18,5.83,Unidades de longitud (A unit of distance),1.27,-0.36
sol,sun,7.71,0.75,5.64,2.31,1,0,4.2,2.04,2.21,2.4,4.88,2.05,1.42,1.02,1.44,6.16,6.53,Fenómenos atmosféricos (A weather phenomenon),0.71,1.18
tabla,surfboard,2.46,1.1,1.8,0.82,5.63,1.84,3.4,1.76,2.33,1.27,2.56,1.26,2.46,1.74,NA,4.95,4.84,Utensilios de cocina (A kitchen utensil),-0.5,-1.14
cisne,swan,4.54,1.89,6.6,1.08,3.58,1.5,2.6,1.19,3.08,1.67,4.12,1.76,3.92,2.12,NA,6.55,6.33,Aves (A bird),0.45,0.94
suéter,sweater,4.75,1.57,3.32,1.93,7.42,0.93,1.64,0.95,1.25,0.44,3.04,1.65,3.88,1.75,NA,NA,NA,Prendas de vestir (An article of clothing),-1.08,0.35
bañador,swimsuit,5.63,1.17,2.72,1.74,7.29,0.95,2,1.29,1.33,0.56,3.28,1.95,3.29,1.92,NA,6.26,6.34,Prendas de vestir (An article of clothing),-1.05,0.42
mesa,table,3.21,1.44,1.68,0.9,4.13,1.78,3.04,1.62,2.79,1.53,2.6,1.29,2.13,1.19,NA,6.4,6.78,Muebles (An article of furniture),-0.28,-1
chincheta,tack,3.83,2.04,1.8,0.87,7.63,0.65,5.96,1.65,1.58,0.83,1.92,1.04,1.71,1.49,NA,NA,NA,NA,-0.27,-1.23
clementina,tangerine,5.25,1.96,2.72,1.86,5.58,2.78,1.96,1.06,1.75,0.99,4.92,2.43,4.42,2.52,NA,NA,NA,Frutas (A fruit),-0.89,1.07
grifo,tap,2.38,1.1,2.8,1.61,5.5,1.98,2.88,1.81,3.79,1.28,2.44,1.5,2.46,1.47,NA,5.82,5.81,Herramientas (A carpenter's tool),-0.06,-1.05
teléfono,telephone,3.17,1.34,3.84,2.13,7.67,0.76,3.08,1.89,5.38,1.28,2.8,1.73,2.08,1.64,NA,6.42,6.72,Muebles (An article of furniture),0.29,-0.71
tienda,tent,4.5,1.47,1.36,0.57,1.58,1.25,1.96,1.4,4.58,1.47,3.12,1.88,4.17,1.81,4.4,4.81,6.41,Tipos de viviendas (A type of human dwelling),0.27,0.15
termómetro,thermometer,3.5,1.62,2.96,1.51,7.75,0.53,1.92,1.12,2.04,1.12,2.84,1.52,1.71,1.12,NA,NA,NA,NA,-0.99,-0.78
dedal,thimble,2.83,1.37,3.04,1.77,7.79,0.51,1.96,1.14,1.63,0.65,2.48,1.56,1.83,1.17,NA,NA,NA,NA,-1.08,-1.03
corbata,tie,4.5,1.44,2.44,1.58,7.75,0.61,2.64,1.35,1.25,0.44,2.52,1.33,2.13,1.39,NA,6.55,6.15,Prendas de vestir (An article of clothing),-1.04,-0.53
pañuelo,tissue,3.13,1.8,3.08,1.71,7.5,0.88,1.6,1.08,1.33,0.48,2.8,1.87,3.5,1.69,NA,6.08,6.09,Prendas de vestir (An article of clothing),-1.16,-0.35
sapo,toad,4.71,1.52,6.4,1.55,5.79,1.64,3.08,1.5,3.04,1.23,2.36,1.68,5.21,2.02,NA,6.1,6.14,Animales de cuatro patas (A four-footed animal),0.47,0.87
tostadora,toaster,2.42,1.1,2.4,1.35,6.29,1.49,3.6,1.87,3.25,1.07,2.72,1.93,3.46,1.93,NA,NA,NA,Utensilios de cocina (A kitchen utensil),-0.19,-0.75
váter,toilet,2.42,1.38,1.76,1.27,2.79,1.86,2.32,1.55,4.38,1.21,1.2,0.58,5.83,1.66,NA,NA,NA,NA,0.36,-0.46
tenazas,tongs,2.83,1.24,3.52,1.58,7.42,0.78,5.4,1.41,2.88,1.57,1.88,1.09,2.29,1.27,NA,NA,NA,Herramientas (A carpenter's tool),0.21,-1.14
galápago,tortoise,4.17,1.34,5.32,1.73,3.42,1.69,3.08,1.61,3.46,1.64,3.04,2.13,4.08,2.41,NA,NA,NA,NA,0.58,0.42
juguete,toy,5.75,1.36,4.68,1.7,7.46,0.83,3.32,1.35,4.46,1.32,3.72,2.13,2.63,1.44,NA,5.01,6.6,NA,0.28,0.56
tractor,tractor,4.04,1.63,6,0.96,1.63,0.88,4.72,1.74,6.75,1.15,1.8,1.26,4.13,2.03,NA,NA,NA,Vehículos (A type of vehicle),2.25,0.1
tráiler,trailer,3.96,2.14,5.68,1.95,1.38,0.97,3.28,1.77,5.63,1.44,2.56,1.58,2.5,2.11,NA,NA,NA,Vehículos (A type of vehicle),1.48,-0.19
bandeja,tray,3.08,1.14,3.28,1.74,7.33,1.2,2.96,1.77,2.67,1.49,2.76,1.64,2.33,1.86,NA,5.66,5.6,Utensilios de cocina (A kitchen utensil),-0.49,-0.74
triciclo,tricycle,4.83,1.74,6.04,0.98,5.21,2.04,3.56,1.78,4.17,1.43,2.2,1.15,2.04,1.2,NA,NA,NA,Vehículos (A type of vehicle),0.82,-0.13
trípode,tripod,3.25,1.26,2.16,1.37,6.67,1.63,2.4,1.47,2.08,1.02,2.28,1.24,1.71,1.16,NA,NA,NA,NA,-0.82,-1.12
carrito,trolley,3.33,1.31,5.8,1.47,5.21,2.08,2.92,1.29,3.96,1.4,2.36,1.52,2.25,1.42,NA,NA,NA,Juguetes (A toy),0.51,-0.49
trombón,trombone,4.92,1.67,4.24,1.9,5.96,1.68,2.76,1.74,6.79,1.18,2.64,1.55,2.38,1.5,NA,NA,NA,Instrumentos musicales (A musical instrument),0.95,-0.06
trucha,trout,4.42,1.82,6.32,1.63,5.92,1.32,2.44,1.39,2.21,1.06,5.92,1.63,5.42,1.61,NA,NA,NA,Peces (A fish),-0.27,1.79
tuba,tuba,4.17,1.83,3.96,1.67,5.71,1.71,2.8,1.53,6.21,1.35,2.44,1.56,2.38,1.58,NA,NA,NA,Instrumentos musicales (A musical instrument),0.79,-0.38
pavo,turkey,4.29,1.46,6.48,1,4.38,1.95,2.72,1.34,4.08,1.61,7.28,0.79,4.79,1.56,NA,6.13,4.66,Aves (A bird),0.35,1.94
nabo,turnip,3.79,1.69,1.84,0.94,7.21,0.93,2.12,1.01,1.46,0.66,5,1.35,4.17,1.9,NA,NA,NA,Verduras (A vegetable),-1.33,0.46
teclado,typewriter,2.67,1.24,3.36,2.08,6.71,1.4,2.6,1.61,3.88,1.73,2.6,1.5,1.54,1.38,NA,NA,NA,Instrumentos musicales (A musical instrument),-0.19,-1.11
paraguas,umbrella,5.08,1.35,3.88,2.09,7.71,0.75,3.64,1.58,2.33,0.92,2.6,1.76,2.46,1.74,NA,5.99,5.95,NA,-0.28,-0.1
monociclo,unicycle,3.75,1.73,6.12,0.93,4.67,2.28,4.08,1.98,3.88,1.9,2.24,1.42,1.79,1.14,NA,NA,NA,Vehículos (A type of vehicle),0.87,-0.54
urna,urn,2.5,1.29,1.64,1.08,5.79,2.04,3,1.83,2.21,1.25,2.08,1.22,2.71,2.16,NA,NA,NA,NA,-0.61,-1.18
camioneta,van,3.71,1.27,5.92,1.35,1.88,1.48,5.04,1.74,5.75,1.73,2.08,1.15,3.83,1.74,NA,NA,NA,Vehículos (A type of vehicle),1.96,-0.04
jarrón,vase,4.5,1.32,1.72,0.89,6.75,1.22,3.52,1.45,2.92,1.35,2.4,1.19,2.5,1.77,NA,6.25,6.35,NA,-0.36,-0.57
velo,veil,3.38,1.74,3.64,1.73,6.88,1.39,1.72,1.21,1.21,0.41,3,1.53,2.54,1.61,NA,5.63,6.11,NA,-1.05,-0.44
chaleco,vest,4.17,1.52,2.56,1.45,7.42,0.72,1.88,1.48,1.63,0.82,2.84,1.57,3.13,1.78,NA,5.99,6.5,Prendas de vestir (An article of clothing),-1.06,-0.2
vid,vine,4.42,1.82,2.44,1.33,4.21,2.17,2.08,0.91,1.75,0.94,4.4,2.25,4.13,2.33,NA,NA,NA,Árboles (A tree),-0.73,0.56
violín,violin,4.33,1.46,4.44,1.73,6.75,1.07,2.72,1.65,5.71,1.27,3.4,2.08,2.58,1.64,NA,6.32,6.4,Instrumentos musicales (A musical instrument),0.5,0.04
buitre,vulture,4,1.47,6.76,0.93,3.04,1.73,5.2,1.76,4.83,1.55,2.88,1.79,4.83,1.66,NA,NA,NA,Aves (A bird),1.71,0.64
carreta,wagon,2.88,0.99,4.56,2.33,4.08,2.43,3.6,1.68,4.5,1.69,2.04,1.4,2.83,1.74,NA,NA,NA,Vehículos (A type of vehicle),0.79,-0.71
morsa,walrus,4.38,1.28,6.12,1.48,1.88,1.15,3.64,1.58,4.46,1.61,3.56,1.71,4.67,2.01,NA,NA,NA,NA,1.25,0.88
varita,wand,4.08,1.72,4.24,1.88,6.88,1.85,2.96,1.59,1.71,0.62,2.92,1.87,1.5,1.06,NA,NA,NA,NA,-0.55,-0.53
avispa,wasp,5.96,1.6,7.16,0.75,4.17,2.18,5.88,1.62,3.21,1.38,1.96,1.17,2.38,1.64,NA,NA,NA,Insectos (An insect),1.44,0.27
carretilla,wheelbarrow,2.92,1.14,4.92,1.15,4.75,2.07,3.52,1.56,4.54,1.56,1.96,1.14,2.71,1.46,NA,NA,NA,Herramientas (A carpenter's tool),0.76,-0.71
silbato,whistle,4.21,1.84,3,1.68,7.54,0.78,2.64,1.73,5.92,1.35,3.2,1.68,1.71,1,NA,NA,NA,Instrumentos musicales (A musical instrument),0.22,-0.48
pizarra,whiteboard,3.75,1.82,1.6,0.71,3.29,1.76,2.84,1.77,3.25,1.45,2.2,1.47,3.21,1.38,NA,6.24,5.98,Material de lectura (A type of reading material),-0.03,-0.62
sauce,willow,4.33,1.71,2.72,1.9,2.13,1.94,2.08,0.95,2.38,1.41,3.36,1.96,4.25,1.67,NA,NA,NA,Árboles (A tree),-0.18,0.34
picamadero,woodpecker,3.54,1.61,3.56,2.16,4.67,1.74,3.96,1.49,3.75,2.01,2.24,1.05,3.25,2.11,NA,NA,NA,NA,0.47,-0.47
gusano,worm,3.29,1.76,6.6,1.04,6.25,1.8,2.16,1.28,1.17,0.38,1.72,1.06,3.5,2.23,NA,5.58,5.35,Insectos (An insect),-0.3,-0.18
herramienta,wrench,2.54,1.14,3.92,1.85,7.25,0.79,5.16,1.91,4.29,1.3,1.72,0.98,2.67,1.58,NA,4.21,5.04,NA,0.63,-1.09
