word_spanish,translate_word_english,color_mean,color_sd,motion_mean,motion_sd,grasp_mean,grasp_sd,pain_mean,pain_sd,sound_mean,sound_sd,taste_mean,taste_sd,smell_mean,smell_sd,boi_mean,concrete_mean,imagine_mean,category,pc1_scores,pc2_scores
cactus,cactus,5.21,1.67,1.73,1.08,5.35,2.08,4.92,1.77,1.21,0.66,2.04,1.3,2.5,1.44,NA,6.21,6.51,Flores (A flower),-0.28,-0.51
jaula,cage,2.71,1.37,2.12,1.24,5.54,1.88,3.38,2,2.71,1.2,1.63,0.71,3.5,2.34,NA,6.07,6.49,NA,-0.22,-0.96
calculadora,calculator,2.96,1.94,2.77,1.58,7.54,0.76,1.83,1.13,2.04,0.55,2.08,0.97,1.46,0.59,NA,NA,NA,NA,-0.97,-1.23
ternero,calf,3.67,1.49,7.04,0.87,4,1.98,3.04,1.55,3.5,1.02,6,1.77,4.88,1.92,NA,NA,NA,Animales de cuatro patas (A four-footed animal),0.49,1.49
camello,camel,4.71,1.83,6.65,0.89,2.73,2.22,3.67,1.69,3.33,1.17,3.13,1.62,5.33,1.81,NA,NA,NA,Animales de cuatro patas (A four-footed animal),1.01,1.12
camiseta,camisole,5.5,1.47,3.62,1.94,7.65,0.56,1.33,0.56,1.33,0.82,2.38,1.01,3.04,1.57,NA,6.37,6.53,Prendas de vestir (An article of clothing),-1.04,0.2
canario,canary,6.75,1.36,7.38,0.7,6.65,1.23,2,0.83,3.5,0.88,3.46,1.84,3.38,1.84,NA,5.78,6.76,Aves (A bird),0.32,1.4
vela,candle,4,2.04,3.12,1.58,7.81,0.49,2.67,1.34,1.42,0.78,2.21,1.22,5.04,1.83,NA,5.1,5.78,Embarcaciones (A type of ship),-0.79,0.18
caramelo,candycane,5.5,1.38,2.96,2.01,7.92,0.27,1.79,0.93,2.04,0.81,7.71,0.69,4.42,1.21,NA,NA,NA,Condimentos (A substance for flavoring food),-1.35,1.92
cañón,cannon,4.42,2,2.77,1.45,2.69,1.67,7.38,0.97,7.29,0.86,1.63,0.77,2.83,1.88,NA,5.53,5.59,Armas (A weapon),2.37,-0.71
canoa,canoe,3.92,1.74,6.08,1.49,3.77,2.03,2.83,1.81,3.38,1.58,1.92,1.1,2.33,1.66,NA,NA,NA,Embarcaciones (A type of ship),0.62,-0.37
melón,cantaloupe,5.21,1.44,2.54,1.56,7.04,0.82,2.33,1.2,1.5,0.78,7.63,0.65,4.83,0.82,NA,NA,NA,Frutas (A fruit),-1.32,1.85
capa,cape,4.96,1.43,4.19,1.63,7.12,0.95,1.29,0.55,1.42,0.58,2.46,1.25,1.71,0.75,NA,4.4,NA,Prendas de vestir (An article of clothing),-0.95,-0.26
coche,car,5.67,1.4,6.92,1.02,2,1.3,4.42,1.53,5.38,1.21,2.21,1.44,3.96,1.83,NA,5.67,6.57,Vehículos (A type of vehicle),1.93,0.77
caribú,caribou,4.54,1.84,5.19,1.96,3.88,1.66,2.75,1.75,2.71,1.52,3.25,1.57,3.08,1.84,NA,NA,NA,NA,0.2,0.29
alfombra,carpet,4.92,1.28,2.27,1.48,6.04,1.66,1.58,0.97,1.29,0.55,1.58,0.83,2.54,1.35,NA,6.2,5.99,Muebles (An article of furniture),-0.96,-0.5
gato,cat,5,1.44,7.31,0.74,6.77,1.27,3.38,1.35,3.21,0.78,2.92,1.74,4.83,1.63,NA,NA,NA,Animales de cuatro patas (A four-footed animal),0.55,1.09
catapulta,catapult,3.42,1.41,4,2.02,2.42,1.7,6.67,1.31,5.42,1.64,1.63,0.71,2.04,1.73,NA,NA,NA,Armas (A weapon),1.86,-1.08
oruga,caterpillar,5.38,1.5,6.08,1.32,6.65,1.83,2.25,1.48,1.25,0.53,1.63,1.13,1.92,1.18,NA,NA,NA,Insectos (An insect),-0.34,-0.11
catedral,cathedral,3.75,1.51,1.35,0.69,1.08,0.27,2.21,1.96,3.17,1.79,2.13,1.19,3.79,1.86,NA,6.72,6.39,Edificios religiosos (A building for religious service),0.06,-0.46
coliflor,cauliflower,3.42,1.95,2.27,1.4,7.35,1.02,1.33,0.48,1.29,0.55,5.25,1.94,5.75,1.75,NA,6.4,4.96,Verduras (A vegetable),-1.49,0.97
cedro,cedar,4.04,1.49,2.77,1.37,2.69,1.78,2.25,1.8,2.29,1.57,2.92,1.59,3.71,1.49,NA,NA,NA,Árboles (A tree),-0.21,-0.03
apio,celery,3.58,1.59,2.23,1.24,7.23,1.45,1.38,0.77,1.33,1.05,4.63,1.74,4.58,2.21,NA,NA,NA,Verduras (A vegetable),-1.43,0.5
bodega,cellar,3.5,1.82,1.35,0.56,1.35,0.89,1.5,0.98,2.88,1.85,2.96,1.88,5.13,1.87,NA,5.74,5.79,Partes de un edificio (A part of a building),-0.26,0.1
violonchelo,cello,4.08,1.84,4,1.79,5.5,1.7,2.33,1.24,5.21,1.38,2.63,1.56,1.88,0.95,NA,NA,NA,Instrumentos musicales (A musical instrument),0.41,-0.48
certificado,certificate,2.13,1.12,1.96,1.48,7.46,1.39,1.38,0.77,1.13,0.34,2.38,1.13,1.67,1.24,NA,NA,NA,NA,-1.48,-1.43
cadena,chain,3.46,1.79,3.15,1.69,7.19,0.75,4.58,1.89,3.38,1.76,1.83,0.87,2.42,1.25,NA,4.14,6.44,Armas (A weapon),0.16,-0.93
tiza,chalk,3.17,2.16,3.96,1.87,7.88,0.33,1.88,0.9,2.75,1.33,1.79,1.02,2.96,1.49,NA,NA,NA,NA,-0.56,-0.66
candelabro,chandelier,4.21,1.91,2.69,1.72,7.19,0.98,3.21,1.67,2,1.29,2,1.1,3,1.77,NA,NA,NA,Armas (A weapon),-0.54,-0.49
capilla,chapel,3.46,1.61,1.62,0.9,1.19,0.49,2,1.41,2.88,1.68,2.04,1.04,3.54,2,NA,5.59,6.46,Edificios religiosos (A building for religious service),-0.05,-0.61
queso,cheese,4.46,1.69,2.27,1.43,7.15,1.26,1.5,0.72,1.21,0.41,7.17,1.17,6.67,1.24,NA,5.99,5.85,Condimentos (A substance for flavoring food),-1.56,2.05
guepardo,cheetah,6.04,1.6,7.46,0.71,2.27,1.31,6.96,0.91,5.21,1.02,3.21,1.67,5,1.64,NA,NA,NA,Animales de cuatro patas (A four-footed animal),2.45,1.41
cereza,cherry,7.08,1.02,2.38,1.55,7.73,0.67,1.42,0.58,1.04,0.2,7.58,0.65,4.17,1.49,NA,NA,NA,Frutas (A fruit),-1.69,2.23
pájaro,chickadee,5.96,1.2,7.54,0.51,6.65,1.23,2.33,1.13,3.83,1.13,4,1.84,3.88,1.57,NA,5.01,NA,Aves (A bird),0.44,1.45
pollo,chicken,5.13,1.98,6.88,1.34,6.73,1.15,2.67,1.2,3.42,1.32,7.83,0.38,5.17,1.31,NA,6.49,6.51,Aves (A bird),-0.07,2.5
chimpancé,chimp,5.29,1.73,7.31,0.88,3.27,1.64,4.08,1.56,4.88,1.33,2.54,1.72,5.42,1.72,NA,NA,NA,Animales de cuatro patas (A four-footed animal),1.63,1.23
cincel,chisel,3,1.32,3.92,1.76,6.62,1.42,3.17,1.86,2.63,1.76,2.04,1.08,2.25,1.42,NA,NA,NA,Herramientas (A carpenter's tool),-0.21,-0.91
iglesia,church,3.29,1.43,1.42,0.7,1.08,0.27,2.38,1.97,3.29,1.73,1.88,1.03,3.46,1.77,NA,5.66,5.71,Edificios religiosos (A building for religious service),0.14,-0.76
puro,cigar,3.38,1.81,3.27,1.91,7.12,1.99,4.04,1.97,1.38,0.71,2.17,1.27,5.63,2.32,NA,3.65,NA,NA,-0.4,0.11
cigarrillo,cigarette,2.92,1.67,3.77,2.29,7.77,0.51,5.04,1.85,1.33,0.48,2.46,1.89,6.75,1.42,NA,6.3,5.83,NA,-0.2,0.4
almeja,clam,3.67,1.83,3.42,1.98,7.58,0.64,1.79,1.1,1.33,0.64,5.96,2.07,5.42,1.84,NA,NA,NA,NA,-1.3,1.25
