word_french,translate_word_english,translate_word_german,pos,length,syllables,frequency_films,frequency_books,humans_yes,humans_no,humans_n,human_difficulty,nonhumans_yes,nonhumans_no,nonhumans_n,nonhuman_difficulty,category,concrete_mean,concrete_sd,concrete_n,concrete_difficulty,familiar_mean,familiar_sd,familiar_n,familiar_difficulty,intensity_mean,intensity_sd,intensity_n,intensity_difficulty,temporal_stability_mean,temporal_stability_sd,temporal_stability_n,temporal_stability_difficulty,valence_mean,valence_sd,valence_n,valence_difficulty,visibility_mean,visibility_sd,visibility_n,visibility_difficulty
costumé,in fancy dress,kostümiert,ADJ,7,3,0.68,0.54,14,6,20,0,15,5,20,0,both,4.5,1.91,20,0,4.45,2.01,20,0,3.15,1.27,20,1,3.1,1.41,20,0,4.63,0.68,19,1,6.1,0.79,20,1
cotonneux,cottony,wie watte,ADJ,9,3,0.06,1.76,1,18,19,1,19,1,20,0,uniquely non-human,4.85,1.69,20,0,3.2,2.26,20,0,2.95,1.22,19,1,5,1.49,20,2,4.47,1.22,19,2,5.26,1.76,19,1
coulant,flowing/easy-going,fließend/entgegenkommend,ADJ,7,2,0.71,2.64,6,14,20,1,19,1,20,1,preferentially non-human,4.7,1.56,20,0,4.65,1.95,20,0,3.1,1.29,20,0,4.4,1.57,20,2,3.32,0.82,19,2,4.9,1.92,20,2
coupable,guilty,schuldig,ADJ,8,2,46.45,20.2,20,0,20,0,5,15,20,0,preferentially human,3,1.62,20,1,5,1.78,20,0,4.75,1.21,20,0,5.47,1.02,19,0,1.75,0.72,20,0,2.35,1.66,20,0
courageux,courageous,mutig,ADJ,9,3,20.22,8.38,20,0,20,0,1,19,20,0,uniquely human,3.2,1.82,20,1,6.32,1,19,0,4.25,1.37,20,0,5.2,1.11,20,0,6.4,0.68,20,0,3.25,1.59,20,0
courbatu,aching,schmerzend,ADJ,8,3,0.01,0.27,13,6,19,2,8,12,20,3,preferentially human,4.2,1.58,20,0,3.33,1.64,18,3,3.44,1.25,18,1,3.39,1.38,18,2,2.85,1.04,20,1,3.95,1.81,19,0
courbe,curved,gebogen,ADJ,6,1,0.53,3.78,0,20,20,0,19,1,20,0,uniquely non-human,4.05,2.28,20,0,4.7,1.84,20,0,3.2,1.36,20,4,5.35,1.27,20,1,4.06,0.42,18,4,5.55,1.5,20,1
courroucé,wrathful,zornig,ADJ,9,3,0.57,1.49,10,7,17,4,10,10,20,5,both,2.89,1.64,18,4,2.94,1.92,17,1,4,0.82,19,2,3.12,1.05,17,3,3.07,1.03,15,3,3.83,1.64,12,4
courtois,courteous,höflich,ADJ,8,2,1.58,7.03,20,0,20,0,3,17,20,0,preferentially human,2.75,1.52,20,1,4.75,1.86,20,0,3.7,1.34,20,0,4.85,1.35,20,0,5.68,0.82,19,0,3.2,1.32,20,0
cousu,sewn,genäht,PPADJ,5,2,0.14,0.88,0,19,19,2,20,0,20,0,uniquely non-human,4.25,1.92,20,0,4.65,2.13,20,1,2.63,0.83,19,0,4.9,1.17,20,1,3.8,1.2,20,2,4.7,1.63,20,0
coûteux,expensive,teuer,ADJ,7,2,1.6,3.04,3,17,20,1,17,3,20,0,preferentially non-human,3.3,1.59,20,0,5.4,1.79,20,0,4.4,1.14,20,0,5,1.65,20,1,2.65,0.49,20,0,3.6,1.88,20,0
couturé,scarred,narbig,PPADJ,7,3,0,0.27,1,19,20,1,17,3,20,0,preferentially non-human,3.74,2.05,19,1,2.8,1.94,20,3,3.2,1.36,20,3,5,1,19,3,3.79,0.42,19,1,4.89,1.56,19,1
craintif,fearful,furchtsam,ADJ,8,2,0.97,3.92,20,0,20,0,4,16,20,0,preferentially human,3.5,1.79,20,0,5.16,1.8,19,0,4.15,1.04,20,0,4.2,1.44,20,1,2.2,0.62,20,0,4.1,1.41,20,0
craquelé,cracked,rissig,PPADJ,8,2,0.11,0.47,3,17,20,0,20,0,20,0,preferentially non-human,4.35,1.53,20,1,3.4,2.23,20,0,3.26,1.24,19,2,4.95,1.57,20,3,3.05,0.6,20,1,5.68,1.42,19,0
crasseux,filthy,verschmutzt,ADJ,8,2,1.75,7.16,17,3,20,0,20,0,20,1,preferentially non-human,4.75,1.37,20,0,4.65,1.79,20,0,5.05,1.43,20,0,3.45,1.05,20,0,2.2,0.83,20,0,5.89,0.94,19,0
créatif,creative,kreativ,ADJ,7,3,2.3,0.14,20,0,20,0,9,11,20,0,preferentially human,4,1.75,20,0,5.95,1.43,20,0,3.8,1.28,20,0,5.47,0.9,19,0,6.26,0.65,19,0,3.4,1.88,20,0
crédible,credible,glaubwürdig,ADJ,8,2,3.29,0.81,19,1,20,1,10,10,20,2,preferentially human,2.95,1.88,20,0,5.8,1.28,20,0,3.6,1.14,20,0,4.6,1.19,20,1,5,1.21,20,0,2.95,1.79,20,0
crédule,gullible,leichtgläubig,ADJ,7,2,0.74,1.01,16,3,19,1,4,16,20,2,preferentially human,2.47,1.17,19,0,4.58,1.8,19,0,4,1.21,20,1,4.5,1.28,20,0,3.05,0.85,19,0,2.37,1.54,19,3
crémeux,creamy,sahnig,ADJ,7,2,0.29,2.16,3,17,20,0,18,2,20,1,preferentially non-human,5.4,1.54,20,0,4.85,1.76,20,1,3.5,1.54,20,0,4.45,1.15,20,3,4.79,0.98,19,0,5.45,1.61,20,1
creux,hollow,hohl,ADJ,5,1,3.32,12.64,5,15,20,0,19,1,20,0,preferentially non-human,4.15,1.63,20,0,5.35,1.63,20,0,3.21,1.13,19,1,5.45,1.28,20,1,3.3,0.98,20,2,5.2,1.96,20,0
crispé,tense,verkrampft,PPADJ,6,2,missing,entry,19,1,20,0,8,12,20,0,preferentially human,4.45,1.54,20,0,4.65,1.73,20,1,4.05,1,20,0,3.2,1.36,20,0,2.45,0.69,20,0,4.4,1.5,20,0
crochu,hooked,hakenförmig,ADJ,6,2,0.33,1.49,3,17,20,0,20,0,20,0,preferentially non-human,4.5,1.67,20,0,4.5,1.85,20,0,4.35,1.27,20,2,5.16,1.38,19,2,2.75,0.85,20,1,5.84,1.12,19,0
croisé,crossed,gekreuzt,PPADJ,6,2,0.39,1.89,2,18,20,1,19,1,20,1,uniquely non-human,3.55,1.67,20,0,4.85,1.93,20,0,3.35,0.93,20,3,3.95,1.39,19,3,3.58,0.69,19,4,5.35,1.46,20,0
croquant,crunchy,knackig,ADJ,8,2,0.34,0.2,3,17,20,0,19,1,20,0,preferentially non-human,5.37,1.01,19,0,5.55,1.54,20,2,3.75,1.33,20,0,4.7,1.26,20,1,4.79,0.79,19,0,4.25,1.55,20,0
croustillant,crisp,knusprig,ADJ,12,3,0.95,0.47,2,18,20,0,19,1,20,0,uniquely non-human,5.6,1.57,20,0,5.05,1.7,20,0,4.2,1.28,20,0,4.5,1.28,20,1,5.05,0.69,20,0,5.37,1.26,19,0
croyant,someone who is a believer,gläubig,ADJ,7,2,2.51,3.31,20,0,20,0,2,18,20,0,uniquely human,3.15,1.66,20,0,5.05,1.85,20,0,4.1,1.25,20,0,5.65,1.18,20,0,4.4,0.94,20,1,2.25,1.71,20,0
cru,raw,roh,ADJ,3,1,3.16,5.81,9,11,20,0,19,1,20,0,preferentially non-human,4.6,1.9,20,0,5.45,1.85,20,0,4.58,1.12,19,0,4.2,1.47,20,0,2.74,0.87,19,0,4.2,1.7,20,2
cruel,cruel,grausam,ADJ,5,2,15.64,14.59,20,0,20,0,4,16,20,0,preferentially human,3.35,1.98,20,0,5.84,1.21,19,0,5.89,0.74,19,0,4.8,1.24,20,0,1.05,0.23,19,0,3.15,1.42,20,0
cubique,cubic,kubisch,ADJ,7,2,0.05,0.88,1,19,20,1,20,0,20,0,uniquely non-human,4.42,1.74,19,2,3.65,2.28,20,1,2.85,0.99,20,4,5.95,0.94,20,1,3.78,0.65,18,3,6.42,1.07,19,0
cuit,cooked,gekocht,PPADJ,4,1,3.93,4.73,4,16,20,0,20,0,20,0,preferentially non-human,5.2,1.47,20,0,6.05,1.18,19,1,3.5,1.05,20,1,5.7,1.38,20,0,4.11,0.57,19,2,5.25,1.21,20,0
culotté,cheeky,frech,ADJ/PPADJ,7,3,0.55,0.47,20,0,20,0,4,16,20,1,preferentially human,3.25,1.25,20,1,5.1,1.48,20,0,4.7,1.22,20,0,4.65,1.31,20,0,2.47,0.7,19,1,3.35,1.98,20,0
cupide,grasping,habgierig,ADJ,6,2,1.02,0.88,19,0,19,1,4,16,20,1,preferentially human,2.8,1.44,20,0,4.5,1.79,20,0,4.85,1.27,20,0,5.24,0.9,17,2,2.3,1.03,20,1,2.42,1.39,19,0
curieux,curious,neugierig,ADJ,7,2,26.11,44.26,20,0,20,0,2,18,20,2,uniquely human,3.25,1.52,20,0,6.37,0.83,19,0,3.8,1.47,20,0,5.11,1.24,19,0,5,1.08,20,0,3.35,1.98,20,0
débile,daft,schwachsinnig,ADJ,6,2,17.8,3.11,20,0,20,0,8,12,20,1,preferentially human,3.15,1.57,20,0,5.8,1.44,20,1,4.85,1.6,20,0,4.65,1.69,20,0,1.32,0.48,19,0,3.7,1.89,20,0
débonnaire,good-natured,gutmütig,ADJ,10,3,0.06,2.64,6,10,16,9,6,14,20,10,both,2.75,1.53,16,6,2.19,1.05,16,4,4.65,1.11,17,7,4,1,15,6,3.82,0.4,11,5,3.5,1.73,12,4
débordant,overflowing,strotzend,ADJ,9,3,0.12,1.35,8,12,20,1,18,2,20,0,preferentially non-human,3.4,1.27,20,0,4.75,1.86,20,0,5.15,1.35,20,0,3.6,1.64,20,1,3.7,1.38,20,1,5.05,1.57,20,1
débordé,pushed for time,überlastet,PPADJ,7,3,4.16,3.11,18,2,20,0,8,12,20,2,preferentially human,3.45,1.7,20,0,5.85,1.14,20,0,4.75,0.97,20,0,3.25,1.29,20,0,2.5,0.76,20,0,4.2,1.51,20,2
débraillé,slovenly,liederlich,ADJ,9,3,0.18,0.68,18,2,20,1,10,10,20,1,preferentially human,4,1.89,20,2,3.65,2.01,20,0,4.79,0.79,19,0,3.61,0.92,18,1,2.6,0.88,20,1,5.11,1.68,18,1
débrouillard,resourceful,einfallsreich,ADJ,12,3,0.38,0.74,20,0,20,0,1,19,20,0,uniquely human,3.2,1.74,20,0,5.7,1.17,20,0,3.95,1.39,20,0,5.79,0.71,19,0,5.85,0.75,20,0,3.15,1.53,20,1
décaféiné,decaffeinated,koffeinfrei,PPADJ,9,5,0.08,0.07,0,20,20,0,18,2,20,1,uniquely non-human,4.15,1.6,20,0,4.9,1.97,20,0,3.3,1.34,20,3,5.37,1.26,19,3,3.85,0.75,20,1,1.47,0.77,19,1
déchaîné,raging,ausser Rand und Band,PPADJ,8,3,0.2,0.81,18,2,20,0,9,11,20,2,preferentially human,3.9,1.41,20,1,5.25,1.74,20,0,5.15,1.04,20,0,3.35,1.6,20,0,3.26,0.81,19,0,5.15,1.31,20,0
déchiré,torn,zerissen,PPADJ,7,3,3.92,3.72,13,7,20,2,20,0,20,0,preferentially non-human,4.4,1.47,20,0,5,2,20,1,5,1.21,20,0,5,1.59,20,2,2.15,0.88,20,0,6.32,0.75,19,0
décidé,determined,entschlossen,ADJ,6,3,1.88,6.55,20,0,20,0,5,15,20,0,preferentially human,2.58,1.35,19,1,5.84,1.07,19,0,4.55,1.5,20,0,4.05,1.61,20,0,5.4,0.88,20,0,3.9,1.48,20,1
décomposable,decomposable,(biologisch) abbaubar,ADJ,12,4,0,0.07,0,20,20,0,20,0,20,0,uniquely non-human,3.6,1.6,20,0,4.4,1.54,20,0,3.3,1.03,20,2,5.05,1.78,19,2,3.9,1.25,20,1,3.8,1.94,20,1
déconcerté,confused,verwirrt,PPADJ,10,4,0.2,1.55,20,0,20,0,1,19,20,0,uniquely human,2.8,1.58,20,0,4.4,1.98,20,0,4.55,0.94,20,0,3,0.92,20,0,2.85,0.75,20,0,3.2,1.2,20,1
décontracté,relaxed,entspannt,ADJ,11,4,0.61,0.68,20,0,20,0,4,16,20,1,preferentially human,3.7,1.72,20,0,5.89,1.05,19,0,3.45,1.15,20,0,3.65,1.27,20,0,5.6,0.68,20,0,4.3,1.75,20,0
décoré,decorated,dekoriert,PPADJ,6,3,0.94,0.81,7,13,20,1,20,0,20,0,preferentially non-human,4.45,1.85,20,0,5.5,1.47,20,0,3.1,1.33,20,2,4.75,1.16,20,1,5.42,0.69,19,0,5.45,1.47,20,0
découpé,cut out,aus-/zugeschnitten,PPADJ,7,3,0.32,1.08,1,19,20,0,19,1,20,0,uniquely non-human,4.5,1.82,20,0,4.7,1.84,20,0,4.1,1.83,20,0,5.55,1.32,20,1,3.2,0.89,20,3,5.79,1.03,19,0
décousu,unstitched/disjointed,aufgetrennt/unzusammenhängend,PPADJ,7,3,0.2,0.54,1,19,20,0,19,1,20,0,uniquely non-human,3.65,1.98,20,0,3.8,2.02,20,0,3.2,1.2,20,2,4.5,1.67,20,2,2.8,0.77,20,0,5.05,1.88,20,1
déçu,disappointed,enttäuscht,PPADJ,4,2,5.16,5.47,20,0,20,0,3,17,20,0,preferentially human,3.3,1.78,20,0,5.9,1.37,20,0,4,1.49,20,0,2.95,1.28,20,0,2.05,0.69,20,0,3.95,1.54,20,0
dédaigneux,disdainful,herablassend,ADJ,10,3,0.26,3.85,19,1,20,1,2,18,20,0,uniquely human,2.9,1.65,20,1,3.95,1.88,20,0,5,1.08,20,1,4.25,0.91,20,0,2.47,0.9,19,0,3.42,1.54,19,2
défectueux,defective,fehlerhaft,ADJ,10,3,1.74,0.74,1,19,20,0,20,0,20,0,uniquely non-human,3.35,1.95,20,0,4.95,1.67,20,0,4.68,0.82,19,0,3.95,1.57,20,1,2.05,0.76,20,0,4.05,1.88,20,0
déférent,deferential,ehrerbietig,ADJ,8,3,0,1.42,10,9,19,3,8,12,20,3,both,2.67,1.37,18,3,3,1.67,19,4,4.3,1.26,20,4,3.72,0.96,18,3,3.65,0.86,17,3,3.15,1.72,13,6
défiant,distrustful,argwöhnisch,ADJ,7,2,0.43,0.27,18,2,20,1,10,10,20,1,preferentially human,2.75,1.16,20,0,4.35,1.98,20,1,4.45,1.23,20,0,3.74,1.15,19,1,3.58,1.12,19,2,3.21,2.02,19,1
déformable,deformable,deformierbar,ADJ,10,3,0,0,1,19,20,0,19,1,20,0,uniquely non-human,4.45,2.04,20,0,4.5,1.82,20,0,3.1,1.48,20,3,4,2.03,20,1,3.8,0.83,20,3,4.2,1.91,20,2
dégoûté,disgusted,angeekelt,ADJ,7,3,0.29,3.51,20,0,20,0,1,19,20,0,uniquely human,4.7,1.45,20,0,6.21,1.08,19,0,5.25,1.16,20,0,2.9,1.55,20,0,2.1,0.72,20,0,4.65,1.5,20,1
déguisé,disguised,verkleidet,ADJ,7,3,1.93,1.22,20,0,20,1,15,5,20,0,preferentially human,3.9,1.83,20,0,4.95,1.96,20,0,3.5,1.24,20,1,2.75,1.12,20,0,4.21,0.79,19,1,5.5,1.36,20,2
délabré,dilapidated,baufällig,PPADJ,7,3,0.21,1.89,4,16,20,0,19,1,20,0,preferentially non-human,4,1.86,20,0,4.4,1.76,20,0,4.68,1,19,0,5.15,1.23,20,1,2.25,0.91,20,0,5.6,1.19,20,0
délectable,delectable,herzerfrischend/köstlich,ADJ,10,3,0.56,1.55,4,14,18,5,17,3,20,0,preferentially non-human,3.79,1.72,19,0,3.75,1.55,20,1,4.4,1.43,20,2,4.39,0.92,18,0,4.79,1.4,19,1,2.88,0.93,17,1
délicat,delicate,feinfühlig,ADJ,7,3,9.6,13.72,19,1,20,0,15,5,20,2,preferentially human,3.6,1.5,20,1,5.55,1.5,20,0,4.05,1.64,20,0,4.7,1.22,20,0,4.45,1.23,20,0,3.75,1.55,20,1
délicieux,delicious,lecker,ADJ,9,3,20.62,15.07,8,12,20,1,19,1,20,0,preferentially non-human,5.58,1.22,19,0,6.32,1.11,19,1,4.35,1.53,20,0,4.25,1.33,20,0,6.37,0.68,19,1,3.65,1.6,20,0
déliquescent,deliquescent,zerfliessbar,ADJ,12,4,0.02,0.07,1,15,16,9,13,6,19,9,preferentially non-human,2.79,1.53,14,5,1.93,0.96,15,8,4.18,1.55,17,7,4.71,1.1,17,5,3.29,1.33,14,5,3.27,1.85,11,8
délirant,delirious,wahnsinnig,ADJ,8,3,1.36,1.28,18,2,20,0,14,6,20,1,preferentially human,4.05,1.73,20,0,5.9,1.21,20,0,4.45,1.47,20,0,3.8,1.47,20,1,4.35,1.35,20,1,4,1.78,20,0
demeuré,retarded,zurückgeblieben,PPADJ,7,3,0.48,0.88,18,2,20,0,5,15,20,0,preferentially human,3.4,1.67,20,0,4.9,1.68,20,0,5.05,1.39,20,0,4.75,1.77,20,0,2.05,1,20,0,3.85,1.42,20,0
démonstratif,demonstrative,demonstrativ,ADJ,12,4,0.23,0.54,18,2,20,0,11,9,20,0,preferentially human,3.4,1.7,20,0,5.15,1.5,20,0,3.8,1.06,20,1,4.95,1.22,19,1,5,0.67,19,1,3.5,1.7,20,0
démonté,dismantled/raging,zerlegt/aufgewühlt,PPADJ,7,3,0.07,0.74,6,14,20,2,18,2,20,0,preferentially non-human,3.25,1.77,20,1,4.05,2.04,20,0,4.45,1.54,20,1,4.45,1.57,20,1,2.95,0.89,20,1,5.05,1.54,20,0
dépendant,dependent,abhängig,ADJ,9,3,0.56,0.34,20,0,20,1,12,8,20,3,preferentially human,2.53,1.31,19,1,5.75,1.45,20,0,4.1,1.33,20,0,4.95,1.05,20,0,2.95,1.08,19,1,2.74,1.52,19,1
dépensier,spendthrift,verschwenderisch,ADJ,9,3,0.1,0.27,20,0,20,0,1,19,20,0,uniquely human,2.8,1.32,20,0,5.3,1.53,20,0,4.53,1.07,19,0,4.9,1.33,20,0,2.79,0.54,19,0,3.1,1.8,20,0
dépité,vexed,bitter enttäuscht,PPADJ,6,3,0.05,0.95,17,2,19,1,3,17,20,0,preferentially human,3.5,1.64,20,0,3.45,1.85,20,0,5.25,1.07,20,0,3.05,1.1,20,0,2.21,0.71,19,1,3.78,1.7,18,0
déplié,unfolded/stretched out,entfaltet,PPADJ,6,3,missing,entry,0,20,20,1,19,1,20,0,uniquely non-human,3.65,1.84,20,0,4.9,1.8,20,0,3.35,1.39,20,2,3.5,1.36,20,1,3.79,0.98,19,3,5.45,1.61,20,1
déplumé,plucked/bald,gerupft,PPADJ,7,3,0.16,1.15,8,12,20,3,16,4,20,0,preferentially non-human,4.15,1.81,20,0,3.85,2.13,20,0,4,1.34,20,0,5,1.41,20,1,2.8,0.83,20,2,5.85,1.27,20,2
dépressif,depressive,depressiv,ADJ,9,3,1.11,0.34,20,0,20,0,3,17,20,1,preferentially human,3.75,1.94,20,1,5.85,1.57,20,0,5.05,1.22,19,0,4.45,1.19,20,0,1.55,0.69,20,0,3.95,1.36,20,0
déprimé,depressed,depremiert,PPADJ,7,3,1.89,0.68,20,0,20,0,2,18,20,0,uniquely human,4.15,1.87,20,0,5.6,1.79,20,0,5,1.26,20,0,4,1.59,20,0,1.6,0.75,20,0,4,1.3,20,1
dérouté,rerouted/disconcerted,umgeleitet/verwirrt,PPADJ,7,3,missing,entry,18,2,20,0,3,17,20,1,preferentially human,2.95,1.28,20,0,4.35,1.95,20,0,4.8,1.24,20,0,3.2,1.15,20,0,2.6,0.6,20,0,3.5,1.64,20,1
désabusé,disillusioned,desillusioniert,PPADJ,8,4,0.08,3.04,18,1,19,1,2,18,20,2,uniquely human,3.55,1.67,20,0,4.3,1.75,20,0,4.95,1.15,20,0,3.75,1.16,20,1,2.47,0.77,19,1,2.95,1.51,19,1
désappointé,disappointed,enttäuscht,PPADJ,11,4,0.04,0.14,17,2,19,1,4,16,20,1,preferentially human,3.11,1.49,18,1,3.55,1.85,20,0,4.15,0.99,20,1,3,0.82,19,0,2.68,0.67,19,1,3.67,1.64,18,0
désemparé,distraught,ratlos,PPADJ,9,4,0.2,2.23,20,0,20,0,0,20,20,0,uniquely human,3.55,1.9,20,0,4.25,1.65,20,0,5.42,1.07,19,0,3,1.21,20,0,2.55,0.69,20,0,3.26,1.28,19,0
désenchanté,disenchanted,desillusioniert,PPADJ,11,4,0.11,0.47,16,4,20,0,7,13,20,2,preferentially human,2.79,1.03,19,1,4.15,1.95,20,0,4.35,1.27,20,0,3.58,1.17,19,1,2.42,0.77,19,0,3.21,1.36,19,1
désespéré,desperate,verzweifelt,PPADJ,9,4,4.87,7.3,20,0,20,0,3,17,20,0,preferentially human,3.55,1.7,20,1,5.6,1.67,20,0,5.74,0.73,19,0,3.5,1,20,0,1.75,0.72,20,0,3.35,1.09,20,1
désirable,desirable,begehrenswert,ADJ,9,3,1.18,4.19,18,2,20,0,15,5,20,0,preferentially human,3.8,1.61,20,2,5.3,1.42,20,0,4.15,1.35,20,0,4.2,0.95,20,0,5.68,0.67,19,0,4.25,1.86,20,0
désœuvré,inactive/aimless,untätig,ADJ,9,3,0,1.42,11,7,18,3,8,12,20,3,preferentially human,2.55,1.5,20,1,4,1.92,20,0,4.26,0.81,19,1,3.58,1.35,19,1,2.4,0.68,20,1,3.11,1.84,18,2
désolé,saddened/desolate,betrübt/trostlos,PPADJ,6,3,193.51,6.49,18,2,20,0,3,17,20,1,preferentially human,3.35,1.6,20,0,6.26,1.37,19,0,3.47,0.77,19,1,2.95,1.28,20,0,3.5,1.05,20,1,3.65,1.69,20,0
désorienté,disoriented,disorientiert,PPADJ,10,4,0.7,1.35,19,1,20,0,5,15,20,1,preferentially human,2.89,1.29,19,0,4.9,1.92,20,0,4.05,1.15,20,0,2.9,1.25,20,0,2.6,0.82,20,0,3.55,1.28,20,1
despotique,despotic,despotisch,ADJ,10,3,0.16,0.41,18,2,20,2,7,13,20,4,preferentially human,3.4,1.5,20,2,3.84,1.89,19,1,5.84,1.07,19,2,4.65,1.11,17,4,1.84,0.9,19,1,2.84,1.68,19,3
détendu,relaxed,entspannt,PPADJ,7,3,1.77,3.99,20,0,20,0,8,12,20,1,preferentially human,3.7,1.81,20,1,5.45,1.67,20,0,2.9,1.29,20,0,3.5,1.32,20,0,5.63,0.68,19,0,4.25,1.59,20,0
dévoyé,rogue,fehlgeleitet,PPADJ,6,3,0.18,0.54,6,11,17,10,8,12,20,7,both,2.65,1.37,17,2,2.74,1.59,19,3,4.36,0.93,14,5,4.4,0.83,15,8,3.36,0.93,14,4,3.17,1.47,12,7
dictatorial,dictatorial,diktatorisch,ADJ,11,4,0.03,0.2,10,10,20,3,11,9,20,1,both,2.8,1.32,20,1,3.6,1.9,20,0,5.9,1.21,20,1,5.26,1.1,19,1,1.8,0.89,20,0,3.35,1.84,20,1
dissimulé,hidden/two-faced,versteckt/heuchlerisch,PPADJ,9,4,0.06,1.28,7,13,20,0,15,5,20,0,preferentially non-human,3.3,1.3,20,1,4.55,1.79,20,0,3.45,1.19,20,1,3.35,1.31,20,1,3.05,0.97,19,2,2.74,1.97,19,2
dissipé,distracted,unaufmerksam,PPADJ,7,3,0.22,0.68,20,0,20,0,4,16,20,0,preferentially human,2.65,1.31,20,1,4.8,1.54,20,0,3.75,1.29,20,0,3.45,1.1,20,1,2.5,0.51,20,0,3.25,1.62,20,1
distingué,distinguished,vornehm,PPADJ,9,3,2.81,4.19,20,0,20,0,11,9,20,0,preferentially human,3.58,1.74,19,1,4.85,2.01,20,0,4.2,1.28,20,0,4.75,1.33,20,0,5.7,0.66,20,0,4.6,1.67,20,0
distrait,absent-minded,geistesabwesend,ADJ,8,2,1.31,6.76,20,0,20,0,1,19,20,0,uniquely human,3.3,1.81,20,0,5.8,1.58,20,0,3.45,1.19,20,0,3.55,1.36,20,0,2.8,0.52,20,0,3.5,1.36,20,0
distrayant,distracting,ablenkend,ADJ,10,3,0.64,0.81,19,1,20,2,15,5,20,1,preferentially human,4,1.21,20,0,5.5,1.19,20,0,3.5,1.61,20,0,3.6,1.19,20,0,4.8,0.95,20,0,3.55,1.67,20,0
docile,docile,fügsam,ADJ,6,2,1.68,7.43,17,3,20,0,8,12,20,2,preferentially human,3.15,1.6,20,0,5,1.52,20,0,4,0.94,19,1,4.74,1.19,19,0,4.65,1.35,20,1,3.05,1.54,20,0
dominateur,dominating,herrisch,ADJ,10,4,0.53,0.95,19,1,20,0,6,14,20,3,preferentially human,3.1,1.8,20,0,5.6,1.47,20,0,5.4,0.82,20,0,5.21,0.98,19,0,2.75,1.21,20,0,3.45,1.7,20,1
doré,golden,vergoldet,ADJ,4,2,2.62,15.74,1,19,20,0,20,0,20,0,uniquely non-human,5.2,1.67,20,0,4.65,2.28,20,0,3.35,1.53,20,0,5.84,1.12,19,1,5.25,0.91,20,1,6.42,0.84,19,0
doucereux,sugary,süßlich,ADJ,9,2,0.25,1.76,7,11,18,5,15,5,20,2,preferentially non-human,3.74,1.82,19,2,3.42,2.14,19,2,3.42,1.64,19,2,4.16,1.07,19,4,4.6,1.31,20,0,3.06,1.91,16,3
doué,gifted,begabt,ADJ,4,1,6.81,4.19,20,0,20,0,1,19,20,0,uniquely human,3.1,1.41,20,0,5.84,1.12,19,0,4.16,0.83,19,0,5.53,0.96,19,0,6.05,0.76,20,0,2.9,1.74,20,0
douillet,oversensitive,überempfindlich,ADJ,8,2,1.97,4.19,16,4,20,1,18,2,20,0,both,4.65,1.95,20,0,5.1,1.55,20,0,3.55,1.47,20,0,4.85,1.14,20,0,5.1,1.55,20,0,4.11,1.73,19,2
dubitatif,doubtful,zweifelnd,ADJ,9,4,0.07,1.15,15,5,20,1,1,19,20,1,preferentially human,2.95,1.1,20,0,4.15,1.53,20,0,4.1,1.29,20,2,2.94,1.11,18,2,3.39,0.78,18,2,3.63,1.67,19,1
durable,durable,haltbar/dauerhaft,ADJ,7,2,1.61,4.73,1,19,20,0,20,0,20,0,uniquely non-human,3.05,1.61,20,1,6,0.94,19,0,3.35,1.35,20,0,6.2,1.01,20,1,5.6,0.82,20,1,3.45,2.09,20,1
dynamique,dynamic,dynamisch,ADJ,9,3,1.97,1.69,20,0,20,0,15,5,20,1,preferentially human,4.3,1.63,20,0,5.89,1.41,19,0,4.58,1.07,19,0,4.9,1.17,20,0,5.95,0.69,20,0,4.11,1.41,19,0
ébahi,amazed,verdutzt,PPADJ,5,3,0.13,1.49,20,0,20,0,1,19,20,0,uniquely human,3.35,1.6,20,0,4.05,1.93,20,0,4.84,1.01,19,0,3.1,1.71,20,0,4.11,1.24,19,1,4.1,1.55,20,0
éberlué,dumbfounded,verblüfft,PPADJ,7,3,0.01,1.28,12,4,16,4,3,17,20,3,preferentially human,2.47,0.94,17,2,3.28,1.6,18,1,5,0.97,18,2,3.32,1.42,19,1,3.25,0.93,16,2,3.6,1.5,15,2
ébloui,dazzled,beeindruckt,ADJ,6,3,0.05,2.97,16,4,20,0,4,16,20,0,preferentially human,4.3,1.66,20,0,5.45,1.5,20,0,4.45,1.15,20,0,2.16,1.17,19,0,4.4,1.23,20,0,4.75,1.71,20,0
écervelé,scatterbrained,schusselig,ADJ,8,4,0.46,0.14,20,0,20,0,1,19,20,3,uniquely human,3.05,1.82,20,0,3.8,2.24,20,2,5.45,1.43,20,0,4.89,1.24,19,1,1.74,0.56,19,0,3,1.72,20,0
écoeuré,disgusted,angewidert,ADJ,7,3,0.3,2.64,19,1,20,0,2,18,20,0,uniquely human,4.9,1.55,20,1,5.2,1.24,20,0,5.75,0.97,20,0,2.85,1.23,20,0,1.75,0.64,20,0,4.4,1.6,20,1
écologique,ecological,ökologisch,ADJ,10,4,1.59,0.74,12,8,20,0,20,0,20,0,preferentially non-human,3.45,1.9,20,0,6.32,1.06,19,0,3.7,1.45,20,2,5.85,0.81,20,1,5.65,0.99,20,0,2.9,1.71,20,0
économe,thrifty,sparsam,ADJ,7,3,0.31,1.76,20,0,20,0,14,6,20,3,preferentially human,2.55,1.54,20,1,5.8,1.44,20,0,3.5,1,20,0,5.3,0.92,20,0,5.15,0.67,20,0,2.95,1.64,20,2
