word_french,translate_word_english,translate_word_german,pos,length,syllables,frequency_films,frequency_books,humans_yes,humans_no,humans_n,human_difficulty,nonhumans_yes,nonhumans_no,nonhumans_n,nonhuman_difficulty,category,concrete_mean,concrete_sd,concrete_n,concrete_difficulty,familiar_mean,familiar_sd,familiar_n,familiar_difficulty,intensity_mean,intensity_sd,intensity_n,intensity_difficulty,temporal_stability_mean,temporal_stability_sd,temporal_stability_n,temporal_stability_difficulty,valence_mean,valence_sd,valence_n,valence_difficulty,visibility_mean,visibility_sd,visibility_n,visibility_difficulty
basique,basic,basisch,ADJ,7,2,0.85,0,4,16,20,0,20,0,20,1,preferentially non-human,2.7,1.56,20,1,5,1.69,20,0,2.95,1.5,20,0,5.2,1.4,20,0,3.89,0.81,19,1,2.9,1.77,20,2
batailleur,quarrelsome,streitsuechtig,ADJ,10,3,0,0.61,18,2,20,1,2,18,20,0,uniquely human,3.2,1.32,20,0,4.1,2,20,0,4.6,1.27,20,0,4.7,0.98,20,0,3.9,1.29,20,0,2.95,1.43,20,1
bavard,talkative,geschwätzig,ADJ,6,2,2.39,4.86,20,0,20,0,1,19,20,1,uniquely human,4.4,1.67,20,0,6.05,1,20,0,4.2,1.44,20,0,5.11,0.99,19,0,3.37,1.07,19,0,3.65,2.06,20,0
béat,blissfully happy,glückselig,ADJ,4,2,0.21,1.89,18,2,20,0,2,18,20,0,uniquely human,3.2,1.61,20,1,3.21,1.75,19,0,4.1,1.37,20,0,2.79,1.62,19,0,3.8,1.28,20,0,4.25,1.12,20,1
beau,beautiful,schön,ADJ,4,1,281.23,270.07,19,1,20,0,18,2,20,2,both,5.1,1.55,20,0,6.5,0.76,20,0,3.45,1.57,20,0,4.9,1.29,20,1,6.25,0.85,20,0,5.5,1.96,20,2
belliqueux,belligerent,kampflustig,ADJ,10,3,0.41,1.28,16,2,18,4,5,15,20,1,preferentially human,2.8,1.24,20,0,3.45,1.82,20,0,4.95,1.23,20,3,4.55,1.23,20,1,2.44,1.1,18,1,3.45,1.76,20,2
besogneux,needy,bedürftig,ADJ,9,3,0,1.28,17,2,19,4,5,15,20,2,preferentially human,2.8,1.44,20,1,3.3,2,20,1,3.79,1.23,19,4,4.75,1.21,20,0,4.06,0.83,17,4,2.71,1.26,17,2
bête,daft,blöd,ADJ,4,1,51.33,33.31,20,0,20,0,9,11,20,1,preferentially human,3.4,1.7,20,0,6,1.25,19,0,4.2,1.44,20,0,5.05,1.47,20,0,1.65,0.75,20,0,2.9,1.55,20,2
beurré,buttered/to get plastered,gebuttert/besoffen,ADJ,6,2,0.43,0.74,9,11,20,0,17,3,20,0,preferentially non-human,4.7,1.98,20,0,4.7,1.95,20,0,4,1.34,20,1,3.65,1.31,20,2,2.89,0.99,19,2,5.25,1.74,20,0
bicolore,two-colored,zweifarbig,ADJ,8,3,0.15,0.47,0,20,20,0,19,1,20,0,uniquely non-human,4.35,1.95,20,0,4.4,1.93,20,1,3.2,1.47,20,5,5.7,1.26,20,2,4.32,0.58,19,1,6.68,0.75,19,0
bienheureux,blissful,glückselig,ADJ,11,3,2.09,2.84,20,0,20,0,1,19,20,0,uniquely human,3.4,1.54,20,0,4.9,1.8,20,0,3.85,1.31,20,0,4.7,1.08,20,0,5.89,0.94,19,0,4.15,1.46,20,2
bienveillant,benevolent,wohlwollend,ADJ,12,3,0.84,2.97,20,0,20,1,4,16,20,0,preferentially human,3.5,1.47,20,1,5.25,1.62,20,0,3.5,1.24,20,0,5.1,1.07,20,0,6.11,0.66,19,0,2.89,1.29,19,0
