word_chinese_simplified,concrete_mean,concrete_sd,arousal_mean,arousal_sd,familiar_mean,familiar_sd,typicality_mean,typicality_sd,valence_mean,valence_sd
聊天,1.8889,1.2195,1.5357,0.9616,7,0,1.7586,1.4554,0.6333,0.7649
烈火,2.4286,1.894,4.2857,2.1232,6.7586,0.5766,2.2759,1.6234,0.1333,0.8604
临时,4.0741,1.8796,1.6786,0.9449,6.4643,1.2013,1.5172,1.2136,-0.0333,0.6149
吝啬,4.2593,1.534,3.9286,1.9987,6.2143,1.3705,4.3793,1.761,-1.8667,0.8604
凌辱,4.1481,1.6803,5.8929,1.3968,6.0714,1.1841,5.3103,1.6713,-2.5333,0.8996
聆听,3.6071,1.7917,2.5357,1.5982,6.6552,0.8567,2.6207,1.5449,0.5,1.0748
领袖,1.9643,1.2317,2.0714,1.3589,6.6552,0.9738,1.4138,0.7328,0.8,1.0635
留恋,4.25,1.7559,3.5,1.7743,6.6552,0.8567,4.8621,1.9589,0.7333,1.1427
流程,2.6667,1.7097,1.3214,0.548,6.5357,0.8381,1.3448,0.8567,0.0333,0.6687
漏洞,2.9259,1.6854,3.1786,1.9824,6.4286,1.4254,2.3103,1.5835,-1.3333,0.8841
鲁莽,4.1071,1.7499,4.6786,1.4156,6.5172,1.1533,3.931,1.9988,-1.3667,0.9279
录取,2.8214,1.847,3.7857,2.3626,6.6897,0.8495,2.5172,1.8826,1.7667,1.1043
录制,2.1786,1.4415,1.75,1.3229,6.5862,1.0183,1.2759,0.9598,0.1667,0.5307
落后,4,1.4142,3.5357,1.9717,6.7143,0.81,3.3793,2.0944,-1.7333,0.6915
履行,3.8519,1.7476,2.2857,1.5601,6.5,1.0715,1.7931,1.3464,0.7,0.9879
率领,3.5926,1.693,2.5357,1.5271,6.4643,1.138,2.0345,1.6363,0.6667,0.9589
埋伏,2.9259,1.5671,3.6429,1.8301,6.4286,1.5258,2.1724,1.2837,-1.3333,0.8442
埋葬,2.4815,1.5534,4.0714,1.8445,6.6786,0.6696,3,1.8323,-1.8667,0.8996
蛮横,4.4444,1.7394,5.0714,1.3032,6.3571,1.5206,5.2414,1.4055,-1.7333,0.9072
满意,3.5185,1.718,4.4643,2.1341,6.8214,0.7724,5.7931,1.7399,2.4667,0.6814
满足,4.4444,1.6486,4.25,2.2048,6.8929,0.315,5.0345,2.0263,1.8667,1.0743
蔓延,4.5,1.5753,2.7143,1.6523,6.3448,1.2034,1.9655,1.4011,-0.3,1.1492
漫画,1.5556,1.2506,1.7857,1.1007,6.7143,1.0131,1.2759,0.649,0.6,0.9322
忙碌,4,2.0548,4,1.5154,6.6207,0.82,3.2414,1.7659,-0.7667,0.9353
茫然,4.3333,1.6172,3.8571,1.7995,6.4286,1.1031,5.3793,1.4739,-1.1333,0.8193
茂密,3.1852,1.7329,2.5357,1.7101,6.25,1.5546,2.1379,1.3555,1.2333,1.04
冒失,4.5185,1.7622,3.4643,1.8355,6.3571,1.3113,4,1.8323,-1.3667,0.6149
美德,4.2222,1.7831,2.9286,1.7198,6.5714,1.1996,3.4483,1.8242,2.5667,0.5683
美好,4.7407,1.7671,3.9643,1.9904,6.7857,0.6299,4.8621,1.5749,2.2333,1.04
美景,2.8519,1.9749,3.1429,1.4836,6.8214,0.6118,3.7586,1.683,2.0333,1.1592
美丽,3.8889,1.948,3.3214,1.9062,6.8929,0.5669,4.2069,1.7192,2.0667,1.1427
美元,1.5926,1.3661,1.5,1.1055,6.9286,0.2623,1.3448,1.0098,0.1,0.9595
蒙骗,3.9259,1.3566,4.8571,1.88,6.0357,1.4778,4.069,1.602,-2.0667,0.9072
迷糊,4.3704,1.8428,2.5714,1.5736,6.5357,1.2317,3.2069,1.7399,-0.6667,0.9223
迷惑,4.7037,1.6365,3.3214,1.847,6.6071,1.1001,4.6207,1.8787,-1,1.0828
迷恋,4.5185,1.578,4.4643,1.6884,6.5714,0.9974,5.069,1.6889,0.6333,1.2172
描绘,3.7778,1.6486,1.5714,0.9595,6.2857,1.1174,1.4138,0.9456,0.5333,0.8996
渺茫,4.8571,1.5327,3.3571,1.7892,6.1034,1.5889,3.6897,1.7949,-0.8667,1.0417
灭亡,2.963,1.7863,4.1786,2.3579,6.5,1.2323,3.3103,2.072,-2.1667,0.8339
蔑视,4.2593,1.6312,5.6786,1.467,6.0714,1.3589,5.5517,1.3252,-2.0667,1.0483
名称,2.75,1.9555,1.4643,0.8381,6.7586,0.511,1.3448,0.814,-0.0667,0.7849
名牌,2.2143,1.3973,2.2143,1.4996,6.7586,0.5766,1.4828,0.9111,0.6333,0.9279
名声,3.6429,1.8097,1.9643,1.3189,6.8966,0.3099,1.9655,1.2096,0.6333,0.9279
名著,2,1.7213,1.75,1.1097,6.931,0.2579,1.4483,1.1208,1,0.9826
明朗,3.9643,1.5512,4,1.7427,6.4483,1.2417,4.1379,2.2476,1.7667,1.0726
明星,1.4815,0.7,1.9643,1.4525,6.7143,1.1501,2.1379,1.5521,0.5333,1.1059
模糊,4.0714,1.8842,2.3571,1.6603,6.5862,1.0183,1.8621,1.3289,-0.6667,1.1842
模式,4.3214,1.9255,1.5,0.8389,6.7931,0.5593,1.3103,0.8064,0.1667,0.5921
模特,1.3571,0.6215,1.4286,0.8789,6.7931,0.8185,1.1724,0.6017,0.2667,0.5208
模样,3.4444,1.8046,1.6786,1.4156,6.4643,1.2615,1.4828,0.9864,0.3333,1.0283
魔鬼,3.5926,2.3413,4.9286,1.9231,6.4643,1.2317,3.931,1.926,-2.4333,0.7739
漠视,4.7407,1.4031,4.4643,1.8951,5.8571,1.5084,5.6552,1.0098,-1.6,1.2205
谋杀,2.7778,1.6013,5.1786,1.7008,6.5714,1.069,3.7931,1.6983,-2.3667,0.7649
难过,3.5556,2.1897,5.1786,1.8268,6.75,1.0046,6.3448,1.2894,-1.5333,1.2794
难堪,4.3333,1.5933,4.8929,1.5715,6.5357,0.9222,4.8966,1.8583,-1.7333,0.9072
难民,1.7143,1.1819,3.3571,1.9477,6.3793,1.3736,2.6552,1.6097,-1.1333,1.2243
恼火,4.3333,1.6172,5.4643,1.5271,6.75,0.5182,6.3103,1.4905,-1.4667,1.383
内疚,4.1852,1.7329,4.9286,2.0893,6.3929,1.4742,5.7586,1.5273,-1.4,1.0372
内向,4.6786,1.8669,2.5714,1.62,6.4138,1.4272,3.2414,1.7455,-0.4667,0.8604
能量,4.3571,1.8701,2.1786,1.765,6.8276,0.4682,1.7931,1.2358,1.3667,0.7649
泥泞,2.9259,1.7304,3.2857,1.8024,6.6071,0.8751,2.2414,1.4055,-1.2333,0.7739
年轻,3.1852,1.6879,2.0714,1.2745,6.7143,0.5998,3.2069,1.5208,1.7,1.0554
扭曲,3.9259,1.5915,4.5714,1.8141,6.2143,1.3705,3.4138,1.7012,-1.3,1.3429
农村,1.6786,1.5647,1.5357,0.9616,6.8621,0.7428,1.2759,0.7019,0.0667,0.5208
怒斥,3.8148,1.6417,6.2143,0.9567,6.0714,1.1841,6.2414,1.1543,-2,1.0505
虐待,3.037,1.7863,5.4286,1.7728,6.7857,0.4987,4.7586,1.8833,-2.6667,0.5467
诺言,4.2857,2.1057,2.9643,1.9338,6.7931,0.4123,2.3793,1.6779,0.8,1.2149
偶像,1.9286,1.2745,2.5714,1.709,6.6897,1.1681,1.9655,1.5465,1.1,1.0289
拍摄,1.9259,1.328,1.5357,0.9222,6.5,0.9623,1.2414,0.6895,0.3667,0.8503
排斥,4.2143,1.7074,4.5714,1.7518,6.7241,0.649,4.4828,2.0636,-1.6333,0.9643
排除,3.6667,1.5689,2.6071,1.7499,6.7857,0.5681,1.7586,1.2999,-0.5,0.9738
盘旋,2.9643,1.8951,1.9286,1.6314,6.4828,0.9495,1.5517,1.1522,0.1333,0.5713
叛徒,2.6667,1.6641,4.5357,1.8556,6.3214,1.6114,4.069,1.646,-2.1333,1.2794
旁观,3,1.4676,2.3929,1.4991,6.0357,1.7317,2.5172,1.6173,-0.4667,0.9371
抛弃,3.7407,1.5834,5.1429,1.7788,6.8929,0.4163,4.5517,1.4537,-2.2333,0.7279
咆哮,3.4643,1.7101,4.9286,2.0171,6.3793,1.2653,4.5172,1.9571,-1.2333,1.2507
配合,3.5926,1.6469,1.8571,1.2084,6.6429,0.9512,2.1379,1.5289,0.8333,0.7915
批判,4,1.8659,4.0714,1.7198,6.6207,1.0147,4.4828,1.8248,-1.3,0.8769
批评,3.8214,2.1266,4.1429,2.1032,6.7241,0.8408,4.2759,2.1695,-1.6,1.1326
疲惫,3.7857,1.833,4.5,1.6667,6.9655,0.1857,5.3103,1.8728,-1.4667,1.008
疲乏,4,1.8257,4.6786,1.5409,6.4483,1.1208,5.3103,1.3655,-1.6333,0.7649
偏激,4.7778,1.396,5.5357,1.4268,5.5714,1.8344,5.4138,1.3501,-1.9667,0.9643
偏见,4.3929,1.6852,4.0714,1.6981,6.8621,0.4411,3.8276,1.8911,-1.2667,1.1725
偏执,4.4074,1.693,4.8571,1.8602,6.1429,1.4836,5.1379,1.5289,-1.7,0.6513
贫寒,4,1.7213,3.8929,1.9877,6.4828,1.1838,3.8621,1.5289,-1.7333,1.0807
贫贱,3.9259,1.8796,3.9286,1.9613,6.1071,1.5715,4,2,-1.9667,0.9279
贫苦,3.7407,1.8101,4.1429,1.8199,6.6429,0.9894,4.1034,1.6764,-1.8333,1.1167
贫困,3.4074,1.803,3.3571,1.8701,6.8214,0.4756,3.7586,1.8833,-1.7333,1.3113
贫穷,3.4074,1.5507,3.8214,1.8064,6.9286,0.2623,4,1.8127,-1.9,0.9229
品味,4.8571,1.5084,1.9286,1.1198,6.5172,1.0563,1.9655,1.5465,0.6,0.8137
聘请,3.2593,1.8101,2.4286,1.5013,6.0357,1.7947,2.069,1.387,0.9,0.9948
平等,4.5714,1.597,2.1786,1.5882,6.6552,0.8975,2.4828,1.5951,1.1333,1.0417
平衡,3.8519,1.6339,1.7857,1.0313,6.6786,1.0905,1.7931,1.3985,0.7,0.9523
平滑,3.4074,1.8864,1.7857,1.1661,6.4286,0.9595,2.2069,1.6557,0.5667,0.9353
平静,3.9286,1.8842,1.8214,1.467,6.7241,0.8408,4.1379,2.2634,0.7667,0.9714
平稳,3.7857,1.5719,1.6429,0.9894,6.6207,1.0493,2.3793,1.7199,0.9667,0.8503
平息,3.8519,1.7695,2.5357,1.6663,6.0714,1.5853,2.069,1.2798,0.0667,0.9072
平庸,4.25,1.5782,2.6786,1.847,6.5172,1.0563,3.1724,1.7942,-0.8333,0.7915
破坏,3.6071,1.8527,4.3929,1.8726,6.7241,0.649,3.4828,1.9571,-1.6,0.8137
破损,3.3214,1.8268,3.3571,1.8097,6.6897,0.8064,3.1034,1.839,-1.2667,1.0148
瀑布,1.6071,1.2864,2.1071,1.3968,6.8966,0.3099,1.2759,0.7972,0.2667,0.7397
凄凉,4,1.7097,4.9643,1.8152,6.3571,1.3666,5.0345,1.8221,-1.9667,0.7184
期待,4.1071,1.7286,4.1071,1.8326,6.6552,0.7689,4.6897,1.9839,1.7,0.9154
欺骗,3.5926,1.6469,5.1429,1.8199,6.7143,0.7127,4.5862,1.7221,-1.9,0.803
奇迹,4.963,1.7863,4.5714,1.9518,6.6786,1.0203,3.8276,1.853,1.9,1.125
祈祷,4.1786,1.6567,3.6071,1.8123,6.8966,0.3099,3.5517,1.6815,1.1,0.9595
启程,3.4074,1.693,2.25,1.6471,6.75,0.5853,1.4138,0.6823,0.8,0.8469
启发,4.4286,1.6427,2.3214,1.4156,6.6552,0.814,2.3103,1.3121,1.2667,0.6915
气愤,4.1429,1.7788,5.6429,1.592,6.7241,0.649,6.2414,1.5959,-1.9667,0.8503
气势,4.6071,1.4742,3.0357,1.6439,6.5862,1.2106,2.1724,1.5369,1,0.9469
气象,3.25,1.9365,1.75,1.3229,6.3103,1.1681,1.4138,0.8667,0.2667,0.6397
气质,5.1429,1.7366,2.3929,1.7286,6.4828,1.3789,2.3793,1.8403,0.9667,0.9994
契约,2.8929,1.6631,2.2143,1.3154,6.3793,1.1469,1.5517,0.7831,0.4,1.0034
恰当,4.3929,1.4991,2.0357,1.1701,6.8966,0.4093,2.8621,1.8269,1.3333,0.8023
谦恭,4.7857,1.3973,3.7143,1.6523,5.8276,1.6272,4.5172,1.6823,1.6333,0.9994
歉意,4.037,1.6286,4.2857,2.1057,6.6071,0.994,5.2414,1.8058,-0.8667,1.1366
强化,4.6667,1.5191,3.4286,1.894,6.7857,0.5681,2.2759,1.9253,1.2667,0.9444
强迫,4.037,1.7646,5.4643,1.4778,6.5357,1.1049,4.4483,1.6385,-1.8,1.1567
抢劫,2.3704,1.5726,4.3571,2.2479,6.7143,0.8545,3.4483,1.9926,-2.0333,0.7184
抢救,2.1481,1.3215,4.5714,2.0625,6.75,0.5853,2.8276,1.6705,-0.6667,1.4223
怯懦,4.1111,1.5771,4.8571,1.5327,6.2857,1.2724,4.9655,1.6143,-1.5333,0.6288
惬意,4.4815,1.5031,4.3214,1.5882,6.1786,1.7008,5.6207,1.3473,1.9,1.1847
钦佩,4.3333,1.4412,4.3214,1.6789,6.5,1.1386,4.8276,2.1392,2.0667,0.7849
侵犯,4.1111,1.9081,5.3214,1.7438,6.4286,1.3724,4.1034,1.7185,-1.7333,1.2576
侵权,3.4815,1.6726,3.9286,2.0715,6.2143,1.4996,2.8621,1.6196,-1.8667,0.8193
亲密,3.8519,1.5368,3.6786,1.847,6.4643,1.4778,4.3793,1.7811,1.8333,1.2617
亲戚,1.5714,1.069,2.0357,1.4006,6.8621,0.3509,1.6552,1.1734,0.5333,0.8604
亲热,3.6071,1.8923,4.3571,1.7683,6.3793,1.2932,4.4483,1.6602,1.3,1.1492
亲属,1.5714,1.0338,2.2857,1.6069,6.931,0.2579,1.9655,1.5465,0.7667,1.0063
亲友,1.7407,1.0952,2.75,1.6694,6.7857,0.6299,2.5862,1.9183,1.3333,0.9589
勤奋,3.963,1.6521,4.1071,1.7709,6.75,0.7993,4.6207,1.7811,2.1333,0.7303
勤快,3.8519,1.6339,3.7143,1.7182,6.7857,0.6299,4.0345,1.8024,2.3,0.6513
轻快,4.1481,1.4859,3.5714,1.7305,6.75,0.8444,4.8621,1.7264,1.6667,0.8841
轻狂,4.4286,1.6872,5.1071,1.4742,6.2759,1.4367,4.8276,1.6051,-1.1333,1.2243
轻率,4.2593,1.534,3.6786,1.6342,5.75,1.8979,4.1034,1.8194,-0.7667,1.2229
轻蔑,3.963,1.7863,5.1071,1.8123,6.3929,1.2864,5.6552,1.2894,-1.3333,1.4464
轻视,3.963,2.0283,4.5357,1.8152,6.3571,1.496,5.3448,1.5874,-1.6,0.8944
轻松,3.9259,1.5915,3.4286,1.9707,6.7143,1.0131,4.4138,2.1633,1.8,0.8052
轻佻,4.1429,1.6714,4.4286,1.5013,4.8621,2.1167,4.0345,1.6793,-1.4667,0.5713
倾诉,3.7778,1.7614,2.9286,1.5379,6.6071,0.956,3.1034,1.6764,0.8333,1.0199
倾听,3.6296,1.5726,2.6786,1.8268,6.75,0.7005,2.3793,1.6128,1.3333,0.9589
倾向,5.2143,1.2578,2.0714,1.4383,6.5862,0.9456,2.1034,1.6112,0.4333,0.8172
清澈,3.5714,2.0079,2.4643,1.5512,6.4828,1.2711,2.8276,1.9285,1.5333,0.8604
清纯,4.2963,1.6828,2.3929,1.3149,6.4286,1.5258,3.3793,1.6565,1.5,0.9002
清凉,3.6786,1.9255,2.3214,1.2781,6.5862,0.907,2.3103,1.4905,0.7667,1.04
清晰,3.8214,1.8064,2.2143,1.1974,6.6552,1.0446,2.5517,1.5718,1.1667,1.0532
清新,4.2143,1.833,2.5,1.262,6.5517,1.3519,2.6552,1.5184,1.5667,0.8976
情感,5.1786,1.6342,2,1.4142,6.8276,0.4682,2.5517,2.1143,0.7,0.8769
情景,4.037,2.121,1.5,1,6.7143,0.7629,1.5862,0.9826,0.2333,0.8584
情侣,1.5185,1.0514,2.3571,1.7892,6.8571,0.4484,2.2414,1.4055,1.3,1.2077
情绪,4.8929,1.7917,2.1429,1.5084,6.7586,0.5766,2.2759,1.8302,0.0667,0.8683
庆祝,3.1111,1.6946,4.4286,2.0804,6.7857,0.5681,4.8621,1.5749,2.3333,0.7581
穷苦,3.963,1.698,4.2857,1.8024,6.7857,0.5681,4.3103,1.9839,-1.9667,0.8503
穷困,3.6667,1.5191,4.3571,1.6825,6.9286,0.2623,3.5862,2.1132,-1.9,0.8847
求婚,2.1111,1.6946,3.2143,2.2991,6.2857,1.4365,3.1724,1.5135,1.7333,1.2847
求救,2.963,1.4539,5.0357,2.0089,6.7143,0.5998,4.1379,1.9771,-0.9,1.3983
取胜,3.3704,1.5726,4.2857,1.9409,6.5714,0.7902,3.8966,1.9336,2,0.8305
取笑,3.3333,1.9014,4.7857,1.6411,6.4643,0.9993,5.4828,1.4046,-1.7667,0.7739
权益,3.963,1.7863,2.9286,1.9801,6.6429,0.78,1.931,1.387,0.9,0.9595
全部,3.3333,2.1483,1.8571,1.4836,6.8571,0.4484,1.3448,0.9364,0.4667,0.8996
劝告,3.4286,1.7728,3.1429,1.8402,6.7241,0.7019,2.931,1.7306,0.3667,0.9279
缺乏,3.8148,1.5698,3.0714,1.7623,6.75,0.7993,2.6207,1.4739,-1.2333,0.7739
确认,3.3704,2.0409,1.8929,1.5715,6.8571,0.4484,1.3793,1.0147,0.5333,0.8604
扰乱,3.7857,1.7074,3.7143,1.9787,6.6552,1.2328,3.3793,1.9715,-1.5,0.9377
热爱,4.0741,1.8382,5.6071,1.4991,6.9286,0.2623,6,1.1019,2.4,0.724
热点,3.5926,1.8242,2.8571,1.7578,6.7857,0.5681,2.1034,1.7596,0.6333,0.9279
热泪,2.2857,1.5601,5,1.4657,6.4483,1.2702,4.7586,1.683,0.7,1.0554
热闹,3.3333,1.7974,4.5,2.0092,6.8929,0.315,4.1724,2.0541,1.9333,0.8277
热切,4.3929,1.931,4.6071,2.0965,6.5862,1.1186,5.6207,1.3473,1.8667,0.8996
热情,4.0741,1.4917,4.9286,1.8842,6.8214,0.4756,5.8966,1.1447,2.3333,0.8442
热心,4.0714,1.9423,3.9643,1.7739,6.8621,0.3509,4.4483,1.9381,2.0667,0.6397
人格,5.3929,1.37,1.5357,0.8381,6.4138,1.2682,1.3448,0.7689,0.2333,0.8172
人类,1.6296,1.3909,1.6429,1.3113,6.7857,0.9567,1.2759,0.751,0.4333,0.8976
人民,1.7407,1.2276,1.8929,1.4489,6.9286,0.378,1.6897,1.4664,1.0667,1.2576
仁慈,4.75,1.4044,3.3929,1.7499,6.6897,0.8064,4.4138,1.6801,1.7,1.0222
认真,4.2857,1.6523,2.8214,1.5647,6.7241,1.0315,3.6897,1.9658,1.8333,0.9129
日期,1.5185,1.2518,1.25,0.7005,6.6786,0.7228,1.1724,0.4682,0.1,0.3051
荣获,4.5,1.8758,3.9643,1.9338,6.5172,1.2427,3.7241,1.8302,1.7667,1.0726
容纳,3.3333,1.5933,2.1429,1.5084,6.6071,0.8751,1.6552,0.9738,0.4667,0.8193
容忍,4.1429,1.7152,3.5357,1.5026,6.7931,0.6199,4.4828,1.8443,-0.5,1.1064
融洽,4.1429,1.7995,3.2143,1.729,6.4483,1.2126,3.1724,2.0012,1.7333,1.1427
柔美,4.25,1.7347,2.75,1.5306,6.3448,1.37,3.4483,1.6166,1.6333,0.7649
柔弱,3.7778,1.6946,2.6429,1.3393,6.6071,0.956,2.8621,1.6845,-0.1,1.269
如意,4.7407,1.6312,3.5357,1.8355,6.3214,1.1564,5,1.7321,2.3667,0.7649
如愿,4.6429,1.7473,3.6429,1.9093,6.6552,1.0098,4.4828,1.7652,1.7667,1.1043
锐利,3.3704,1.6675,3.0357,1.8754,6.0714,1.7832,2.1034,1.5663,0.0667,1.2576
睿智,4.5556,1.6718,3.2857,1.8024,6.3929,1.0306,4.2414,2.0293,2.2333,0.7279
撒谎,3.2963,1.7719,4.6071,1.6852,6.8571,0.3563,4.0345,1.8221,-1.8667,0.6288
散布,4.1481,1.4598,2.7857,1.6635,6.3214,1.188,2.1724,1.416,-0.4667,1.0417
骚动,3.8571,1.8996,4.5,1.8954,6.2759,1.5788,3.4138,1.5928,-1.3333,0.9589
骚扰,3.3333,1.8397,4.5,1.972,6.2143,1.3705,4.1379,2.0306,-1.7,1.1492
扫描,3.3571,1.8502,1.4286,0.9974,6.4138,1.402,1.6207,1.2368,0.1667,0.5307
森严,3.8889,1.5021,3.8571,1.8199,6.2143,1.729,3.2414,1.64,-0.5333,1.1958
沙哑,3.2222,1.8879,2.9643,1.6212,6.1071,1.6631,2.3103,1.7135,-0.9667,0.8087
闪耀,3.7857,1.6411,3.25,1.7347,6.6897,0.6603,3.2069,1.7603,1.4333,0.9353
伤感,4.4074,1.7378,5.1071,1.6407,6.5,1.1386,5.6552,1.7377,-1.6,0.9322
伤害,3.7778,1.7172,4.6429,1.6825,6.6429,1.0616,4.5517,1.5943,-1.8667,0.8604
伤痕,2.2857,1.7182,4,1.6102,6.6207,0.9788,3.3103,1.8343,-1.5667,0.8584
伤口,2.0357,1.5271,3.1786,2.001,6.931,0.2579,2.931,1.7511,-1.5,0.6297
伤势,3.2593,2.0304,3.25,1.7559,6.5714,1.1031,2.6207,1.8976,-1.4,0.8944
伤心,4,1.8659,4.9286,1.8243,6.7241,0.7019,6.5172,0.9111,-1.5,1.1671
摄像,2.3929,1.7499,1.4286,0.9595,6.7931,0.7736,1.6207,1.2368,0.3333,0.7112
深沉,4.8214,1.6789,3.2143,1.729,6.3793,1.1776,3.3103,1.5143,0.2333,1.2229
深度,4.2593,1.7887,1.8929,1.3427,6.8929,0.4163,1.7586,1.5733,0.6,0.9322
深情,5.037,1.4802,4.3929,1.9877,6.5714,0.9201,5.4483,1.378,1.5667,1.2507
深渊,3.4074,2.2059,4.2143,1.9693,6.1071,1.5715,3.5517,2.0974,-1.5667,1.2507
神秘,4.8889,1.6946,3.4286,1.9327,6.6786,1.188,2.7931,1.6771,0.6,0.9322
审查,3.3333,1.7321,2.75,1.9744,6.5714,1.1362,1.4828,0.871,-0.1333,0.6814
审美,4.6786,1.6567,2.1786,1.4156,6.5517,1.2126,1.6897,1.4418,0.9333,0.8683
审慎,4.4815,1.2821,3.6786,1.6342,5.0714,1.9613,3.6552,2.0577,0.5333,1.2521
生命,3.1481,2.1609,2.8929,1.8726,6.9643,0.189,2.1724,1.8336,1.2,1.2972
牲畜,1.5556,1.281,2.5714,1.7518,6.1429,1.5567,2.5862,2.0092,-0.7333,1.1427
失落,4.7407,1.4569,4.9286,1.8243,6.5357,1.2615,5.6897,1.9292,-1.6333,0.7184
失去,4.0741,1.8382,3.6786,2.001,6.6071,1.1969,3.5172,1.5951,-1.6,1.1919
失望,4.1852,1.8405,5.0714,1.9038,6.8571,0.3563,5.931,1.6889,-1.6,1.0372
失业,2.4074,1.3939,4.2143,2.0066,6.5,1.1706,3.6897,1.8918,-1.7,0.7944
失意,4.6429,1.8502,4.4286,1.7518,6.4138,1.1807,5.0345,2.0263,-1.6333,0.6687
时代,4.0357,1.8355,1.9643,1.3189,6.8621,0.5809,1.4483,1.0551,0.1333,0.8604
时机,4.2222,1.948,2,1.5635,6.75,0.8444,1.5862,1.1807,0.6667,0.9942
实际,4.3333,1.7097,1.7143,1.1501,6.3929,1.1969,1.5172,0.9864,0.4333,0.6789
事故,2.3214,1.5409,3.6786,2.0194,6.8966,0.4093,2.5517,2.0803,-1.1,1.2134
事实,3,1.7974,1.6429,1.0261,6.8929,0.5669,1.5517,1.0885,0.5333,0.8193
试探,4.1429,1.7152,3.5,2.117,6.4138,1.2682,2.6552,1.4706,-0.4,0.9322
试图,4.2963,1.5644,2.2857,1.3294,6.4286,1.3174,1.8621,1.1252,0.2667,0.6915
视觉,3.1481,1.8954,1.5,1.262,6.5,1,1.3103,1.1681,0.0333,0.4901
视野,2.8148,1.665,1.8214,1.3348,6.7143,1.0131,1.4138,0.907,0.3333,0.8023
是非,4.8214,1.6342,2.6786,1.765,6.2069,1.5897,2.069,1.5337,-0.2667,0.7849
适当,4.8148,1.4421,1.7143,1.243,6.6071,0.956,2.3103,1.5143,0.4667,0.9371
适度,4.5185,1.626,2.0714,1.4889,6.75,0.7993,2.4483,1.882,0.7333,0.9803
首领,1.7778,1.1209,2,1.4402,6.6786,0.9049,1.5517,1.298,0.5667,0.9714
受贿,2.7778,1.5275,4.1071,1.969,6.3571,1.2536,2.8621,1.6631,-2.2667,0.6915
受骗,2.7778,1.5021,4.5357,2.1341,6.4643,1.3189,3.7586,2.0117,-1.7667,1.0726
梳理,3.6667,1.8397,2.1071,1.5236,6.3571,1.2828,1.4138,0.6823,0.1,0.803
舒畅,4.4444,1.5771,4,2.1602,6.6429,0.9114,5.2759,1.6453,1.7333,0.9803
舒服,3.7778,1.7614,3.4286,1.894,6.9286,0.2623,4.6207,1.9164,1.9,0.9595
舒坦,3.6667,1.7974,3.1786,1.5647,6.6071,1.0306,4.4138,1.9552,2.0333,0.8503
疏忽,3.5926,1.5995,3.25,1.5546,6.6071,0.786,3.1379,1.7469,-1.2333,0.7739
蔬菜,1.3704,0.8835,1.6071,0.8751,7,0,1.2414,0.511,0.7667,1.2229
树林,1.2222,0.6405,1.5357,1.0357,6.8571,0.5245,1.1724,0.6017,0.3,0.8367
衰弱,4.1111,1.6251,3.9286,1.7832,6.6071,0.9165,3.8621,2.1502,-1.6,0.9322
衰退,3.8889,1.8257,4.4643,1.7739,5.9643,1.5271,3.7931,1.897,-1.9,0.803
爽快,4.037,1.5807,4.4643,1.7947,6.5357,1.3189,5,1.7113,1.9,0.8449
爽朗,4.2222,1.5021,4.1786,2.0377,6.2143,1.4996,4.7241,1.6453,1.9,1.0619
顺利,4.6786,1.7008,3.5357,1.7101,6.8621,0.4411,3.8966,2.0239,1.8333,1.2341
顺心,4.4286,1.7728,2.8929,1.4231,6.5862,1.0862,4.5862,1.7631,1.7,0.9523
说谎,3.1852,1.7549,4.4643,1.6439,6.9286,0.2623,3.4138,1.8616,-1.5,1.0086
丝绸,1.4643,1.2905,1.2857,0.5345,6.8621,0.3509,1.069,0.3714,0.4667,0.6288
思念,4.9286,1.4639,3.8929,1.7071,6.7586,0.6356,4.8966,1.9883,0.8333,0.9499
思维,5.2963,2.0156,2,1.2472,6.5357,1.2013,1.5862,0.9826,0.6,0.8137
思绪,5.5357,1.5026,2.1071,1.5236,6.4138,1.3501,2,1.3887,0.2,0.7144
搜索,3.3929,1.8123,1.7857,1.3432,6.7586,0.6356,1.5172,1.1533,0.2667,0.7849
搜寻,3.0741,1.5915,1.8571,1.2084,6.8571,0.4484,1.6207,1.2932,0.2,0.7611
素质,4.4444,1.6013,2.2857,1.6069,6.6071,1.1001,1.9655,1.4264,0.6,1.1626
损害,4.4074,1.6234,4.25,1.7976,6.8214,0.4756,3.3793,1.8208,-1.6333,0.8087
损坏,3.5,1.9341,3.8214,1.8268,6.7241,0.649,3.1379,1.7672,-1.3667,1.0334
损失,3.6429,1.8502,3.7143,1.8024,6.5172,1.0563,2.7586,1.9758,-1.3,0.9523
索赔,3.1111,1.6946,3.4643,1.9528,6.0357,1.5982,3.1379,1.6845,-1.3,0.8367
拓宽,4.3571,1.5685,2.2143,1.3432,6.7931,0.4913,1.7931,1.2923,1.2333,0.9714
贪婪,4.3333,1.5191,4.1786,1.8268,6.5714,0.9595,5.069,1.8309,-1.9667,1.2172
贪污,2.6667,1.5933,4.0714,1.9423,6.25,1.4044,3.8276,1.9652,-2.1333,0.7303
谈判,2.7857,1.5241,2.6429,1.6825,6.6552,1.1734,1.8276,1.2268,0.2,0.8052
坦诚,4.7037,1.5888,3.7857,1.6183,6.6071,1.1001,4.3103,1.9292,2.1,0.8847
坦率,3.8519,1.7255,3.5357,1.8951,6.4286,1.2301,4.5517,1.8436,1.6,1.3025
