word_chinese_simplified,concrete_mean,concrete_sd,arousal_mean,arousal_sd,familiar_mean,familiar_sd,typicality_mean,typicality_sd,valence_mean,valence_sd
充实,4.3214,1.467,3.3929,1.9117,6.7586,0.5766,3.4138,2.1467,1.8333,1.0199
充裕,4.3333,1.4676,2.9286,1.8645,6.4643,1.4006,3.3793,1.6348,2,0.6948
崇拜,4.3704,1.8428,4.8214,1.5882,6.75,0.5853,5.2759,1.9982,1.9,0.9948
崇高,5.037,1.4272,3.8214,1.9824,6.2857,1.4365,4.6897,1.6713,2.2,0.6644
崇尚,4.7778,1.396,3.8929,2.0965,6.3214,1.4415,4.2759,1.7504,1.8667,0.9732
宠物,1.5556,1.1209,2.1429,1.3254,6.7857,1.1339,1.9655,1.2672,1.0667,1.1121
抽搐,2.7407,1.483,3.8929,1.7917,5.6786,2.0558,3.069,1.9073,-1.5,0.82
仇恨,4.9259,1.5915,6.0357,1.0357,6.3571,1.0959,6.0345,1.1797,-2.5333,0.8604
仇视,4.4074,1.3939,5.6071,1.5236,5.75,1.5782,6.2759,0.9963,-2.3,0.8769
筹划,3.3704,1.8636,2.3929,1.5477,6.4643,1.2615,1.9655,1.7214,0.7,0.8769
丑陋,3.1481,1.875,4.0357,2.0635,6.75,1.0046,3.8621,1.8269,-1.6333,1.0662
出卖,3.1852,1.7549,4.9286,2.1931,6.4286,1.4511,3.8621,1.8656,-2,0.9826
出席,2.4444,1.3107,1.75,1.3229,6.3929,1.1333,1.5517,1.0551,0.4,0.8944
出演,2.7037,1.7279,1.8929,1.3427,6.75,0.5182,1.3448,0.7689,0.5,0.861
初步,4.6071,1.5949,1.6429,1.0959,6.7586,0.5766,1.2414,0.6356,0.2,0.6103
储存,3.037,1.5807,1.4286,0.8357,6.6429,0.6215,1.3103,0.8064,0.3667,0.6687
处罚,3.1852,1.665,3.8929,2.0063,6.7143,0.7629,3.5517,1.8436,-1.7,0.7497
处分,3.3571,2.2313,4.0357,2.0273,6.6897,1.0037,2.7586,1.9577,-1.6333,0.9279
处境,3.7778,1.9081,1.5357,0.7927,6.6429,0.9114,1.8276,1.416,-0.0333,0.8087
