cues,con,type,n_previous,needs_norming
coffeepot,4.64,Old,28,Yes
coffin,4.86,Old,28,Yes
coin,4.89,Old,32,No
coke,4.83,Old,36,No
cola,4.79,Old,24,Yes
colander,4.21,Old,25,Yes
coleslaw,4.67,Old,30,No
collar,4.64,Old,34,No
collarbone,4.85,Old,29,Yes
colleague,3.79,Old,27,Yes
collie,4.77,Old,31,No
cologne,4.76,Old,37,No
colt,4.96,Old,27,Yes
comb,5,Old,36,No
comforter,4.7,Old,38,No
comic,4,Old,35,No
committeewoman,4.33,Old,26,Yes
commode,4.54,Old,31,No
companion,3.75,Old,27,Yes
compass,4.66,Old,64,No
compost,4.46,Old,34,No
compressor,4.39,Old,34,No
computer,4.93,Old,27,Yes
concert,4.35,Old,28,Yes
conch,4.52,Old,27,Yes
concrete,4.59,Old,28,Yes
condiment,4.72,Old,38,No
conditioner,4.21,Old,31,No
condom,4.87,Old,36,No
condominium,4.35,Old,29,Yes
conductor,4.26,Old,32,No
cone,4.86,Old,26,Yes
confetti,4.93,Old,36,No
congresswoman,4.48,Old,28,Yes
container,4.85,Old,30,No
contraceptive,3.89,Old,26,Yes
controller,4.33,Old,35,No
cookbook,4.9,Old,30,No
cookhouse,4.62,Old,27,Yes
cookie,5,Old,28,Yes
cooler,4.14,Old,29,Yes
cop,4.3,Old,28,Yes
copier,4.72,Old,33,No
copilot,4.59,Old,28,Yes
copper,4.52,Old,32,No
copybook,4.67,Old,32,No
cord,4.63,Old,31,No
corduroy,4.56,Old,26,Yes
cork,4.86,Old,30,No
corkscrew,4.85,Old,26,Yes
corn,4.96,Old,36,No
cornbread,4.79,Old,35,No
cornfield,4.96,Old,42,No
cornflakes,4.82,Old,29,Yes
cornflower,4.71,Old,27,Yes
cornmeal,4.83,Old,25,Yes
cornstarch,4.56,Old,30,No
corridor,4.72,Old,28,Yes
corsage,4.38,Old,26,Yes
corset,4.48,Old,30,No
corvette,4.76,Old,38,No
cosmetics,4.72,Old,29,Yes
costume,4.57,Old,35,No
costumer,4.04,Old,27,Yes
cottage,4.85,Old,27,Yes
cotton,4.97,Old,31,No
couch,4.71,Old,29,Yes
council,2.73,Old,27,Yes
councilman,4.26,Old,27,Yes
councilwoman,4.59,Old,30,No
counselor,4.24,Old,26,Yes
countrywoman,4.25,Old,28,Yes
coupon,4.79,Old,27,Yes
courtyard,4.57,Old,27,Yes
cousin,3.7,Old,30,No
coverall,4.36,Old,33,No
cow,4.96,Old,38,No
cowhide,4.76,Old,28,Yes
cowskin,4.81,Old,31,No
crab,4.9,Old,27,Yes
crabgrass,4.52,Old,25,Yes
cracker,4.96,Old,64,No
cradle,4.93,Old,39,No
craftsman,4,Old,33,No
cranberry,4.96,Old,25,Yes
crane,4.68,Old,26,Yes
crap,3.67,Old,32,No
crate,4.93,Old,28,Yes
crawfish,5,Old,33,No
crayfish,4.93,Old,26,Yes
crayon,4.87,Old,34,No
cream,4.83,Old,38,No
creamer,4.66,Old,37,No
creature,4.07,Old,28,Yes
creek,4.87,Old,28,Yes
crepe,4.5,Old,34,No
crewman,4.39,Old,26,Yes
crib,4.86,Old,26,Yes
cricket,4.77,Old,27,Yes
crisps,4.04,Old,37,No
critter,4.19,Old,36,No
crocodile,4.83,Old,26,Yes
croissant,4.96,Old,30,No
crop,4.24,Old,27,Yes
croquet,4.59,Old,33,No
croquette,4.24,Old,26,Yes
cross,4.44,Old,35,No
crossbar,4.57,Old,35,No
crossbow,4.77,Old,26,Yes
crosswalk,4.62,Old,32,No
crossword,4.48,Old,34,No
crotch,4.77,Old,31,No
crouton,4.9,Old,28,Yes
crowbar,4.87,Old,34,No
crown,4.81,Old,30,No
crucifix,4.45,Old,32,No
cruiser,3.78,Old,29,Yes
crumb,4.8,Old,33,No
crumpet,4.81,Old,32,No
crust,4.59,Old,37,No
crutch,4.5,Old,30,No
crypt,4.75,Old,31,No
crystal,4.58,Old,35,No
cube,4.62,Old,31,No
cubical,4.21,Old,31,No
cucumber,4.83,Old,25,Yes
cuff,4.61,Old,25,Yes
cuisine,3.7,Old,35,No
cup,5,Old,27,Yes
cupboard,4.79,Old,27,Yes
curb,4.68,Old,33,No
curd,4.19,Old,28,Yes
curler,4.13,Old,31,No
curry,4.84,Old,26,Yes
