cues,con,type,n_previous,needs_norming
environment,3.74,Old,38,No
environmentalist,3.72,Old,27,Yes
epidermis,4.69,Old,37,No
equipment,4.83,Old,28,Yes
eraser,4.74,Old,36,No
erection,4.22,Old,31,No
escalator,5,Old,28,Yes
espresso,4.41,Old,29,Yes
essay,3.97,Old,27,Yes
evergreen,4,Old,31,No
examiner,3.57,Old,26,Yes
excavator,4.07,Old,26,Yes
executioner,4.17,Old,27,Yes
extinguisher,4.7,Old,37,No
eye,4.9,Old,31,No
eyeball,4.92,Old,29,Yes
eyebath,3.79,Old,30,No
eyedrop,4.81,Old,34,No
eyeglass,4.7,Old,24,Yes
eyeglasses,4.92,Old,29,Yes
eyelash,5,Old,35,No
eyelid,5,Old,33,No
eyepiece,4.74,Old,33,No
eyewash,4.7,Old,27,Yes
fabric,4.63,Old,33,No
face,4.87,Old,27,Yes
factory,4.76,Old,35,No
fairground,4.7,Old,33,No
family,4.23,Old,36,No
fan,4.71,Old,35,No
farm,4.59,Old,30,No
farmer,4.54,Old,26,Yes
farmhand,4.52,Old,34,No
farmhouse,4.74,Old,25,Yes
fastener,4.1,Old,28,Yes
father,4.52,Old,38,No
faucet,4.48,Old,28,Yes
fauna,3.96,Old,35,No
fawn,4.3,Old,26,Yes
feast,4.3,Old,32,No
feather,4.9,Old,27,Yes
featherbed,4.69,Old,27,Yes
fedora,4.5,Old,37,No
feline,4.38,Old,27,Yes
female,4.57,Old,29,Yes
femur,4.88,Old,29,Yes
fence,4.82,Old,41,No
fern,5,Old,32,No
ferret,4.97,Old,29,Yes
ferryboat,4.77,Old,25,Yes
fertilizer,4.76,Old,28,Yes
festival,4.33,Old,30,No
fiancee,3.86,Old,27,Yes
fiddle,4.81,Old,35,No
fig,4.97,Old,27,Yes
figurine,4.86,Old,33,No
file,4.41,Old,25,Yes
fillet,4.75,Old,29,Yes
film,4.71,Old,34,No
finger,5,Old,34,No
fingerboard,4.35,Old,27,Yes
fingernail,4.93,Old,27,Yes
fingerprint,4.96,Old,35,No
fingertip,4.93,Old,26,Yes
fir,4.58,Old,29,Yes
firearm,4.64,Old,32,No
firecracker,4.68,Old,26,Yes
fireplace,4.68,Old,31,No
firewood,4.93,Old,31,No
firstborn,4.04,Old,35,No
fish,5,Old,30,No
fishbone,4.57,Old,30,No
fisherman,4.73,Old,34,No
fishpond,4.71,Old,30,No
fist,4.93,Old,24,Yes
fixture,4.17,Old,30,No
flag,4.79,Old,29,Yes
flagpole,4.86,Old,37,No
flamethrower,4.57,Old,25,Yes
flannel,4.43,Old,57,No
flapjack,4.89,Old,30,No
flashbulb,4.75,Old,31,No
flashlight,5,Old,38,No
flask,4.79,Old,33,No
flatiron,4.24,Old,34,No
flaxseed,4.46,Old,27,Yes
fleece,4.75,Old,33,No
flesh,4.59,Old,33,No
floor,4.8,Old,29,Yes
floorboard,4.89,Old,35,No
flooring,4.43,Old,32,No
florist,4.62,Old,26,Yes
floss,4.41,Old,26,Yes
flounder,3.92,Old,29,Yes
flour,4.97,Old,28,Yes
flower,5,Old,39,No
flowerbed,4.71,Old,34,No
flowerpot,4.81,Old,37,No
fluid,4.73,Old,38,No
flute,5,Old,36,No
flycatcher,4.61,Old,25,Yes
flypaper,4.77,Old,25,Yes
flyswatter,5,Old,27,Yes
foghorn,4.96,Old,35,No
folder,4.93,Old,35,No
foliage,4.67,Old,29,Yes
fondue,4.79,Old,36,No
food,4.8,Old,35,No
foodstuff,4,Old,26,Yes
foot,4.9,Old,25,Yes
football,4.73,Old,27,Yes
footballer,4.52,Old,32,No
footbath,4.46,Old,33,No
footboard,4.77,Old,27,Yes
footbridge,4.81,Old,28,Yes
footpad,4.37,Old,28,Yes
footpath,4.79,Old,26,Yes
footplate,4.58,Old,32,No
footstool,4.96,Old,37,No
footwear,4.66,Old,26,Yes
forceps,4.79,Old,32,No
ford,4.19,Old,26,Yes
forearm,4.69,Old,27,Yes
forefinger,4.64,Old,27,Yes
forehead,4.9,Old,32,No
forest,4.76,Old,24,Yes
fork,4.9,Old,27,Yes
forklift,4.79,Old,40,No
fossil,4.9,Old,38,No
fountain,4.77,Old,36,No
fountainhead,3.87,Old,30,No
foxhound,4.48,Old,34,No
frame,4.3,Old,28,Yes
frankfurter,4.88,Old,25,Yes
freezer,4.87,Old,25,Yes
fridge,4.92,Old,37,No
friend,3.07,Old,28,Yes
frog,5,Old,28,Yes
frosting,4.86,Old,27,Yes
fruit,4.81,Old,30,No
fruitcake,4.62,Old,26,Yes
fryer,4.5,Old,28,Yes
fudge,4.89,Old,25,Yes
fungus,4.59,Old,33,No
funnel,4.52,Old,34,No
furnace,4.69,Old,35,No
furnishings,4.31,Old,26,Yes
furniture,4.89,Old,25,Yes
gadget,4.6,Old,28,Yes
gambler,4.03,Old,33,No
game,4.5,Old,38,No
gangster,3.93,Old,27,Yes
garage,4.96,Old,31,No
garb,4.19,Old,25,Yes
garbage,4.69,Old,28,Yes
garden,4.73,Old,36,No
gardener,4.5,Old,36,No
garland,4.85,Old,28,Yes
garlic,4.89,Old,27,Yes
garment,4.78,Old,26,Yes
garnets,4.12,Old,26,Yes
gasket,4.44,Old,26,Yes
gate,4.96,Old,36,No
gatehouse,4.48,Old,31,No
gatekeeper,4.21,Old,27,Yes
gauze,4.62,Old,34,No
gavel,4.88,Old,29,Yes
gazebo,4.79,Old,29,Yes
gear,4.28,Old,38,No
gearbox,4.72,Old,27,Yes
gem,4.88,Old,35,No
generator,4.23,Old,31,No
genitals,4.96,Old,98,No
gentleman,3.57,Old,27,Yes
geranium,4.76,Old,28,Yes
germ,3.89,Old,36,No
giblets,4.58,Old,30,No
gift,4.56,Old,36,No
gin,4.46,Old,27,Yes
ginger,4.92,Old,32,No
gingerbread,4.88,Old,30,No
gingersnap,4.76,Old,27,Yes
girdle,4.63,Old,25,Yes
girl,4.85,Old,25,Yes
girlfriend,4.25,Old,30,No
glass,4.82,Old,30,No
glassblower,4.33,Old,33,No
glasses,4.9,Old,24,Yes
glassware,4.59,Old,37,No
glider,4.32,Old,28,Yes
glitter,4.43,Old,27,Yes
globe,4.59,Old,27,Yes
glue,4.65,Old,39,No
glycerine,4,Old,27,Yes
goalkeeper,4.5,Old,28,Yes
goalpost,4.96,Old,30,No
goat,5,Old,36,No
goatee,4.89,Old,34,No
goatskin,4.8,Old,33,No
goblet,4.65,Old,28,Yes
goddaughter,3.72,Old,27,Yes
godfather,4.14,Old,27,Yes
godmother,3.72,Old,30,No
godparent,4,Old,29,Yes
goggles,4.93,Old,52,No
gold,4.81,Old,36,No
goldfish,4.79,Old,34,No
goldsmith,4.73,Old,34,No
golf,4.52,Old,26,Yes
golfer,4.71,Old,35,No
gondola,4.92,Old,28,Yes
goose,4.81,Old,27,Yes
gooseberry,4.7,Old,30,No
goulash,4.2,Old,28,Yes
gourd,4.86,Old,29,Yes
gown,4.61,Old,29,Yes
grandchild,4.26,Old,36,No
granddaughter,4.37,Old,29,Yes
grandfather,4.86,Old,26,Yes
grandma,4.54,Old,26,Yes
grandnephew,4.69,Old,25,Yes
grandniece,4.54,Old,33,No
grandpa,4.39,Old,28,Yes
grandparent,4.03,Old,38,No
grandson,4.3,Old,31,No
granite,5,Old,37,No
granny,4.24,Old,36,No
grape,5,Old,29,Yes
grapefruit,4.96,Old,28,Yes
grapevine,4.69,Old,31,No
graphite,4.58,Old,28,Yes
grass,4.93,Old,33,No
grasshopper,4.91,Old,33,No
grater,4.52,Old,28,Yes
grave,4.56,Old,29,Yes
gravel,5,Old,34,No
gravestone,4.72,Old,26,Yes
graveyard,4.83,Old,36,No
gravy,4.97,Old,37,No
grease,4.61,Old,29,Yes
greenery,4.34,Old,38,No
greenhouse,4.76,Old,26,Yes
greens,4.1,Old,29,Yes
grenade,4.9,Old,25,Yes
greyhound,5,Old,28,Yes
griddle,4.38,Old,35,No
grill,4.86,Old,27,Yes
grits,4.74,Old,31,No
groceries,4.74,Old,50,No
groom,4.54,Old,29,Yes
ground,4.77,Old,26,Yes
groundsman,4.19,Old,28,Yes
guard,4.04,Old,27,Yes
guardhouse,4.67,Old,25,Yes
guardrail,5,Old,26,Yes
guardsman,4.64,Old,28,Yes
guest,3.83,Old,29,Yes
guesthouse,4.53,Old,27,Yes
guestroom,4.44,Old,29,Yes
guidebook,4.83,Old,26,Yes
guillotine,4.64,Old,27,Yes
guitar,4.9,Old,33,No
guitarist,4.58,Old,26,Yes
gum,4.89,Old,34,No
gumbo,4.39,Old,26,Yes
gumdrop,4.9,Old,28,Yes
gun,4.83,Old,29,Yes
gunfighter,4.34,Old,28,Yes
gunnysack,4.52,Old,25,Yes
gunpowder,4.79,Old,29,Yes
guy,4.68,Old,30,No
gym,4.83,Old,24,Yes
gymnasium,4.81,Old,29,Yes
gymnast,4.85,Old,27,Yes
gynecologist,4.39,Old,26,Yes
gyroscope,4.25,Old,31,No
hailstone,4.57,Old,36,No
hair,4.97,Old,27,Yes
hairbrush,4.75,Old,38,No
hairdo,4.07,Old,27,Yes
hairdresser,4.79,Old,27,Yes
hairline,4.46,Old,28,Yes
hairnet,4.96,Old,35,No
hairpiece,4.82,Old,34,No
hairpin,4.83,Old,30,No
hairstyle,3.9,Old,34,No
hairstylist,4.79,Old,27,Yes
hall,4.67,Old,25,Yes
hallway,4.74,Old,27,Yes
ham,4.9,Old,30,No
hamburger,5,Old,28,Yes
hammer,4.77,Old,24,Yes
hammock,4.89,Old,38,No
hamper,4.21,Old,28,Yes
hamster,4.86,Old,39,No
hamstring,4.72,Old,29,Yes
hand,4.72,Old,24,Yes
handbag,4.93,Old,36,No
handball,4.48,Old,27,Yes
handbook,4.64,Old,26,Yes
handbrake,4.69,Old,28,Yes
handcart,4.67,Old,27,Yes
handclap,4.28,Old,26,Yes
handclasp,4.22,Old,37,No
handgun,5,Old,27,Yes
handhold,3.91,Old,25,Yes
handkerchief,5,Old,36,No
handle,4.57,Old,39,No
handlebar,4.76,Old,29,Yes
handrail,4.72,Old,28,Yes
handsaw,5,Old,28,Yes
handshake,4.52,Old,35,No
handwork,3.66,Old,27,Yes
hanger,4.81,Old,27,Yes
hangnail,4.71,Old,30,No
hanky,4.76,Old,25,Yes
hardcover,4.69,Old,28,Yes
hardware,4.62,Old,28,Yes
hardwood,4.4,Old,27,Yes
harmonica,4.9,Old,32,No
harness,4.14,Old,28,Yes
harp,4.85,Old,27,Yes
harpist,4.08,Old,33,No
harpsichord,4.67,Old,29,Yes
harvest,4,Old,35,No
hat,4.88,Old,28,Yes
hatband,4.38,Old,25,Yes
hatchback,4.48,Old,26,Yes
hatchet,4.93,Old,34,No
haystack,4.87,Old,34,No
head,4.75,Old,36,No
headboard,4.65,Old,26,Yes
headdress,4.71,Old,35,No
headgear,4.83,Old,26,Yes
headlight,4.97,Old,31,No
headmistress,4.56,Old,28,Yes
headphones,4.79,Old,27,Yes
headpiece,4.8,Old,29,Yes
headrest,4.8,Old,36,No
heads,4.63,Old,29,Yes
headset,4.83,Old,26,Yes
hearse,4.85,Old,30,No
hedgehog,4.93,Old,26,Yes
heel,4.86,Old,36,No
helicopter,4.62,Old,27,Yes
helmet,4.92,Old,30,No
hen,4.9,Old,29,Yes
herb,4.57,Old,30,No
herbivore,4.08,Old,31,No
heroin,4.57,Old,32,No
hibachi,4.14,Old,33,No
hibiscus,4.48,Old,27,Yes
hickory,4.34,Old,28,Yes
hiker,4.53,Old,27,Yes
hill,4.93,Old,25,Yes
him,3.54,Old,25,Yes
hinge,4.57,Old,31,No
hip,4.21,Old,35,No
hippie,4.07,Old,27,Yes
hitchhiker,4.83,Old,31,No
hoe,4.74,Old,28,Yes
hog,4.66,Old,32,No
holder,3.74,Old,31,No
holding,3.72,Old,26,Yes
holster,4.59,Old,33,No
home,4.11,Old,27,Yes
homemaker,4.22,Old,28,Yes
homework,4.5,Old,25,Yes
honey,4.88,Old,35,No
honeycomb,4.72,Old,25,Yes
honeydew,4.86,Old,31,No
honeysuckle,4.48,Old,29,Yes
hood,4.88,Old,27,Yes
hook,4.79,Old,29,Yes
hookah,4.83,Old,26,Yes
hookers,4.63,Old,28,Yes
hoop,4.74,Old,30,No
horn,5,Old,33,No
horse,5,Old,28,Yes
horsefly,4.97,Old,33,No
horseman,4.3,Old,27,Yes
horseradish,4.81,Old,26,Yes
horseshoe,5,Old,36,No
horsewhip,4.37,Old,32,No
hose,4.87,Old,33,No
hostel,3.9,Old,28,Yes
hostess,4.12,Old,25,Yes
hotel,4.93,Old,27,Yes
hotplate,4.7,Old,28,Yes
hound,4.48,Old,27,Yes
hourglass,4.93,Old,34,No
house,5,Old,36,No
houseboat,4.74,Old,35,No
houseboy,4.26,Old,25,Yes
housecoat,4.89,Old,31,No
housefly,4.96,Old,25,Yes
housekeeper,4.36,Old,36,No
housemaid,4.52,Old,28,Yes
housewife,4.43,Old,28,Yes
hubcap,5,Old,30,No
hug,4.14,Old,27,Yes
human,4.93,Old,25,Yes
hurdle,3.97,Old,34,No
husband,4.11,Old,27,Yes
husk,4.86,Old,26,Yes
husky,3.59,Old,29,Yes
hut,4.65,Old,37,No
hutch,4.31,Old,30,No
hypnotist,4.07,Old,29,Yes
ice,4.89,Old,31,No
iceboat,4.78,Old,25,Yes
icebox,4.71,Old,27,Yes
icepick,4.68,Old,27,Yes
icing,4.66,Old,33,No
igloo,4.73,Old,25,Yes
iguana,4.83,Old,28,Yes
illustrator,3.76,Old,31,No
incubator,4.65,Old,36,No
infant,4.93,Old,28,Yes
ingredients,4.16,Old,48,No
ink,4.56,Old,37,No
insect,4.89,Old,34,No
insole,4.11,Old,31,No
inspector,4.62,Old,33,No
instructor,4.26,Old,32,No
instrument,4.27,Old,26,Yes
insulin,4.37,Old,26,Yes
intercom,4.67,Old,35,No
intern,3.86,Old,31,No
interviewer,4.47,Old,33,No
inventor,3.82,Old,30,No
investigator,4.37,Old,30,No
iron,4.59,Old,27,Yes
item,4.41,Old,25,Yes
jacket,4.86,Old,27,Yes
jaguar,4.9,Old,32,No
jam,4.71,Old,29,Yes
jar,5,Old,28,Yes
jasmine,4.55,Old,27,Yes
javelin,4.9,Old,26,Yes
jaw,4.87,Old,38,No
jawbreaker,4.22,Old,28,Yes
jeans,5,Old,58,No
jeep,4.8,Old,26,Yes
jelly,4.93,Old,26,Yes
jersey,4.56,Old,29,Yes
jet,4.77,Old,40,No
jewel,4.96,Old,29,Yes
jeweler,4.61,Old,40,No
jewelry,4.82,Old,27,Yes
jockstrap,4.97,Old,27,Yes
jogger,4.68,Old,32,No
joint,4.37,Old,30,No
journal,4.63,Old,33,No
journalist,4.04,Old,27,Yes
joystick,4.74,Old,33,No
juice,4.89,Old,33,No
jukebox,4.93,Old,26,Yes
jumper,4.03,Old,27,Yes
junk,3.88,Old,26,Yes
jurist,3.96,Old,31,No
juror,4.29,Old,31,No
kale,4.81,Old,26,Yes
kaleidoscope,4.79,Old,35,No
kazoo,4.85,Old,32,No
kebab,4.85,Old,27,Yes
keepsake,3.89,Old,34,No
keg,4.75,Old,25,Yes
kelp,4.9,Old,28,Yes
kerchief,4.85,Old,25,Yes
kernel,4.21,Old,27,Yes
ketchup,5,Old,39,No
kettle,4.75,Old,28,Yes
kettledrum,4.9,Old,31,No
key,4.89,Old,29,Yes
keyboard,4.93,Old,29,Yes
keyhole,4.63,Old,31,No
kid,4.56,Old,53,No
kidney,4.96,Old,25,Yes
kiln,4.82,Old,29,Yes
kilt,4.71,Old,29,Yes
kindle,3.74,Old,25,Yes
kindling,3.76,Old,30,No
kiss,4.48,Old,54,No
kit,4.47,Old,37,No
kitchen,4.97,Old,30,No
kitchenette,4.56,Old,26,Yes
kite,5,Old,25,Yes
kitten,4.86,Old,26,Yes
kitty,4.97,Old,35,No
kiwi,4.86,Old,33,No
kleenex,4.92,Old,28,Yes
knapsack,4.9,Old,26,Yes
knee,5,Old,28,Yes
kneecap,4.7,Old,36,No
knickers,4.54,Old,32,No
knitting,4.14,Old,29,Yes
knob,4.75,Old,27,Yes
knot,4.87,Old,29,Yes
knuckle,4.93,Old,53,No
kumquat,4.88,Old,25,Yes
label,4.46,Old,37,No
laboratory,4.46,Old,28,Yes
labrador,4.35,Old,37,No
lace,4.85,Old,28,Yes
lad,4.28,Old,27,Yes
ladder,5,Old,33,No
ladle,4.9,Old,28,Yes
lady,4.33,Old,28,Yes
ladybug,4.92,Old,26,Yes
lager,4.64,Old,26,Yes
lake,4.88,Old,35,No
lamb,4.97,Old,34,No
lambskin,4.72,Old,32,No
lamp,4.97,Old,26,Yes
lamplight,4.8,Old,38,No
lamplighter,4.24,Old,25,Yes
lampshade,4.82,Old,31,No
lance,4.07,Old,29,Yes
land,4.57,Old,35,No
landlady,4.22,Old,26,Yes
landscape,4.34,Old,30,No
lantern,5,Old,30,No
lanyard,4.46,Old,30,No
lapdog,4.31,Old,32,No
larvae,4.62,Old,30,No
laryngoscope,4.48,Old,26,Yes
lasso,4.74,Old,32,No
latch,4.79,Old,35,No
latex,4.77,Old,36,No
latrine,4.62,Old,25,Yes
laundry,4.93,Old,25,Yes
lavatory,4.81,Old,26,Yes
lawn,4.93,Old,27,Yes
lawyer,4.7,Old,33,No
laxative,4.07,Old,33,No
leaf,5,Old,61,No
leaflet,4.31,Old,29,Yes
leash,4.89,Old,26,Yes
leather,4.82,Old,31,No
ledge,4.72,Old,35,No
ledger,4.36,Old,28,Yes
leech,4.33,Old,27,Yes
leftovers,4.48,Old,33,No
leg,4.83,Old,28,Yes
leggings,4.86,Old,26,Yes
lei,4.83,Old,32,No
lemon,5,Old,28,Yes
lemonade,4.83,Old,28,Yes
lens,4.64,Old,30,No
leopard,5,Old,30,No
leotard,4.74,Old,29,Yes
letter,4.7,Old,34,No
letterbox,4.6,Old,26,Yes
lettuce,4.97,Old,29,Yes
lever,4.77,Old,25,Yes
library,4.8,Old,26,Yes
lice,4.73,Old,26,Yes
licence,4.57,Old,29,Yes
lid,4.96,Old,40,No
lifeboat,4.48,Old,29,Yes
lifebuoy,4.65,Old,26,Yes
lifeguard,4.47,Old,26,Yes
lighthouse,4.96,Old,26,Yes
lilac,4.69,Old,34,No
lily,4.69,Old,53,No
limb,4.64,Old,30,No
lime,4.96,Old,55,No
limeade,4.44,Old,25,Yes
limestone,4.59,Old,33,No
limousine,4.63,Old,27,Yes
linen,4.8,Old,33,No
lingerie,4.87,Old,37,No
linoleum,4.85,Old,27,Yes
lint,4.96,Old,37,No
lip,4.96,Old,33,No
lipstick,4.9,Old,35,No
liqueur,4.64,Old,34,No
liquid,4.72,Old,32,No
liquor,4.73,Old,27,Yes
litter,4.47,Old,34,No
livestock,4.7,Old,27,Yes
lizard,4.68,Old,30,No
llama,4.78,Old,35,No
loaf,4.79,Old,33,No
lobbyist,3.71,Old,34,No
lobe,4.44,Old,29,Yes
lobster,4.86,Old,28,Yes
lock,4.65,Old,27,Yes
locker,4.67,Old,32,No
locket,4.82,Old,39,No
locksmith,4.54,Old,35,No
lodge,4,Old,33,No
lodging,4.37,Old,33,No
log,4.96,Old,28,Yes
logbook,4.54,Old,38,No
loin,4.38,Old,31,No
loincloth,4.88,Old,31,No
lollipop,4.96,Old,25,Yes
longbow,4.96,Old,33,No
loo,4.2,Old,27,Yes
lotion,4.79,Old,38,No
loudspeaker,4.82,Old,26,Yes
lounge,3.96,Old,30,No
lounger,4.04,Old,29,Yes
lovebird,4.62,Old,27,Yes
lozenge,4.59,Old,26,Yes
lubricant,4.52,Old,28,Yes
lubrication,3.62,Old,28,Yes
luggage,4.83,Old,33,No
lumber,4.56,Old,35,No
lump,4.56,Old,28,Yes
lunch,4.31,Old,27,Yes
lunchroom,4.63,Old,27,Yes
lyre,4.23,Old,29,Yes
macaroni,4.97,Old,28,Yes
macaroon,4.96,Old,37,No
mace,4.81,Old,26,Yes
machete,4.82,Old,60,No
machine,4.25,Old,28,Yes
machinery,4.75,Old,35,No
magazine,5,Old,35,No
maggot,4.97,Old,26,Yes
magician,4.21,Old,34,No
magnet,4.7,Old,28,Yes
magnolia,4.71,Old,27,Yes
maid,4.64,Old,37,No
maiden,4.24,Old,26,Yes
maidservant,4.39,Old,30,No
mail,4.69,Old,33,No
mailbag,4.89,Old,37,No
maize,4.58,Old,33,No
makeup,4.45,Old,37,No
male,4.45,Old,32,No
mall,4.83,Old,37,No
mallard,4.27,Old,24,Yes
mallet,4.93,Old,28,Yes
mammal,4.59,Old,33,No
man,4.79,Old,34,No
mandolin,4.76,Old,29,Yes
mango,5,Old,33,No
manhole,4.7,Old,33,No
manicure,4.39,Old,35,No
manicurist,4.11,Old,27,Yes
mannequin,4.53,Old,35,No
mansion,4.89,Old,59,No
mantel,4.64,Old,26,Yes
mantelpiece,3.76,Old,28,Yes
mantle,4.57,Old,30,No
manure,4.64,Old,26,Yes
manuscript,4.57,Old,26,Yes
map,4.93,Old,28,Yes
maple,4.46,Old,34,No
marble,4.85,Old,34,No
marbles,4.96,Old,27,Yes
margarine,4.58,Old,26,Yes
marigold,4.59,Old,28,Yes
marijuana,4.89,Old,38,No
marionette,4.63,Old,27,Yes
marketeer,3.71,Old,30,No
marksman,4.12,Old,28,Yes
marmalade,4.83,Old,35,No
marshmallow,4.85,Old,38,No
mascara,4.93,Old,26,Yes
mascot,4.2,Old,28,Yes
mask,4.96,Old,25,Yes
masseuse,4.56,Old,56,No
mat,4.83,Old,33,No
match,4.14,Old,26,Yes
matchbox,4.78,Old,29,Yes
matchstick,4.96,Old,35,No
mathematician,4.38,Old,28,Yes
mattress,5,Old,27,Yes
mayonnaise,4.9,Old,68,No
mayor,4.37,Old,31,No
me,4.33,Old,29,Yes
meadow,4.86,Old,30,No
meal,4.62,Old,27,Yes
meat,4.9,Old,25,Yes
medal,4.89,Old,32,No
medallion,4.68,Old,26,Yes
medic,4.43,Old,60,No
medicine,4.79,Old,60,No
megaphone,4.76,Old,27,Yes
melon,4.78,Old,32,No
memo,4.25,Old,37,No
memorabilia,4.15,Old,28,Yes
men,4.75,Old,26,Yes
mentor,3.7,Old,34,No
menu,4.67,Old,35,No
merchandise,4.52,Old,27,Yes
merchant,4.31,Old,31,No
merchantman,4.19,Old,32,No
metal,4.87,Old,30,No
metalworker,4.18,Old,25,Yes
meteorologist,4.56,Old,27,Yes
mice,4.84,Old,28,Yes
microphone,4.88,Old,28,Yes
microscope,5,Old,28,Yes
microwave,4.34,Old,27,Yes
midget,4.4,Old,26,Yes
midwife,4.56,Old,32,No
milk,4.92,Old,27,Yes
milkshake,4.97,Old,30,No
mincemeat,4.36,Old,28,Yes
minister,4.22,Old,37,No
mink,4.58,Old,33,No
minnow,4.84,Old,26,Yes
mint,4.54,Old,33,No
mirror,4.97,Old,26,Yes
mistletoe,4.85,Old,34,No
mistress,4.22,Old,33,No
mitt,4.76,Old,36,No
mitten,4.89,Old,27,Yes
mixer,4.33,Old,37,No
moccasin,4.78,Old,26,Yes
model,4.53,Old,27,Yes
molasses,4.84,Old,35,No
mommy,4.07,Old,26,Yes
money,4.54,Old,29,Yes
moneybags,3.85,Old,39,No
mongoose,4.89,Old,32,No
monk,4.35,Old,39,No
monument,4.58,Old,28,Yes
moonshine,4.46,Old,28,Yes
mop,4.97,Old,26,Yes
morsel,4.19,Old,33,No
mortician,4.3,Old,30,No
mosquito,4.88,Old,31,No
moss,4.9,Old,25,Yes
motel,4.93,Old,31,No
moth,4.69,Old,25,Yes
mothball,4.62,Old,30,No
mother,4.6,Old,24,Yes
motor,4.84,Old,30,No
motorbike,4.79,Old,26,Yes
motorboat,4.93,Old,34,No
motorcycle,4.97,Old,32,No
motorcyclist,4.79,Old,25,Yes
motorist,4.72,Old,36,No
mountain,4.96,Old,26,Yes
mountainside,4.48,Old,26,Yes
mouse,4.83,Old,27,Yes
mousetrap,5,Old,25,Yes
mousse,4.83,Old,28,Yes
moustache,4.96,Old,28,Yes
mouth,4.74,Old,26,Yes
mouthpiece,4.66,Old,28,Yes
mouthwash,4.67,Old,27,Yes
mucus,4.76,Old,57,No
mud,4.86,Old,25,Yes
muffin,4.78,Old,30,No
muffler,4.68,Old,30,No
mug,4.8,Old,27,Yes
mulberry,4.48,Old,29,Yes
mulch,4.59,Old,30,No
mule,5,Old,26,Yes
mullet,4.78,Old,60,No
mum,4.11,Old,29,Yes
munitions,3.82,Old,30,No
muscle,4.5,Old,39,No
museum,4.6,Old,28,Yes
mushroom,4.83,Old,26,Yes
musician,4.42,Old,31,No
musket,4.67,Old,30,No
mustache,4.9,Old,26,Yes
mustard,4.93,Old,38,No
mutt,3.89,Old,34,No
mutton,4.25,Old,27,Yes
muzzle,4.59,Old,33,No
myself,2.97,Old,29,Yes
nail,4.93,Old,25,Yes
nameplate,4.52,Old,26,Yes
nanny,4.21,Old,31,No
napkin,4.93,Old,27,Yes
narcotics,4.59,Old,37,No
neck,5,Old,36,No
neckband,4.77,Old,31,No
neckerchief,4.5,Old,28,Yes
necklace,4.96,Old,37,No
necktie,4.96,Old,33,No
neckwear,4.56,Old,34,No
nectar,4.63,Old,36,No
needle,4.93,Old,60,No
needlepoint,4.48,Old,24,Yes
needlework,4.41,Old,26,Yes
negligee,4.48,Old,26,Yes
nephew,4.48,Old,29,Yes
net,4.53,Old,25,Yes
nettle,3.88,Old,25,Yes
neurologist,4.1,Old,34,No
newlyweds,3.79,Old,32,No
newsagent,4.41,Old,27,Yes
newsboy,4.42,Old,25,Yes
newscaster,4.5,Old,29,Yes
newsletter,4.66,Old,36,No
newsman,4.26,Old,35,No
newspaper,4.82,Old,39,No
newspaperman,4.5,Old,36,No
newsprint,4.62,Old,27,Yes
newsstand,4.71,Old,29,Yes
newt,4.17,Old,32,No
nickel,4.79,Old,35,No
nightcaps,4.07,Old,33,No
nightclub,4.96,Old,28,Yes
nightdress,4.62,Old,26,Yes
nightgown,4.9,Old,25,Yes
nightie,4.3,Old,25,Yes
nightlight,4.93,Old,29,Yes
nightshirt,5,Old,27,Yes
nipple,4.83,Old,26,Yes
noodle,4.71,Old,55,No
noose,4.52,Old,26,Yes
nose,4.89,Old,26,Yes
nostril,4.89,Old,35,No
note,4.61,Old,34,No
notepaper,4.78,Old,26,Yes
novel,4.21,Old,28,Yes
nugget,4.45,Old,27,Yes
nun,4.92,Old,27,Yes
nurse,4.39,Old,37,No
nursemaid,4.5,Old,27,Yes
nursery,4.48,Old,27,Yes
nut,4.52,Old,36,No
nutcracker,4.81,Old,59,No
nutmeg,4.69,Old,28,Yes
nutshell,4.29,Old,28,Yes
nylon,4.7,Old,38,No
oar,4.84,Old,26,Yes
oat,5,Old,37,No
object,3.66,Old,28,Yes
obstetrician,4.31,Old,29,Yes
ocean,4.86,Old,27,Yes
oceanographer,3.97,Old,27,Yes
offspring,3.93,Old,35,No
oilcan,4.62,Old,34,No
oilcloth,4.4,Old,28,Yes
ointment,4.5,Old,30,No
okra,4.78,Old,26,Yes
olive,4.9,Old,29,Yes
omelet,4.93,Old,57,No
onion,4.86,Old,32,No
opal,4.42,Old,29,Yes
ophthalmologist,4.32,Old,26,Yes
opium,4.56,Old,31,No
optician,4.68,Old,27,Yes
orange,4.66,Old,34,No
orchard,4.75,Old,30,No
orchid,4.92,Old,28,Yes
ore,4.48,Old,26,Yes
oregano,4.81,Old,35,No
organ,4.77,Old,28,Yes
organism,4.16,Old,26,Yes
orgy,3.67,Old,26,Yes
ornament,4.04,Old,34,No
orphan,4.04,Old,34,No
orthodontist,4.43,Old,25,Yes
ottoman,4.9,Old,27,Yes
outfielder,4.67,Old,26,Yes
outfit,4.12,Old,34,No
outhouse,4.89,Old,31,No
outlet,4.31,Old,32,No
oven,4.97,Old,24,Yes
overcoat,4.5,Old,37,No
oxtail,4.5,Old,30,No
oyster,4.85,Old,25,Yes
pacemaker,4.68,Old,32,No
pacifier,4.61,Old,32,No
package,4.72,Old,28,Yes
