cues,AFSS,BOI,Concrete,n_previous,needs_norming
cellar,19,4.6,4.68,36,No
cello,33,5.038461538,4.96,25,Yes
cellophane,24,4.703703704,4.54,33,No
cement,39,5.04,4.97,27,Yes
cent,26,5.12,4.19,31,No
centipede,33,5.25,4.79,26,Yes
ceramic,33,4.62962963,4.04,34,No
ceramics,34,5.458333333,4.62,27,Yes
cereal,20,5.958333333,4.83,26,Yes
certificate,58,5.041666667,4.59,35,No
chain,34,5.958333333,4.55,27,Yes
chair,51,6.88,4.58,39,No
chairman,38,4.965517241,4.31,32,No
chairperson,39,4.44,4.58,25,Yes
chairwoman,42,4.347826087,4.41,33,No
chalet,38,4.416666667,4.36,25,Yes
chalice,22,5.208333333,4.83,29,Yes
chalk,31,5.92,4.9,27,Yes
chambermaid,39,4.727272727,4.4,30,No
champagne,33,5.583333333,4.82,36,No
chapel,41,4.52,4.6,31,No
chaplain,39,4.72,4.33,32,No
charcoal,30,4.740740741,4.85,28,Yes
chart,38,4.428571429,4.48,36,No
chauffeur,28,4.84,4.43,25,Yes
checkbook,37,5.666666667,4.97,35,No
checkerboard,27,5.391304348,4.96,28,Yes
checklist,35,4.464285714,4.61,32,No
cheddar,35,5.291666667,4.46,25,Yes
cheek,43,5.481481481,4.83,26,Yes
cheekbone,29,4.88,4.71,25,Yes
cheerleader,21,5.285714286,4.9,28,Yes
cheese,34,6.391304348,4.7,33,No
cheeseburger,41,NA,4.93,30,No
cheesecake,39,6.458333333,4.97,32,No
cheesecloth,29,5.52173913,4.8,27,Yes
chef,54,4.64,4.3,27,Yes
chemicals,47,5.04,4.14,32,No
cherry,39,5.454545455,4.62,35,No
chessboard,32,6.04,4.68,32,No
chest,47,5.851851852,4.93,38,No
chestnut,31,5.555555556,4.7,27,Yes
chevy,32,4.956521739,4.48,28,Yes
chick,28,4.47826087,4.93,34,No
chicken,38,5.5,4.8,26,Yes
chickenfeed,24,4.72,4.78,33,No
chihuahua,47,6.25,4.38,28,Yes
child,42,5.695652174,4.78,31,No
childbirth,29,4.391304348,4.04,35,No
children,25,5.52,4.89,29,Yes
chili,36,5.291666667,4.79,33,No
chimney,17,4.730769231,5,27,Yes
chimpanzee,46,4.260869565,4.96,29,Yes
chin,40,5.884615385,4.89,29,Yes
chinaware,35,5.913043478,4.82,35,No
chinchilla,44,4.925925926,4.72,33,No
chip,37,5.181818182,4.71,26,Yes
chiropractor,23,5.5,4.86,24,Yes
chisel,41,5.333333333,4.63,25,Yes
chocolate,31,6.307692308,4.72,26,Yes
chopsticks,34,6.391304348,5,56,No
choreographer,25,4.826086957,4.23,28,Yes
chow,26,4.642857143,4.47,28,Yes
chowder,32,4.96,4.7,26,Yes
chronograph,25,4.684210526,4.19,24,Yes
chronometer,28,4.5,4.11,29,Yes
chrysanthemum,34,5.727272727,4.57,29,Yes
cider,27,4.958333333,4.97,31,No
cigar,25,5.962962963,4.93,27,Yes
cigarette,28,6.272727273,4.88,26,Yes
citrus,35,4.6,4.21,33,No
clam,40,4.375,4.89,25,Yes
clamp,25,5.36,4.53,26,Yes
clamshell,31,4.347826087,4.82,27,Yes
clarinet,43,5.923076923,4.92,34,No
classmate,38,5.363636364,4.32,26,Yes
claw,33,4.391304348,4.83,29,Yes
clay,34,5.52,4.93,30,No
cleat,29,4.5,4.5,30,No
cleavage,19,4.625,4.64,27,Yes
cleavers,33,5.48,4.56,28,Yes
clergy,40,4.48,4.03,25,Yes
clerk,45,4.68,4.28,30,No
client,41,4.545454545,3.9,31,No
cliff,24,4.64,4.71,32,No
clip,38,4.833333333,4.37,54,No
clipboard,27,5.652173913,4.93,26,Yes
clipper,19,4.923076923,4.3,28,Yes
clitoris,31,6.090909091,4.93,33,No
cloak,33,5.791666667,4.71,25,Yes
clock,33,4.714285714,5,28,Yes
closet,28,4.962962963,4.83,39,No
cloth,30,5.961538462,4.9,26,Yes
clothes,43,6.08,4.76,49,No
clothesline,34,5.333333333,4.86,28,Yes
clothespin,31,5.12,4.41,31,No
