"cue","n_previous"
"dish",28
"dishwasher",29
"dishwater",25
"dispenser",28
"dividers",25
"divorcee",33
"dock",37
"doctor",30
"document",29
"dog",31
"dogcatcher",36
"doghouse",32
"doll",33
"dollar",36
"dollhouse",27
"dolphin",27
"dominoes",49
"donkey",26
"donut",37
"door",29
"doorbell",35
"doorframe",27
"doorknob",26
"doorknocker",33
"doorman",27
"doornail",26
"doorstep",32
"doorstop",27
"dorm",29
"dormitory",28
"douche",28
"dough",30
"doughnut",27
"dove",27
"drain",34
"drainpipe",37
"drapery",25
"drawers",35
"drawing",32
"drawstring",25
"dress",25
"dresser",25
"dressing",38
"dressmaker",27
"driftwood",29
"drill",26
"drink",25
"driver",28
"drone",26
"drug",31
"drugstore",31
"drum",27
"drumstick",31
"dryer",30
"drywall",34
"duck",30
"duckling",27
"duckweed",26
"ductwork",26
"dude",37
"duffel",28
"dumbbell",34
"dumbwaiter",26
"dumpling",25
"dust",29
"dustbin",29
"duster",27
"dwarf",28
"dwelling",28
"dye",33
"dynamite",33
"ear",30
"earmuff",26
"earphone",33
"earpiece",39
"earplug",33
"earplugs",29
"earring",30
"earth",30
"earthworm",25
"earwax",30
"easel",31
"eclair",27
"ecologist",27
"edibles",35
"editor",28
"educator",26
"eel",32
"egg",30
"eggbeater",33
"eggplant",28
"eggshell",35
"elbow",31
"electrician",25
"electrocardiogram",33
"electronics",35
"elephant",43
"elevator",27
"employee",26
"employer",26
"enamel",29
"encyclopedia",38
"enemy",29
"engine",33
"engineer",28
"entertainer",27
"entomologist",26
"entree",30
"envelope",37
"environment",38
"environmentalist",27
"epidermis",37
"equipment",28
"eraser",36
"erection",31
"escalator",28
"espresso",29
"essay",27
"evergreen",31
"examiner",26
"excavator",26
"executioner",27
"extinguisher",37
"eye",31
"eyeball",29
"eyebath",30
"eyedrop",34
"eyeglass",24
"eyeglasses",29
"eyelash",35
"eyelid",33
"eyepiece",33
"eyewash",27
"fabric",33
"face",27
"factory",35
"fairground",33
"family",36
"fan",35
"farm",30
"farmer",26
"farmhand",34
"farmhouse",25
"fastener",28
"father",38
"faucet",28
"fauna",35
"fawn",26
"feast",32
"feather",27
"featherbed",27
"fedora",37
"feline",27
"female",29
"femur",29
"fence",41
"fern",32
"ferret",29
"ferryboat",25
"fertilizer",28
"festival",30
"fiancee",27
"fiddle",35
"fig",27
"figurine",33
"file",25
"fillet",29
"film",34
"finger",34
"fingerboard",27
"fingernail",27
"fingerprint",35
"fingertip",26
"fir",29
"firearm",32
"firecracker",26
"fireplace",31
"firewood",31
"firstborn",35
"fish",30
"fishbone",30
"fisherman",34
"fishpond",30
"fist",24
"fixture",30
"flag",29
"flagpole",37
"flamethrower",25
"flannel",57
"flapjack",30
"flashbulb",31
"flashlight",38
"flask",33
"flatiron",34
"flaxseed",27
"fleece",33
"flesh",33
"floor",29
"floorboard",35
"flooring",32
"florist",26
"floss",26
"flounder",29
"flour",28
"flower",39
"flowerbed",34
"flowerpot",37
"fluid",38
"flute",36
"flycatcher",25
"flypaper",25
"flyswatter",27
"foghorn",35
"folder",35
"foliage",29
"fondue",36
"food",35
"foodstuff",26
"foot",25
"football",27
"footballer",32
"footbath",33
"footboard",27
"footbridge",28
"footpad",28
"footpath",26
"footplate",32
"footstool",37
"footwear",26
"forceps",32
"ford",26
"forearm",27
"forefinger",27
"forehead",32
"forest",24
"fork",27
"forklift",40
"fossil",38
"fountain",36
"fountainhead",30
"foxhound",34
"frame",28
"frankfurter",25
"freezer",25
"fridge",37
"friend",28
"frog",28
"frosting",27
"fruit",30
"fruitcake",26
"fryer",28
"fudge",25
"fungus",33
"funnel",34
"furnace",35
"furnishings",26
"furniture",25
"gadget",28
"gambler",33
"game",38
"gangster",27
"garage",31
"garb",25
"garbage",28
"garden",36
"gardener",36
"garland",28
"garlic",27
"garment",26
"garnets",26
"gasket",26
"gate",36
"gatehouse",31
"gatekeeper",27
"gauze",34
"gavel",29
"gazebo",29
"gear",38
"gearbox",27
"gem",35
"generator",31
"genitals",98
"gentleman",27
"geranium",28
"germ",36
"giblets",30
"gift",36
"gin",27
"ginger",32
"gingerbread",30
"gingersnap",27
"girdle",25
"girl",25
"girlfriend",30
"glass",30
"glassblower",33
"glasses",24
"glassware",37
"glider",28
"glitter",27
"globe",27
"glue",39
"glycerine",27
"goalkeeper",28
"goalpost",30
"goat",36
"goatee",34
"goatskin",33
"goblet",28
"goddaughter",27
"godfather",27
"godmother",30
"godparent",29
"goggles",52
"gold",36
"goldfish",34
"goldsmith",34
"golf",26
"golfer",35
"gondola",28
"goose",27
"gooseberry",30
"goulash",28
"gourd",29
"gown",29
"grandchild",36
"granddaughter",29
"grandfather",26
"grandma",26
"grandnephew",25
"grandniece",33
"grandpa",28
"grandparent",38
"grandson",31
"granite",37
"granny",36
"grape",29
"grapefruit",28
"grapevine",31
"graphite",28
"grass",33
"grasshopper",33
"grater",28
"grave",29
"gravel",34
"gravestone",26
"graveyard",36
"gravy",37
"grease",29
"greenery",38
"greenhouse",26
"greens",29
"grenade",25
"greyhound",28
"griddle",35
"grill",27
"grits",31
"groceries",50
"groom",29
"ground",26
"groundsman",28
"guard",27
"guardhouse",25
"guardrail",26
"guardsman",28
"guest",29
"guesthouse",27
"guestroom",29
"guidebook",26
"guillotine",27
"guitar",33
"guitarist",26
"gum",34
"gumbo",26
"gumdrop",28
"gun",29
"gunfighter",28
"gunnysack",25
"gunpowder",29
"guy",30
"gym",24
"gymnasium",29
"gymnast",27
"gynecologist",26
"gyroscope",31
"hailstone",36
"hair",27
"hairbrush",38
"hairdo",27
"hairdresser",27
"hairline",28
"hairnet",35
"hairpiece",34
"hairpin",30
"hairstyle",34
"hairstylist",27
"hall",25
"hallway",27
"ham",30
"hamburger",28
"hammer",24
"hammock",38
"hamper",28
"hamster",39
"hamstring",29
"hand",24
"handbag",36
"handball",27
"handbook",26
"handbrake",28
"handcart",27
"handclap",26
"handclasp",37
"handgun",27
"handhold",25
"handkerchief",36
"handle",39
"handlebar",29
"handrail",28
"handsaw",28
"handshake",35
"handwork",27
"hanger",27
"hangnail",30
"hanky",25
"hardcover",28
"hardware",28
"hardwood",27
"harmonica",32
"harness",28
"harp",27
"harpist",33
"harpsichord",29
"harvest",35
"hat",28
"hatband",25
"hatchback",26
"hatchet",34
"haystack",34
"head",36
"headboard",26
"headdress",35
"headgear",26
"headlight",31
"headmistress",28
"headphones",27
"headpiece",29
"headrest",36
"heads",29
"headset",26
"hearse",30
"hedgehog",26
"heel",36
"helicopter",27
"helmet",30
"hen",29
"herb",30
"herbivore",31
"heroin",32
"hibachi",33
"hibiscus",27
"hickory",28
"hiker",27
"hill",25
"him",25
"hinge",31
"hip",35
"hippie",27
"hitchhiker",31
"hoe",28
"hog",32
"holder",31
"holding",26
"holster",33
"home",27
"homemaker",28
"homework",25
"honey",35
"honeycomb",25
"honeydew",31
"honeysuckle",29
"hood",27
"hook",29
"hookah",26
"hookers",28
"hoop",30
"horn",33
"horse",28
"horsefly",33
"horseman",27
"horseradish",26
"horseshoe",36
"horsewhip",32
"hose",33
"hostel",28
"hostess",25
"hotel",27
"hotplate",28
"hound",27
"hourglass",34
"house",36
"houseboat",35
"houseboy",25
"housecoat",31
"housefly",25
"housekeeper",36
"housemaid",28
"housewife",28
"hubcap",30
"hug",27
"human",25
"hurdle",34
"husband",27
"husk",26
"husky",29
"hut",37
"hutch",30
"hypnotist",29
"ice",31
"iceboat",25
"icebox",27
