"cue","n_total","needs_norming"
"slipcover",30,"No"
"slipknot",26,"Yes"
"slipper",25,"Yes"
"slug",31,"No"
"slush",29,"Yes"
"slut",28,"Yes"
"smock",31,"No"
"smooch",27,"Yes"
"smoothie",27,"Yes"
"smuggler",30,"No"
"snack",25,"Yes"
"snail",37,"No"
"sneaker",35,"No"
"snorkel",24,"Yes"
"snot",32,"No"
"snow",27,"Yes"
"snowball",32,"No"
"snowdrift",29,"Yes"
"snowfall",35,"No"
"snowflake",30,"No"
"snowman",26,"Yes"
"snowshoe",26,"Yes"
"soap",35,"No"
"soccer",32,"No"
"sock",30,"No"
"socket",25,"Yes"
"soda",24,"Yes"
"sofa",32,"No"
"softball",33,"No"
"soil",36,"No"
"soldier",26,"Yes"
"soles",34,"No"
"sombrero",30,"No"
"someone",35,"No"
"son",27,"Yes"
"songbook",36,"No"
"souffle",29,"Yes"
"soup",25,"Yes"
"sourdough",34,"No"
"southerner",31,"No"
"soy",25,"Yes"
"soybean",25,"Yes"
"spacesuit",28,"Yes"
"spade",29,"Yes"
"spareribs",30,"No"
"spatula",36,"No"
"speakers",25,"Yes"
"spear",39,"No"
"spectacles",25,"Yes"
"spectroscope",25,"Yes"
"speedboat",31,"No"
"spices",54,"No"
"spider",25,"Yes"
"spike",29,"Yes"
"spinach",29,"Yes"
"spine",28,"Yes"
"spit",33,"No"
"splint",26,"Yes"
"splinter",27,"Yes"
"spokesman",27,"Yes"
"sponge",24,"Yes"
"spool",29,"Yes"
"spoon",34,"No"
"sportswoman",27,"Yes"
"sportswriter",33,"No"
"spout",26,"Yes"
"sprayer",27,"Yes"
"spreader",29,"Yes"
"sprinkler",31,"No"
"sprinter",36,"No"
"spyglass",29,"Yes"
"squash",27,"Yes"
"squeegee",25,"Yes"
"squirrel",31,"No"
"stableman",28,"Yes"
"staff",31,"No"
"stage",27,"Yes"
"stagecoach",29,"Yes"
"staircase",31,"No"
"stairs",52,"No"
"stairwell",37,"No"
"stake",34,"No"
"stall",33,"No"
"stallion",37,"No"
"stamp",34,"No"
"staple",31,"No"
"stapler",32,"No"
"starch",28,"Yes"
"stationary",45,"No"
"statue",33,"No"
"statuette",25,"Yes"
"steak",29,"Yes"
"steamboat",32,"No"
"steel",25,"Yes"
"steelworker",33,"No"
"stem",28,"Yes"
"stencil",25,"Yes"
"step",31,"No"
"stepbrother",28,"Yes"
"stepchild",33,"No"
"stepdaughter",35,"No"
"stepfather",29,"Yes"
"stepladder",33,"No"
"stepson",28,"Yes"
"stereo",40,"No"
"steroids",28,"Yes"
"stethoscope",35,"No"
"stewardess",27,"Yes"
"stick",33,"No"
"stilt",27,"Yes"
"stirrer",31,"No"
"stirrup",31,"No"
"stitching",26,"Yes"
"stockbroker",31,"No"
"stocking",28,"Yes"
"stockings",35,"No"
"stomach",27,"Yes"
"stomp",28,"Yes"
"stone",36,"No"
"stoneware",25,"Yes"
"stool",26,"Yes"
"stoop",29,"Yes"
"stopwatch",38,"No"
"store",33,"No"
"storehouse",26,"Yes"
"storekeeper",28,"Yes"
"storeroom",33,"No"
"storybook",29,"Yes"
"stove",33,"No"
"straightedge",31,"No"
"strainer",32,"No"
"straitjacket",37,"No"
"strap",25,"Yes"
"straw",32,"No"
"strawberry",28,"Yes"
"stream",36,"No"
"street",26,"Yes"
"streetcar",33,"No"
"streets",30,"No"
"streetwalker",30,"No"
"stretcher",36,"No"
"string",63,"No"
"stroller",27,"Yes"
"strongbox",27,"Yes"
"strudel",27,"Yes"
"student",25,"Yes"
"stuff",33,"No"
"submarine",25,"Yes"
"substance",26,"Yes"
"subway",36,"No"
"suds",28,"Yes"
"suede",27,"Yes"
"sugar",29,"Yes"
"sugarcane",27,"Yes"
"suit",28,"Yes"
"suitcase",38,"No"
"summerhouse",35,"No"
"sundae",28,"Yes"
"sundeck",28,"Yes"
"sunflower",28,"Yes"
"sunglasses",25,"Yes"
"sunroof",25,"Yes"
"supermarket",28,"Yes"
"supervisor",29,"Yes"
"supper",29,"Yes"
"surfboard",30,"No"
"surgeon",31,"No"
"surveyor",30,"No"
"sushi",39,"No"
"suspenders",72,"No"
"suture",30,"No"
"swab",28,"Yes"
"swamp",34,"No"
"swan",27,"Yes"
"sweatband",28,"Yes"
"sweater",29,"Yes"
"sweatshirt",27,"Yes"
"sweetener",33,"No"
"swimsuit",28,"Yes"
"swing",31,"No"
"switchblade",29,"Yes"
"switchboard",27,"Yes"
"sword",35,"No"
"syringe",51,"No"
"syrup",36,"No"
"tabasco",32,"No"
"table",26,"Yes"
"tablecloth",27,"Yes"
"tablespoon",28,"Yes"
"tablet",26,"Yes"
"tableware",27,"Yes"
"tabloid",28,"Yes"
"taco",26,"Yes"
"taffy",36,"No"
"tag",27,"Yes"
"tailcoat",27,"Yes"
"taillight",28,"Yes"
"tailor",31,"No"
"talisman",31,"No"
"tambourine",33,"No"
"tampon",36,"No"
"tangerine",28,"Yes"
"tank",36,"No"
"tape",34,"No"
"tapestry",27,"Yes"
"tapioca",31,"No"
"tar",33,"No"
"tartar",29,"Yes"
"tattoo",35,"No"
"tavern",27,"Yes"
"taxi",36,"No"
"taxpayer",31,"No"
"tea",27,"Yes"
"teabag",30,"No"
"teacher",28,"Yes"
"teacup",27,"Yes"
"teahouse",26,"Yes"
"teakettle",27,"Yes"
"teakwood",27,"Yes"
"teammate",24,"Yes"
"teapot",29,"Yes"
"tear",29,"Yes"
"teardrop",32,"No"
"tearoom",27,"Yes"
"teaspoon",29,"Yes"
"teaspoonful",37,"No"
"technician",27,"Yes"
"teenager",32,"No"
"teeth",33,"No"
"telescope",32,"No"
"television",26,"Yes"
"temple",26,"Yes"
"tenant",30,"No"
"tenderloin",29,"Yes"
"tent",33,"No"
"tepee",36,"No"
"termite",36,"No"
"terrace",26,"Yes"
"terrier",34,"No"
"terrycloth",32,"No"
"testes",28,"Yes"
"testicle",25,"Yes"
"textile",26,"Yes"
"theatergoer",31,"No"
"theologian",31,"No"
"therapist",27,"Yes"
"thermometer",27,"Yes"
"thermos",25,"Yes"
"thermostat",24,"Yes"
"thesaurus",26,"Yes"
"thigh",31,"No"
"thimble",28,"Yes"
"thong",33,"No"
"thorn",28,"Yes"
"thread",30,"No"
"throat",37,"No"
"throne",28,"Yes"
"thumb",32,"No"
"thumbnail",27,"Yes"
"thumbscrew",28,"Yes"
"thumbtack",26,"Yes"
"thyme",28,"Yes"
"ticket",33,"No"
"tickler",25,"Yes"
"tie",34,"No"
"tightrope",36,"No"
"tights",34,"No"
"tile",30,"No"
"tiller",37,"No"
"timber",30,"No"
"timepiece",25,"Yes"
"tin",34,"No"
"tinderbox",24,"Yes"
"tinfoil",36,"No"
"tinplate",34,"No"
"tinsel",27,"Yes"
"tire",24,"Yes"
"tissue",26,"Yes"
"toast",29,"Yes"
"toaster",25,"Yes"
"toastmaster",28,"Yes"
"tobacco",38,"No"
"toboggan",33,"No"
"toddler",35,"No"
"toe",28,"Yes"
"toffee",40,"No"
"tofu",33,"No"
"toga",27,"Yes"
"toilet",35,"No"
"toiletry",29,"Yes"
"token",29,"Yes"
"tomahawk",28,"Yes"
"tomato",26,"Yes"
"tomb",39,"No"
"tombstone",33,"No"
"tongs",55,"No"
"tongue",38,"No"
"tonic",37,"No"
"tool",25,"Yes"
"tooth",37,"No"
"toothbrush",28,"Yes"
"toothpaste",27,"Yes"
"toothpick",25,"Yes"
"topsoil",29,"Yes"
"torch",27,"Yes"
"torchlight",31,"No"
"torso",27,"Yes"
"tortilla",36,"No"
"tortoise",36,"No"
"tote",38,"No"
"toupee",27,"Yes"
"tourist",26,"Yes"
"tourniquet",27,"Yes"
"towel",24,"Yes"
"tower",36,"No"
"townsfolk",59,"No"
"toy",29,"Yes"
"track",27,"Yes"
"tracksuit",33,"No"
"tractor",27,"Yes"
"tradesman",27,"Yes"
"trailer",27,"Yes"
"train",35,"No"
"trainee",26,"Yes"
"trainer",28,"Yes"
"trampoline",26,"Yes"
"tranquilizer",60,"No"
"trap",27,"Yes"
"trapeze",27,"Yes"
"trash",27,"Yes"
"trashcan",28,"Yes"
"traveler",68,"No"
"tray",32,"No"
"treadmill",30,"No"
"treasure",39,"No"
"treat",27,"Yes"
"tree",38,"No"
"trench",31,"No"
"triceps",29,"Yes"
"tricycle",36,"No"
"trigger",37,"No"
"trinket",29,"Yes"
"tripod",25,"Yes"
"trolley",29,"Yes"
"trombone",38,"No"
"trophy",25,"Yes"
"trousers",34,"No"
"trout",27,"Yes"
"truck",55,"No"
"trumpet",34,"No"
"trunk",25,"Yes"
"tub",37,"No"
"tuba",32,"No"
"tube",30,"No"
"tubing",25,"Yes"
"tugboat",33,"No"
"tulip",27,"Yes"
"tumbler",27,"Yes"
"tummy",39,"No"
"tuna",29,"Yes"
"tunic",27,"Yes"
"turban",31,"No"
"turf",28,"Yes"
"turkey",25,"Yes"
"turnip",29,"Yes"
"turntable",29,"Yes"
"turtle",25,"Yes"
"turtleneck",29,"Yes"
"tutor",24,"Yes"
"tutu",26,"Yes"
"tuxedo",35,"No"
"tweezer",26,"Yes"
"twig",37,"No"
"twine",35,"No"
"typewriter",28,"Yes"
"ukulele",26,"Yes"
"umbrella",29,"Yes"
"uncle",32,"No"
"underclothes",53,"No"
"undercoat",25,"Yes"
"undershirt",34,"No"
"underwear",88,"No"
"uniform",27,"Yes"
"upholstery",34,"No"
"urinal",32,"No"
"urn",26,"Yes"
"vaccine",24,"Yes"
"vacuum",27,"Yes"
"vagina",59,"No"
"valet",31,"No"
"valve",26,"Yes"
"van",38,"No"
"vanilla",29,"Yes"
"vase",39,"No"
"vaseline",27,"Yes"
"veal",26,"Yes"
"vegetable",32,"No"
"vegetation",27,"Yes"
"vehicle",26,"Yes"
"veil",26,"Yes"
"vein",34,"No"
"velvet",33,"No"
"vendor",38,"No"
"ventilator",27,"Yes"
"vermicelli",27,"Yes"
"vermouth",27,"Yes"
"vessel",29,"Yes"
"vest",33,"No"
"veterinarian",25,"Yes"
"vibrator",25,"Yes"
"videotape",26,"Yes"
"viewfinder",38,"No"
"village",38,"No"
"villager",27,"Yes"
"vinaigrette",31,"No"
"vine",33,"No"
"vinegar",31,"No"
"vinyl",31,"No"
"viola",26,"Yes"
"violin",28,"Yes"
"violinist",28,"Yes"
"virgin",34,"No"
"visor",29,"Yes"
"vitamins",72,"No"
"vocalist",24,"Yes"
"vodka",38,"No"
"volleyball",26,"Yes"
"vomit",26,"Yes"
"voter",24,"Yes"
"vulva",27,"Yes"
"wafer",38,"No"
"waffle",28,"Yes"
"wagon",36,"No"
"waist",26,"Yes"
"waistband",29,"Yes"
"waistcoat",32,"No"
"waiter",37,"No"
"waitress",26,"Yes"
"walker",36,"No"
"wall",29,"Yes"
"wallboard",27,"Yes"
"wallet",35,"No"
"wallpaper",36,"No"
"walnut",28,"Yes"
"walrus",27,"Yes"
"wand",34,"No"
"warden",35,"No"
"wart",27,"Yes"
"washbasin",25,"Yes"
"washboard",26,"Yes"
"washbowl",35,"No"
"washcloth",34,"No"
"washer",37,"No"
"washerwoman",26,"Yes"
"washroom",27,"Yes"
"washstand",31,"No"
"waste",30,"No"
"wastebasket",26,"Yes"
"watch",38,"No"
"watchband",24,"Yes"
"watchdog",30,"No"
"watchmaker",37,"No"
"water",25,"Yes"
"watercress",27,"Yes"
"watermelon",37,"No"
"wax",25,"Yes"
"waxwork",24,"Yes"
"weapon",62,"No"
"weatherman",24,"Yes"
"web",34,"No"
"weed",24,"Yes"
"wench",27,"Yes"
"wheat",27,"Yes"
"wheel",27,"Yes"
"wheelbarrow",29,"Yes"
"wheelchair",27,"Yes"
"wheelhouse",27,"Yes"
"whip",31,"No"
"whirlpool",25,"Yes"
"whisk",29,"Yes"
"whiskers",59,"No"
"whiskey",60,"No"
"whistle",30,"No"
"wife",27,"Yes"
"wig",26,"Yes"
"wigmaker",25,"Yes"
"wildcat",30,"No"
"wildlife",28,"Yes"
"winch",25,"Yes"
"windbreaker",26,"Yes"
"window",24,"Yes"
"windowpane",27,"Yes"
"windowsill",31,"No"
"windshield",28,"Yes"
"windsock",27,"Yes"
"wine",32,"No"
"wineglass",28,"Yes"
"wing",33,"No"
"wingman",29,"Yes"
"wiper",27,"Yes"
"wiring",33,"No"
"wishbone",28,"Yes"
"wolfhound",28,"Yes"
"woman",36,"No"
"wood",25,"Yes"
"woodblock",34,"No"
"woodcarver",25,"Yes"
"woodcraft",31,"No"
"woodcutter",27,"Yes"
"woodpecker",29,"Yes"
"woodpile",26,"Yes"
"woods",30,"No"
"woodshed",33,"No"
"woodwind",28,"Yes"
"woodwork",33,"No"
"wool",32,"No"
"workbench",27,"Yes"
"workbook",36,"No"
"worker",32,"No"
"workroom",27,"Yes"
"worksheet",27,"Yes"
"workshop",27,"Yes"
"worm",36,"No"
"wound",61,"No"
"wrapper",31,"No"
"wreath",27,"Yes"
"wrench",27,"Yes"
"wrestler",28,"Yes"
"wrist",28,"Yes"
"wristband",28,"Yes"
"wristlet",29,"Yes"
"wristwatch",27,"Yes"
"xylophone",28,"Yes"
"yacht",32,"No"
"yachtsman",25,"Yes"
"yam",34,"No"
"yardstick",31,"No"
"yarn",29,"Yes"
"yearbook",36,"No"
"yoga",39,"No"
"yogurt",26,"Yes"
"yolk",25,"Yes"
"you",26,"Yes"
"yourself",28,"Yes"
"zipper",28,"Yes"
"zucchini",31,"No"
"antelope",0,"Yes"
"barracuda",0,"Yes"
"blackbird",0,"Yes"
"boots",0,"Yes"
"cobra",0,"Yes"
"eagle",0,"Yes"
"parrot",0,"Yes"
"penguin",0,"Yes"
"penis",0,"Yes"
"porcupine",0,"Yes"
"rattlesnake",0,"Yes"
"seagull",0,"Yes"
"snake",0,"Yes"
"spaghetti",0,"Yes"
"toad",0,"Yes"
"whisky",0,"Yes"
"bluebird",0,"Yes"
"bluejay",0,"Yes"
"chipmunk",0,"Yes"
"fox",0,"Yes"
"glove",0,"Yes"
"gorilla",0,"Yes"
"moose",0,"Yes"
"rafter",0,"Yes"
"serpent",0,"Yes"
"alligator",0,"Yes"
"anvil",0,"Yes"
"bumblebee",0,"Yes"
"caboose",0,"Yes"
"cave",0,"Yes"
"chimp",0,"Yes"
"cockroach",0,"Yes"
"coyote",0,"Yes"
"crawlspace",0,"Yes"
"hornet",0,"Yes"
"hummingbird",0,"Yes"
"island",0,"Yes"
"kerosene",0,"Yes"
"lion",0,"Yes"
"mayo",0,"Yes"
"muskrat",0,"Yes"
"needles",0,"Yes"
"noodles",0,"Yes"
"pelican",0,"Yes"
"pyramid",0,"Yes"
"python",0,"Yes"
"redwood",0,"Yes"
"tail",0,"Yes"
"wasp",0,"Yes"
"whale",0,"Yes"
"anaconda",0,"Yes"
"bagpipes",0,"Yes"
"beehive",0,"Yes"
"bobcat",0,"Yes"
"butterfly",0,"Yes"
"cemetery",0,"Yes"
"chopstick",0,"Yes"
"churchyard",0,"Yes"
"coliseum",0,"Yes"
"crackers",0,"Yes"
"crow",0,"Yes"
"elk",0,"Yes"
"emerald",0,"Yes"
"groundhog",0,"Yes"
"gunshot",0,"Yes"
"hawk",0,"Yes"
"hippo",0,"Yes"
"hippopotamus",0,"Yes"
"jellyfish",0,"Yes"
"office",0,"Yes"
"opossum",0,"Yes"
"owl",0,"Yes"
"panther",0,"Yes"
"rainfall",0,"Yes"
"shark",0,"Yes"
"stair",0,"Yes"
"tapeworm",0,"Yes"
"text",0,"Yes"
"ashes",0,"Yes"
"baboon",0,"Yes"
"caribou",0,"Yes"
"limes",0,"Yes"
"mast",0,"Yes"
"moonstone",0,"Yes"
"rosewood",0,"Yes"
"theater",0,"Yes"
"waterbird",0,"Yes"
"armadillo",0,"Yes"
"ax",0,"Yes"
"church",0,"Yes"
"clown",0,"Yes"
"falcon",0,"Yes"
"monkey",0,"Yes"
"moon",0,"Yes"
"rhino",0,"Yes"
"scissor",0,"Yes"
"scoreboard",0,"Yes"
"starfish",0,"Yes"
"waterfall",0,"Yes"
"anthill",0,"Yes"
"breast",0,"Yes"
"corpse",0,"Yes"
"drawbridge",0,"Yes"
"flea",0,"Yes"
"graves",0,"Yes"
"mackerel",0,"Yes"
"patio",0,"Yes"
"racetrack",0,"Yes"
"seahorse",0,"Yes"
"shrubbery",0,"Yes"
"snout",0,"Yes"
"swordfish",0,"Yes"
"trucks",0,"Yes"
"underpants",0,"Yes"
"bear",0,"Yes"
"bee",0,"Yes"
"candelabra",0,"Yes"
"dam",0,"Yes"
"gardenia",0,"Yes"
"guppy",0,"Yes"
"hare",0,"Yes"
"hemlock",0,"Yes"
"lard",0,"Yes"
"motorway",0,"Yes"
"sickle",0,"Yes"
"skunk",0,"Yes"
"stovepipe",0,"Yes"
"airport",0,"Yes"
"dinosaur",0,"Yes"
"knuckles",0,"Yes"
"shoreline",0,"Yes"
"anteater",0,"Yes"
"asteroid",0,"Yes"
"cornea",0,"Yes"
"courthouse",0,"Yes"
"farmland",0,"Yes"
"fireworks",0,"Yes"
"honeybee",0,"Yes"
"kangaroo",0,"Yes"
"neckline",0,"Yes"
"otter",0,"Yes"
"ox",0,"Yes"
"pawnshop",0,"Yes"
"peninsula",0,"Yes"
"pollen",0,"Yes"
"rainstorm",0,"Yes"
"raven",0,"Yes"
"sketchpad",0,"Yes"
"snowstorm",0,"Yes"
"sunlamp",0,"Yes"
"turpentine",0,"Yes"
"zebra",0,"Yes"
"ammo",0,"Yes"
"bull",0,"Yes"
"catsup",0,"Yes"
"ceiling",0,"Yes"
"foam",0,"Yes"
"gargoyle",0,"Yes"
"gutter",0,"Yes"
"hemp",0,"Yes"
"landmine",0,"Yes"
"marsh",0,"Yes"
"mold",0,"Yes"
"pajama",0,"Yes"
"raceway",0,"Yes"
"sparrow",0,"Yes"
"sunfish",0,"Yes"
"bookshop",0,"Yes"
"cyclist",0,"Yes"
"gator",0,"Yes"
"sealskin",0,"Yes"
"tumbleweed",0,"Yes"
"asphalt",0,"Yes"
"billboard",0,"Yes"
"bonfire",0,"Yes"
"cocoon",0,"Yes"
"dragonfly",0,"Yes"
"ferry",0,"Yes"
"gnat",0,"Yes"
"hive",0,"Yes"
"jail",0,"Yes"
"missile",0,"Yes"
"picnic",0,"Yes"
"platypus",0,"Yes"
"scaffolding",0,"Yes"
"slaughterhouse",0,"Yes"
"sloth",0,"Yes"
"sphinx",0,"Yes"
"sun",0,"Yes"
"tarantula",0,"Yes"
"thunderstorm",0,"Yes"
"yoke",0,"Yes"
"alley",0,"Yes"
"cougar",0,"Yes"
"crossbeam",0,"Yes"
"flagstone",0,"Yes"
"gladiator",0,"Yes"
"grate",0,"Yes"
"lava",0,"Yes"
"lung",0,"Yes"
"oak",0,"Yes"
"sperm",0,"Yes"
"streetlight",0,"Yes"
"toadstool",0,"Yes"
"tunnel",0,"Yes"
"welder",0,"Yes"
"yard",0,"Yes"
"albatross",0,"Yes"
"alpaca",0,"Yes"
"bay",0,"Yes"
"capes",0,"Yes"
"flamingo",0,"Yes"
"hole",0,"Yes"
"macaw",0,"Yes"
"orangutan",0,"Yes"
"piston",0,"Yes"
"rump",0,"Yes"
"teleprompter",0,"Yes"
"tweed",0,"Yes"
"waterspout",0,"Yes"
"zoo",0,"Yes"
"banner",0,"Yes"
"boar",0,"Yes"
"coalmine",0,"Yes"
"fortress",0,"Yes"
"grain",0,"Yes"
"locust",0,"Yes"
"officer",0,"Yes"
"prairie",0,"Yes"
"sit",0,"Yes"
"spacecraft",0,"Yes"
"talon",0,"Yes"
"vineyard",0,"Yes"
"amplifier",0,"Yes"
"ape",0,"Yes"
"barnyard",0,"Yes"
"beanpole",0,"Yes"
"blackheads",0,"Yes"
"breadfruit",0,"Yes"
"brickyard",0,"Yes"
"bucktooth",0,"Yes"
"bunker",0,"Yes"
"buttock",0,"Yes"
"cannon",0,"Yes"
"chandelier",0,"Yes"
"city",0,"Yes"
"cob",0,"Yes"
"emu",0,"Yes"
"firebomb",0,"Yes"
"knight",0,"Yes"
"orchestra",0,"Yes"
"pancreas",0,"Yes"
"roof",0,"Yes"
"room",0,"Yes"
"saucer",0,"Yes"
"shipyard",0,"Yes"
"skylight",0,"Yes"
"somersault",0,"Yes"
"stadium",0,"Yes"
"steamroller",0,"Yes"
"syringes",0,"Yes"
"villa",0,"Yes"
"wolf",0,"Yes"
"woodworm",0,"Yes"
"barrack",0,"Yes"
"boardwalk",0,"Yes"
"garter",0,"Yes"
"gramophone",0,"Yes"
"hillside",0,"Yes"
"incinerator",0,"Yes"
"leaves",0,"Yes"
"parenthesis",0,"Yes"
"pasture",0,"Yes"
"skydiver",0,"Yes"
"sleet",0,"Yes"
"speedometer",0,"Yes"
"stripper",0,"Yes"
"stump",0,"Yes"
"eucalyptus",0,"Yes"
"haircut",0,"Yes"
"koala",0,"Yes"
"lilly",0,"Yes"
"nutcrackers",0,"Yes"
"sharkskin",0,"Yes"
"silverfish",0,"Yes"
"blimp",0,"Yes"
"classroom",0,"Yes"
"fin",0,"Yes"
"gecko",0,"Yes"
"grove",0,"Yes"
"hydrant",0,"Yes"
"ivory",0,"Yes"
"ladybird",0,"Yes"
"packhorse",0,"Yes"
"piranha",0,"Yes"
"rectangle",0,"Yes"
"schoolmaster",0,"Yes"
"skyscraper",0,"Yes"
"spud",0,"Yes"
"tusk",0,"Yes"
"headstand",0,"Yes"
"horsehair",0,"Yes"
"lumberjack",0,"Yes"
"mockingbird",0,"Yes"
"monastery",0,"Yes"
"panda",0,"Yes"
"pheasant",0,"Yes"
"quicksand",0,"Yes"
"reservoir",0,"Yes"
"rhinoceros",0,"Yes"
"rooster",0,"Yes"
"skating",0,"Yes"
"strings",0,"Yes"
"windpipe",0,"Yes"
"arcade",0,"Yes"
"buzzard",0,"Yes"
"dome",0,"Yes"
"duct",0,"Yes"
"intestines",0,"Yes"
"milkmaid",0,"Yes"
"nightstick",0,"Yes"
"omelette",0,"Yes"
"park",0,"Yes"
"pentagram",0,"Yes"
"persimmon",0,"Yes"
"sandstone",0,"Yes"
"sawmill",0,"Yes"
"steeple",0,"Yes"
"weasel",0,"Yes"
"bearskin",0,"Yes"
"boulevard",0,"Yes"
"bruise",0,"Yes"
"clergyman",0,"Yes"
"copperhead",0,"Yes"
"crankshaft",0,"Yes"
"dingo",0,"Yes"
"giraffe",0,"Yes"
"highschool",0,"Yes"
"kennel",0,"Yes"
"mane",0,"Yes"
"piss",0,"Yes"
"possum",0,"Yes"
"prong",0,"Yes"
"ranch",0,"Yes"
"rocket",0,"Yes"
"salon",0,"Yes"
"satellite",0,"Yes"
"smokestack",0,"Yes"
"surfer",0,"Yes"
"tassel",0,"Yes"
"vulture",0,"Yes"
"anchorman",0,"Yes"
"bulletin",0,"Yes"
"daggers",0,"Yes"
"fort",0,"Yes"
"gazelle",0,"Yes"
"mill",0,"Yes"
"mullets",0,"Yes"
"mummy",0,"Yes"
"princess",0,"Yes"
"quartz",0,"Yes"
"rudder",0,"Yes"
"slap",0,"Yes"
"stork",0,"Yes"
"stripe",0,"Yes"
"sunbather",0,"Yes"
"tonsil",0,"Yes"
"valley",0,"Yes"
"yeast",0,"Yes"
"apartments",0,"Yes"
"cartilage",0,"Yes"
"frankincense",0,"Yes"
"kingfisher",0,"Yes"
"monorail",0,"Yes"
"navel",0,"Yes"
"ostrich",0,"Yes"
"pigeon",0,"Yes"
"pope",0,"Yes"
"roadblock",0,"Yes"
"shaft",0,"Yes"
"silt",0,"Yes"
"squid",0,"Yes"
"sweat",0,"Yes"
"uterus",0,"Yes"
"whey",0,"Yes"
"airfield",0,"Yes"
"army",0,"Yes"
"ballroom",0,"Yes"
"breadboard",0,"Yes"
"campground",0,"Yes"
"cheetah",0,"Yes"
"glacier",0,"Yes"
"gong",0,"Yes"
"gunsmith",0,"Yes"
"heliport",0,"Yes"
"lobby",0,"Yes"
"manor",0,"Yes"
"market",0,"Yes"
"meter",0,"Yes"
"patch",0,"Yes"
"preacher",0,"Yes"
"reed",0,"Yes"
"reef",0,"Yes"
"ripcord",0,"Yes"
"sergeant",0,"Yes"
"snakebite",0,"Yes"
"spaniel",0,"Yes"
"spearmint",0,"Yes"
"spleen",0,"Yes"
"storm",0,"Yes"
"swordsman",0,"Yes"
"whisker",0,"Yes"
"bald",0,"Yes"
"blowfish",0,"Yes"
"cogwheel",0,"Yes"
"crevasse",0,"Yes"
"dewdrop",0,"Yes"
"genitalia",0,"Yes"
"humpback",0,"Yes"
"jean",0,"Yes"
"lab",0,"Yes"
"mastiff",0,"Yes"
"measles",0,"Yes"
"moat",0,"Yes"
"pendulum",0,"Yes"
"petroleum",0,"Yes"
"poppy",0,"Yes"
"riverbed",0,"Yes"
"star",0,"Yes"
"sternum",0,"Yes"
"sunrise",0,"Yes"
"tollgate",0,"Yes"
"ulcer",0,"Yes"
"viper",0,"Yes"
"watermill",0,"Yes"
"wick",0,"Yes"
"airstrip",0,"Yes"
"axes",0,"Yes"
"beaver",0,"Yes"
"bison",0,"Yes"
"blizzard",0,"Yes"
"bullring",0,"Yes"
"canal",0,"Yes"
"chameleon",0,"Yes"
"fire",0,"Yes"
"gallstone",0,"Yes"
"geyser",0,"Yes"
"herring",0,"Yes"
"liver",0,"Yes"
"petticoat",0,"Yes"
"pipeline",0,"Yes"
"pit",0,"Yes"
"prison",0,"Yes"
"rupee",0,"Yes"
"saloonkeeper",0,"Yes"
"snapshot",0,"Yes"
"sparkler",0,"Yes"
"whetstone",0,"Yes"
"ark",0,"Yes"
"bloodstain",0,"Yes"
"brushes",0,"Yes"
"catacomb",0,"Yes"
"comet",0,"Yes"
"crossroads",0,"Yes"
"cub",0,"Yes"
"drawer",0,"Yes"
"ferryman",0,"Yes"
"flock",0,"Yes"
"floodlight",0,"Yes"
"gopher",0,"Yes"
"harpoon",0,"Yes"
"laundryman",0,"Yes"
"pagoda",0,"Yes"
"passageway",0,"Yes"
"raccoon",0,"Yes"
"rifleman",0,"Yes"
"shepherd",0,"Yes"
"smack",0,"Yes"
"spa",0,"Yes"
"traffic",0,"Yes"
"waterfront",0,"Yes"
"barge",0,"Yes"
"boardroom",0,"Yes"
"buzzer",0,"Yes"
"calves",0,"Yes"
"colon",0,"Yes"
"dozen",0,"Yes"
"fog",0,"Yes"
"graph",0,"Yes"
"hailstorm",0,"Yes"
"hymen",0,"Yes"
"jackrabbit",0,"Yes"
"jungle",0,"Yes"
"landlord",0,"Yes"
"lane",0,"Yes"
"manatee",0,"Yes"
"mural",0,"Yes"
"nudist",0,"Yes"
"plankton",0,"Yes"
"toucan",0,"Yes"
"comma",0,"Yes"
"flywheel",0,"Yes"
"mike",0,"Yes"
"orphanage",0,"Yes"
"quail",0,"Yes"
"rattail",0,"Yes"
"scabbard",0,"Yes"
"tortoiseshell",0,"Yes"
"university",0,"Yes"
"yak",0,"Yes"
"brassiere",0,"Yes"
"campus",0,"Yes"
"cylinder",0,"Yes"
"dung",0,"Yes"
"flint",0,"Yes"
"fly",0,"Yes"
"freckles",0,"Yes"
"handmaiden",0,"Yes"
"inn",0,"Yes"
"jester",0,"Yes"
"jury",0,"Yes"
"molehill",0,"Yes"
"neighbor",0,"Yes"
"rabbi",0,"Yes"
"ratchet",0,"Yes"
"sachet",0,"Yes"
"sagebrush",0,"Yes"
"sax",0,"Yes"
"schoolmate",0,"Yes"
"schoolroom",0,"Yes"
"siding",0,"Yes"
"sprout",0,"Yes"
"tit",0,"Yes"
"town",0,"Yes"
"vertebrae",0,"Yes"
"beast",0,"Yes"
"bungalow",0,"Yes"
"butler",0,"Yes"
"cameraman",0,"Yes"
"canary",0,"Yes"
"cartwheel",0,"Yes"
"courtroom",0,"Yes"
"cowgirl",0,"Yes"
"dent",0,"Yes"
"embroidery",0,"Yes"
"gallbladder",0,"Yes"
"machetes",0,"Yes"
"mound",0,"Yes"
"oscilloscope",0,"Yes"
