"cue","n_total","needs_norming"
"cornbread",35,"No"
"cornfield",42,"No"
"cornflakes",29,"Yes"
"cornflower",27,"Yes"
"cornmeal",25,"Yes"
"cornstarch",30,"No"
"corridor",28,"Yes"
"corsage",26,"Yes"
"corset",30,"No"
"corvette",38,"No"
"cosmetics",29,"Yes"
"costume",35,"No"
"costumer",27,"Yes"
"cottage",27,"Yes"
"cotton",31,"No"
"couch",29,"Yes"
"council",27,"Yes"
"councilman",27,"Yes"
"councilwoman",30,"No"
"counselor",26,"Yes"
"countrywoman",28,"Yes"
"coupon",27,"Yes"
"courtyard",27,"Yes"
"cousin",30,"No"
"coverall",33,"No"
"cow",38,"No"
"cowhide",28,"Yes"
"cowskin",31,"No"
"crab",27,"Yes"
"crabgrass",25,"Yes"
"cracker",64,"No"
"cradle",39,"No"
"craftsman",33,"No"
"cranberry",25,"Yes"
"crane",26,"Yes"
"crap",32,"No"
"crate",28,"Yes"
"crawfish",33,"No"
"crayfish",26,"Yes"
"crayon",34,"No"
"cream",38,"No"
"creamer",37,"No"
"creature",28,"Yes"
"creek",28,"Yes"
"crepe",34,"No"
"crewman",26,"Yes"
"crib",26,"Yes"
"cricket",27,"Yes"
"crisps",37,"No"
"critter",36,"No"
"crocodile",26,"Yes"
"croissant",30,"No"
"crop",27,"Yes"
"croquet",33,"No"
"croquette",26,"Yes"
"cross",35,"No"
"crossbar",35,"No"
"crossbow",26,"Yes"
"crosswalk",32,"No"
"crossword",34,"No"
"crotch",31,"No"
"crouton",28,"Yes"
"crowbar",34,"No"
"crown",30,"No"
"crucifix",32,"No"
"cruiser",29,"Yes"
"crumb",33,"No"
"crumpet",32,"No"
"crust",37,"No"
"crutch",30,"No"
"crypt",31,"No"
"crystal",35,"No"
"cube",31,"No"
"cubical",31,"No"
"cucumber",25,"Yes"
"cuff",25,"Yes"
"cuisine",35,"No"
"cup",27,"Yes"
"cupboard",27,"Yes"
"curb",33,"No"
"curd",28,"Yes"
"curler",31,"No"
"curry",26,"Yes"
"curtain",35,"No"
"cushion",34,"No"
"custard",29,"Yes"
"custodian",26,"Yes"
"customer",27,"Yes"
"cuticle",33,"No"
"cutlery",28,"Yes"
"cutlet",28,"Yes"
"cuttlefish",28,"Yes"
"cymbal",31,"No"
"cymbals",28,"Yes"
"dachshund",27,"Yes"
"dad",55,"No"
"daffodil",26,"Yes"
"dagger",58,"No"
"daiquiri",34,"No"
"dairy",36,"No"
"daisy",34,"No"
"damsel",31,"No"
"dance",37,"No"
"dancer",32,"No"
"dandelion",26,"Yes"
"dandruff",34,"No"
"darkroom",32,"No"
"dart",37,"No"
"dartboard",32,"No"
"daughter",39,"No"
"daybed",27,"Yes"
"debris",32,"No"
"deck",27,"Yes"
"decor",33,"No"
"deer",25,"Yes"
"deerskin",37,"No"
"defendant",31,"No"
"delicatessen",28,"Yes"
"deliverer",31,"No"
"deliveryman",27,"Yes"
"democrat",28,"Yes"
"den",24,"Yes"
"denim",63,"No"
"dentist",34,"No"
"deodorant",25,"Yes"
"dermatologist",29,"Yes"
"derriere",28,"Yes"
"desert",34,"No"
"desk",27,"Yes"
"dessert",36,"No"
"detergent",32,"No"
"detonator",25,"Yes"
"device",36,"No"
"diagram",27,"Yes"
"diamond",26,"Yes"
"diaper",30,"No"
"diaphragm",27,"Yes"
"dice",30,"No"
"dictionary",28,"Yes"
"dietician",34,"No"
"dildo",32,"No"
"dime",35,"No"
"diner",35,"No"
"dinner",31,"No"
"dinnerware",29,"Yes"
"dip",28,"Yes"
"diploma",31,"No"
"dipper",27,"Yes"
"dipstick",30,"No"
"dirt",37,"No"
"dish",28,"Yes"
"dishwasher",29,"Yes"
"dishwater",25,"Yes"
"dispenser",28,"Yes"
"dividers",25,"Yes"
"divorcee",33,"No"
"dock",37,"No"
"doctor",30,"No"
"document",29,"Yes"
"dog",31,"No"
"dogcatcher",36,"No"
"doghouse",32,"No"
"doll",33,"No"
"dollar",36,"No"
"dollhouse",27,"Yes"
"dolphin",27,"Yes"
"dominoes",49,"No"
"donkey",26,"Yes"
"donut",37,"No"
"door",29,"Yes"
"doorbell",35,"No"
"doorframe",27,"Yes"
"doorknob",26,"Yes"
"doorknocker",33,"No"
"doorman",27,"Yes"
"doornail",26,"Yes"
"doorstep",32,"No"
"doorstop",27,"Yes"
"dorm",29,"Yes"
"dormitory",28,"Yes"
"douche",28,"Yes"
"dough",30,"No"
"doughnut",27,"Yes"
"dove",27,"Yes"
"drain",34,"No"
"drainpipe",37,"No"
"drapery",25,"Yes"
"drawers",35,"No"
"drawing",32,"No"
"drawstring",25,"Yes"
"dress",25,"Yes"
"dresser",25,"Yes"
"dressing",38,"No"
"dressmaker",27,"Yes"
"driftwood",29,"Yes"
"drill",26,"Yes"
"drink",25,"Yes"
"driver",28,"Yes"
"drone",26,"Yes"
"drug",31,"No"
"drugstore",31,"No"
"drum",27,"Yes"
"drumstick",31,"No"
"dryer",30,"No"
"drywall",34,"No"
"duck",30,"No"
"duckling",27,"Yes"
"duckweed",26,"Yes"
"ductwork",26,"Yes"
"dude",37,"No"
"duffel",28,"Yes"
"dumbbell",34,"No"
"dumbwaiter",26,"Yes"
"dumpling",25,"Yes"
"dust",29,"Yes"
"dustbin",29,"Yes"
"duster",27,"Yes"
"dwarf",28,"Yes"
"dwelling",28,"Yes"
"dye",33,"No"
"dynamite",33,"No"
"ear",30,"No"
"earmuff",26,"Yes"
"earphone",33,"No"
"earpiece",39,"No"
"earplug",33,"No"
"earplugs",29,"Yes"
"earring",30,"No"
"earth",30,"No"
"earthworm",25,"Yes"
"earwax",30,"No"
"easel",31,"No"
"eclair",27,"Yes"
"ecologist",27,"Yes"
"edibles",35,"No"
"editor",28,"Yes"
"educator",26,"Yes"
"eel",32,"No"
"egg",30,"No"
"eggbeater",33,"No"
"eggplant",28,"Yes"
"eggshell",35,"No"
"elbow",31,"No"
"electrician",25,"Yes"
"electrocardiogram",33,"No"
"electronics",35,"No"
"elephant",43,"No"
"elevator",27,"Yes"
"employee",26,"Yes"
"employer",26,"Yes"
"enamel",29,"Yes"
"encyclopedia",38,"No"
"enemy",29,"Yes"
"engine",33,"No"
"engineer",28,"Yes"
"entertainer",27,"Yes"
"entomologist",26,"Yes"
"entree",30,"No"
"envelope",37,"No"
"environment",38,"No"
"environmentalist",27,"Yes"
"epidermis",37,"No"
"equipment",28,"Yes"
"eraser",36,"No"
"erection",31,"No"
"escalator",28,"Yes"
"espresso",29,"Yes"
"essay",27,"Yes"
"evergreen",31,"No"
"examiner",26,"Yes"
"excavator",26,"Yes"
"executioner",27,"Yes"
"extinguisher",37,"No"
"eye",31,"No"
"eyeball",29,"Yes"
"eyebath",30,"No"
"eyedrop",34,"No"
"eyeglass",24,"Yes"
"eyeglasses",29,"Yes"
"eyelash",35,"No"
"eyelid",33,"No"
"eyepiece",33,"No"
"eyewash",27,"Yes"
"fabric",33,"No"
"face",27,"Yes"
"factory",35,"No"
"fairground",33,"No"
"family",36,"No"
"fan",35,"No"
"farm",30,"No"
"farmer",26,"Yes"
"farmhand",34,"No"
"farmhouse",25,"Yes"
"fastener",28,"Yes"
"father",38,"No"
"faucet",28,"Yes"
"fauna",35,"No"
"fawn",26,"Yes"
"feast",32,"No"
"feather",27,"Yes"
"featherbed",27,"Yes"
"fedora",37,"No"
"feline",27,"Yes"
"female",29,"Yes"
"femur",29,"Yes"
"fence",41,"No"
"fern",32,"No"
"ferret",29,"Yes"
"ferryboat",25,"Yes"
"fertilizer",28,"Yes"
"festival",30,"No"
"fiancee",27,"Yes"
"fiddle",35,"No"
"fig",27,"Yes"
"figurine",33,"No"
"file",25,"Yes"
"fillet",29,"Yes"
"film",34,"No"
"finger",34,"No"
"fingerboard",27,"Yes"
"fingernail",27,"Yes"
"fingerprint",35,"No"
"fingertip",26,"Yes"
"fir",29,"Yes"
"firearm",32,"No"
"firecracker",26,"Yes"
"fireplace",31,"No"
"firewood",31,"No"
"firstborn",35,"No"
"fish",30,"No"
"fishbone",30,"No"
"fisherman",34,"No"
"fishpond",30,"No"
"fist",24,"Yes"
"fixture",30,"No"
"flag",29,"Yes"
"flagpole",37,"No"
"flamethrower",25,"Yes"
"flannel",57,"No"
"flapjack",30,"No"
"flashbulb",31,"No"
"flashlight",38,"No"
"flask",33,"No"
"flatiron",34,"No"
"flaxseed",27,"Yes"
"fleece",33,"No"
"flesh",33,"No"
"floor",29,"Yes"
"floorboard",35,"No"
"flooring",32,"No"
"florist",26,"Yes"
"floss",26,"Yes"
"flounder",29,"Yes"
"flour",28,"Yes"
"flower",39,"No"
"flowerbed",34,"No"
"flowerpot",37,"No"
"fluid",38,"No"
"flute",36,"No"
"flycatcher",25,"Yes"
"flypaper",25,"Yes"
"flyswatter",27,"Yes"
"foghorn",35,"No"
"folder",35,"No"
"foliage",29,"Yes"
"fondue",36,"No"
"food",35,"No"
"foodstuff",26,"Yes"
"foot",25,"Yes"
"football",27,"Yes"
"footballer",32,"No"
"footbath",33,"No"
"footboard",27,"Yes"
"footbridge",28,"Yes"
"footpad",28,"Yes"
"footpath",26,"Yes"
"footplate",32,"No"
"footstool",37,"No"
"footwear",26,"Yes"
"forceps",32,"No"
"ford",26,"Yes"
"forearm",27,"Yes"
"forefinger",27,"Yes"
"forehead",32,"No"
"forest",24,"Yes"
"fork",27,"Yes"
"forklift",40,"No"
"fossil",38,"No"
"fountain",36,"No"
"fountainhead",30,"No"
"foxhound",34,"No"
"frame",28,"Yes"
"frankfurter",25,"Yes"
"freezer",25,"Yes"
"fridge",37,"No"
"friend",28,"Yes"
"frog",28,"Yes"
"frosting",27,"Yes"
"fruit",30,"No"
"fruitcake",26,"Yes"
"fryer",28,"Yes"
"fudge",25,"Yes"
"fungus",33,"No"
"funnel",34,"No"
"furnace",35,"No"
"furnishings",26,"Yes"
"furniture",25,"Yes"
"gadget",28,"Yes"
"gambler",33,"No"
"game",38,"No"
"gangster",27,"Yes"
"garage",31,"No"
"garb",25,"Yes"
"garbage",28,"Yes"
"garden",36,"No"
"gardener",36,"No"
"garland",28,"Yes"
"garlic",27,"Yes"
"garment",26,"Yes"
"garnets",26,"Yes"
"gasket",26,"Yes"
"gate",36,"No"
"gatehouse",31,"No"
"gatekeeper",27,"Yes"
"gauze",34,"No"
"gavel",29,"Yes"
"gazebo",29,"Yes"
"gear",38,"No"
"gearbox",27,"Yes"
"gem",35,"No"
"generator",31,"No"
"genitals",98,"No"
"gentleman",27,"Yes"
"geranium",28,"Yes"
"germ",36,"No"
"giblets",30,"No"
"gift",36,"No"
"gin",27,"Yes"
"ginger",32,"No"
"gingerbread",30,"No"
"gingersnap",27,"Yes"
"girdle",25,"Yes"
"girl",25,"Yes"
"girlfriend",30,"No"
"glass",30,"No"
"glassblower",33,"No"
"glasses",24,"Yes"
"glassware",37,"No"
"glider",28,"Yes"
"glitter",27,"Yes"
"globe",27,"Yes"
"glue",39,"No"
"glycerine",27,"Yes"
"goalkeeper",28,"Yes"
"goalpost",30,"No"
"goat",36,"No"
"goatee",34,"No"
"goatskin",33,"No"
"goblet",28,"Yes"
"goddaughter",27,"Yes"
"godfather",27,"Yes"
"godmother",30,"No"
"godparent",29,"Yes"
"goggles",52,"No"
"gold",36,"No"
"goldfish",34,"No"
"goldsmith",34,"No"
"golf",26,"Yes"
"golfer",35,"No"
"gondola",28,"Yes"
"goose",27,"Yes"
"gooseberry",30,"No"
"goulash",28,"Yes"
"gourd",29,"Yes"
"gown",29,"Yes"
"grandchild",36,"No"
"granddaughter",29,"Yes"
"grandfather",26,"Yes"
"grandma",26,"Yes"
"grandnephew",25,"Yes"
"grandniece",33,"No"
"grandpa",28,"Yes"
"grandparent",38,"No"
"grandson",31,"No"
"granite",37,"No"
"granny",36,"No"
"grape",29,"Yes"
"grapefruit",28,"Yes"
"grapevine",31,"No"
"graphite",28,"Yes"
"grass",33,"No"
"grasshopper",33,"No"
"grater",28,"Yes"
"grave",29,"Yes"
"gravel",34,"No"
"gravestone",26,"Yes"
"graveyard",36,"No"
"gravy",37,"No"
"grease",29,"Yes"
"greenery",38,"No"
"greenhouse",26,"Yes"
"greens",29,"Yes"
"grenade",25,"Yes"
"greyhound",28,"Yes"
"griddle",35,"No"
"grill",27,"Yes"
"grits",31,"No"
"groceries",50,"No"
"groom",29,"Yes"
"ground",26,"Yes"
"groundsman",28,"Yes"
"guard",27,"Yes"
"guardhouse",25,"Yes"
"guardrail",26,"Yes"
"guardsman",28,"Yes"
"guest",29,"Yes"
"guesthouse",27,"Yes"
"guestroom",29,"Yes"
"guidebook",26,"Yes"
"guillotine",27,"Yes"
"guitar",33,"No"
"guitarist",26,"Yes"
"gum",34,"No"
"gumbo",26,"Yes"
"gumdrop",28,"Yes"
"gun",29,"Yes"
"gunfighter",28,"Yes"
"gunnysack",25,"Yes"
"gunpowder",29,"Yes"
"guy",30,"No"
"gym",24,"Yes"
